Radius(Å),ClusterDensity(atoms/Å³),AllPolymerDensity(atoms/Å³)
0.5,0.06445775195221762,0.0632640898790284
1.5,0.0716197243913529,0.07187550912132203
2.5,0.07774509555640283,0.07765085907694053
3.5,0.07634598097843993,0.0762975892727701
4.5,0.07371352507711103,0.0741733784987495
5.5,0.07363976789982699,0.07363976789982699
6.5,0.07375327786075411,0.0741057371343336
7.5,0.07367155180118407,0.07370333570254117
8.5,0.07385852837194283,0.07391628621419392
9.5,0.07440787233352547,0.07437924206239731
10.5,0.07460568268924012,0.07495909321242
11.5,0.07470310085496891,0.07486846965604046
12.5,0.07491183929896539,0.07508999781735183
13.5,0.07466716330398315,0.07484283020872123
14.5,0.07478264513045331,0.07493776444899772
15.5,0.07410803797804277,0.0741875050786157
16.5,0.07343140244613217,0.0737396799215825
17.5,0.07354984608967627,0.07367193992523643
18.5,0.0739983314339836,0.0742395046376708
19.5,0.07425341787886718,0.0743135717519683
20.5,0.0742915017121908,0.07451584581317879
21.5,0.07390119386217091,0.07404018191178884
22.5,0.07414063810484277,0.07426951274605609
23.5,0.07407440363962828,0.07421739816076772
24.5,0.0744405049485396,0.07463204761325458
25.5,0.07458827814794651,0.07482994730166755
26.5,0.07434696180014877,0.0745798023849047
27.5,0.07354410335288934,0.07377741720456824
28.5,0.07318123226551262,0.07351454660314301
29.5,0.07259394648172678,0.07296036553636528
30.5,0.0732288960478781,0.07360751143973213
31.5,0.07424475152996174,0.07475946273361056
32.5,0.07474959745154129,0.07522005802655082
33.5,0.07455222825138405,0.07495149297772558
34.5,0.07474340565190996,0.07520016129565447
35.5,0.07526797579942475,0.07586480683601936
36.5,0.07526324798444838,0.075783430650411
37.5,0.07512677007348853,0.07575261127309485
38.5,0.07523013465936032,0.07586712554585237
39.5,0.07596106327457894,0.07668339830505454
40.5,0.0759493431371519,0.0767716922141066
41.5,0.07708028297989836,0.07814169661443918
42.5,0.08070617241787337,0.0817115094700963
43.5,0.09713692244442806,0.09816573093206175
44.5,0.208258132160315,0.21106727673857262
45.5,-0.14885053181288377,-0.1513293410086673
46.5,-0.03363477629381481,-0.03419884572219539
47.5,-0.013002211067915876,-0.01322068638425696
48.5,-0.0056163030519192515,-0.005731686480976305
49.5,-0.0024221430101438513,-0.0024614258308022848
50.5,-0.0008488820562482349,-0.0008717957853076559
51.5,-0.00020854922234415794,-0.00021330248097308461
