Radius(Å),AvgCumulativeChains
1.0,0.0675
2.0,0.515
3.0,1.7625
4.0,4.14
5.0,8.3875
6.0,14.51
7.0,22.9
8.0,33.6325
9.0,47.7625
10.0,64.765
11.0,84.9775
12.0,108.435
13.0,135.2675
14.0,165.39
15.0,198.4925
16.0,233.75
17.0,269.91
18.0,306.0425
19.0,340.2225
20.0,372.315
21.0,401.1875
22.0,427.025
23.0,450.5475
24.0,472.305
25.0,493.1025
26.0,512.3025
27.0,531.1425
28.0,549.92
29.0,568.3125
30.0,586.3175
31.0,602.055
32.0,614.1925
33.0,623.2575
34.0,629.47
35.0,633.8725
36.0,636.93
37.0,639.405
38.0,641.4075
39.0,643.1675
40.0,644.56
41.0,645.75
42.0,646.7625
43.0,647.55
44.0,648.16
45.0,648.6575
46.0,649.065
47.0,649.335
48.0,649.5375
49.0,649.7275
50.0,649.845
51.0,649.92
52.0,649.9675
