# time largest_cluster_rg
150000.000000 15.2431920766
200000.000000 15.3364874289
250000.000000 15.6997647055
300000.000000 15.7552892214
350000.000000 16.2331606091
400000.000000 17.3561280783
450000.000000 17.0474652145
500000.000000 16.5855933282
550000.000000 17.7514505054
600000.000000 18.8451392295
650000.000000 18.0519210847
700000.000000 16.0341365003
750000.000000 16.1612819984
800000.000000 18.3170793520
850000.000000 25.4126779117
900000.000000 19.3154220279
950000.000000 20.6126975509
1000000.000000 32.1979133364
1050000.000000 18.9858809119
1100000.000000 23.1122555522
1150000.000000 17.5685496989
1200000.000000 16.3015578230
1250000.000000 19.9465413194
1300000.000000 16.4123050943
1350000.000000 16.2132995058
1400000.000000 16.3978321710
1450000.000000 15.8689532904
1500000.000000 16.4860694988
1550000.000000 16.7777282279
1600000.000000 16.9413606602
1650000.000000 16.7101621194
1700000.000000 17.4780374832
1750000.000000 17.2034916432
1800000.000000 18.1003192576
1850000.000000 17.2478125756
1900000.000000 17.2515301773
1950000.000000 16.6391069152
2000000.000000 18.1671566558
2050000.000000 16.8903498926
2100000.000000 17.5038825454
2150000.000000 18.1019876440
2200000.000000 16.7212393450
2250000.000000 16.6938465702
2300000.000000 16.8980546900
2350000.000000 17.1132187516
2400000.000000 17.2447868370
2450000.000000 17.1780414788
2500000.000000 18.1124814450
2550000.000000 18.3183116316
2600000.000000 18.0646270464
2650000.000000 19.8941125204
2700000.000000 18.6854360995
2750000.000000 21.7309361501
2800000.000000 20.4702532999
2850000.000000 25.0791792656
2900000.000000 18.6592739221
2950000.000000 25.2970054432
3000000.000000 22.7468240002
3050000.000000 22.0883885614
3100000.000000 24.0022101072
3150000.000000 24.0228221770
3200000.000000 23.5742353095
3250000.000000 24.2404252753
3300000.000000 19.6944932361
3350000.000000 23.8372981016
3400000.000000 24.5224897255
3450000.000000 25.3651123772
3500000.000000 25.5486803652
3550000.000000 23.3248125087
3600000.000000 27.7240823418
3650000.000000 18.8764910014
3700000.000000 21.2967064974
3750000.000000 22.1249736555
3800000.000000 21.4267343400
3850000.000000 20.6202736453
3900000.000000 19.4896607258
3950000.000000 18.7296442634
4000000.000000 20.9846280069
4050000.000000 21.0889613817
4100000.000000 21.6324318015
4150000.000000 29.5669806386
4200000.000000 26.4066697055
4250000.000000 27.3510330331
4300000.000000 23.9764165123
4350000.000000 22.8914942214
4400000.000000 25.9539789247
4450000.000000 23.3277609791
4500000.000000 23.2355486418
