# time largest_cluster_fraction_percent
150000.000000 100.0000000000
200000.000000 99.5384615385
250000.000000 97.2307692308
300000.000000 96.6153846154
350000.000000 94.6153846154
400000.000000 96.4615384615
450000.000000 94.7692307692
500000.000000 95.0769230769
550000.000000 96.7692307692
600000.000000 96.7692307692
650000.000000 96.0000000000
700000.000000 95.5384615385
750000.000000 95.0769230769
800000.000000 95.5384615385
850000.000000 95.3846153846
900000.000000 95.8461538462
950000.000000 95.6923076923
1000000.000000 96.6153846154
1050000.000000 97.0769230769
1100000.000000 96.9230769231
1150000.000000 97.8461538462
1200000.000000 97.2307692308
1250000.000000 96.9230769231
1300000.000000 96.7692307692
1350000.000000 96.6153846154
1400000.000000 97.2307692308
1450000.000000 95.6923076923
1500000.000000 94.9230769231
1550000.000000 94.4615384615
1600000.000000 96.7692307692
1650000.000000 95.2307692308
1700000.000000 98.0000000000
1750000.000000 96.6153846154
1800000.000000 95.8461538462
1850000.000000 96.4615384615
1900000.000000 96.9230769231
1950000.000000 96.7692307692
2000000.000000 96.6153846154
2050000.000000 96.6153846154
2100000.000000 96.6153846154
2150000.000000 96.3076923077
2200000.000000 96.7692307692
2250000.000000 95.3846153846
2300000.000000 94.9230769231
2350000.000000 96.9230769231
2400000.000000 96.7692307692
2450000.000000 97.5384615385
2500000.000000 94.9230769231
2550000.000000 95.5384615385
2600000.000000 95.3846153846
2650000.000000 95.6923076923
2700000.000000 95.5384615385
2750000.000000 97.5384615385
2800000.000000 96.9230769231
2850000.000000 97.5384615385
2900000.000000 96.4615384615
2950000.000000 96.1538461538
3000000.000000 95.6923076923
3050000.000000 96.7692307692
3100000.000000 96.3076923077
3150000.000000 95.2307692308
3200000.000000 95.3846153846
3250000.000000 96.4615384615
3300000.000000 96.9230769231
3350000.000000 96.1538461538
3400000.000000 96.1538461538
3450000.000000 95.6923076923
3500000.000000 94.9230769231
3550000.000000 96.3076923077
3600000.000000 97.2307692308
3650000.000000 97.6923076923
3700000.000000 95.6923076923
3750000.000000 96.7692307692
3800000.000000 96.6153846154
3850000.000000 95.0769230769
3900000.000000 97.0769230769
3950000.000000 95.6923076923
4000000.000000 96.4615384615
4050000.000000 95.2307692308
4100000.000000 96.9230769231
4150000.000000 96.3076923077
4200000.000000 97.6923076923
4250000.000000 97.3846153846
4300000.000000 96.1538461538
4350000.000000 95.8461538462
4400000.000000 96.0000000000
4450000.000000 94.9230769231
4500000.000000 95.8461538462
4550000.000000 95.6923076923
4600000.000000 95.6923076923
4650000.000000 96.3076923077
4700000.000000 95.3846153846
4750000.000000 94.9230769231
4800000.000000 95.8461538462
4850000.000000 96.1538461538
4900000.000000 97.8461538462
4950000.000000 97.2307692308
5000000.000000 95.0769230769
5050000.000000 95.3846153846
5100000.000000 97.3846153846
5150000.000000 94.7692307692
5200000.000000 96.3076923077
5250000.000000 95.6923076923
5300000.000000 94.9230769231
5350000.000000 94.1538461538
5400000.000000 96.4615384615
5450000.000000 97.2307692308
5500000.000000 96.7692307692
5550000.000000 96.7692307692
5600000.000000 96.6153846154
5650000.000000 96.3076923077
5700000.000000 96.3076923077
5750000.000000 96.0000000000
5800000.000000 96.1538461538
5850000.000000 95.3846153846
5900000.000000 93.3846153846
5950000.000000 95.6923076923
6000000.000000 96.1538461538
6050000.000000 94.7692307692
6100000.000000 95.0769230769
6150000.000000 96.6153846154
6200000.000000 96.9230769231
6250000.000000 96.6153846154
6300000.000000 96.3076923077
6350000.000000 97.5384615385
6400000.000000 96.0000000000
6450000.000000 96.7692307692
6500000.000000 98.1538461538
6550000.000000 95.8461538462
6600000.000000 96.3076923077
6650000.000000 96.4615384615
6700000.000000 96.9230769231
6750000.000000 95.8461538462
6800000.000000 96.9230769231
6850000.000000 96.1538461538
6900000.000000 96.0000000000
6950000.000000 96.0000000000
7000000.000000 96.1538461538
7050000.000000 95.5384615385
7100000.000000 94.4615384615
7150000.000000 96.1538461538
7200000.000000 96.0000000000
7250000.000000 95.2307692308
7300000.000000 98.1538461538
7350000.000000 96.7692307692
7400000.000000 95.6923076923
7450000.000000 96.0000000000
7500000.000000 97.0769230769
7550000.000000 96.9230769231
7600000.000000 97.3846153846
7650000.000000 96.6153846154
7700000.000000 96.7692307692
7750000.000000 96.4615384615
7800000.000000 96.7692307692
7850000.000000 95.8461538462
7900000.000000 96.4615384615
7950000.000000 95.6923076923
8000000.000000 95.3846153846
8050000.000000 95.0769230769
8100000.000000 96.7692307692
8150000.000000 95.8461538462
8200000.000000 96.9230769231
8250000.000000 96.1538461538
8300000.000000 96.4615384615
8350000.000000 95.3846153846
8400000.000000 94.9230769231
8450000.000000 96.9230769231
8500000.000000 94.3076923077
8550000.000000 96.6153846154
8600000.000000 98.4615384615
8650000.000000 96.0000000000
8700000.000000 96.3076923077
8750000.000000 96.4615384615
8800000.000000 97.0769230769
8850000.000000 95.0769230769
8900000.000000 94.9230769231
8950000.000000 96.1538461538
9000000.000000 97.0769230769
9050000.000000 95.0769230769
9100000.000000 97.0769230769
9150000.000000 97.5384615385
9200000.000000 96.7692307692
9250000.000000 96.4615384615
9300000.000000 96.6153846154
9350000.000000 96.3076923077
9400000.000000 96.7692307692
9450000.000000 96.7692307692
9500000.000000 96.3076923077
9550000.000000 97.6923076923
9600000.000000 97.0769230769
9650000.000000 95.5384615385
9700000.000000 96.4615384615
9750000.000000 96.7692307692
9800000.000000 95.5384615385
9850000.000000 97.0769230769
9900000.000000 96.9230769231
9950000.000000 97.3846153846
10000000.000000 96.1538461538
10050000.000000 96.7692307692
10100000.000000 96.6153846154
10150000.000000 96.4615384615
10200000.000000 96.4615384615
10250000.000000 97.2307692308
10300000.000000 95.6923076923
10350000.000000 95.2307692308
10400000.000000 97.5384615385
10450000.000000 95.8461538462
10500000.000000 97.3846153846
10550000.000000 96.4615384615
10600000.000000 96.9230769231
10650000.000000 96.9230769231
10700000.000000 96.1538461538
10750000.000000 96.9230769231
10800000.000000 96.4615384615
10850000.000000 97.3846153846
10900000.000000 96.7692307692
10950000.000000 96.3076923077
11000000.000000 96.7692307692
11050000.000000 97.3846153846
11100000.000000 95.8461538462
11150000.000000 95.8461538462
11200000.000000 96.4615384615
11250000.000000 96.4615384615
11300000.000000 94.9230769231
11350000.000000 94.9230769231
11400000.000000 95.2307692308
11450000.000000 96.6153846154
11500000.000000 96.6153846154
11550000.000000 95.5384615385
11600000.000000 94.7692307692
11650000.000000 96.7692307692
11700000.000000 96.1538461538
11750000.000000 96.1538461538
11800000.000000 96.3076923077
11850000.000000 96.1538461538
11900000.000000 96.6153846154
11950000.000000 97.2307692308
12000000.000000 98.3076923077
12050000.000000 97.6923076923
12100000.000000 96.7692307692
12150000.000000 96.3076923077
12200000.000000 95.2307692308
12250000.000000 94.3076923077
12300000.000000 95.6923076923
12350000.000000 96.6153846154
12400000.000000 97.5384615385
12450000.000000 96.4615384615
12500000.000000 96.9230769231
12550000.000000 96.7692307692
12600000.000000 96.4615384615
12650000.000000 96.0000000000
12700000.000000 95.3846153846
12750000.000000 96.4615384615
12800000.000000 96.7692307692
12850000.000000 97.5384615385
12900000.000000 97.3846153846
12950000.000000 97.5384615385
13000000.000000 97.0769230769
13050000.000000 96.0000000000
13100000.000000 96.3076923077
13150000.000000 95.6923076923
13200000.000000 96.1538461538
13250000.000000 95.5384615385
13300000.000000 96.1538461538
13350000.000000 97.0769230769
13400000.000000 96.4615384615
13450000.000000 98.0000000000
13500000.000000 95.3846153846
13550000.000000 96.4615384615
13600000.000000 96.6153846154
13650000.000000 97.2307692308
13700000.000000 96.0000000000
13750000.000000 96.6153846154
13800000.000000 96.0000000000
13850000.000000 95.3846153846
13900000.000000 94.9230769231
13950000.000000 95.6923076923
14000000.000000 96.0000000000
14050000.000000 95.3846153846
14100000.000000 96.4615384615
14150000.000000 96.3076923077
14200000.000000 96.3076923077
14250000.000000 96.7692307692
14300000.000000 98.0000000000
14350000.000000 97.2307692308
14400000.000000 97.6923076923
14450000.000000 96.1538461538
14500000.000000 97.2307692308
14550000.000000 96.6153846154
14600000.000000 95.8461538462
14650000.000000 95.0769230769
14700000.000000 96.7692307692
14750000.000000 97.8461538462
14800000.000000 95.8461538462
14850000.000000 96.3076923077
14900000.000000 94.7692307692
14950000.000000 95.6923076923
15000000.000000 95.0769230769
15050000.000000 95.3846153846
15100000.000000 95.8461538462
15150000.000000 95.8461538462
15200000.000000 94.9230769231
15250000.000000 95.6923076923
15300000.000000 95.5384615385
15350000.000000 96.6153846154
15400000.000000 95.5384615385
15450000.000000 96.0000000000
15500000.000000 94.9230769231
15550000.000000 96.6153846154
15600000.000000 98.0000000000
15650000.000000 97.3846153846
15700000.000000 96.7692307692
15750000.000000 96.9230769231
15800000.000000 97.3846153846
15850000.000000 96.0000000000
15900000.000000 95.0769230769
15950000.000000 95.0769230769
16000000.000000 95.5384615385
16050000.000000 96.6153846154
16100000.000000 96.4615384615
16150000.000000 96.6153846154
16200000.000000 97.3846153846
16250000.000000 96.6153846154
16300000.000000 96.4615384615
16350000.000000 96.0000000000
16400000.000000 95.5384615385
16450000.000000 95.8461538462
16500000.000000 96.4615384615
16550000.000000 96.6153846154
16600000.000000 96.4615384615
16650000.000000 96.7692307692
16700000.000000 96.3076923077
16750000.000000 96.1538461538
16800000.000000 96.1538461538
16850000.000000 95.8461538462
16900000.000000 97.3846153846
16950000.000000 97.2307692308
17000000.000000 96.6153846154
17050000.000000 95.0769230769
17100000.000000 95.3846153846
17150000.000000 96.4615384615
17200000.000000 96.1538461538
17250000.000000 95.5384615385
17300000.000000 96.6153846154
17350000.000000 94.0000000000
17400000.000000 97.0769230769
17450000.000000 96.1538461538
17500000.000000 94.7692307692
17550000.000000 96.0000000000
17600000.000000 95.5384615385
17650000.000000 95.6923076923
17700000.000000 96.3076923077
17750000.000000 95.2307692308
17800000.000000 93.8461538462
17850000.000000 95.0769230769
17900000.000000 96.6153846154
17950000.000000 96.1538461538
18000000.000000 96.6153846154
18050000.000000 96.6153846154
18100000.000000 97.5384615385
18150000.000000 96.0000000000
18200000.000000 96.0000000000
18250000.000000 94.4615384615
18300000.000000 95.6923076923
18350000.000000 97.0769230769
18400000.000000 94.9230769231
18450000.000000 97.0769230769
18500000.000000 94.3076923077
18550000.000000 95.8461538462
18600000.000000 94.9230769231
18650000.000000 95.2307692308
18700000.000000 96.1538461538
18750000.000000 96.6153846154
18800000.000000 95.8461538462
18850000.000000 96.0000000000
18900000.000000 96.9230769231
18950000.000000 96.6153846154
19000000.000000 96.3076923077
19050000.000000 96.0000000000
19100000.000000 96.7692307692
19150000.000000 96.1538461538
19200000.000000 96.6153846154
19250000.000000 95.5384615385
