Frame,Num_Receptors,LargestClusterSize,Fraction
0,20,16,0.8
1,20,11,0.55
2,20,1,0.05
3,20,1,0.05
4,20,2,0.1
5,20,1,0.05
6,20,1,0.05
7,20,2,0.1
8,20,2,0.1
9,20,2,0.1
10,20,2,0.1
11,20,1,0.05
12,20,1,0.05
13,20,2,0.1
14,20,1,0.05
15,20,2,0.1
16,20,2,0.1
17,20,1,0.05
18,20,2,0.1
19,20,1,0.05
20,20,2,0.1
21,20,2,0.1
22,20,2,0.1
23,20,2,0.1
24,20,1,0.05
25,20,2,0.1
26,20,2,0.1
27,20,2,0.1
28,20,2,0.1
29,20,2,0.1
30,20,2,0.1
31,20,2,0.1
32,20,2,0.1
33,20,2,0.1
34,20,2,0.1
35,20,1,0.05
36,20,1,0.05
37,20,2,0.1
38,20,2,0.1
39,20,1,0.05
40,20,1,0.05
41,20,1,0.05
42,20,2,0.1
43,20,2,0.1
44,20,2,0.1
45,20,1,0.05
46,20,1,0.05
47,20,2,0.1
48,20,1,0.05
49,20,1,0.05
50,20,2,0.1
51,20,2,0.1
52,20,1,0.05
53,20,1,0.05
54,20,1,0.05
55,20,1,0.05
56,20,1,0.05
57,20,1,0.05
58,20,1,0.05
59,20,1,0.05
60,20,1,0.05
61,20,1,0.05
62,20,2,0.1
63,20,2,0.1
64,20,2,0.1
65,20,1,0.05
66,20,2,0.1
67,20,1,0.05
68,20,2,0.1
69,20,2,0.1
70,20,1,0.05
71,20,2,0.1
72,20,2,0.1
73,20,2,0.1
74,20,1,0.05
75,20,2,0.1
76,20,2,0.1
77,20,1,0.05
78,20,2,0.1
79,20,1,0.05
80,20,2,0.1
81,20,1,0.05
82,20,2,0.1
83,20,2,0.1
84,20,1,0.05
85,20,2,0.1
86,20,1,0.05
87,20,2,0.1
88,20,2,0.1
89,20,2,0.1
90,20,1,0.05
91,20,1,0.05
92,20,1,0.05
93,20,2,0.1
94,20,2,0.1
95,20,2,0.1
96,20,2,0.1
97,20,2,0.1
98,20,1,0.05
99,20,2,0.1
100,20,2,0.1
101,20,1,0.05
102,20,2,0.1
103,20,1,0.05
104,20,2,0.1
105,20,2,0.1
106,20,2,0.1
107,20,2,0.1
108,20,2,0.1
109,20,2,0.1
110,20,2,0.1
111,20,2,0.1
112,20,2,0.1
113,20,1,0.05
114,20,2,0.1
115,20,2,0.1
116,20,2,0.1
117,20,2,0.1
118,20,2,0.1
119,20,3,0.15
120,20,2,0.1
121,20,3,0.15
122,20,2,0.1
123,20,2,0.1
124,20,2,0.1
125,20,2,0.1
126,20,2,0.1
127,20,1,0.05
128,20,1,0.05
129,20,2,0.1
130,20,1,0.05
131,20,1,0.05
132,20,2,0.1
133,20,1,0.05
134,20,2,0.1
135,20,1,0.05
136,20,1,0.05
137,20,2,0.1
138,20,1,0.05
139,20,2,0.1
140,20,1,0.05
141,20,2,0.1
142,20,1,0.05
143,20,2,0.1
144,20,1,0.05
145,20,2,0.1
146,20,2,0.1
147,20,2,0.1
148,20,1,0.05
149,20,1,0.05
150,20,1,0.05
151,20,2,0.1
152,20,1,0.05
153,20,2,0.1
154,20,1,0.05
155,20,1,0.05
156,20,1,0.05
157,20,2,0.1
158,20,2,0.1
159,20,2,0.1
160,20,2,0.1
161,20,2,0.1
162,20,1,0.05
163,20,2,0.1
164,20,2,0.1
165,20,1,0.05
166,20,2,0.1
167,20,2,0.1
168,20,2,0.1
169,20,2,0.1
170,20,1,0.05
171,20,2,0.1
172,20,2,0.1
173,20,1,0.05
174,20,2,0.1
175,20,1,0.05
176,20,2,0.1
177,20,1,0.05
178,20,1,0.05
179,20,1,0.05
180,20,2,0.1
181,20,1,0.05
182,20,1,0.05
183,20,2,0.1
184,20,2,0.1
185,20,2,0.1
186,20,2,0.1
187,20,1,0.05
188,20,2,0.1
189,20,2,0.1
190,20,2,0.1
191,20,1,0.05
192,20,1,0.05
193,20,1,0.05
194,20,1,0.05
195,20,2,0.1
196,20,1,0.05
197,20,1,0.05
198,20,2,0.1
199,20,1,0.05
200,20,1,0.05
201,20,1,0.05
202,20,2,0.1
203,20,2,0.1
204,20,1,0.05
205,20,1,0.05
206,20,1,0.05
207,20,1,0.05
208,20,2,0.1
209,20,1,0.05
210,20,2,0.1
211,20,1,0.05
212,20,1,0.05
213,20,1,0.05
214,20,1,0.05
215,20,2,0.1
216,20,1,0.05
217,20,2,0.1
218,20,2,0.1
219,20,2,0.1
220,20,2,0.1
221,20,1,0.05
222,20,1,0.05
223,20,1,0.05
224,20,1,0.05
225,20,2,0.1
226,20,2,0.1
227,20,2,0.1
228,20,2,0.1
229,20,2,0.1
230,20,2,0.1
231,20,2,0.1
232,20,2,0.1
233,20,2,0.1
234,20,2,0.1
235,20,2,0.1
236,20,1,0.05
237,20,2,0.1
238,20,2,0.1
239,20,2,0.1
240,20,2,0.1
241,20,2,0.1
242,20,1,0.05
243,20,1,0.05
244,20,1,0.05
245,20,1,0.05
246,20,3,0.15
247,20,2,0.1
248,20,1,0.05
249,20,2,0.1
250,20,1,0.05
251,20,2,0.1
252,20,2,0.1
253,20,2,0.1
254,20,2,0.1
255,20,1,0.05
256,20,2,0.1
257,20,2,0.1
258,20,1,0.05
259,20,1,0.05
260,20,2,0.1
261,20,1,0.05
262,20,2,0.1
263,20,2,0.1
264,20,3,0.15
265,20,2,0.1
266,20,3,0.15
267,20,2,0.1
268,20,1,0.05
269,20,2,0.1
270,20,2,0.1
271,20,2,0.1
272,20,1,0.05
273,20,1,0.05
274,20,1,0.05
275,20,1,0.05
276,20,1,0.05
277,20,2,0.1
278,20,1,0.05
279,20,1,0.05
280,20,2,0.1
281,20,2,0.1
282,20,2,0.1
283,20,2,0.1
284,20,2,0.1
285,20,1,0.05
286,20,1,0.05
287,20,2,0.1
288,20,2,0.1
289,20,1,0.05
290,20,2,0.1
291,20,1,0.05
292,20,2,0.1
293,20,1,0.05
294,20,2,0.1
295,20,1,0.05
296,20,2,0.1
297,20,2,0.1
298,20,2,0.1
299,20,3,0.15
300,20,1,0.05
301,20,1,0.05
302,20,2,0.1
303,20,1,0.05
304,20,1,0.05
305,20,1,0.05
306,20,1,0.05
307,20,1,0.05
308,20,2,0.1
309,20,1,0.05
310,20,2,0.1
311,20,2,0.1
312,20,2,0.1
313,20,2,0.1
314,20,2,0.1
315,20,2,0.1
316,20,2,0.1
317,20,2,0.1
318,20,2,0.1
319,20,3,0.15
320,20,1,0.05
321,20,1,0.05
322,20,2,0.1
323,20,1,0.05
324,20,2,0.1
325,20,1,0.05
326,20,1,0.05
327,20,1,0.05
328,20,2,0.1
329,20,2,0.1
330,20,2,0.1
331,20,1,0.05
332,20,1,0.05
333,20,2,0.1
334,20,2,0.1
335,20,2,0.1
336,20,2,0.1
337,20,2,0.1
338,20,2,0.1
339,20,1,0.05
340,20,2,0.1
341,20,1,0.05
342,20,1,0.05
343,20,2,0.1
344,20,1,0.05
345,20,2,0.1
346,20,2,0.1
347,20,1,0.05
348,20,1,0.05
349,20,2,0.1
350,20,2,0.1
351,20,2,0.1
352,20,2,0.1
353,20,2,0.1
354,20,1,0.05
355,20,1,0.05
356,20,2,0.1
357,20,2,0.1
358,20,1,0.05
359,20,2,0.1
360,20,2,0.1
361,20,2,0.1
362,20,2,0.1
363,20,2,0.1
364,20,2,0.1
365,20,2,0.1
366,20,2,0.1
367,20,2,0.1
368,20,1,0.05
369,20,2,0.1
370,20,1,0.05
371,20,2,0.1
372,20,2,0.1
373,20,1,0.05
374,20,2,0.1
375,20,2,0.1
376,20,3,0.15
377,20,1,0.05
378,20,2,0.1
379,20,1,0.05
380,20,2,0.1
381,20,2,0.1
382,20,2,0.1
383,20,2,0.1
384,20,1,0.05
385,20,1,0.05
386,20,1,0.05
387,20,1,0.05
388,20,2,0.1
389,20,1,0.05
390,20,1,0.05
391,20,2,0.1
392,20,2,0.1
393,20,1,0.05
394,20,2,0.1
395,20,2,0.1
396,20,2,0.1
397,20,2,0.1
398,20,2,0.1
399,20,2,0.1
