Frame,Num_Receptors,Polymers_in_Cluster,Total_Polymers,Fraction_Polymers
0,200,185,200,0.925
1,200,193,200,0.965
2,200,192,200,0.96
3,200,198,200,0.99
4,200,194,200,0.97
5,200,192,200,0.96
6,200,190,200,0.95
7,200,191,200,0.955
8,200,186,200,0.93
9,200,197,200,0.985
10,200,194,200,0.97
11,200,191,200,0.955
12,200,193,200,0.965
13,200,195,200,0.975
14,200,192,200,0.96
15,200,192,200,0.96
16,200,194,200,0.97
17,200,192,200,0.96
18,200,189,200,0.945
19,200,191,200,0.955
20,200,196,200,0.98
21,200,191,200,0.955
22,200,195,200,0.975
23,200,192,200,0.96
24,200,191,200,0.955
25,200,194,200,0.97
26,200,195,200,0.975
27,200,194,200,0.97
28,200,194,200,0.97
29,200,196,200,0.98
30,200,192,200,0.96
31,200,195,200,0.975
32,200,194,200,0.97
33,200,194,200,0.97
34,200,188,200,0.94
35,200,190,200,0.95
36,200,195,200,0.975
37,200,193,200,0.965
38,200,191,200,0.955
39,200,195,200,0.975
40,200,193,200,0.965
41,200,195,200,0.975
42,200,195,200,0.975
43,200,194,200,0.97
44,200,191,200,0.955
45,200,193,200,0.965
46,200,197,200,0.985
47,200,193,200,0.965
48,200,188,200,0.94
49,200,187,200,0.935
50,200,190,200,0.95
51,200,189,200,0.945
52,200,192,200,0.96
53,200,196,200,0.98
54,200,193,200,0.965
55,200,193,200,0.965
56,200,190,200,0.95
57,200,186,200,0.93
58,200,193,200,0.965
59,200,190,200,0.95
60,200,189,200,0.945
61,200,187,200,0.935
62,200,196,200,0.98
63,200,194,200,0.97
64,200,195,200,0.975
65,200,195,200,0.975
66,200,189,200,0.945
67,200,196,200,0.98
68,200,195,200,0.975
69,200,195,200,0.975
70,200,197,200,0.985
71,200,188,200,0.94
72,200,193,200,0.965
73,200,189,200,0.945
74,200,193,200,0.965
75,200,179,200,0.895
76,200,192,200,0.96
77,200,194,200,0.97
78,200,193,200,0.965
79,200,191,200,0.955
80,200,192,200,0.96
81,200,190,200,0.95
82,200,196,200,0.98
83,200,190,200,0.95
84,200,191,200,0.955
85,200,188,200,0.94
86,200,187,200,0.935
87,200,187,200,0.935
88,200,191,200,0.955
89,200,194,200,0.97
90,200,181,200,0.905
91,200,190,200,0.95
92,200,190,200,0.95
93,200,188,200,0.94
94,200,185,200,0.925
95,200,186,200,0.93
96,200,190,200,0.95
97,200,192,200,0.96
98,200,191,200,0.955
99,200,191,200,0.955
100,200,191,200,0.955
101,200,190,200,0.95
102,200,192,200,0.96
103,200,187,200,0.935
104,200,188,200,0.94
105,200,192,200,0.96
106,200,191,200,0.955
107,200,193,200,0.965
108,200,190,200,0.95
109,200,188,200,0.94
110,200,194,200,0.97
111,200,197,200,0.985
112,200,192,200,0.96
113,200,193,200,0.965
114,200,189,200,0.945
115,200,191,200,0.955
116,200,192,200,0.96
117,200,193,200,0.965
118,200,190,200,0.95
119,200,194,200,0.97
120,200,191,200,0.955
121,200,195,200,0.975
122,200,189,200,0.945
123,200,192,200,0.96
124,200,193,200,0.965
125,200,189,200,0.945
126,200,197,200,0.985
127,200,194,200,0.97
128,200,190,200,0.95
129,200,191,200,0.955
130,200,194,200,0.97
131,200,189,200,0.945
132,200,189,200,0.945
133,200,193,200,0.965
134,200,195,200,0.975
135,200,192,200,0.96
136,200,194,200,0.97
137,200,188,200,0.94
138,200,186,200,0.93
139,200,189,200,0.945
140,200,196,200,0.98
141,200,187,200,0.935
142,200,194,200,0.97
143,200,188,200,0.94
144,200,186,200,0.93
145,200,188,200,0.94
146,200,192,200,0.96
147,200,195,200,0.975
148,200,192,200,0.96
149,200,189,200,0.945
150,200,193,200,0.965
151,200,190,200,0.95
152,200,189,200,0.945
153,200,190,200,0.95
154,200,189,200,0.945
155,200,190,200,0.95
156,200,195,200,0.975
157,200,193,200,0.965
158,200,197,200,0.985
159,200,188,200,0.94
160,200,193,200,0.965
161,200,191,200,0.955
162,200,187,200,0.935
163,200,191,200,0.955
164,200,188,200,0.94
165,200,197,200,0.985
166,200,197,200,0.985
167,200,194,200,0.97
168,200,192,200,0.96
169,200,193,200,0.965
170,200,193,200,0.965
171,200,188,200,0.94
172,200,192,200,0.96
173,200,195,200,0.975
174,200,194,200,0.97
175,200,194,200,0.97
176,200,191,200,0.955
177,200,190,200,0.95
178,200,188,200,0.94
179,200,188,200,0.94
180,200,190,200,0.95
181,200,193,200,0.965
182,200,195,200,0.975
183,200,190,200,0.95
184,200,197,200,0.985
185,200,200,200,1.0
186,200,193,200,0.965
187,200,186,200,0.93
188,200,195,200,0.975
189,200,193,200,0.965
190,200,189,200,0.945
191,200,186,200,0.93
192,200,194,200,0.97
193,200,193,200,0.965
194,200,189,200,0.945
195,200,192,200,0.96
196,200,194,200,0.97
197,200,195,200,0.975
198,200,194,200,0.97
199,200,192,200,0.96
200,200,191,200,0.955
201,200,191,200,0.955
202,200,190,200,0.95
203,200,189,200,0.945
204,200,189,200,0.945
205,200,189,200,0.945
206,200,195,200,0.975
207,200,187,200,0.935
208,200,195,200,0.975
209,200,190,200,0.95
210,200,192,200,0.96
211,200,191,200,0.955
212,200,193,200,0.965
213,200,193,200,0.965
214,200,194,200,0.97
215,200,183,200,0.915
216,200,191,200,0.955
217,200,191,200,0.955
218,200,190,200,0.95
219,200,190,200,0.95
220,200,197,200,0.985
221,200,184,200,0.92
222,200,195,200,0.975
223,200,197,200,0.985
224,200,190,200,0.95
225,200,191,200,0.955
226,200,194,200,0.97
227,200,185,200,0.925
228,200,187,200,0.935
229,200,191,200,0.955
230,200,188,200,0.94
231,200,188,200,0.94
232,200,189,200,0.945
233,200,192,200,0.96
234,200,193,200,0.965
235,200,189,200,0.945
236,200,180,200,0.9
237,200,192,200,0.96
238,200,191,200,0.955
239,200,190,200,0.95
240,200,194,200,0.97
241,200,187,200,0.935
242,200,193,200,0.965
243,200,194,200,0.97
244,200,193,200,0.965
245,200,188,200,0.94
246,200,185,200,0.925
247,200,193,200,0.965
248,200,191,200,0.955
249,200,194,200,0.97
250,200,190,200,0.95
251,200,189,200,0.945
252,200,193,200,0.965
253,200,192,200,0.96
254,200,189,200,0.945
255,200,186,200,0.93
256,200,195,200,0.975
257,200,194,200,0.97
258,200,190,200,0.95
259,200,194,200,0.97
260,200,193,200,0.965
261,200,191,200,0.955
262,200,186,200,0.93
263,200,193,200,0.965
264,200,190,200,0.95
265,200,185,200,0.925
266,200,193,200,0.965
267,200,190,200,0.95
268,200,191,200,0.955
269,200,194,200,0.97
270,200,194,200,0.97
271,200,187,200,0.935
272,200,193,200,0.965
273,200,188,200,0.94
274,200,191,200,0.955
275,200,195,200,0.975
276,200,196,200,0.98
277,200,190,200,0.95
278,200,191,200,0.955
279,200,187,200,0.935
280,200,196,200,0.98
281,200,190,200,0.95
282,200,188,200,0.94
283,200,191,200,0.955
284,200,192,200,0.96
285,200,191,200,0.955
286,200,194,200,0.97
287,200,191,200,0.955
288,200,194,200,0.97
289,200,194,200,0.97
290,200,184,200,0.92
291,200,193,200,0.965
292,200,188,200,0.94
293,200,194,200,0.97
294,200,194,200,0.97
295,200,193,200,0.965
296,200,189,200,0.945
297,200,189,200,0.945
298,200,192,200,0.96
299,200,192,200,0.96
300,200,190,200,0.95
301,200,187,200,0.935
302,200,191,200,0.955
303,200,188,200,0.94
304,200,195,200,0.975
305,200,193,200,0.965
306,200,194,200,0.97
307,200,195,200,0.975
308,200,196,200,0.98
309,200,194,200,0.97
310,200,186,200,0.93
311,200,189,200,0.945
312,200,194,200,0.97
313,200,192,200,0.96
314,200,189,200,0.945
315,200,190,200,0.95
316,200,193,200,0.965
317,200,194,200,0.97
318,200,193,200,0.965
319,200,192,200,0.96
320,200,199,200,0.995
321,200,190,200,0.95
322,200,194,200,0.97
323,200,187,200,0.935
324,200,192,200,0.96
325,200,191,200,0.955
326,200,190,200,0.95
327,200,183,200,0.915
328,200,191,200,0.955
329,200,191,200,0.955
330,200,191,200,0.955
331,200,193,200,0.965
332,200,196,200,0.98
333,200,192,200,0.96
334,200,191,200,0.955
335,200,191,200,0.955
336,200,194,200,0.97
337,200,185,200,0.925
338,200,192,200,0.96
339,200,191,200,0.955
340,200,190,200,0.95
341,200,198,200,0.99
342,200,192,200,0.96
343,200,191,200,0.955
344,200,193,200,0.965
345,200,191,200,0.955
346,200,187,200,0.935
347,200,193,200,0.965
348,200,198,200,0.99
349,200,193,200,0.965
350,200,190,200,0.95
351,200,193,200,0.965
352,200,195,200,0.975
353,200,191,200,0.955
354,200,194,200,0.97
355,200,194,200,0.97
356,200,193,200,0.965
357,200,191,200,0.955
358,200,190,200,0.95
359,200,189,200,0.945
360,200,191,200,0.955
361,200,187,200,0.935
362,200,191,200,0.955
363,200,191,200,0.955
364,200,189,200,0.945
365,200,190,200,0.95
366,200,190,200,0.95
367,200,189,200,0.945
368,200,193,200,0.965
369,200,189,200,0.945
370,200,184,200,0.92
371,200,191,200,0.955
372,200,188,200,0.94
373,200,190,200,0.95
374,200,195,200,0.975
375,200,194,200,0.97
376,200,185,200,0.925
377,200,192,200,0.96
378,200,189,200,0.945
379,200,193,200,0.965
380,200,191,200,0.955
381,200,190,200,0.95
382,200,195,200,0.975
383,200,196,200,0.98
384,200,193,200,0.965
385,200,194,200,0.97
386,200,188,200,0.94
387,200,194,200,0.97
388,200,190,200,0.95
389,200,189,200,0.945
390,200,188,200,0.94
391,200,192,200,0.96
392,200,193,200,0.965
