Frame,TotalReceptors,LargestClusterSize,FractionInCluster
0,200,185,0.925
1,200,195,0.975
2,200,194,0.97
3,200,199,0.995
4,200,196,0.98
5,200,193,0.965
6,200,194,0.97
7,200,193,0.965
8,200,187,0.935
9,200,198,0.99
10,200,195,0.975
11,200,192,0.96
12,200,193,0.965
13,200,196,0.98
14,200,192,0.96
15,200,194,0.97
16,200,196,0.98
17,200,196,0.98
18,200,189,0.945
19,200,194,0.97
20,200,196,0.98
21,200,197,0.985
22,200,195,0.975
23,200,196,0.98
24,200,194,0.97
25,200,195,0.975
26,200,196,0.98
27,200,195,0.975
28,200,195,0.975
29,200,198,0.99
30,200,194,0.97
31,200,196,0.98
32,200,195,0.975
33,200,196,0.98
34,200,191,0.955
35,200,193,0.965
36,200,195,0.975
37,200,193,0.965
38,200,194,0.97
39,200,195,0.975
40,200,194,0.97
41,200,196,0.98
42,200,197,0.985
43,200,195,0.975
44,200,192,0.96
45,200,195,0.975
46,200,197,0.985
47,200,196,0.98
48,200,191,0.955
49,200,190,0.95
50,200,192,0.96
51,200,190,0.95
52,200,194,0.97
53,200,197,0.985
54,200,194,0.97
55,200,197,0.985
56,200,194,0.97
57,200,187,0.935
58,200,195,0.975
59,200,190,0.95
60,200,189,0.945
61,200,187,0.935
62,200,198,0.99
63,200,196,0.98
64,200,196,0.98
65,200,195,0.975
66,200,192,0.96
67,200,197,0.985
68,200,195,0.975
69,200,196,0.98
70,200,198,0.99
71,200,189,0.945
72,200,193,0.965
73,200,190,0.95
74,200,195,0.975
75,200,182,0.91
76,200,193,0.965
77,200,194,0.97
78,200,196,0.98
79,200,191,0.955
80,200,193,0.965
81,200,191,0.955
82,200,197,0.985
83,200,194,0.97
84,200,192,0.96
85,200,190,0.95
86,200,189,0.945
87,200,189,0.945
88,200,193,0.965
89,200,196,0.98
90,200,184,0.92
91,200,191,0.955
92,200,192,0.96
93,200,190,0.95
94,200,188,0.94
95,200,189,0.945
96,200,193,0.965
97,200,194,0.97
98,200,193,0.965
99,200,192,0.96
100,200,194,0.97
101,200,193,0.965
102,200,192,0.96
103,200,190,0.95
104,200,191,0.955
105,200,192,0.96
106,200,192,0.96
107,200,197,0.985
108,200,194,0.97
109,200,190,0.95
110,200,195,0.975
111,200,198,0.99
112,200,194,0.97
113,200,195,0.975
114,200,192,0.96
115,200,192,0.96
116,200,195,0.975
117,200,193,0.965
118,200,191,0.955
119,200,194,0.97
120,200,194,0.97
121,200,197,0.985
122,200,189,0.945
123,200,194,0.97
124,200,194,0.97
125,200,191,0.955
126,200,199,0.995
127,200,195,0.975
128,200,193,0.965
129,200,191,0.955
130,200,196,0.98
131,200,191,0.955
132,200,189,0.945
133,200,194,0.97
134,200,195,0.975
135,200,194,0.97
136,200,195,0.975
137,200,188,0.94
138,200,190,0.95
139,200,192,0.96
140,200,196,0.98
141,200,192,0.96
142,200,198,0.99
143,200,193,0.965
144,200,188,0.94
145,200,190,0.95
146,200,193,0.965
147,200,197,0.985
148,200,193,0.965
149,200,190,0.95
150,200,193,0.965
151,200,192,0.96
152,200,193,0.965
153,200,192,0.96
154,200,190,0.95
155,200,193,0.965
156,200,198,0.99
157,200,194,0.97
158,200,198,0.99
159,200,189,0.945
160,200,194,0.97
161,200,192,0.96
162,200,189,0.945
163,200,193,0.965
164,200,190,0.95
165,200,198,0.99
166,200,199,0.995
167,200,194,0.97
168,200,193,0.965
169,200,194,0.97
170,200,194,0.97
171,200,189,0.945
172,200,194,0.97
173,200,196,0.98
174,200,197,0.985
175,200,195,0.975
176,200,194,0.97
177,200,192,0.96
178,200,190,0.95
179,200,191,0.955
180,200,192,0.96
181,200,194,0.97
182,200,195,0.975
183,200,193,0.965
184,200,197,0.985
185,200,200,1.0
186,200,194,0.97
187,200,190,0.95
188,200,195,0.975
189,200,195,0.975
190,200,190,0.95
191,200,191,0.955
192,200,197,0.985
193,200,194,0.97
194,200,191,0.955
195,200,191,0.955
196,200,196,0.98
197,200,196,0.98
198,200,196,0.98
199,200,193,0.965
200,200,191,0.955
201,200,192,0.96
202,200,191,0.955
203,200,191,0.955
204,200,191,0.955
205,200,190,0.95
206,200,196,0.98
207,200,189,0.945
208,200,195,0.975
209,200,191,0.955
210,200,193,0.965
211,200,194,0.97
212,200,195,0.975
213,200,195,0.975
214,200,194,0.97
215,200,189,0.945
216,200,194,0.97
217,200,192,0.96
218,200,192,0.96
219,200,191,0.955
220,200,197,0.985
221,200,186,0.93
222,200,195,0.975
223,200,199,0.995
224,200,193,0.965
225,200,193,0.965
226,200,195,0.975
227,200,188,0.94
228,200,190,0.95
229,200,193,0.965
230,200,188,0.94
231,200,188,0.94
232,200,191,0.955
233,200,194,0.97
234,200,194,0.97
235,200,191,0.955
236,200,184,0.92
237,200,196,0.98
238,200,192,0.96
239,200,190,0.95
240,200,194,0.97
241,200,192,0.96
242,200,195,0.975
243,200,196,0.98
244,200,194,0.97
245,200,190,0.95
246,200,188,0.94
247,200,193,0.965
248,200,192,0.96
249,200,196,0.98
250,200,192,0.96
251,200,189,0.945
252,200,196,0.98
253,200,192,0.96
254,200,190,0.95
255,200,189,0.945
256,200,196,0.98
257,200,195,0.975
258,200,193,0.965
259,200,194,0.97
260,200,194,0.97
261,200,195,0.975
262,200,187,0.935
263,200,194,0.97
264,200,192,0.96
265,200,190,0.95
266,200,193,0.965
267,200,193,0.965
268,200,194,0.97
269,200,196,0.98
270,200,195,0.975
271,200,189,0.945
272,200,195,0.975
273,200,192,0.96
274,200,194,0.97
275,200,195,0.975
276,200,196,0.98
277,200,192,0.96
278,200,193,0.965
279,200,187,0.935
280,200,197,0.985
281,200,192,0.96
282,200,192,0.96
283,200,193,0.965
284,200,194,0.97
285,200,195,0.975
286,200,195,0.975
287,200,193,0.965
288,200,196,0.98
289,200,194,0.97
290,200,188,0.94
291,200,194,0.97
292,200,190,0.95
293,200,195,0.975
294,200,196,0.98
295,200,197,0.985
296,200,191,0.955
297,200,191,0.955
298,200,193,0.965
299,200,193,0.965
300,200,191,0.955
301,200,191,0.955
302,200,193,0.965
303,200,191,0.955
304,200,196,0.98
305,200,195,0.975
306,200,195,0.975
307,200,195,0.975
308,200,196,0.98
309,200,195,0.975
310,200,189,0.945
311,200,189,0.945
312,200,194,0.97
313,200,195,0.975
314,200,191,0.955
315,200,193,0.965
316,200,194,0.97
317,200,194,0.97
318,200,195,0.975
319,200,194,0.97
320,200,199,0.995
321,200,192,0.96
322,200,195,0.975
323,200,190,0.95
324,200,194,0.97
325,200,195,0.975
326,200,191,0.955
327,200,184,0.92
328,200,193,0.965
329,200,194,0.97
330,200,192,0.96
331,200,193,0.965
332,200,196,0.98
333,200,194,0.97
334,200,192,0.96
335,200,193,0.965
336,200,196,0.98
337,200,188,0.94
338,200,195,0.975
339,200,192,0.96
340,200,193,0.965
341,200,199,0.995
342,200,193,0.965
343,200,194,0.97
344,200,195,0.975
345,200,192,0.96
346,200,190,0.95
347,200,194,0.97
348,200,197,0.985
349,200,195,0.975
350,200,192,0.96
351,200,194,0.97
352,200,195,0.975
353,200,192,0.96
354,200,194,0.97
355,200,194,0.97
356,200,197,0.985
357,200,192,0.96
358,200,192,0.96
359,200,190,0.95
360,200,192,0.96
361,200,189,0.945
362,200,191,0.955
363,200,194,0.97
364,200,191,0.955
365,200,191,0.955
366,200,193,0.965
367,200,192,0.96
368,200,194,0.97
369,200,191,0.955
370,200,190,0.95
371,200,192,0.96
372,200,190,0.95
373,200,192,0.96
374,200,196,0.98
375,200,194,0.97
376,200,188,0.94
377,200,193,0.965
378,200,192,0.96
379,200,194,0.97
380,200,192,0.96
381,200,191,0.955
382,200,197,0.985
383,200,198,0.99
384,200,195,0.975
385,200,196,0.98
386,200,188,0.94
387,200,195,0.975
388,200,189,0.945
389,200,190,0.95
390,200,189,0.945
391,200,195,0.975
392,200,194,0.97
393,200,190,0.95
394,200,194,0.97
395,200,190,0.95
396,200,192,0.96
397,200,193,0.965
398,200,195,0.975
399,200,199,0.995
