# time cluster_size count
150000.000000 650 1
200000.000000 1 2
200000.000000 648 1
250000.000000 1 8
250000.000000 642 1
300000.000000 1 16
300000.000000 2 1
300000.000000 4 1
300000.000000 628 1
350000.000000 1 20
350000.000000 2 2
350000.000000 3 1
350000.000000 623 1
400000.000000 1 15
400000.000000 2 7
400000.000000 3 2
400000.000000 615 1
450000.000000 1 22
450000.000000 2 5
450000.000000 3 2
450000.000000 612 1
500000.000000 1 23
500000.000000 2 1
500000.000000 625 1
550000.000000 1 20
550000.000000 2 2
550000.000000 3 1
550000.000000 623 1
600000.000000 1 11
600000.000000 2 2
600000.000000 3 1
600000.000000 632 1
650000.000000 1 16
650000.000000 2 4
650000.000000 626 1
700000.000000 1 19
700000.000000 2 1
700000.000000 629 1
750000.000000 1 20
750000.000000 2 1
750000.000000 628 1
800000.000000 1 16
800000.000000 2 6
800000.000000 3 1
800000.000000 619 1
850000.000000 1 17
850000.000000 2 5
850000.000000 623 1
900000.000000 1 21
900000.000000 2 4
900000.000000 621 1
950000.000000 1 20
950000.000000 2 4
950000.000000 622 1
1000000.000000 1 20
1000000.000000 2 3
1000000.000000 3 1
1000000.000000 4 2
1000000.000000 613 1
1050000.000000 1 17
1050000.000000 2 2
1050000.000000 3 4
1050000.000000 4 1
1050000.000000 613 1
1100000.000000 1 14
1100000.000000 2 5
1100000.000000 3 1
1100000.000000 623 1
1150000.000000 1 13
1150000.000000 2 3
1150000.000000 3 1
1150000.000000 628 1
1200000.000000 1 16
1200000.000000 2 6
1200000.000000 622 1
1250000.000000 1 17
1250000.000000 2 1
1250000.000000 3 1
1250000.000000 628 1
1300000.000000 1 20
1300000.000000 2 1
1300000.000000 628 1
1350000.000000 1 18
1350000.000000 2 4
1350000.000000 3 1
1350000.000000 621 1
1400000.000000 1 21
1400000.000000 2 3
1400000.000000 623 1
1450000.000000 1 15
1450000.000000 2 2
1450000.000000 3 1
1450000.000000 628 1
1500000.000000 1 16
1500000.000000 2 3
1500000.000000 628 1
1550000.000000 1 12
1550000.000000 2 1
1550000.000000 3 1
1550000.000000 4 1
1550000.000000 629 1
1600000.000000 1 19
1600000.000000 2 3
1600000.000000 3 1
1600000.000000 622 1
1650000.000000 1 16
1650000.000000 2 1
1650000.000000 3 1
1650000.000000 4 1
1650000.000000 625 1
1700000.000000 1 16
1700000.000000 2 6
1700000.000000 3 1
1700000.000000 619 1
1750000.000000 1 16
1750000.000000 2 7
1750000.000000 620 1
1800000.000000 1 17
1800000.000000 2 2
1800000.000000 4 1
1800000.000000 625 1
1850000.000000 1 14
1850000.000000 2 6
1850000.000000 3 3
1850000.000000 4 1
