# time mean_cluster_size
150000.000000 650.0000000000
200000.000000 216.6666666667
250000.000000 72.2222222222
300000.000000 34.2105263158
350000.000000 27.0833333333
400000.000000 26.0000000000
450000.000000 21.6666666667
500000.000000 26.0000000000
550000.000000 27.0833333333
600000.000000 43.3333333333
650000.000000 30.9523809524
700000.000000 30.9523809524
750000.000000 29.5454545455
800000.000000 27.0833333333
850000.000000 28.2608695652
900000.000000 25.0000000000
950000.000000 26.0000000000
1000000.000000 24.0740740741
1050000.000000 26.0000000000
1100000.000000 30.9523809524
1150000.000000 36.1111111111
1200000.000000 28.2608695652
1250000.000000 32.5000000000
1300000.000000 29.5454545455
1350000.000000 27.0833333333
1400000.000000 26.0000000000
1450000.000000 34.2105263158
1500000.000000 32.5000000000
1550000.000000 40.6250000000
1600000.000000 27.0833333333
1650000.000000 32.5000000000
1700000.000000 27.0833333333
1750000.000000 27.0833333333
1800000.000000 30.9523809524
1850000.000000 26.0000000000
1900000.000000 38.2352941176
1950000.000000 50.0000000000
2000000.000000 30.9523809524
2050000.000000 29.5454545455
2100000.000000 30.9523809524
2150000.000000 25.0000000000
2200000.000000 27.0833333333
2250000.000000 34.2105263158
2300000.000000 25.0000000000
2350000.000000 17.5675675676
2400000.000000 22.4137931034
2450000.000000 38.2352941176
2500000.000000 28.2608695652
2550000.000000 28.2608695652
2600000.000000 38.2352941176
2650000.000000 36.1111111111
2700000.000000 34.2105263158
2750000.000000 29.5454545455
2800000.000000 23.2142857143
2850000.000000 28.2608695652
2900000.000000 32.5000000000
2950000.000000 40.6250000000
3000000.000000 23.2142857143
3050000.000000 25.0000000000
3100000.000000 30.9523809524
3150000.000000 34.2105263158
3200000.000000 29.5454545455
3250000.000000 36.1111111111
3300000.000000 29.5454545455
3350000.000000 36.1111111111
3400000.000000 36.1111111111
3450000.000000 34.2105263158
3500000.000000 40.6250000000
3550000.000000 36.1111111111
3600000.000000 38.2352941176
3650000.000000 34.2105263158
3700000.000000 30.9523809524
3750000.000000 24.0740740741
3800000.000000 34.2105263158
3850000.000000 43.3333333333
3900000.000000 21.6666666667
3950000.000000 23.2142857143
4000000.000000 26.0000000000
4050000.000000 27.0833333333
4100000.000000 30.9523809524
4150000.000000 34.2105263158
4200000.000000 46.4285714286
4250000.000000 36.1111111111
4300000.000000 34.2105263158
4350000.000000 32.5000000000
4400000.000000 26.0000000000
4450000.000000 24.0740740741
4500000.000000 28.2608695652
4550000.000000 36.1111111111
4600000.000000 28.2608695652
4650000.000000 32.5000000000
4700000.000000 26.0000000000
4750000.000000 32.5000000000
4800000.000000 28.2608695652
4850000.000000 36.1111111111
4900000.000000 24.0740740741
4950000.000000 25.0000000000
5000000.000000 28.2608695652
5050000.000000 36.1111111111
5100000.000000 25.0000000000
5150000.000000 30.9523809524
5200000.000000 28.2608695652
5250000.000000 28.2608695652
5300000.000000 27.0833333333
5350000.000000 32.5000000000
5400000.000000 28.2608695652
5450000.000000 26.0000000000
5500000.000000 20.9677419355
5550000.000000 28.2608695652
5600000.000000 29.5454545455
5650000.000000 28.2608695652
5700000.000000 27.0833333333
5750000.000000 28.2608695652
5800000.000000 26.0000000000
5850000.000000 32.5000000000
5900000.000000 34.2105263158
5950000.000000 30.9523809524
6000000.000000 34.2105263158
6050000.000000 40.6250000000
6100000.000000 28.2608695652
6150000.000000 43.3333333333
6200000.000000 25.0000000000
6250000.000000 23.2142857143
6300000.000000 28.2608695652
6350000.000000 24.0740740741
6400000.000000 34.2105263158
6450000.000000 27.0833333333
6500000.000000 30.9523809524
6550000.000000 34.2105263158
6600000.000000 24.0740740741
6650000.000000 19.1176470588
6700000.000000 29.5454545455
6750000.000000 28.2608695652
6800000.000000 38.2352941176
6850000.000000 29.5454545455
6900000.000000 18.5714285714
6950000.000000 23.2142857143
7000000.000000 20.9677419355
7050000.000000 26.0000000000
7100000.000000 24.0740740741
7150000.000000 24.0740740741
7200000.000000 23.2142857143
7250000.000000 32.5000000000
7300000.000000 32.5000000000
7350000.000000 25.0000000000
