Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,250,239,250,0.956
1,250,245,250,0.98
2,250,245,250,0.98
3,250,242,250,0.968
4,250,242,250,0.968
5,250,245,250,0.98
6,250,241,250,0.964
7,250,245,250,0.98
8,250,240,250,0.96
9,250,245,250,0.98
10,250,241,250,0.964
11,250,243,250,0.972
12,250,246,250,0.984
13,250,239,250,0.956
14,250,241,250,0.964
15,250,239,250,0.956
16,250,237,250,0.948
17,250,237,250,0.948
18,250,239,250,0.956
19,250,244,250,0.976
20,250,240,250,0.96
21,250,243,250,0.972
22,250,245,250,0.98
23,250,242,250,0.968
24,250,241,250,0.964
25,250,236,250,0.944
26,250,241,250,0.964
27,250,239,250,0.956
28,250,244,250,0.976
29,250,245,250,0.98
30,250,245,250,0.98
31,250,247,250,0.988
32,250,240,250,0.96
33,250,244,250,0.976
34,250,242,250,0.968
35,250,241,250,0.964
36,250,242,250,0.968
37,250,245,250,0.98
38,250,240,250,0.96
39,250,242,250,0.968
40,250,240,250,0.96
41,250,240,250,0.96
42,250,241,250,0.964
43,250,237,250,0.948
44,250,241,250,0.964
45,250,243,250,0.972
46,250,241,250,0.964
47,250,238,250,0.952
48,250,243,250,0.972
49,250,244,250,0.976
50,250,242,250,0.968
51,250,242,250,0.968
52,250,239,250,0.956
53,250,236,250,0.944
54,250,243,250,0.972
55,250,240,250,0.96
56,250,244,250,0.976
57,250,240,250,0.96
58,250,243,250,0.972
59,250,244,250,0.976
60,250,245,250,0.98
61,250,242,250,0.968
62,250,238,250,0.952
63,250,237,250,0.948
64,250,243,250,0.972
65,250,247,250,0.988
66,250,245,250,0.98
67,250,239,250,0.956
68,250,239,250,0.956
69,250,243,250,0.972
70,250,243,250,0.972
71,250,246,250,0.984
72,250,245,250,0.98
73,250,245,250,0.98
74,250,241,250,0.964
75,250,241,250,0.964
76,250,242,250,0.968
77,250,237,250,0.948
78,250,237,250,0.948
79,250,244,250,0.976
80,250,240,250,0.96
81,250,243,250,0.972
82,250,243,250,0.972
83,250,236,250,0.944
84,250,241,250,0.964
85,250,241,250,0.964
86,250,241,250,0.964
87,250,243,250,0.972
88,250,240,250,0.96
89,250,242,250,0.968
90,250,242,250,0.968
91,250,240,250,0.96
92,250,239,250,0.956
93,250,239,250,0.956
94,250,241,250,0.964
95,250,243,250,0.972
96,250,237,250,0.948
97,250,240,250,0.96
98,250,243,250,0.972
99,250,241,250,0.964
100,250,239,250,0.956
101,250,242,250,0.968
102,250,244,250,0.976
103,250,238,250,0.952
104,250,240,250,0.96
105,250,241,250,0.964
106,250,242,250,0.968
107,250,248,250,0.992
108,250,246,250,0.984
109,250,244,250,0.976
110,250,240,250,0.96
111,250,240,250,0.96
112,250,245,250,0.98
113,250,243,250,0.972
114,250,243,250,0.972
115,250,234,250,0.936
116,250,238,250,0.952
117,250,239,250,0.956
118,250,245,250,0.98
119,250,239,250,0.956
120,250,242,250,0.968
121,250,241,250,0.964
122,250,245,250,0.98
123,250,245,250,0.98
124,250,242,250,0.968
125,250,236,250,0.944
126,250,240,250,0.96
127,250,242,250,0.968
128,250,243,250,0.972
129,250,244,250,0.976
130,250,240,250,0.96
131,250,244,250,0.976
132,250,237,250,0.948
133,250,243,250,0.972
134,250,243,250,0.972
135,250,240,250,0.96
136,250,240,250,0.96
137,250,243,250,0.972
138,250,241,250,0.964
139,250,242,250,0.968
140,250,241,250,0.964
141,250,241,250,0.964
142,250,238,250,0.952
143,250,242,250,0.968
144,250,240,250,0.96
145,250,242,250,0.968
146,250,242,250,0.968
147,250,248,250,0.992
148,250,242,250,0.968
149,250,236,250,0.944
150,250,244,250,0.976
151,250,241,250,0.964
152,250,244,250,0.976
153,250,243,250,0.972
154,250,244,250,0.976
155,250,242,250,0.968
156,250,240,250,0.96
157,250,244,250,0.976
158,250,243,250,0.972
159,250,243,250,0.972
160,250,235,250,0.94
161,250,243,250,0.972
162,250,241,250,0.964
163,250,239,250,0.956
164,250,240,250,0.96
165,250,244,250,0.976
166,250,240,250,0.96
167,250,244,250,0.976
168,250,243,250,0.972
169,250,244,250,0.976
170,250,240,250,0.96
171,250,240,250,0.96
172,250,240,250,0.96
173,250,239,250,0.956
174,250,245,250,0.98
175,250,239,250,0.956
176,250,242,250,0.968
177,250,239,250,0.956
178,250,240,250,0.96
179,250,242,250,0.968
180,250,239,250,0.956
181,250,243,250,0.972
182,250,240,250,0.96
183,250,237,250,0.948
184,250,242,250,0.968
185,250,238,250,0.952
186,250,239,250,0.956
187,250,240,250,0.96
188,250,242,250,0.968
189,250,240,250,0.96
190,250,242,250,0.968
191,250,243,250,0.972
192,250,241,250,0.964
193,250,239,250,0.956
194,250,240,250,0.96
195,250,240,250,0.96
196,250,237,250,0.948
197,250,246,250,0.984
198,250,243,250,0.972
199,250,241,250,0.964
200,250,240,250,0.96
201,250,240,250,0.96
202,250,242,250,0.968
203,250,239,250,0.956
204,250,241,250,0.964
205,250,242,250,0.968
206,250,240,250,0.96
207,250,242,250,0.968
208,250,242,250,0.968
209,250,241,250,0.964
210,250,243,250,0.972
211,250,238,250,0.952
212,250,238,250,0.952
213,250,238,250,0.952
214,250,237,250,0.948
215,250,244,250,0.976
216,250,246,250,0.984
217,250,243,250,0.972
218,250,240,250,0.96
219,250,240,250,0.96
220,250,242,250,0.968
221,250,237,250,0.948
222,250,240,250,0.96
223,250,240,250,0.96
224,250,240,250,0.96
225,250,243,250,0.972
226,250,243,250,0.972
227,250,242,250,0.968
228,250,246,250,0.984
229,250,238,250,0.952
230,250,247,250,0.988
231,250,243,250,0.972
232,250,243,250,0.972
233,250,244,250,0.976
234,250,242,250,0.968
235,250,241,250,0.964
236,250,240,250,0.96
237,250,239,250,0.956
238,250,239,250,0.956
239,250,241,250,0.964
240,250,240,250,0.96
241,250,240,250,0.96
242,250,242,250,0.968
243,250,244,250,0.976
244,250,241,250,0.964
245,250,243,250,0.972
246,250,243,250,0.972
247,250,245,250,0.98
248,250,243,250,0.972
249,250,245,250,0.98
250,250,245,250,0.98
251,250,238,250,0.952
252,250,243,250,0.972
253,250,242,250,0.968
254,250,241,250,0.964
255,250,241,250,0.964
256,250,242,250,0.968
257,250,246,250,0.984
258,250,247,250,0.988
259,250,242,250,0.968
260,250,237,250,0.948
261,250,245,250,0.98
262,250,241,250,0.964
263,250,240,250,0.96
264,250,242,250,0.968
265,250,243,250,0.972
266,250,238,250,0.952
267,250,244,250,0.976
268,250,248,250,0.992
269,250,242,250,0.968
270,250,237,250,0.948
271,250,241,250,0.964
272,250,241,250,0.964
273,250,244,250,0.976
274,250,241,250,0.964
275,250,242,250,0.968
276,250,247,250,0.988
277,250,238,250,0.952
278,250,245,250,0.98
279,250,237,250,0.948
280,250,245,250,0.98
281,250,245,250,0.98
282,250,245,250,0.98
283,250,245,250,0.98
284,250,240,250,0.96
285,250,240,250,0.96
286,250,240,250,0.96
287,250,244,250,0.976
288,250,239,250,0.956
289,250,239,250,0.956
290,250,237,250,0.948
291,250,246,250,0.984
292,250,246,250,0.984
293,250,237,250,0.948
294,250,243,250,0.972
295,250,242,250,0.968
296,250,240,250,0.96
297,250,236,250,0.944
298,250,239,250,0.956
299,250,237,250,0.948
300,250,245,250,0.98
301,250,240,250,0.96
302,250,242,250,0.968
303,250,244,250,0.976
304,250,242,250,0.968
305,250,243,250,0.972
306,250,242,250,0.968
307,250,235,250,0.94
308,250,234,250,0.936
309,250,237,250,0.948
310,250,238,250,0.952
311,250,246,250,0.984
312,250,239,250,0.956
313,250,243,250,0.972
314,250,243,250,0.972
315,250,240,250,0.96
316,250,235,250,0.94
317,250,244,250,0.976
318,250,240,250,0.96
319,250,241,250,0.964
320,250,244,250,0.976
321,250,246,250,0.984
322,250,240,250,0.96
323,250,236,250,0.944
324,250,245,250,0.98
325,250,241,250,0.964
326,250,241,250,0.964
327,250,237,250,0.948
328,250,244,250,0.976
329,250,243,250,0.972
330,250,240,250,0.96
331,250,235,250,0.94
332,250,244,250,0.976
333,250,243,250,0.972
334,250,243,250,0.972
335,250,241,250,0.964
336,250,245,250,0.98
337,250,236,250,0.944
338,250,238,250,0.952
339,250,245,250,0.98
340,250,247,250,0.988
341,250,247,250,0.988
342,250,244,250,0.976
343,250,241,250,0.964
344,250,246,250,0.984
345,250,238,250,0.952
346,250,241,250,0.964
347,250,243,250,0.972
348,250,238,250,0.952
349,250,239,250,0.956
350,250,241,250,0.964
351,250,247,250,0.988
352,250,240,250,0.96
353,250,242,250,0.968
354,250,238,250,0.952
355,250,243,250,0.972
356,250,239,250,0.956
357,250,241,250,0.964
358,250,240,250,0.96
359,250,242,250,0.968
360,250,238,250,0.952
361,250,240,250,0.96
362,250,244,250,0.976
363,250,242,250,0.968
364,250,239,250,0.956
365,250,241,250,0.964
366,250,242,250,0.968
367,250,240,250,0.96
368,250,236,250,0.944
369,250,243,250,0.972
370,250,240,250,0.96
371,250,244,250,0.976
372,250,247,250,0.988
373,250,244,250,0.976
374,250,247,250,0.988
375,250,241,250,0.964
376,250,241,250,0.964
377,250,244,250,0.976
378,250,234,250,0.936
379,250,243,250,0.972
380,250,240,250,0.96
381,250,235,250,0.94
382,250,241,250,0.964
383,250,241,250,0.964
384,250,245,250,0.98
385,250,239,250,0.956
386,250,240,250,0.96
387,250,234,250,0.936
388,250,241,250,0.964
389,250,242,250,0.968
390,250,236,250,0.944
391,250,241,250,0.964
392,250,244,250,0.976
393,250,240,250,0.96
394,250,242,250,0.968
395,250,236,250,0.944
396,250,239,250,0.956
397,250,234,250,0.936
398,250,243,250,0.972
399,250,242,250,0.968
