# time largest_cluster_rg
150000.000000 32.2623432609
200000.000000 30.0898010552
250000.000000 34.8975066439
300000.000000 53.9006471784
350000.000000 47.5626987995
400000.000000 37.9894466752
450000.000000 36.9466505091
500000.000000 34.2127370164
550000.000000 33.0636080698
600000.000000 34.2171202641
650000.000000 31.5208888386
700000.000000 31.9498532713
750000.000000 32.6410436461
800000.000000 32.3217184356
850000.000000 31.6057029608
900000.000000 32.1708555162
950000.000000 31.7216947942
1000000.000000 36.6714520676
1050000.000000 34.8588739477
1100000.000000 32.7895743620
1150000.000000 32.0221796299
1200000.000000 35.5630439538
1250000.000000 36.8318639661
1300000.000000 32.9237612827
1350000.000000 33.7032180009
1400000.000000 31.4165639912
1450000.000000 34.4596416519
1500000.000000 31.5043977434
1550000.000000 35.4026179179
1600000.000000 33.2876857979
1650000.000000 34.2598306382
1700000.000000 34.8559109939
1750000.000000 31.4637791981
1800000.000000 33.6574943336
1850000.000000 40.3437355533
1900000.000000 33.2052556245
1950000.000000 34.0030532539
2000000.000000 33.4801620528
2050000.000000 34.5991706641
2100000.000000 32.2127720000
2150000.000000 29.8514469463
2200000.000000 31.7656799638
2250000.000000 37.1054427670
2300000.000000 33.2896944148
2350000.000000 33.2882078476
2400000.000000 30.8328625136
2450000.000000 33.9956527087
2500000.000000 34.5835158388
2550000.000000 31.6130720890
2600000.000000 30.9076619521
2650000.000000 37.0003652317
2700000.000000 32.8910938770
2750000.000000 36.3854884112
2800000.000000 31.8032806285
2850000.000000 32.4687864379
2900000.000000 32.0380271903
2950000.000000 34.5100731667
3000000.000000 32.7400839902
3050000.000000 32.3347137202
3100000.000000 39.5566610021
3150000.000000 35.0019323958
3200000.000000 34.8533423935
3250000.000000 39.2137427683
3300000.000000 34.0324520298
3350000.000000 35.9847484223
3400000.000000 36.7935316670
3450000.000000 34.4875397343
3500000.000000 40.7397998505
3550000.000000 32.1839195958
3600000.000000 30.7891977788
3650000.000000 31.6631308648
3700000.000000 30.6391020498
3750000.000000 32.2960885363
3800000.000000 44.8133635872
3850000.000000 56.6923008345
3900000.000000 32.3122428300
3950000.000000 33.4413199609
4000000.000000 32.3450796809
4050000.000000 35.1393026012
4100000.000000 35.5082320046
4150000.000000 32.9852057171
4200000.000000 37.7884865903
4250000.000000 33.6874402922
4300000.000000 34.3908989541
4350000.000000 31.4797053821
4400000.000000 34.3861230353
4450000.000000 36.7440316006
4500000.000000 35.2010703570
4550000.000000 37.4351567991
4600000.000000 33.0568297375
4650000.000000 33.8675684423
4700000.000000 49.6663517225
4750000.000000 38.2174928983
4800000.000000 35.1335482598
4850000.000000 37.2032607620
4900000.000000 34.8866388082
4950000.000000 31.5905167772
5000000.000000 36.2719856649
5050000.000000 35.1200453062
5100000.000000 36.1675398772
5150000.000000 35.7951082460
