Frame,Num_Receptors,LargestClusterSize,Fraction
0,100,36,0.36
1,100,42,0.42
2,100,47,0.47
3,100,48,0.48
4,100,44,0.44
5,100,29,0.29
6,100,31,0.31
7,100,40,0.4
8,100,44,0.44
9,100,47,0.47
10,100,45,0.45
11,100,45,0.45
12,100,42,0.42
13,100,31,0.31
14,100,37,0.37
15,100,30,0.3
16,100,21,0.21
17,100,21,0.21
18,100,5,0.05
19,100,4,0.04
20,100,4,0.04
21,100,7,0.07
22,100,7,0.07
23,100,3,0.03
24,100,3,0.03
25,100,3,0.03
26,100,3,0.03
27,100,7,0.07
28,100,5,0.05
29,100,4,0.04
30,100,4,0.04
31,100,5,0.05
32,100,4,0.04
33,100,5,0.05
34,100,3,0.03
35,100,3,0.03
36,100,4,0.04
37,100,6,0.06
38,100,3,0.03
39,100,6,0.06
40,100,3,0.03
41,100,6,0.06
42,100,3,0.03
43,100,3,0.03
44,100,4,0.04
45,100,7,0.07
46,100,6,0.06
47,100,5,0.05
48,100,4,0.04
49,100,4,0.04
50,100,3,0.03
51,100,4,0.04
52,100,4,0.04
53,100,4,0.04
54,100,3,0.03
55,100,3,0.03
56,100,3,0.03
57,100,5,0.05
58,100,4,0.04
59,100,7,0.07
60,100,4,0.04
61,100,4,0.04
62,100,4,0.04
63,100,4,0.04
64,100,3,0.03
65,100,3,0.03
66,100,4,0.04
67,100,6,0.06
68,100,3,0.03
69,100,4,0.04
70,100,4,0.04
71,100,4,0.04
72,100,4,0.04
73,100,3,0.03
74,100,8,0.08
75,100,4,0.04
76,100,4,0.04
77,100,4,0.04
78,100,5,0.05
79,100,4,0.04
80,100,5,0.05
81,100,10,0.1
82,100,4,0.04
83,100,6,0.06
84,100,5,0.05
85,100,4,0.04
86,100,3,0.03
87,100,5,0.05
88,100,4,0.04
89,100,6,0.06
90,100,3,0.03
91,100,3,0.03
92,100,12,0.12
93,100,4,0.04
94,100,6,0.06
95,100,5,0.05
96,100,3,0.03
97,100,5,0.05
98,100,4,0.04
99,100,4,0.04
100,100,3,0.03
101,100,4,0.04
102,100,3,0.03
103,100,4,0.04
104,100,4,0.04
105,100,3,0.03
106,100,4,0.04
107,100,3,0.03
108,100,3,0.03
109,100,4,0.04
110,100,3,0.03
111,100,7,0.07
112,100,3,0.03
113,100,5,0.05
114,100,3,0.03
115,100,6,0.06
116,100,4,0.04
117,100,4,0.04
118,100,4,0.04
119,100,5,0.05
120,100,6,0.06
121,100,5,0.05
122,100,7,0.07
123,100,5,0.05
124,100,6,0.06
125,100,3,0.03
126,100,3,0.03
127,100,4,0.04
128,100,3,0.03
129,100,5,0.05
130,100,3,0.03
131,100,5,0.05
132,100,4,0.04
133,100,3,0.03
134,100,3,0.03
135,100,4,0.04
136,100,3,0.03
137,100,4,0.04
138,100,5,0.05
139,100,4,0.04
140,100,4,0.04
141,100,3,0.03
142,100,5,0.05
143,100,4,0.04
144,100,3,0.03
145,100,4,0.04
146,100,4,0.04
147,100,4,0.04
148,100,4,0.04
149,100,3,0.03
150,100,5,0.05
151,100,5,0.05
152,100,4,0.04
153,100,7,0.07
154,100,4,0.04
155,100,4,0.04
156,100,4,0.04
157,100,3,0.03
158,100,5,0.05
159,100,4,0.04
160,100,4,0.04
161,100,6,0.06
162,100,7,0.07
163,100,5,0.05
164,100,5,0.05
165,100,5,0.05
166,100,3,0.03
167,100,6,0.06
168,100,4,0.04
169,100,6,0.06
170,100,4,0.04
171,100,6,0.06
172,100,4,0.04
173,100,4,0.04
174,100,6,0.06
175,100,4,0.04
176,100,7,0.07
177,100,3,0.03
178,100,5,0.05
179,100,4,0.04
180,100,3,0.03
181,100,4,0.04
182,100,3,0.03
183,100,4,0.04
184,100,6,0.06
185,100,5,0.05
186,100,5,0.05
187,100,4,0.04
188,100,2,0.02
189,100,4,0.04
190,100,4,0.04
191,100,4,0.04
192,100,4,0.04
193,100,4,0.04
194,100,8,0.08
195,100,6,0.06
196,100,7,0.07
197,100,4,0.04
198,100,4,0.04
199,100,3,0.03
200,100,3,0.03
201,100,4,0.04
202,100,4,0.04
203,100,4,0.04
204,100,3,0.03
205,100,5,0.05
206,100,6,0.06
207,100,6,0.06
208,100,3,0.03
209,100,6,0.06
210,100,3,0.03
211,100,3,0.03
212,100,4,0.04
213,100,4,0.04
214,100,4,0.04
215,100,6,0.06
216,100,4,0.04
217,100,5,0.05
218,100,5,0.05
219,100,3,0.03
220,100,3,0.03
221,100,4,0.04
222,100,6,0.06
223,100,4,0.04
224,100,7,0.07
225,100,4,0.04
226,100,4,0.04
227,100,5,0.05
228,100,4,0.04
229,100,6,0.06
230,100,3,0.03
231,100,3,0.03
232,100,3,0.03
233,100,5,0.05
234,100,3,0.03
235,100,5,0.05
236,100,3,0.03
237,100,4,0.04
238,100,4,0.04
239,100,4,0.04
240,100,4,0.04
241,100,3,0.03
242,100,7,0.07
243,100,4,0.04
244,100,5,0.05
245,100,5,0.05
246,100,6,0.06
247,100,4,0.04
248,100,4,0.04
249,100,5,0.05
250,100,5,0.05
251,100,3,0.03
252,100,4,0.04
253,100,4,0.04
254,100,4,0.04
255,100,6,0.06
256,100,3,0.03
257,100,4,0.04
258,100,4,0.04
259,100,6,0.06
260,100,3,0.03
261,100,4,0.04
262,100,7,0.07
263,100,4,0.04
264,100,4,0.04
265,100,4,0.04
266,100,4,0.04
267,100,7,0.07
268,100,3,0.03
269,100,3,0.03
270,100,5,0.05
271,100,3,0.03
272,100,8,0.08
273,100,5,0.05
274,100,4,0.04
275,100,5,0.05
276,100,4,0.04
277,100,2,0.02
278,100,3,0.03
279,100,5,0.05
280,100,4,0.04
281,100,6,0.06
282,100,5,0.05
283,100,4,0.04
284,100,4,0.04
285,100,4,0.04
286,100,3,0.03
287,100,4,0.04
288,100,4,0.04
289,100,4,0.04
290,100,4,0.04
291,100,3,0.03
292,100,3,0.03
293,100,4,0.04
294,100,5,0.05
295,100,4,0.04
296,100,5,0.05
297,100,4,0.04
298,100,3,0.03
299,100,4,0.04
300,100,3,0.03
301,100,3,0.03
302,100,4,0.04
303,100,4,0.04
304,100,5,0.05
305,100,4,0.04
306,100,4,0.04
307,100,7,0.07
308,100,3,0.03
309,100,4,0.04
310,100,3,0.03
311,100,4,0.04
312,100,5,0.05
313,100,4,0.04
314,100,4,0.04
315,100,4,0.04
316,100,3,0.03
317,100,4,0.04
318,100,6,0.06
319,100,4,0.04
320,100,4,0.04
321,100,3,0.03
322,100,3,0.03
323,100,7,0.07
324,100,6,0.06
325,100,3,0.03
326,100,3,0.03
327,100,4,0.04
328,100,4,0.04
329,100,3,0.03
330,100,5,0.05
331,100,7,0.07
332,100,3,0.03
333,100,3,0.03
334,100,5,0.05
335,100,5,0.05
336,100,4,0.04
337,100,4,0.04
338,100,4,0.04
339,100,3,0.03
340,100,5,0.05
341,100,5,0.05
