Radius(Å),dClusterDensity_dr_raw(atoms/Å⁴),dAllPolymerDensity_dr_raw(atoms/Å⁴),dClusterDensity_dr_smoothed(atoms/Å⁴),dAllPolymerDensity_dr_smoothed(atoms/Å⁴),dClusterDensity_dr_plotly_sign(atoms/Å⁴),dAllPolymerDensity_dr_plotly_sign(atoms/Å⁴)
0.5,0.0,0.0019659310908235993,0.0007800164002596429,0.0026369997420568553,-0.0007800164002596429,-0.0026369997420568553
1.5,0.0013541081426497008,0.0022515984232430505,0.0005304599494175714,0.0013185944675342825,-0.0005304599494175714,-0.0013185944675342825
2.5,0.0015362446244391505,0.00117586242682635,0.00032479449911683943,0.00044980078178112485,-0.00032479449911683943,-0.00044980078178112485
3.5,-0.00045171354358309983,-0.0007753985628135007,0.00016127742511218084,-5.0882940625509264e-05,-0.00016127742511218084,5.0882940625509264e-05
4.5,-0.0009773678929340997,-0.0010081994073748487,3.816610315832928e-05,-0.0002649583251085096,-3.816610315832928e-05,0.0002649583251085096
5.5,-0.00027815595245964976,-0.00015469842365029886,-4.6282090989981014e-05,-0.00027392699709076485,4.6282090989981014e-05,0.00027392699709076485
6.5,-3.0346247864507236e-06,-6.72675160997005e-05,-0.00025285718304315447,-0.00035835619825398506,0.00025285718304315447,0.00035835619825398506
7.5,0.00018915500247154889,0.00015639346459724902,-0.00017551107255657397,-0.00013960005863265876,0.00017551107255657397,0.00013960005863265876
8.5,0.0004376895692150499,0.0005371995070925992,8.80993711813825e-05,0.0001277801536192615,-8.80993711813825e-05,-0.0001277801536192615
9.5,-8.762859840729872e-05,-0.0001384381079833491,0.00012336636481066182,0.00013389214815621048,-0.00012336636481066182,-0.00013389214815621048
10.5,-0.00019777203167955018,-0.00015790007337779938,9.905221536624351e-06,5.19622877365369e-06,-9.905221536624351e-06,-5.19622877365369e-06
11.5,8.497421488259937e-05,9.12970796494491e-05,-7.872530812897416e-05,-5.410118413572318e-05,7.872530812897416e-05,5.410118413572318e-05
12.5,-0.00019196362367204962,-0.00018725077233595032,-9.803885793310005e-05,-7.217087039906075e-05,9.803885793310005e-05,7.217087039906075e-05
