# time cluster_size count
150000.000000 1 12
150000.000000 2 2
150000.000000 634 1
200000.000000 1 3
200000.000000 2 1
200000.000000 645 1
250000.000000 1 6
250000.000000 644 1
300000.000000 1 4
300000.000000 2 1
300000.000000 644 1
350000.000000 1 1
350000.000000 649 1
400000.000000 1 8
400000.000000 3 1
400000.000000 639 1
450000.000000 1 8
450000.000000 2 1
450000.000000 640 1
500000.000000 1 8
500000.000000 2 1
500000.000000 3 1
500000.000000 637 1
550000.000000 1 8
550000.000000 2 2
550000.000000 638 1
600000.000000 1 5
600000.000000 2 1
600000.000000 643 1
650000.000000 1 6
650000.000000 2 1
650000.000000 642 1
700000.000000 1 2
700000.000000 2 2
700000.000000 644 1
750000.000000 1 7
750000.000000 2 1
750000.000000 641 1
800000.000000 1 6
800000.000000 644 1
850000.000000 1 7
850000.000000 643 1
900000.000000 1 4
900000.000000 646 1
950000.000000 1 7
950000.000000 2 1
950000.000000 3 1
950000.000000 638 1
1000000.000000 1 5
1000000.000000 2 1
1000000.000000 3 1
1000000.000000 640 1
1050000.000000 1 5
1050000.000000 2 1
1050000.000000 643 1
1100000.000000 1 4
1100000.000000 2 2
1100000.000000 642 1
1150000.000000 1 8
1150000.000000 642 1
1200000.000000 1 6
1200000.000000 2 1
1200000.000000 642 1
1250000.000000 1 5
1250000.000000 2 1
1250000.000000 643 1
1300000.000000 1 3
1300000.000000 2 1
1300000.000000 645 1
1350000.000000 1 4
1350000.000000 646 1
1400000.000000 1 5
1400000.000000 2 2
1400000.000000 3 1
1400000.000000 638 1
1450000.000000 1 10
1450000.000000 4 1
1450000.000000 636 1
1500000.000000 1 8
1500000.000000 2 1
1500000.000000 640 1
1550000.000000 1 7
1550000.000000 643 1
1600000.000000 1 3
1600000.000000 2 1
1600000.000000 645 1
1650000.000000 1 4
1650000.000000 2 1
1650000.000000 644 1
1700000.000000 1 9
1700000.000000 2 1
1700000.000000 3 1
1700000.000000 636 1
1750000.000000 1 6
1750000.000000 644 1
1800000.000000 1 4
1800000.000000 646 1
1850000.000000 1 5
1850000.000000 645 1
1900000.000000 1 5
1900000.000000 3 1
1900000.000000 642 1
1950000.000000 1 6
1950000.000000 644 1
2000000.000000 1 9
2000000.000000 641 1
2050000.000000 1 7
2050000.000000 643 1
2100000.000000 650 1
2150000.000000 1 4
2150000.000000 646 1
2200000.000000 1 5
2200000.000000 3 1
2200000.000000 642 1
2250000.000000 1 8
2250000.000000 2 3
2250000.000000 636 1
2300000.000000 1 4
2300000.000000 2 1
2300000.000000 644 1
2350000.000000 1 5
2350000.000000 2 1
2350000.000000 643 1
2400000.000000 1 8
2400000.000000 8 1
