# time largest_cluster_fraction_percent
150000.000000 98.4615384615
200000.000000 99.0769230769
250000.000000 99.3846153846
300000.000000 97.3846153846
350000.000000 98.3076923077
400000.000000 98.7692307692
450000.000000 99.2307692308
500000.000000 98.4615384615
550000.000000 98.6153846154
600000.000000 97.6923076923
650000.000000 98.6153846154
700000.000000 97.5384615385
750000.000000 99.2307692308
800000.000000 98.3076923077
850000.000000 98.4615384615
900000.000000 98.4615384615
950000.000000 98.6153846154
1000000.000000 98.6153846154
1050000.000000 98.7692307692
1100000.000000 96.7692307692
1150000.000000 98.3076923077
1200000.000000 99.3846153846
1250000.000000 99.2307692308
1300000.000000 99.3846153846
1350000.000000 99.2307692308
1400000.000000 99.3846153846
1450000.000000 99.3846153846
1500000.000000 98.9230769231
1550000.000000 98.4615384615
1600000.000000 97.8461538462
1650000.000000 98.6153846154
1700000.000000 98.0000000000
1750000.000000 98.7692307692
1800000.000000 98.9230769231
1850000.000000 99.2307692308
1900000.000000 99.0769230769
1950000.000000 98.6153846154
2000000.000000 99.0769230769
2050000.000000 99.0769230769
2100000.000000 98.6153846154
2150000.000000 99.0769230769
2200000.000000 98.4615384615
2250000.000000 99.3846153846
2300000.000000 97.6923076923
2350000.000000 98.1538461538
2400000.000000 98.7692307692
2450000.000000 98.0000000000
2500000.000000 97.5384615385
2550000.000000 99.0769230769
2600000.000000 99.3846153846
2650000.000000 98.7692307692
2700000.000000 98.0000000000
2750000.000000 98.4615384615
2800000.000000 99.0769230769
2850000.000000 99.5384615385
2900000.000000 97.6923076923
2950000.000000 98.4615384615
3000000.000000 98.3076923077
3050000.000000 98.4615384615
3100000.000000 98.9230769231
3150000.000000 99.0769230769
3200000.000000 98.7692307692
3250000.000000 98.6153846154
3300000.000000 98.6153846154
3350000.000000 98.0000000000
3400000.000000 98.3076923077
3450000.000000 98.3076923077
3500000.000000 98.6153846154
3550000.000000 98.7692307692
3600000.000000 98.4615384615
3650000.000000 99.0769230769
3700000.000000 99.0769230769
3750000.000000 98.7692307692
3800000.000000 97.6923076923
3850000.000000 99.0769230769
3900000.000000 97.3846153846
3950000.000000 98.9230769231
4000000.000000 99.6923076923
4050000.000000 98.3076923077
4100000.000000 99.5384615385
4150000.000000 97.8461538462
4200000.000000 99.2307692308
4250000.000000 98.9230769231
4300000.000000 98.9230769231
4350000.000000 98.4615384615
4400000.000000 99.2307692308
4450000.000000 98.4615384615
4500000.000000 98.9230769231
4550000.000000 98.1538461538
4600000.000000 98.7692307692
4650000.000000 99.5384615385
4700000.000000 98.1538461538
4750000.000000 98.9230769231
4800000.000000 97.8461538462
4850000.000000 98.6153846154
4900000.000000 99.2307692308
4950000.000000 97.3846153846
5000000.000000 97.5384615385
5050000.000000 98.9230769231
5100000.000000 98.7692307692
5150000.000000 97.3846153846
5200000.000000 98.4615384615
5250000.000000 98.1538461538
5300000.000000 98.4615384615
5350000.000000 98.6153846154
5400000.000000 99.3846153846
5450000.000000 98.4615384615
5500000.000000 99.2307692308
5550000.000000 98.9230769231
5600000.000000 98.6153846154
5650000.000000 98.4615384615
5700000.000000 99.0769230769
5750000.000000 97.8461538462
5800000.000000 98.6153846154
5850000.000000 98.9230769231
5900000.000000 97.8461538462
5950000.000000 99.0769230769
6000000.000000 99.5384615385
6050000.000000 97.8461538462
6100000.000000 98.3076923077
6150000.000000 98.7692307692
6200000.000000 98.9230769231
6250000.000000 98.4615384615
6300000.000000 99.2307692308
6350000.000000 98.9230769231
6400000.000000 98.4615384615
6450000.000000 99.0769230769
6500000.000000 98.9230769231
6550000.000000 99.3846153846
6600000.000000 98.1538461538
6650000.000000 98.6153846154
6700000.000000 99.3846153846
6750000.000000 98.3076923077
6800000.000000 98.0000000000
6850000.000000 98.4615384615
6900000.000000 98.4615384615
6950000.000000 98.6153846154
7000000.000000 99.0769230769
7050000.000000 98.7692307692
7100000.000000 99.3846153846
7150000.000000 97.3846153846
7200000.000000 98.0000000000
7250000.000000 98.4615384615
7300000.000000 98.3076923077
7350000.000000 98.9230769231
7400000.000000 98.9230769231
7450000.000000 97.5384615385
7500000.000000 98.7692307692
7550000.000000 98.9230769231
7600000.000000 99.5384615385
7650000.000000 98.4615384615
7700000.000000 98.4615384615
7750000.000000 98.3076923077
7800000.000000 99.2307692308
7850000.000000 98.0000000000
7900000.000000 98.3076923077
7950000.000000 98.6153846154
8000000.000000 97.8461538462
8050000.000000 98.0000000000
8100000.000000 99.6923076923
8150000.000000 98.0000000000
8200000.000000 98.4615384615
8250000.000000 98.1538461538
8300000.000000 98.9230769231
8350000.000000 99.2307692308
