# time number_of_clusters
150000.000000 10.0000000000
200000.000000 7.0000000000
250000.000000 5.0000000000
300000.000000 16.0000000000
350000.000000 10.0000000000
400000.000000 8.0000000000
450000.000000 5.0000000000
500000.000000 11.0000000000
550000.000000 10.0000000000
600000.000000 12.0000000000
650000.000000 8.0000000000
700000.000000 15.0000000000
750000.000000 6.0000000000
800000.000000 10.0000000000
850000.000000 10.0000000000
900000.000000 8.0000000000
950000.000000 9.0000000000
1000000.000000 9.0000000000
1050000.000000 9.0000000000
1100000.000000 20.0000000000
1150000.000000 8.0000000000
1200000.000000 5.0000000000
1250000.000000 6.0000000000
1300000.000000 5.0000000000
1350000.000000 6.0000000000
1400000.000000 3.0000000000
1450000.000000 5.0000000000
1500000.000000 8.0000000000
1550000.000000 11.0000000000
1600000.000000 11.0000000000
1650000.000000 10.0000000000
1700000.000000 11.0000000000
1750000.000000 8.0000000000
1800000.000000 8.0000000000
1850000.000000 6.0000000000
1900000.000000 6.0000000000
1950000.000000 9.0000000000
2000000.000000 6.0000000000
2050000.000000 7.0000000000
2100000.000000 10.0000000000
2150000.000000 7.0000000000
2200000.000000 10.0000000000
2250000.000000 5.0000000000
2300000.000000 15.0000000000
2350000.000000 11.0000000000
2400000.000000 8.0000000000
2450000.000000 10.0000000000
2500000.000000 10.0000000000
2550000.000000 7.0000000000
2600000.000000 5.0000000000
2650000.000000 8.0000000000
2700000.000000 11.0000000000
2750000.000000 10.0000000000
2800000.000000 6.0000000000
2850000.000000 4.0000000000
2900000.000000 15.0000000000
2950000.000000 10.0000000000
3000000.000000 10.0000000000
3050000.000000 10.0000000000
3100000.000000 6.0000000000
3150000.000000 7.0000000000
3200000.000000 9.0000000000
3250000.000000 10.0000000000
3300000.000000 10.0000000000
3350000.000000 14.0000000000
3400000.000000 9.0000000000
3450000.000000 8.0000000000
3500000.000000 10.0000000000
3550000.000000 9.0000000000
3600000.000000 9.0000000000
3650000.000000 7.0000000000
3700000.000000 7.0000000000
3750000.000000 9.0000000000
3800000.000000 10.0000000000
3850000.000000 7.0000000000
3900000.000000 14.0000000000
3950000.000000 6.0000000000
4000000.000000 3.0000000000
4050000.000000 10.0000000000
4100000.000000 4.0000000000
4150000.000000 11.0000000000
4200000.000000 6.0000000000
4250000.000000 6.0000000000
4300000.000000 8.0000000000
4350000.000000 9.0000000000
4400000.000000 6.0000000000
4450000.000000 7.0000000000
4500000.000000 6.0000000000
4550000.000000 9.0000000000
4600000.000000 9.0000000000
4650000.000000 4.0000000000
4700000.000000 10.0000000000
4750000.000000 6.0000000000
4800000.000000 12.0000000000
4850000.000000 7.0000000000
4900000.000000 6.0000000000
4950000.000000 11.0000000000
5000000.000000 14.0000000000
5050000.000000 8.0000000000
5100000.000000 9.0000000000
5150000.000000 13.0000000000
5200000.000000 8.0000000000
5250000.000000 10.0000000000
5300000.000000 8.0000000000
5350000.000000 10.0000000000
5400000.000000 5.0000000000
5450000.000000 10.0000000000
5500000.000000 6.0000000000
5550000.000000 8.0000000000
5600000.000000 10.0000000000
5650000.000000 11.0000000000
5700000.000000 7.0000000000
5750000.000000 12.0000000000
5800000.000000 7.0000000000
5850000.000000 7.0000000000
5900000.000000 13.0000000000
5950000.000000 6.0000000000
6000000.000000 4.0000000000
6050000.000000 14.0000000000
6100000.000000 10.0000000000
6150000.000000 6.0000000000
6200000.000000 8.0000000000
6250000.000000 10.0000000000
6300000.000000 5.0000000000
6350000.000000 6.0000000000
6400000.000000 11.0000000000
6450000.000000 6.0000000000
6500000.000000 7.0000000000
6550000.000000 5.0000000000
6600000.000000 10.0000000000
6650000.000000 7.0000000000
6700000.000000 5.0000000000
6750000.000000 8.0000000000
6800000.000000 13.0000000000
6850000.000000 8.0000000000
6900000.000000 7.0000000000
6950000.000000 10.0000000000
7000000.000000 7.0000000000
7050000.000000 9.0000000000
7100000.000000 4.0000000000
7150000.000000 12.0000000000
7200000.000000 12.0000000000
7250000.000000 9.0000000000
7300000.000000 11.0000000000
7350000.000000 8.0000000000
7400000.000000 7.0000000000
7450000.000000 15.0000000000
7500000.000000 8.0000000000
7550000.000000 7.0000000000
7600000.000000 4.0000000000
7650000.000000 8.0000000000
7700000.000000 8.0000000000
7750000.000000 11.0000000000
7800000.000000 6.0000000000
7850000.000000 13.0000000000
7900000.000000 10.0000000000
7950000.000000 9.0000000000
8000000.000000 11.0000000000
8050000.000000 12.0000000000
8100000.000000 3.0000000000
8150000.000000 9.0000000000
8200000.000000 6.0000000000
8250000.000000 10.0000000000
8300000.000000 5.0000000000
8350000.000000 6.0000000000
8400000.000000 11.0000000000
8450000.000000 9.0000000000
8500000.000000 8.0000000000
8550000.000000 5.0000000000
8600000.000000 8.0000000000
8650000.000000 9.0000000000
8700000.000000 2.0000000000
8750000.000000 11.0000000000
8800000.000000 2.0000000000
8850000.000000 10.0000000000
8900000.000000 5.0000000000
8950000.000000 7.0000000000
9000000.000000 11.0000000000
9050000.000000 8.0000000000
9100000.000000 6.0000000000
9150000.000000 7.0000000000
9200000.000000 13.0000000000
9250000.000000 8.0000000000
9300000.000000 7.0000000000
9350000.000000 8.0000000000
9400000.000000 16.0000000000
9450000.000000 11.0000000000
9500000.000000 10.0000000000
9550000.000000 8.0000000000
9600000.000000 13.0000000000
9650000.000000 5.0000000000
9700000.000000 12.0000000000
9750000.000000 8.0000000000
9800000.000000 12.0000000000
9850000.000000 7.0000000000
9900000.000000 12.0000000000
9950000.000000 10.0000000000
10000000.000000 8.0000000000
10050000.000000 14.0000000000
10100000.000000 10.0000000000
10150000.000000 5.0000000000
10200000.000000 5.0000000000
10250000.000000 3.0000000000
10300000.000000 9.0000000000
10350000.000000 9.0000000000
10400000.000000 5.0000000000
10450000.000000 9.0000000000
10500000.000000 8.0000000000
10550000.000000 11.0000000000
10600000.000000 9.0000000000
10650000.000000 12.0000000000
10700000.000000 10.0000000000
10750000.000000 9.0000000000
10800000.000000 7.0000000000
10850000.000000 6.0000000000
10900000.000000 4.0000000000
10950000.000000 8.0000000000
11000000.000000 9.0000000000
11050000.000000 7.0000000000
11100000.000000 10.0000000000
11150000.000000 7.0000000000
11200000.000000 12.0000000000
11250000.000000 6.0000000000
11300000.000000 3.0000000000
11350000.000000 9.0000000000
11400000.000000 6.0000000000
11450000.000000 7.0000000000
11500000.000000 8.0000000000
11550000.000000 10.0000000000
11600000.000000 12.0000000000
11650000.000000 7.0000000000
11700000.000000 9.0000000000
11750000.000000 12.0000000000
11800000.000000 8.0000000000
11850000.000000 8.0000000000
11900000.000000 14.0000000000
11950000.000000 8.0000000000
12000000.000000 8.0000000000
12050000.000000 9.0000000000
12100000.000000 10.0000000000
12150000.000000 8.0000000000
12200000.000000 6.0000000000
12250000.000000 9.0000000000
12300000.000000 5.0000000000
12350000.000000 5.0000000000
12400000.000000 5.0000000000
12450000.000000 10.0000000000
12500000.000000 4.0000000000
12550000.000000 13.0000000000
12600000.000000 7.0000000000
12650000.000000 10.0000000000
12700000.000000 7.0000000000
12750000.000000 9.0000000000
12800000.000000 5.0000000000
12850000.000000 10.0000000000
12900000.000000 8.0000000000
12950000.000000 8.0000000000
13000000.000000 9.0000000000
13050000.000000 9.0000000000
13100000.000000 16.0000000000
13150000.000000 6.0000000000
13200000.000000 10.0000000000
13250000.000000 14.0000000000
13300000.000000 12.0000000000
13350000.000000 4.0000000000
13400000.000000 11.0000000000
13450000.000000 8.0000000000
13500000.000000 6.0000000000
13550000.000000 15.0000000000
13600000.000000 9.0000000000
13650000.000000 8.0000000000
13700000.000000 7.0000000000
13750000.000000 8.0000000000
13800000.000000 11.0000000000
13850000.000000 4.0000000000
13900000.000000 11.0000000000
13950000.000000 8.0000000000
14000000.000000 7.0000000000
14050000.000000 8.0000000000
14100000.000000 5.0000000000
14150000.000000 10.0000000000
14200000.000000 9.0000000000
14250000.000000 5.0000000000
14300000.000000 9.0000000000
14350000.000000 8.0000000000
14400000.000000 9.0000000000
14450000.000000 11.0000000000
14500000.000000 5.0000000000
14550000.000000 6.0000000000
14600000.000000 6.0000000000
14650000.000000 16.0000000000
14700000.000000 8.0000000000
14750000.000000 11.0000000000
14800000.000000 7.0000000000
14850000.000000 6.0000000000
14900000.000000 5.0000000000
14950000.000000 10.0000000000
15000000.000000 10.0000000000
15050000.000000 10.0000000000
15100000.000000 10.0000000000
15150000.000000 5.0000000000
15200000.000000 9.0000000000
15250000.000000 8.0000000000
15300000.000000 11.0000000000
15350000.000000 14.0000000000
15400000.000000 3.0000000000
15450000.000000 7.0000000000
15500000.000000 3.0000000000
15550000.000000 8.0000000000
15600000.000000 2.0000000000
15650000.000000 7.0000000000
15700000.000000 10.0000000000
15750000.000000 14.0000000000
15800000.000000 7.0000000000
15850000.000000 3.0000000000
15900000.000000 9.0000000000
15950000.000000 14.0000000000
16000000.000000 10.0000000000
16050000.000000 10.0000000000
16100000.000000 3.0000000000
16150000.000000 8.0000000000
16200000.000000 11.0000000000
16250000.000000 8.0000000000
16300000.000000 9.0000000000
16350000.000000 5.0000000000
16400000.000000 11.0000000000
16450000.000000 7.0000000000
16500000.000000 10.0000000000
16550000.000000 6.0000000000
16600000.000000 12.0000000000
16650000.000000 7.0000000000
16700000.000000 8.0000000000
16750000.000000 7.0000000000
16800000.000000 8.0000000000
16850000.000000 12.0000000000
16900000.000000 8.0000000000
16950000.000000 8.0000000000
17000000.000000 10.0000000000
17050000.000000 10.0000000000
17100000.000000 12.0000000000
17150000.000000 5.0000000000
17200000.000000 6.0000000000
17250000.000000 8.0000000000
17300000.000000 6.0000000000
17350000.000000 4.0000000000
17400000.000000 11.0000000000
17450000.000000 15.0000000000
17500000.000000 7.0000000000
17550000.000000 8.0000000000
17600000.000000 12.0000000000
17650000.000000 7.0000000000
17700000.000000 5.0000000000
17750000.000000 5.0000000000
17800000.000000 10.0000000000
17850000.000000 11.0000000000
