# time mean_cluster_size
150000.000000 216.6666666667
200000.000000 108.3333333333
250000.000000 130.0000000000
300000.000000 65.0000000000
350000.000000 92.8571428571
400000.000000 72.2222222222
450000.000000 65.0000000000
500000.000000 108.3333333333
550000.000000 216.6666666667
600000.000000 108.3333333333
650000.000000 108.3333333333
700000.000000 72.2222222222
750000.000000 92.8571428571
800000.000000 108.3333333333
850000.000000 130.0000000000
900000.000000 130.0000000000
950000.000000 92.8571428571
1000000.000000 59.0909090909
1050000.000000 325.0000000000
1100000.000000 92.8571428571
1150000.000000 72.2222222222
1200000.000000 65.0000000000
1250000.000000 81.2500000000
1300000.000000 130.0000000000
1350000.000000 72.2222222222
1400000.000000 92.8571428571
1450000.000000 130.0000000000
1500000.000000 130.0000000000
1550000.000000 72.2222222222
1600000.000000 54.1666666667
1650000.000000 92.8571428571
1700000.000000 72.2222222222
1750000.000000 92.8571428571
1800000.000000 72.2222222222
1850000.000000 81.2500000000
1900000.000000 81.2500000000
1950000.000000 65.0000000000
2000000.000000 81.2500000000
2050000.000000 130.0000000000
2100000.000000 65.0000000000
2150000.000000 130.0000000000
2200000.000000 72.2222222222
2250000.000000 59.0909090909
2300000.000000 162.5000000000
2350000.000000 81.2500000000
2400000.000000 162.5000000000
2450000.000000 130.0000000000
2500000.000000 81.2500000000
2550000.000000 54.1666666667
2600000.000000 72.2222222222
2650000.000000 59.0909090909
2700000.000000 81.2500000000
2750000.000000 162.5000000000
2800000.000000 108.3333333333
2850000.000000 65.0000000000
2900000.000000 325.0000000000
2950000.000000 130.0000000000
3000000.000000 72.2222222222
3050000.000000 65.0000000000
3100000.000000 81.2500000000
3150000.000000 54.1666666667
3200000.000000 108.3333333333
3250000.000000 92.8571428571
3300000.000000 59.0909090909
3350000.000000 92.8571428571
3400000.000000 92.8571428571
3450000.000000 108.3333333333
3500000.000000 108.3333333333
3550000.000000 108.3333333333
3600000.000000 162.5000000000
3650000.000000 50.0000000000
3700000.000000 81.2500000000
3750000.000000 130.0000000000
3800000.000000 92.8571428571
3850000.000000 92.8571428571
3900000.000000 108.3333333333
3950000.000000 81.2500000000
4000000.000000 92.8571428571
4050000.000000 130.0000000000
4100000.000000 65.0000000000
4150000.000000 130.0000000000
4200000.000000 92.8571428571
4250000.000000 65.0000000000
4300000.000000 72.2222222222
4350000.000000 65.0000000000
4400000.000000 92.8571428571
4450000.000000 108.3333333333
4500000.000000 92.8571428571
4550000.000000 59.0909090909
4600000.000000 54.1666666667
4650000.000000 108.3333333333
4700000.000000 81.2500000000
4750000.000000 92.8571428571
4800000.000000 108.3333333333
4850000.000000 43.3333333333
4900000.000000 130.0000000000
4950000.000000 162.5000000000
5000000.000000 216.6666666667
5050000.000000 72.2222222222
5100000.000000 92.8571428571
5150000.000000 162.5000000000
5200000.000000 81.2500000000
5250000.000000 81.2500000000
5300000.000000 130.0000000000
5350000.000000 108.3333333333
5400000.000000 92.8571428571
5450000.000000 81.2500000000
5500000.000000 130.0000000000
5550000.000000 72.2222222222
5600000.000000 72.2222222222
5650000.000000 59.0909090909
5700000.000000 65.0000000000
5750000.000000 81.2500000000
5800000.000000 50.0000000000
5850000.000000 54.1666666667
5900000.000000 162.5000000000
5950000.000000 92.8571428571
6000000.000000 50.0000000000
6050000.000000 92.8571428571
6100000.000000 81.2500000000
6150000.000000 54.1666666667
6200000.000000 130.0000000000
6250000.000000 81.2500000000
6300000.000000 108.3333333333
6350000.000000 81.2500000000
6400000.000000 162.5000000000
6450000.000000 65.0000000000
6500000.000000 81.2500000000
6550000.000000 108.3333333333
6600000.000000 72.2222222222
6650000.000000 54.1666666667
6700000.000000 72.2222222222
6750000.000000 59.0909090909
6800000.000000 130.0000000000
6850000.000000 54.1666666667
6900000.000000 325.0000000000
6950000.000000 72.2222222222
7000000.000000 81.2500000000
7050000.000000 130.0000000000
7100000.000000 108.3333333333
7150000.000000 65.0000000000
7200000.000000 50.0000000000
7250000.000000 72.2222222222
7300000.000000 162.5000000000
7350000.000000 130.0000000000
7400000.000000 92.8571428571
7450000.000000 40.6250000000
