# time cluster_size count
50000.000000 1 6
50000.000000 2 1
50000.000000 3 1
50000.000000 5 1
50000.000000 20 1
50000.000000 24 1
50000.000000 29 1
50000.000000 511 1
100000.000000 1 12
100000.000000 2 1
100000.000000 5 1
100000.000000 20 1
100000.000000 24 1
100000.000000 29 1
100000.000000 508 1
150000.000000 1 20
150000.000000 2 1
150000.000000 4 1
150000.000000 5 1
150000.000000 14 1
150000.000000 24 1
150000.000000 28 1
150000.000000 503 1
200000.000000 1 20
200000.000000 2 2
200000.000000 4 1
200000.000000 5 1
200000.000000 7 1
200000.000000 25 1
200000.000000 29 1
200000.000000 34 1
200000.000000 95 1
200000.000000 156 1
200000.000000 221 1
250000.000000 1 26
250000.000000 2 1
250000.000000 3 1
250000.000000 13 1
250000.000000 25 1
250000.000000 28 1
250000.000000 36 1
250000.000000 94 1
250000.000000 154 1
250000.000000 219 1
300000.000000 1 28
300000.000000 2 3
300000.000000 3 2
300000.000000 7 1
300000.000000 26 1
300000.000000 27 1
300000.000000 28 1
300000.000000 34 1
300000.000000 94 1
300000.000000 118 1
300000.000000 226 1
350000.000000 1 25
350000.000000 2 3
350000.000000 4 2
350000.000000 5 1
350000.000000 27 2
350000.000000 28 1
350000.000000 33 1
350000.000000 96 1
350000.000000 119 1
350000.000000 226 1
400000.000000 1 31
400000.000000 2 5
400000.000000 3 1
400000.000000 4 1
400000.000000 5 2
400000.000000 6 1
400000.000000 23 1
400000.000000 25 1
400000.000000 27 1
400000.000000 33 1
400000.000000 95 1
400000.000000 116 1
400000.000000 217 1
450000.000000 1 31
450000.000000 2 4
450000.000000 3 1
450000.000000 4 1
450000.000000 7 1
450000.000000 26 1
450000.000000 27 1
450000.000000 31 1
450000.000000 32 1
450000.000000 95 1
450000.000000 116 1
450000.000000 220 1
500000.000000 1 32
500000.000000 2 3
500000.000000 3 1
500000.000000 4 1
500000.000000 7 1
500000.000000 26 1
500000.000000 27 1
500000.000000 29 1
500000.000000 31 1
500000.000000 95 1
500000.000000 119 1
500000.000000 221 1
550000.000000 1 32
550000.000000 2 6
550000.000000 3 1
550000.000000 10 1
550000.000000 24 1
550000.000000 25 1
550000.000000 29 1
550000.000000 30 1
550000.000000 95 1
550000.000000 119 1
550000.000000 221 1
600000.000000 1 39
600000.000000 2 4
600000.000000 5 1
600000.000000 23 1
600000.000000 26 1
600000.000000 28 1
600000.000000 29 1
600000.000000 97 1
600000.000000 122 1
600000.000000 223 1
650000.000000 1 30
650000.000000 2 7
650000.000000 8 1
650000.000000 21 1
650000.000000 27 1
650000.000000 28 1
650000.000000 29 1
650000.000000 96 1
650000.000000 125 1
650000.000000 222 1
700000.000000 1 33
700000.000000 2 3
700000.000000 3 1
700000.000000 7 1
700000.000000 20 1
700000.000000 28 1
700000.000000 29 1
700000.000000 34 1
700000.000000 96 1
700000.000000 122 1
700000.000000 222 1
750000.000000 1 31
750000.000000 2 6
750000.000000 3 4
750000.000000 4 1
750000.000000 28 2
750000.000000 48 1
750000.000000 99 1
750000.000000 115 1
750000.000000 223 1
800000.000000 1 34
800000.000000 2 3
800000.000000 3 1
800000.000000 4 2
800000.000000 6 1
800000.000000 30 1
800000.000000 45 1
800000.000000 101 1
800000.000000 143 1
800000.000000 224 1
850000.000000 1 41
850000.000000 2 4
850000.000000 3 3
850000.000000 5 1
850000.000000 29 1
850000.000000 46 1
850000.000000 99 1
850000.000000 139 1
850000.000000 224 1
900000.000000 1 33
900000.000000 2 9
900000.000000 3 1
900000.000000 7 1
900000.000000 47 1
900000.000000 99 1
900000.000000 169 1
900000.000000 224 1
950000.000000 1 33
950000.000000 2 5
950000.000000 3 2
950000.000000 30 2
950000.000000 99 1
950000.000000 111 1
950000.000000 281 1
1000000.000000 1 37
1000000.000000 2 6
1000000.000000 8 1
1000000.000000 28 2
1000000.000000 49 1
1000000.000000 99 1
1000000.000000 114 1
1000000.000000 225 1
1050000.000000 1 29
1050000.000000 2 6
1050000.000000 3 2
1050000.000000 10 1
1050000.000000 28 1
1050000.000000 142 1
1050000.000000 146 1
1050000.000000 227 1
1100000.000000 1 38
1100000.000000 2 3
1100000.000000 29 1
1100000.000000 44 1
1100000.000000 97 1
1100000.000000 143 1
1100000.000000 243 1
1150000.000000 1 36
1150000.000000 2 2
1150000.000000 3 3
1150000.000000 10 1
1150000.000000 29 1
1150000.000000 34 1
1150000.000000 41 1
1150000.000000 98 1
1150000.000000 107 1
1150000.000000 232 1
1200000.000000 1 38
1200000.000000 2 7
1200000.000000 3 2
1200000.000000 4 1
1200000.000000 5 2
1200000.000000 20 1
1200000.000000 34 1
1200000.000000 45 1
1200000.000000 92 1
1200000.000000 105 1
1200000.000000 232 1
1250000.000000 1 34
1250000.000000 2 3
1250000.000000 3 5
1250000.000000 4 2
1250000.000000 17 1
1250000.000000 35 1
1250000.000000 51 1
1250000.000000 98 1
1250000.000000 107 1
1250000.000000 229 1
1300000.000000 1 38
1300000.000000 2 9
1300000.000000 4 1
1300000.000000 18 1
1300000.000000 35 1
1300000.000000 54 1
1300000.000000 102 1
1300000.000000 106 1
1300000.000000 225 1
1350000.000000 1 43
1350000.000000 2 6
1350000.000000 3 2
1350000.000000 4 1
1350000.000000 10 1
1350000.000000 20 1
1350000.000000 29 1
1350000.000000 41 1
1350000.000000 99 1
1350000.000000 108 1
1350000.000000 228 1
1400000.000000 1 39
1400000.000000 2 7
1400000.000000 3 3
1400000.000000 8 1
1400000.000000 40 1
1400000.000000 100 1
1400000.000000 161 1
1400000.000000 229 1
1450000.000000 1 43
1450000.000000 2 3
1450000.000000 3 2
1450000.000000 4 1
1450000.000000 10 1
1450000.000000 18 1
1450000.000000 36 1
1450000.000000 105 1
1450000.000000 143 1
1450000.000000 229 1
1500000.000000 1 37
1500000.000000 2 6
1500000.000000 4 3
1500000.000000 7 1
1500000.000000 42 1
1500000.000000 50 1
1500000.000000 104 1
1500000.000000 106 1
1500000.000000 230 1
1550000.000000 1 39
1550000.000000 2 5
1550000.000000 3 1
1550000.000000 4 2
1550000.000000 11 1
1550000.000000 17 1
1550000.000000 35 1
1550000.000000 108 1
1550000.000000 139 1
1550000.000000 230 1
1600000.000000 1 38
1600000.000000 2 9
1600000.000000 3 1
1600000.000000 4 1
1600000.000000 9 1
1600000.000000 14 1
1600000.000000 141 1
1600000.000000 142 1
1600000.000000 231 1
1650000.000000 1 33
1650000.000000 2 6
1650000.000000 3 2
1650000.000000 4 2
1650000.000000 5 1
1650000.000000 15 1
1650000.000000 34 1
1650000.000000 109 1
1650000.000000 149 1
1650000.000000 229 1
1700000.000000 1 38
1700000.000000 2 3
1700000.000000 3 1
1700000.000000 4 2
1700000.000000 7 1
1700000.000000 14 1
1700000.000000 36 1
1700000.000000 110 1
1700000.000000 149 1
1700000.000000 229 1
1750000.000000 1 41
1750000.000000 2 8
1750000.000000 4 2
1750000.000000 5 1
1750000.000000 7 1
1750000.000000 15 1
1750000.000000 32 1
1750000.000000 109 1
1750000.000000 141 1
1750000.000000 226 1
1800000.000000 1 38
1800000.000000 2 8
1800000.000000 3 4
1800000.000000 8 1
1800000.000000 15 1
1800000.000000 34 1
1800000.000000 104 1
1800000.000000 139 1
1800000.000000 234 1
1850000.000000 1 45
1850000.000000 2 8
1850000.000000 3 4
1850000.000000 4 1
1850000.000000 6 1
1850000.000000 12 1
1850000.000000 34 1
1850000.000000 107 1
1850000.000000 134 1
1850000.000000 230 1
1900000.000000 1 36
1900000.000000 2 10
1900000.000000 3 5
1900000.000000 4 2
1900000.000000 7 1
1900000.000000 33 1
1900000.000000 110 1
1900000.000000 141 1
1900000.000000 230 1
1950000.000000 1 39
1950000.000000 2 7
1950000.000000 3 6
1950000.000000 4 1
1950000.000000 7 1
1950000.000000 10 1
1950000.000000 31 1
1950000.000000 109 1
1950000.000000 135 1
1950000.000000 233 1
2000000.000000 1 33
2000000.000000 2 6
2000000.000000 3 1
2000000.000000 4 3
2000000.000000 6 1
2000000.000000 7 1
2000000.000000 12 1
2000000.000000 30 1
2000000.000000 115 1
2000000.000000 137 1
2000000.000000 233 1
2050000.000000 1 42
2050000.000000 2 4
2050000.000000 3 6
2050000.000000 13 1
2050000.000000 31 1
2050000.000000 111 1
2050000.000000 143 1
2050000.000000 234 1
2100000.000000 1 35
2100000.000000 2 5
2100000.000000 3 5
2100000.000000 4 4
2100000.000000 5 2
2100000.000000 31 1
2100000.000000 115 1
2100000.000000 135 1
2100000.000000 233 1
2150000.000000 1 37
2150000.000000 2 9
2150000.000000 3 3
2150000.000000 4 3
2150000.000000 6 1
2150000.000000 32 1
2150000.000000 115 1
2150000.000000 139 1
2150000.000000 232 1
2200000.000000 1 46
2200000.000000 2 3
2200000.000000 3 5
2200000.000000 4 1
2200000.000000 12 1
2200000.000000 32 1
2200000.000000 112 1
2200000.000000 141 1
2200000.000000 232 1
2250000.000000 1 50
2250000.000000 2 3
2250000.000000 3 3
2250000.000000 4 1
2250000.000000 8 2
2250000.000000 137 1
2250000.000000 146 1
2250000.000000 232 1
2300000.000000 1 40
2300000.000000 2 9
2300000.000000 3 3
2300000.000000 8 1
2300000.000000 31 1
2300000.000000 118 1
2300000.000000 143 1
2300000.000000 233 1
2350000.000000 1 42
2350000.000000 2 4
2350000.000000 4 5
2350000.000000 5 2
2350000.000000 144 1
2350000.000000 148 1
2350000.000000 228 1
2400000.000000 1 38
2400000.000000 2 9
2400000.000000 3 2
2400000.000000 4 2
2400000.000000 5 2
2400000.000000 141 1
2400000.000000 149 1
2400000.000000 230 1
2450000.000000 1 51
2450000.000000 2 6
2450000.000000 3 3
2450000.000000 5 1
2450000.000000 6 2
2450000.000000 27 1
2450000.000000 119 1
2450000.000000 138 1
2450000.000000 227 1
2500000.000000 1 38
2500000.000000 2 9
2500000.000000 3 4
2500000.000000 4 1
2500000.000000 5 1
2500000.000000 139 1
2500000.000000 156 1
2500000.000000 228 1
2550000.000000 1 40
2550000.000000 2 8
2550000.000000 3 3
2550000.000000 4 1
2550000.000000 5 1
2550000.000000 8 1
2550000.000000 32 1
2550000.000000 119 1
2550000.000000 139 1
2550000.000000 228 1
2600000.000000 1 39
2600000.000000 2 7
2600000.000000 3 2
2600000.000000 7 1
2600000.000000 8 1
2600000.000000 30 1
2600000.000000 119 1
2600000.000000 140 1
2600000.000000 237 1
2650000.000000 1 40
2650000.000000 2 5
2650000.000000 3 2
2650000.000000 4 3
2650000.000000 5 1
2650000.000000 29 1
2650000.000000 121 1
2650000.000000 139 1
2650000.000000 238 1
2700000.000000 1 35
2700000.000000 2 11
2700000.000000 3 1
2700000.000000 4 3
2700000.000000 5 1
2700000.000000 28 1
2700000.000000 118 1
2700000.000000 141 1
2700000.000000 236 1
2750000.000000 1 41
2750000.000000 2 7
2750000.000000 3 5
2750000.000000 4 1
2750000.000000 6 1
2750000.000000 7 1
2750000.000000 29 1
2750000.000000 115 1
2750000.000000 136 1
2750000.000000 233 1
2800000.000000 1 46
2800000.000000 2 5
2800000.000000 3 2
2800000.000000 4 1
2800000.000000 14 1
2800000.000000 143 2
2800000.000000 234 1
2850000.000000 1 39
2850000.000000 2 9
2850000.000000 4 2
2850000.000000 6 1
2850000.000000 8 1
2850000.000000 28 1
2850000.000000 116 1
2850000.000000 143 1
2850000.000000 234 1
2900000.000000 1 43
2900000.000000 2 5
2900000.000000 3 1
2900000.000000 4 2
2900000.000000 5 1
2900000.000000 8 1
2900000.000000 29 1
2900000.000000 114 1
2900000.000000 145 1
2900000.000000 235 1
2950000.000000 1 40
2950000.000000 2 2
2950000.000000 3 3
2950000.000000 4 1
2950000.000000 6 1
2950000.000000 9 1
2950000.000000 30 1
2950000.000000 117 1
2950000.000000 145 1
2950000.000000 236 1
3000000.000000 1 33
3000000.000000 2 10
3000000.000000 3 3
3000000.000000 5 1
3000000.000000 9 1
3000000.000000 30 1
3000000.000000 114 1
3000000.000000 145 1
