# time largest_cluster_fraction_percent
50000.000000 85.1666666667
100000.000000 84.6666666667
150000.000000 83.8333333333
200000.000000 36.8333333333
250000.000000 36.5000000000
300000.000000 37.6666666667
350000.000000 37.6666666667
400000.000000 36.1666666667
450000.000000 36.6666666667
500000.000000 36.8333333333
550000.000000 36.8333333333
600000.000000 37.1666666667
650000.000000 37.0000000000
700000.000000 37.0000000000
750000.000000 37.1666666667
800000.000000 37.3333333333
850000.000000 37.3333333333
900000.000000 37.3333333333
950000.000000 46.8333333333
1000000.000000 37.5000000000
1050000.000000 37.8333333333
1100000.000000 40.5000000000
1150000.000000 38.6666666667
1200000.000000 38.6666666667
1250000.000000 38.1666666667
1300000.000000 37.5000000000
1350000.000000 38.0000000000
1400000.000000 38.1666666667
1450000.000000 38.1666666667
1500000.000000 38.3333333333
1550000.000000 38.3333333333
1600000.000000 38.5000000000
1650000.000000 38.1666666667
1700000.000000 38.1666666667
1750000.000000 37.6666666667
1800000.000000 39.0000000000
1850000.000000 38.3333333333
1900000.000000 38.3333333333
1950000.000000 38.8333333333
2000000.000000 38.8333333333
2050000.000000 39.0000000000
2100000.000000 38.8333333333
2150000.000000 38.6666666667
2200000.000000 38.6666666667
2250000.000000 38.6666666667
2300000.000000 38.8333333333
2350000.000000 38.0000000000
2400000.000000 38.3333333333
2450000.000000 37.8333333333
2500000.000000 38.0000000000
2550000.000000 38.0000000000
2600000.000000 39.5000000000
2650000.000000 39.6666666667
2700000.000000 39.3333333333
2750000.000000 38.8333333333
2800000.000000 39.0000000000
2850000.000000 39.0000000000
2900000.000000 39.1666666667
2950000.000000 39.3333333333
3000000.000000 39.1666666667
3050000.000000 40.3333333333
3100000.000000 40.3333333333
3150000.000000 40.0000000000
3200000.000000 39.6666666667
3250000.000000 43.5000000000
3300000.000000 39.8333333333
3350000.000000 39.6666666667
3400000.000000 39.6666666667
3450000.000000 40.0000000000
3500000.000000 40.1666666667
3550000.000000 40.0000000000
3600000.000000 39.6666666667
3650000.000000 39.6666666667
3700000.000000 40.0000000000
3750000.000000 40.0000000000
3800000.000000 40.1666666667
3850000.000000 40.0000000000
3900000.000000 39.3333333333
3950000.000000 39.8333333333
4000000.000000 39.6666666667
4050000.000000 40.0000000000
4100000.000000 39.8333333333
4150000.000000 39.6666666667
4200000.000000 39.6666666667
4250000.000000 39.3333333333
4300000.000000 38.6666666667
4350000.000000 39.5000000000
4400000.000000 39.3333333333
4450000.000000 39.0000000000
4500000.000000 39.0000000000
4550000.000000 39.0000000000
4600000.000000 39.1666666667
4650000.000000 38.6666666667
4700000.000000 39.3333333333
4750000.000000 39.0000000000
4800000.000000 39.1666666667
4850000.000000 39.8333333333
4900000.000000 39.3333333333
4950000.000000 40.0000000000
5000000.000000 39.6666666667
5050000.000000 39.6666666667
5100000.000000 39.1666666667
5150000.000000 39.3333333333
5200000.000000 39.3333333333
5250000.000000 39.5000000000
5300000.000000 39.0000000000
5350000.000000 39.5000000000
5400000.000000 39.3333333333
5450000.000000 39.6666666667
5500000.000000 39.5000000000
5550000.000000 40.3333333333
5600000.000000 41.1666666667
5650000.000000 40.8333333333
5700000.000000 41.1666666667
5750000.000000 41.1666666667
5800000.000000 40.8333333333
5850000.000000 41.5000000000
5900000.000000 41.8333333333
5950000.000000 41.6666666667
6000000.000000 41.3333333333
6050000.000000 41.5000000000
6100000.000000 41.8333333333
6150000.000000 42.0000000000
6200000.000000 42.1666666667
6250000.000000 42.0000000000
6300000.000000 42.0000000000
6350000.000000 41.8333333333
6400000.000000 42.1666666667
6450000.000000 41.8333333333
6500000.000000 42.0000000000
6550000.000000 41.5000000000
6600000.000000 42.5000000000
6650000.000000 41.6666666667
6700000.000000 42.1666666667
6750000.000000 41.5000000000
6800000.000000 41.6666666667
6850000.000000 41.6666666667
6900000.000000 41.0000000000
6950000.000000 40.8333333333
7000000.000000 40.8333333333
7050000.000000 40.8333333333
7100000.000000 40.6666666667
7150000.000000 41.1666666667
7200000.000000 40.8333333333
7250000.000000 40.8333333333
7300000.000000 40.6666666667
7350000.000000 41.0000000000
7400000.000000 40.3333333333
7450000.000000 40.6666666667
7500000.000000 40.8333333333
7550000.000000 40.5000000000
7600000.000000 40.8333333333
7650000.000000 40.6666666667
7700000.000000 41.0000000000
7750000.000000 40.8333333333
7800000.000000 40.5000000000
7850000.000000 40.6666666667
7900000.000000 40.5000000000
7950000.000000 40.8333333333
8000000.000000 40.5000000000
8050000.000000 40.8333333333
8100000.000000 41.0000000000
8150000.000000 41.3333333333
8200000.000000 41.5000000000
8250000.000000 41.3333333333
8300000.000000 41.1666666667
8350000.000000 41.3333333333
8400000.000000 41.0000000000
8450000.000000 40.8333333333
8500000.000000 41.0000000000
8550000.000000 41.1666666667
8600000.000000 41.0000000000
8650000.000000 41.5000000000
8700000.000000 41.3333333333
8750000.000000 41.5000000000
8800000.000000 41.0000000000
8850000.000000 41.0000000000
8900000.000000 40.8333333333
8950000.000000 40.8333333333
9000000.000000 40.3333333333
9050000.000000 40.6666666667
9100000.000000 40.3333333333
9150000.000000 41.0000000000
9200000.000000 41.0000000000
9250000.000000 40.6666666667
9300000.000000 41.0000000000
9350000.000000 41.1666666667
9400000.000000 42.5000000000
9450000.000000 41.8333333333
9500000.000000 41.8333333333
9550000.000000 41.6666666667
9600000.000000 42.0000000000
9650000.000000 41.8333333333
9700000.000000 42.0000000000
9750000.000000 41.8333333333
9800000.000000 41.6666666667
9850000.000000 42.1666666667
9900000.000000 41.5000000000
9950000.000000 41.6666666667
10000000.000000 43.0000000000
10050000.000000 42.6666666667
