# time largest_cluster_rg
50000.000000 34.2650566391
100000.000000 32.7321508987
150000.000000 33.2140393325
200000.000000 15.5226805447
250000.000000 15.5324203672
300000.000000 16.1126013265
350000.000000 15.9113182200
400000.000000 14.6607525323
450000.000000 14.2688696820
500000.000000 14.6933628558
550000.000000 14.3538761309
600000.000000 14.2839864324
650000.000000 14.1270041372
700000.000000 14.0248597833
750000.000000 13.8581914168
800000.000000 13.9616093143
850000.000000 14.0558259156
900000.000000 14.0066507438
950000.000000 21.5101904024
1000000.000000 13.8491433686
1050000.000000 13.7423451082
1100000.000000 15.4255723691
1150000.000000 14.1802732149
1200000.000000 14.0177849942
1250000.000000 13.7094186042
1300000.000000 13.3669628729
1350000.000000 13.5026233575
1400000.000000 13.7905481901
1450000.000000 13.5511407333
1500000.000000 13.6696722632
1550000.000000 13.7518643741
1600000.000000 13.8634056095
1650000.000000 13.6248381697
1700000.000000 13.4483456759
1750000.000000 13.1755133627
1800000.000000 13.5917546933
1850000.000000 13.0757577425
1900000.000000 12.8348463307
1950000.000000 13.1651742540
2000000.000000 13.0826817734
2050000.000000 13.0798095109
2100000.000000 12.5727578184
2150000.000000 12.3158258317
2200000.000000 11.9212168351
2250000.000000 11.9592319675
2300000.000000 11.8360495907
2350000.000000 11.3726030390
2400000.000000 11.5871389443
2450000.000000 11.3159287611
2500000.000000 11.4974530582
2550000.000000 11.5823320917
2600000.000000 12.0320018022
2650000.000000 11.6455367899
2700000.000000 11.6834684789
2750000.000000 11.4967408579
2800000.000000 11.5248220374
2850000.000000 11.5001155420
2900000.000000 11.9131604076
2950000.000000 11.9199558879
3000000.000000 11.8593520486
3050000.000000 12.5029559264
3100000.000000 12.3334709306
3150000.000000 12.0684677574
3200000.000000 11.9786577040
3250000.000000 29.8378284122
3300000.000000 11.9038690210
3350000.000000 11.4846018827
3400000.000000 11.5097377953
3450000.000000 12.1359506211
3500000.000000 11.9291287398
3550000.000000 11.6996150399
3600000.000000 11.3664223074
3650000.000000 11.2796629523
3700000.000000 11.5498803311
3750000.000000 11.3609163068
3800000.000000 11.4824653641
3850000.000000 11.6829514537
3900000.000000 11.4208674460
3950000.000000 11.5523824323
4000000.000000 11.4215708115
4050000.000000 11.5701957793
4100000.000000 11.3013859989
4150000.000000 11.2231866691
4200000.000000 11.5523025807
4250000.000000 11.4347763885
4300000.000000 11.4015432177
4350000.000000 11.6054913376
4400000.000000 11.8262254196
4450000.000000 11.5120206827
4500000.000000 11.6422037235
4550000.000000 11.4546136120
4600000.000000 11.4053795578
4650000.000000 11.2624701028
4700000.000000 11.5024414129
4750000.000000 11.3346141403
4800000.000000 11.5051367132
4850000.000000 11.6386530587
4900000.000000 11.6292865456
4950000.000000 11.8076247261
5000000.000000 11.7045301022
5050000.000000 11.7679017517
5100000.000000 11.7439906333
5150000.000000 11.7697026787
5200000.000000 11.7571960409
5250000.000000 12.3559430582
5300000.000000 11.7311043262
5350000.000000 11.8576779186
5400000.000000 12.1549399428
5450000.000000 12.1458178221
5500000.000000 12.1833506889
5550000.000000 12.7691773619
5600000.000000 12.9614001385
5650000.000000 12.4110381116
5700000.000000 12.2631712399
5750000.000000 12.0308534892
5800000.000000 12.1401097487
5850000.000000 12.3271777036
5900000.000000 12.2317680369
5950000.000000 12.1530353750
6000000.000000 11.9050362529
6050000.000000 12.3615130490
6100000.000000 12.2200352168
6150000.000000 12.4558621194
6200000.000000 12.5069456293
6250000.000000 12.3322049721
6300000.000000 12.1583993467
6350000.000000 12.5344807706
6400000.000000 12.2832654320
6450000.000000 12.0750553710
6500000.000000 12.1639518405
6550000.000000 11.9892546529
6600000.000000 12.3215674813
6650000.000000 11.9315828908
6700000.000000 11.8522835122
6750000.000000 11.8684360571
6800000.000000 11.9430479121
6850000.000000 11.9333557809
6900000.000000 11.6987903338
6950000.000000 11.7335654221
7000000.000000 11.7320103367
7050000.000000 11.9642303105
7100000.000000 12.1845748752
7150000.000000 12.2330265617
7200000.000000 11.9218491667
7250000.000000 11.9483844870
7300000.000000 11.3528160477
7350000.000000 11.6374834763
7400000.000000 11.5066059922
7450000.000000 11.8105403158
7500000.000000 11.8989436180
7550000.000000 11.9323709790
7600000.000000 11.6148789850
7650000.000000 11.6958833661
7700000.000000 11.5866137448
7750000.000000 11.7046158641
7800000.000000 11.7102671972
7850000.000000 11.8125512455
7900000.000000 11.8800701671
7950000.000000 11.4462345111
8000000.000000 11.5336757906
8050000.000000 11.5637761849
8100000.000000 11.5343129076
8150000.000000 11.7274919827
8200000.000000 11.8434577062
8250000.000000 11.9048529275
8300000.000000 11.8263705941
8350000.000000 11.7364332265
8400000.000000 11.4891836560
