# time mean_cluster_size
50000.000000 46.1538461538
100000.000000 33.3333333333
150000.000000 22.2222222222
200000.000000 19.3548387097
250000.000000 17.1428571429
300000.000000 14.6341463415
350000.000000 15.7894736842
400000.000000 12.5000000000
450000.000000 13.3333333333
500000.000000 13.3333333333
550000.000000 12.7659574468
600000.000000 11.7647058824
650000.000000 13.3333333333
700000.000000 13.3333333333
750000.000000 12.5000000000
800000.000000 13.0434782609
850000.000000 11.1111111111
900000.000000 12.5000000000
950000.000000 13.3333333333
1000000.000000 12.0000000000
1050000.000000 14.2857142857
1100000.000000 13.0434782609
1150000.000000 12.5000000000
1200000.000000 10.7142857143
1250000.000000 12.0000000000
1300000.000000 11.1111111111
1350000.000000 10.1694915254
1400000.000000 11.1111111111
1450000.000000 10.9090909091
1500000.000000 11.5384615385
1550000.000000 11.3207547170
1600000.000000 11.1111111111
1650000.000000 12.2448979592
1700000.000000 12.0000000000
1750000.000000 10.3448275862
1800000.000000 10.7142857143
1850000.000000 9.3750000000
1900000.000000 10.3448275862
1950000.000000 10.1694915254
2000000.000000 12.0000000000
2050000.000000 10.5263157895
2100000.000000 10.9090909091
2150000.000000 10.5263157895
2200000.000000 10.0000000000
2250000.000000 9.6774193548
2300000.000000 10.5263157895
2350000.000000 10.7142857143
2400000.000000 10.7142857143
2450000.000000 8.9552238806
2500000.000000 10.7142857143
2550000.000000 10.3448275862
2600000.000000 11.1111111111
2650000.000000 10.9090909091
2700000.000000 10.9090909091
2750000.000000 10.0000000000
2800000.000000 10.3448275862
2850000.000000 10.7142857143
2900000.000000 10.5263157895
2950000.000000 11.5384615385
3000000.000000 11.5384615385
3050000.000000 10.0000000000
3100000.000000 10.9090909091
3150000.000000 11.5384615385
3200000.000000 11.1111111111
3250000.000000 11.1111111111
3300000.000000 12.0000000000
3350000.000000 11.3207547170
3400000.000000 9.5238095238
3450000.000000 10.3448275862
3500000.000000 10.1694915254
3550000.000000 11.1111111111
3600000.000000 10.0000000000
3650000.000000 9.2307692308
3700000.000000 8.4507042254
3750000.000000 10.5263157895
3800000.000000 10.7142857143
3850000.000000 10.7142857143
3900000.000000 10.5263157895
3950000.000000 11.3207547170
4000000.000000 9.2307692308
4050000.000000 9.8360655738
4100000.000000 9.2307692308
4150000.000000 9.2307692308
4200000.000000 8.9552238806
4250000.000000 9.8360655738
4300000.000000 8.9552238806
4350000.000000 9.3750000000
4400000.000000 11.1111111111
4450000.000000 12.0000000000
4500000.000000 10.1694915254
4550000.000000 10.0000000000
4600000.000000 11.7647058824
4650000.000000 9.0909090909
4700000.000000 10.0000000000
4750000.000000 8.6956521739
4800000.000000 9.2307692308
4850000.000000 9.0909090909
4900000.000000 9.3750000000
4950000.000000 8.9552238806
5000000.000000 8.4507042254
5050000.000000 8.6956521739
5100000.000000 8.5714285714
5150000.000000 10.9090909091
5200000.000000 10.9090909091
5250000.000000 11.7647058824
5300000.000000 9.6774193548
5350000.000000 9.5238095238
5400000.000000 9.3750000000
5450000.000000 9.8360655738
5500000.000000 10.1694915254
5550000.000000 10.3448275862
5600000.000000 12.5000000000
5650000.000000 11.7647058824
5700000.000000 10.5263157895
5750000.000000 10.7142857143
5800000.000000 10.1694915254
5850000.000000 10.0000000000
5900000.000000 12.2448979592
5950000.000000 12.0000000000
6000000.000000 10.3448275862
6050000.000000 11.7647058824
6100000.000000 10.5263157895
6150000.000000 11.7647058824
6200000.000000 12.5000000000
6250000.000000 11.5384615385
6300000.000000 12.0000000000
6350000.000000 11.5384615385
6400000.000000 10.7142857143
6450000.000000 10.3448275862
6500000.000000 9.8360655738
6550000.000000 10.9090909091
6600000.000000 12.5000000000
6650000.000000 10.9090909091
6700000.000000 11.7647058824
6750000.000000 11.5384615385
6800000.000000 10.7142857143
6850000.000000 10.0000000000
6900000.000000 10.0000000000
6950000.000000 10.9090909091
7000000.000000 10.7142857143
7050000.000000 11.1111111111
7100000.000000 11.5384615385
7150000.000000 10.3448275862
7200000.000000 11.1111111111
7250000.000000 12.2448979592
7300000.000000 10.3448275862
7350000.000000 11.7647058824
7400000.000000 9.0909090909
7450000.000000 9.0909090909
7500000.000000 10.5263157895
7550000.000000 9.2307692308
7600000.000000 10.9090909091
7650000.000000 12.0000000000
7700000.000000 11.3207547170
7750000.000000 11.3207547170
7800000.000000 10.5263157895
7850000.000000 11.7647058824
7900000.000000 10.5263157895
7950000.000000 11.5384615385
8000000.000000 11.1111111111
8050000.000000 10.5263157895
8100000.000000 9.3750000000
8150000.000000 10.5263157895
8200000.000000 11.1111111111
8250000.000000 14.2857142857
8300000.000000 13.0434782609
8350000.000000 13.3333333333
8400000.000000 13.9534883721
8450000.000000 12.2448979592
8500000.000000 12.2448979592
8550000.000000 14.2857142857
8600000.000000 14.6341463415
8650000.000000 12.7659574468
8700000.000000 11.3207547170
8750000.000000 13.0434782609
8800000.000000 11.7647058824
8850000.000000 12.5000000000
8900000.000000 12.7659574468
8950000.000000 11.5384615385
9000000.000000 11.3207547170
9050000.000000 11.7647058824
9100000.000000 10.7142857143
9150000.000000 11.1111111111
9200000.000000 11.5384615385
9250000.000000 10.9090909091
9300000.000000 10.0000000000
9350000.000000 11.7647058824
9400000.000000 12.0000000000
9450000.000000 13.0434782609
9500000.000000 11.7647058824
9550000.000000 11.3207547170
9600000.000000 11.7647058824
9650000.000000 10.7142857143
9700000.000000 10.3448275862
9750000.000000 10.5263157895
9800000.000000 10.3448275862
9850000.000000 11.3207547170
9900000.000000 10.3448275862
9950000.000000 12.2448979592
10000000.000000 14.2857142857
10050000.000000 15.0000000000
10100000.000000 12.2448979592
10150000.000000 12.0000000000
10200000.000000 11.3207547170
10250000.000000 13.0434782609
10300000.000000 13.0434782609
10350000.000000 13.3333333333
10400000.000000 11.1111111111
10450000.000000 11.3207547170
10500000.000000 11.1111111111
10550000.000000 11.1111111111
10600000.000000 11.7647058824
10650000.000000 12.2448979592
10700000.000000 12.0000000000
10750000.000000 11.1111111111
10800000.000000 11.5384615385
10850000.000000 11.7647058824
10900000.000000 10.7142857143
10950000.000000 11.1111111111
11000000.000000 13.6363636364
11050000.000000 11.7647058824
11100000.000000 10.9090909091
11150000.000000 10.5263157895
11200000.000000 10.9090909091
11250000.000000 10.5263157895
11300000.000000 10.5263157895
11350000.000000 11.7647058824
11400000.000000 12.5000000000
11450000.000000 13.9534883721
11500000.000000 11.7647058824
11550000.000000 12.0000000000
11600000.000000 11.7647058824
11650000.000000 13.3333333333
11700000.000000 11.1111111111
11750000.000000 10.7142857143
11800000.000000 12.0000000000
11850000.000000 12.0000000000
11900000.000000 13.6363636364
11950000.000000 16.2162162162
12000000.000000 14.6341463415
12050000.000000 13.3333333333
12100000.000000 14.6341463415
12150000.000000 15.3846153846
12200000.000000 13.0434782609
12250000.000000 12.5000000000
12300000.000000 14.2857142857
12350000.000000 15.7894736842
12400000.000000 13.6363636364
12450000.000000 17.1428571429
12500000.000000 14.6341463415
12550000.000000 13.0434782609
12600000.000000 12.7659574468
12650000.000000 12.2448979592
12700000.000000 13.3333333333
12750000.000000 13.6363636364
12800000.000000 13.6363636364
12850000.000000 12.7659574468
12900000.000000 15.7894736842
12950000.000000 13.3333333333
13000000.000000 16.2162162162
13050000.000000 14.2857142857
13100000.000000 16.6666666667
13150000.000000 15.0000000000
13200000.000000 14.2857142857
13250000.000000 13.6363636364
13300000.000000 14.6341463415
13350000.000000 15.3846153846
13400000.000000 12.7659574468
13450000.000000 13.3333333333
13500000.000000 12.2448979592
13550000.000000 16.2162162162
13600000.000000 14.6341463415
13650000.000000 18.1818181818
13700000.000000 17.1428571429
13750000.000000 15.7894736842
13800000.000000 15.7894736842
13850000.000000 15.0000000000
13900000.000000 16.6666666667
13950000.000000 18.7500000000
14000000.000000 16.6666666667
14050000.000000 16.2162162162
14100000.000000 14.2857142857
14150000.000000 12.7659574468
14200000.000000 13.0434782609
14250000.000000 14.2857142857
14300000.000000 13.3333333333
14350000.000000 12.0000000000
14400000.000000 14.2857142857
14450000.000000 14.2857142857
14500000.000000 15.3846153846
14550000.000000 14.6341463415
14600000.000000 16.2162162162
14650000.000000 15.7894736842
14700000.000000 15.0000000000
14750000.000000 15.7894736842
14800000.000000 13.6363636364
14850000.000000 13.3333333333
14900000.000000 16.6666666667
14950000.000000 14.2857142857
15000000.000000 13.6363636364
15050000.000000 12.7659574468
15100000.000000 14.2857142857
15150000.000000 13.9534883721
15200000.000000 14.2857142857
15250000.000000 14.2857142857
15300000.000000 15.7894736842
15350000.000000 14.2857142857
15400000.000000 15.0000000000
15450000.000000 15.7894736842
15500000.000000 16.2162162162
15550000.000000 16.2162162162
15600000.000000 15.0000000000
15650000.000000 15.3846153846
15700000.000000 16.2162162162
15750000.000000 15.7894736842
15800000.000000 13.9534883721
15850000.000000 12.7659574468
15900000.000000 15.7894736842
15950000.000000 16.6666666667
16000000.000000 14.6341463415
16050000.000000 15.0000000000
16100000.000000 15.7894736842
16150000.000000 18.1818181818
16200000.000000 14.2857142857
16250000.000000 18.1818181818
16300000.000000 13.3333333333
16350000.000000 14.2857142857
16400000.000000 16.2162162162
16450000.000000 15.3846153846
16500000.000000 14.2857142857
16550000.000000 15.3846153846
16600000.000000 16.2162162162
16650000.000000 15.0000000000
16700000.000000 15.7894736842
16750000.000000 15.7894736842
16800000.000000 19.3548387097
16850000.000000 16.2162162162
16900000.000000 17.6470588235
16950000.000000 17.1428571429
17000000.000000 15.3846153846
17050000.000000 17.6470588235
17100000.000000 17.1428571429
17150000.000000 16.6666666667
17200000.000000 15.3846153846
17250000.000000 15.7894736842
17300000.000000 14.2857142857
17350000.000000 15.7894736842
17400000.000000 14.6341463415
17450000.000000 13.9534883721
17500000.000000 14.2857142857
17550000.000000 13.9534883721
17600000.000000 13.0434782609
17650000.000000 15.7894736842
17700000.000000 15.7894736842
17750000.000000 15.0000000000
17800000.000000 16.6666666667
17850000.000000 16.2162162162
17900000.000000 14.6341463415
17950000.000000 18.1818181818
18000000.000000 14.6341463415
18050000.000000 15.3846153846
18100000.000000 13.6363636364
18150000.000000 16.2162162162
18200000.000000 14.6341463415
18250000.000000 13.9534883721
18300000.000000 16.2162162162
18350000.000000 17.1428571429
18400000.000000 13.9534883721
18450000.000000 15.0000000000
18500000.000000 16.6666666667
18550000.000000 15.7894736842
18600000.000000 16.6666666667
18650000.000000 15.0000000000
18700000.000000 14.6341463415
18750000.000000 13.9534883721
18800000.000000 13.0434782609
18850000.000000 15.0000000000
18900000.000000 13.3333333333
18950000.000000 13.6363636364
19000000.000000 14.2857142857
19050000.000000 13.3333333333
19100000.000000 14.6341463415
19150000.000000 13.3333333333
19200000.000000 13.9534883721
19250000.000000 13.9534883721
19300000.000000 13.6363636364
19350000.000000 13.9534883721
19400000.000000 14.2857142857
19450000.000000 12.7659574468
19500000.000000 12.0000000000
19550000.000000 11.3207547170
19600000.000000 11.5384615385
19650000.000000 14.2857142857
19700000.000000 12.7659574468
19750000.000000 13.3333333333
19800000.000000 11.7647058824
19850000.000000 12.5000000000
19900000.000000 11.3207547170
19950000.000000 12.7659574468
20000000.000000 12.5000000000
