# time mean_cluster_size
50000.000000 60.0000000000
100000.000000 23.0769230769
150000.000000 19.3548387097
200000.000000 20.6896551724
250000.000000 16.2162162162
300000.000000 13.3333333333
350000.000000 13.6363636364
400000.000000 13.6363636364
450000.000000 12.7659574468
500000.000000 12.7659574468
550000.000000 12.7659574468
600000.000000 14.2857142857
650000.000000 13.9534883721
700000.000000 12.7659574468
750000.000000 12.5000000000
800000.000000 11.5384615385
850000.000000 10.1694915254
900000.000000 10.9090909091
950000.000000 11.5384615385
1000000.000000 12.2448979592
1050000.000000 10.9090909091
1100000.000000 9.0909090909
1150000.000000 11.5384615385
1200000.000000 12.7659574468
1250000.000000 12.5000000000
1300000.000000 12.0000000000
1350000.000000 11.5384615385
1400000.000000 11.5384615385
1450000.000000 13.0434782609
1500000.000000 12.2448979592
1550000.000000 10.9090909091
1600000.000000 11.7647058824
1650000.000000 11.3207547170
1700000.000000 13.6363636364
1750000.000000 12.2448979592
1800000.000000 13.6363636364
1850000.000000 11.7647058824
1900000.000000 11.3207547170
1950000.000000 11.5384615385
2000000.000000 12.7659574468
2050000.000000 11.7647058824
2100000.000000 12.7659574468
2150000.000000 12.5000000000
2200000.000000 12.7659574468
2250000.000000 15.7894736842
2300000.000000 12.5000000000
2350000.000000 10.5263157895
2400000.000000 12.0000000000
2450000.000000 10.3448275862
2500000.000000 11.3207547170
2550000.000000 10.7142857143
2600000.000000 12.5000000000
2650000.000000 14.2857142857
2700000.000000 11.5384615385
2750000.000000 11.5384615385
2800000.000000 10.7142857143
2850000.000000 9.6774193548
2900000.000000 9.3750000000
2950000.000000 9.5238095238
3000000.000000 10.5263157895
3050000.000000 11.1111111111
3100000.000000 9.5238095238
3150000.000000 12.5000000000
3200000.000000 11.1111111111
3250000.000000 10.1694915254
3300000.000000 9.3750000000
3350000.000000 9.3750000000
3400000.000000 10.3448275862
3450000.000000 12.0000000000
3500000.000000 11.1111111111
3550000.000000 10.7142857143
3600000.000000 11.1111111111
3650000.000000 9.3750000000
3700000.000000 9.6774193548
3750000.000000 8.9552238806
3800000.000000 8.9552238806
3850000.000000 9.8360655738
3900000.000000 10.9090909091
3950000.000000 10.7142857143
4000000.000000 10.5263157895
4050000.000000 11.1111111111
4100000.000000 10.3448275862
4150000.000000 11.1111111111
4200000.000000 10.9090909091
4250000.000000 10.0000000000
4300000.000000 10.7142857143
4350000.000000 10.7142857143
4400000.000000 10.9090909091
4450000.000000 10.5263157895
4500000.000000 10.0000000000
4550000.000000 10.5263157895
4600000.000000 11.1111111111
4650000.000000 11.1111111111
4700000.000000 9.8360655738
4750000.000000 9.5238095238
4800000.000000 9.5238095238
4850000.000000 9.8360655738
4900000.000000 10.0000000000
4950000.000000 8.8235294118
5000000.000000 8.9552238806
5050000.000000 8.6956521739
5100000.000000 9.0909090909
5150000.000000 10.3448275862
5200000.000000 11.1111111111
5250000.000000 11.5384615385
5300000.000000 10.3448275862
5350000.000000 10.3448275862
5400000.000000 10.3448275862
5450000.000000 10.0000000000
5500000.000000 9.0909090909
5550000.000000 9.2307692308
5600000.000000 10.0000000000
5650000.000000 9.0909090909
5700000.000000 9.0909090909
5750000.000000 9.6774193548
5800000.000000 8.6956521739
5850000.000000 8.5714285714
5900000.000000 10.1694915254
5950000.000000 10.0000000000
6000000.000000 10.9090909091
6050000.000000 9.6774193548
6100000.000000 9.3750000000
6150000.000000 8.8235294118
6200000.000000 9.3750000000
6250000.000000 10.3448275862
6300000.000000 9.8360655738
6350000.000000 10.9090909091
6400000.000000 9.8360655738
6450000.000000 11.5384615385
6500000.000000 11.1111111111
6550000.000000 10.5263157895
6600000.000000 11.5384615385
6650000.000000 11.3207547170
6700000.000000 10.3448275862
6750000.000000 10.3448275862
6800000.000000 9.0909090909
6850000.000000 11.5384615385
6900000.000000 10.1694915254
6950000.000000 10.1694915254
7000000.000000 10.7142857143
7050000.000000 9.5238095238
7100000.000000 9.0909090909
7150000.000000 10.0000000000
7200000.000000 9.8360655738
7250000.000000 10.5263157895
7300000.000000 12.7659574468
7350000.000000 13.0434782609
7400000.000000 12.0000000000
7450000.000000 13.6363636364
7500000.000000 12.2448979592
7550000.000000 13.3333333333
7600000.000000 13.9534883721
7650000.000000 12.0000000000
7700000.000000 12.2448979592
7750000.000000 12.0000000000
7800000.000000 12.2448979592
7850000.000000 11.3207547170
7900000.000000 10.5263157895
7950000.000000 10.5263157895
8000000.000000 12.2448979592
8050000.000000 13.6363636364
8100000.000000 12.7659574468
8150000.000000 12.2448979592
8200000.000000 13.9534883721
8250000.000000 13.0434782609
8300000.000000 14.6341463415
8350000.000000 13.0434782609
8400000.000000 13.0434782609
8450000.000000 12.7659574468
8500000.000000 11.7647058824
8550000.000000 12.5000000000
8600000.000000 15.3846153846
8650000.000000 11.3207547170
8700000.000000 14.2857142857
8750000.000000 12.0000000000
8800000.000000 11.7647058824
8850000.000000 11.3207547170
8900000.000000 12.5000000000
8950000.000000 13.0434782609
9000000.000000 14.2857142857
9050000.000000 15.7894736842
9100000.000000 11.7647058824
9150000.000000 15.0000000000
9200000.000000 12.7659574468
9250000.000000 11.5384615385
9300000.000000 11.7647058824
9350000.000000 13.6363636364
9400000.000000 15.3846153846
9450000.000000 13.9534883721
9500000.000000 13.9534883721
9550000.000000 13.3333333333
9600000.000000 14.6341463415
9650000.000000 12.0000000000
9700000.000000 11.7647058824
9750000.000000 10.5263157895
9800000.000000 12.7659574468
9850000.000000 14.6341463415
9900000.000000 15.0000000000
9950000.000000 12.2448979592
10000000.000000 13.9534883721
10050000.000000 13.3333333333
10100000.000000 13.9534883721
10150000.000000 11.5384615385
10200000.000000 11.7647058824
10250000.000000 12.2448979592
10300000.000000 11.7647058824
10350000.000000 10.5263157895
10400000.000000 10.9090909091
10450000.000000 12.0000000000
10500000.000000 10.1694915254
10550000.000000 10.7142857143
10600000.000000 11.1111111111
10650000.000000 10.3448275862
10700000.000000 9.5238095238
10750000.000000 9.3750000000
10800000.000000 10.3448275862
10850000.000000 10.5263157895
10900000.000000 8.9552238806
10950000.000000 10.1694915254
11000000.000000 9.8360655738
11050000.000000 10.1694915254
11100000.000000 9.8360655738
11150000.000000 8.4507042254
11200000.000000 9.3750000000
11250000.000000 10.7142857143
11300000.000000 11.1111111111
11350000.000000 10.5263157895
11400000.000000 11.7647058824
11450000.000000 10.9090909091
11500000.000000 10.9090909091
11550000.000000 11.1111111111
11600000.000000 10.7142857143
11650000.000000 11.1111111111
11700000.000000 10.9090909091
11750000.000000 11.5384615385
11800000.000000 11.1111111111
11850000.000000 10.5263157895
11900000.000000 10.5263157895
11950000.000000 13.0434782609
12000000.000000 12.0000000000
12050000.000000 12.2448979592
12100000.000000 10.3448275862
12150000.000000 10.1694915254
12200000.000000 12.5000000000
12250000.000000 12.0000000000
12300000.000000 11.5384615385
12350000.000000 10.3448275862
12400000.000000 11.5384615385
12450000.000000 12.5000000000
12500000.000000 10.5263157895
12550000.000000 10.1694915254
12600000.000000 11.7647058824
12650000.000000 10.5263157895
12700000.000000 12.0000000000
12750000.000000 13.6363636364
12800000.000000 13.6363636364
12850000.000000 12.7659574468
12900000.000000 14.2857142857
12950000.000000 12.5000000000
13000000.000000 11.7647058824
13050000.000000 14.2857142857
13100000.000000 11.1111111111
13150000.000000 11.3207547170
13200000.000000 10.7142857143
13250000.000000 12.0000000000
13300000.000000 12.5000000000
13350000.000000 10.9090909091
13400000.000000 11.5384615385
13450000.000000 12.2448979592
13500000.000000 11.5384615385
13550000.000000 10.0000000000
13600000.000000 12.5000000000
13650000.000000 12.5000000000
13700000.000000 12.5000000000
13750000.000000 12.2448979592
13800000.000000 11.3207547170
13850000.000000 10.7142857143
13900000.000000 10.9090909091
13950000.000000 10.7142857143
14000000.000000 10.1694915254
14050000.000000 10.5263157895
14100000.000000 11.7647058824
14150000.000000 11.3207547170
14200000.000000 13.3333333333
14250000.000000 13.3333333333
14300000.000000 14.2857142857
14350000.000000 13.9534883721
14400000.000000 12.7659574468
14450000.000000 13.6363636364
14500000.000000 12.7659574468
14550000.000000 14.2857142857
14600000.000000 13.3333333333
14650000.000000 13.3333333333
14700000.000000 13.6363636364
14750000.000000 15.3846153846
14800000.000000 15.7894736842
14850000.000000 15.0000000000
14900000.000000 13.6363636364
14950000.000000 14.6341463415
15000000.000000 15.0000000000
15050000.000000 15.3846153846
15100000.000000 14.2857142857
15150000.000000 13.0434782609
15200000.000000 13.9534883721
15250000.000000 14.6341463415
15300000.000000 12.7659574468
15350000.000000 11.1111111111
15400000.000000 11.7647058824
15450000.000000 11.3207547170
15500000.000000 13.0434782609
15550000.000000 12.2448979592
15600000.000000 12.2448979592
15650000.000000 12.5000000000
15700000.000000 10.9090909091
15750000.000000 10.9090909091
15800000.000000 11.5384615385
15850000.000000 12.2448979592
15900000.000000 13.0434782609
15950000.000000 12.2448979592
16000000.000000 10.5263157895
16050000.000000 12.5000000000
16100000.000000 11.1111111111
16150000.000000 11.1111111111
16200000.000000 10.9090909091
16250000.000000 11.3207547170
16300000.000000 10.3448275862
16350000.000000 11.5384615385
16400000.000000 11.5384615385
16450000.000000 10.9090909091
16500000.000000 10.1694915254
16550000.000000 11.3207547170
16600000.000000 10.1694915254
16650000.000000 10.9090909091
16700000.000000 10.9090909091
16750000.000000 11.5384615385
16800000.000000 11.3207547170
16850000.000000 11.3207547170
16900000.000000 10.5263157895
16950000.000000 10.9090909091
17000000.000000 10.3448275862
17050000.000000 10.0000000000
17100000.000000 11.3207547170
17150000.000000 11.3207547170
17200000.000000 12.5000000000
17250000.000000 13.9534883721
17300000.000000 12.2448979592
17350000.000000 11.1111111111
17400000.000000 11.3207547170
17450000.000000 11.7647058824
17500000.000000 11.1111111111
17550000.000000 11.1111111111
17600000.000000 12.2448979592
17650000.000000 12.2448979592
17700000.000000 12.7659574468
17750000.000000 11.5384615385
17800000.000000 13.6363636364
17850000.000000 12.0000000000
17900000.000000 12.2448979592
17950000.000000 12.2448979592
18000000.000000 14.2857142857
18050000.000000 14.2857142857
18100000.000000 12.0000000000
18150000.000000 13.0434782609
18200000.000000 13.6363636364
18250000.000000 12.7659574468
18300000.000000 13.0434782609
18350000.000000 13.6363636364
18400000.000000 12.0000000000
18450000.000000 13.6363636364
18500000.000000 13.0434782609
18550000.000000 12.7659574468
18600000.000000 11.3207547170
18650000.000000 13.3333333333
18700000.000000 13.9534883721
18750000.000000 14.2857142857
18800000.000000 14.6341463415
18850000.000000 14.6341463415
18900000.000000 13.6363636364
18950000.000000 14.2857142857
19000000.000000 15.7894736842
19050000.000000 13.9534883721
19100000.000000 16.2162162162
19150000.000000 16.2162162162
19200000.000000 17.6470588235
19250000.000000 15.7894736842
19300000.000000 15.7894736842
19350000.000000 15.3846153846
19400000.000000 18.1818181818
19450000.000000 13.9534883721
19500000.000000 15.7894736842
19550000.000000 16.2162162162
19600000.000000 13.9534883721
19650000.000000 14.2857142857
19700000.000000 15.3846153846
19750000.000000 13.3333333333
19800000.000000 13.6363636364
19850000.000000 12.2448979592
19900000.000000 13.0434782609
19950000.000000 12.5000000000
20000000.000000 13.3333333333
