# time largest_cluster_fraction_percent
50000.000000 60.1666666667
100000.000000 50.6666666667
150000.000000 49.6666666667
200000.000000 49.1666666667
250000.000000 49.3333333333
300000.000000 49.1666666667
350000.000000 48.3333333333
400000.000000 48.6666666667
450000.000000 48.6666666667
500000.000000 48.1666666667
550000.000000 48.3333333333
600000.000000 48.8333333333
650000.000000 49.0000000000
700000.000000 57.3333333333
750000.000000 48.1666666667
800000.000000 49.5000000000
850000.000000 49.5000000000
900000.000000 48.6666666667
950000.000000 56.3333333333
1000000.000000 48.6666666667
1050000.000000 48.1666666667
1100000.000000 56.1666666667
1150000.000000 56.0000000000
1200000.000000 56.3333333333
1250000.000000 56.3333333333
1300000.000000 56.1666666667
1350000.000000 56.5000000000
1400000.000000 57.0000000000
1450000.000000 56.3333333333
1500000.000000 56.8333333333
1550000.000000 56.3333333333
1600000.000000 56.0000000000
1650000.000000 55.8333333333
1700000.000000 55.8333333333
1750000.000000 55.3333333333
1800000.000000 53.3333333333
1850000.000000 54.3333333333
1900000.000000 54.6666666667
1950000.000000 54.6666666667
2000000.000000 54.5000000000
2050000.000000 53.8333333333
2100000.000000 54.0000000000
2150000.000000 54.5000000000
2200000.000000 54.6666666667
2250000.000000 55.5000000000
2300000.000000 54.6666666667
2350000.000000 55.5000000000
2400000.000000 55.0000000000
2450000.000000 55.3333333333
2500000.000000 55.5000000000
2550000.000000 55.3333333333
2600000.000000 55.8333333333
2650000.000000 56.3333333333
2700000.000000 55.5000000000
2750000.000000 55.3333333333
2800000.000000 55.1666666667
2850000.000000 56.0000000000
2900000.000000 55.5000000000
2950000.000000 55.5000000000
3000000.000000 55.3333333333
3050000.000000 55.0000000000
3100000.000000 55.6666666667
3150000.000000 55.3333333333
3200000.000000 55.0000000000
3250000.000000 55.0000000000
3300000.000000 54.6666666667
3350000.000000 55.1666666667
3400000.000000 55.5000000000
3450000.000000 55.0000000000
3500000.000000 54.8333333333
3550000.000000 55.1666666667
3600000.000000 54.8333333333
3650000.000000 54.8333333333
3700000.000000 55.0000000000
3750000.000000 56.0000000000
3800000.000000 55.1666666667
3850000.000000 57.1666666667
3900000.000000 55.8333333333
3950000.000000 56.5000000000
4000000.000000 57.3333333333
4050000.000000 56.8333333333
4100000.000000 57.0000000000
4150000.000000 56.8333333333
4200000.000000 57.0000000000
4250000.000000 56.3333333333
4300000.000000 55.5000000000
4350000.000000 55.8333333333
4400000.000000 56.1666666667
4450000.000000 56.5000000000
4500000.000000 56.3333333333
4550000.000000 56.0000000000
4600000.000000 56.5000000000
4650000.000000 56.0000000000
4700000.000000 55.3333333333
4750000.000000 55.6666666667
4800000.000000 56.0000000000
4850000.000000 55.6666666667
4900000.000000 56.0000000000
4950000.000000 57.3333333333
5000000.000000 56.0000000000
5050000.000000 55.8333333333
5100000.000000 56.5000000000
5150000.000000 56.0000000000
5200000.000000 55.8333333333
5250000.000000 55.8333333333
5300000.000000 55.8333333333
5350000.000000 55.8333333333
5400000.000000 55.6666666667
5450000.000000 55.0000000000
5500000.000000 55.0000000000
5550000.000000 55.5000000000
5600000.000000 55.0000000000
5650000.000000 55.0000000000
5700000.000000 57.1666666667
5750000.000000 54.1666666667
5800000.000000 55.1666666667
5850000.000000 55.5000000000
5900000.000000 55.6666666667
5950000.000000 55.1666666667
6000000.000000 56.0000000000
6050000.000000 55.8333333333
6100000.000000 55.6666666667
6150000.000000 55.3333333333
6200000.000000 55.6666666667
6250000.000000 56.3333333333
6300000.000000 56.0000000000
6350000.000000 56.1666666667
6400000.000000 55.8333333333
6450000.000000 55.6666666667
6500000.000000 56.1666666667
6550000.000000 57.6666666667
6600000.000000 58.8333333333
6650000.000000 58.6666666667
6700000.000000 57.6666666667
6750000.000000 57.5000000000
6800000.000000 57.3333333333
6850000.000000 57.3333333333
6900000.000000 57.1666666667
6950000.000000 57.1666666667
7000000.000000 56.8333333333
7050000.000000 56.6666666667
7100000.000000 57.1666666667
7150000.000000 56.8333333333
7200000.000000 57.5000000000
7250000.000000 57.3333333333
7300000.000000 57.8333333333
7350000.000000 57.0000000000
7400000.000000 57.6666666667
7450000.000000 59.1666666667
7500000.000000 60.5000000000
7550000.000000 58.3333333333
7600000.000000 57.6666666667
7650000.000000 58.5000000000
7700000.000000 58.0000000000
7750000.000000 58.8333333333
7800000.000000 58.6666666667
7850000.000000 59.0000000000
7900000.000000 58.6666666667
7950000.000000 58.6666666667
8000000.000000 59.1666666667
8050000.000000 58.6666666667
8100000.000000 59.1666666667
8150000.000000 58.1666666667
8200000.000000 57.3333333333
8250000.000000 57.0000000000
8300000.000000 57.6666666667
8350000.000000 57.1666666667
8400000.000000 56.3333333333
8450000.000000 58.3333333333
8500000.000000 56.8333333333
8550000.000000 57.0000000000
8600000.000000 58.0000000000
8650000.000000 59.1666666667
8700000.000000 58.0000000000
8750000.000000 57.5000000000
8800000.000000 57.0000000000
8850000.000000 57.6666666667
8900000.000000 57.1666666667
8950000.000000 56.8333333333
9000000.000000 57.3333333333
9050000.000000 58.0000000000
9100000.000000 59.5000000000
9150000.000000 59.0000000000
9200000.000000 58.6666666667
9250000.000000 58.6666666667
9300000.000000 57.8333333333
9350000.000000 57.8333333333
9400000.000000 56.8333333333
9450000.000000 57.3333333333
9500000.000000 58.1666666667
9550000.000000 58.6666666667
9600000.000000 57.5000000000
9650000.000000 57.5000000000
9700000.000000 57.1666666667
9750000.000000 58.1666666667
9800000.000000 57.8333333333
9850000.000000 57.8333333333
9900000.000000 57.5000000000
9950000.000000 58.0000000000
10000000.000000 58.0000000000
10050000.000000 57.8333333333
10100000.000000 57.3333333333
10150000.000000 57.3333333333
10200000.000000 57.8333333333
10250000.000000 57.3333333333
10300000.000000 58.0000000000
10350000.000000 58.8333333333
10400000.000000 59.1666666667
10450000.000000 58.3333333333
10500000.000000 59.0000000000
10550000.000000 59.6666666667
10600000.000000 59.1666666667
10650000.000000 59.3333333333
10700000.000000 59.3333333333
10750000.000000 59.5000000000
10800000.000000 59.0000000000
10850000.000000 59.3333333333
10900000.000000 59.6666666667
10950000.000000 57.8333333333
11000000.000000 58.6666666667
11050000.000000 58.6666666667
11100000.000000 58.8333333333
11150000.000000 59.6666666667
11200000.000000 58.6666666667
11250000.000000 58.6666666667
11300000.000000 59.8333333333
11350000.000000 58.8333333333
11400000.000000 59.0000000000
11450000.000000 57.8333333333
11500000.000000 59.1666666667
11550000.000000 58.3333333333
11600000.000000 58.8333333333
11650000.000000 58.3333333333
11700000.000000 58.5000000000
11750000.000000 58.1666666667
11800000.000000 57.8333333333
11850000.000000 58.0000000000
11900000.000000 57.5000000000
11950000.000000 58.0000000000
12000000.000000 57.3333333333
12050000.000000 57.5000000000
12100000.000000 57.8333333333
12150000.000000 58.8333333333
12200000.000000 58.1666666667
12250000.000000 58.6666666667
12300000.000000 58.6666666667
12350000.000000 57.3333333333
12400000.000000 58.3333333333
12450000.000000 58.1666666667
12500000.000000 57.8333333333
12550000.000000 58.5000000000
12600000.000000 58.8333333333
12650000.000000 58.1666666667
12700000.000000 57.5000000000
12750000.000000 57.3333333333
12800000.000000 56.8333333333
12850000.000000 58.5000000000
12900000.000000 57.0000000000
12950000.000000 58.3333333333
13000000.000000 58.0000000000
13050000.000000 58.6666666667
13100000.000000 59.1666666667
13150000.000000 59.1666666667
13200000.000000 59.3333333333
13250000.000000 59.3333333333
13300000.000000 59.5000000000
13350000.000000 59.3333333333
13400000.000000 59.1666666667
13450000.000000 59.5000000000
13500000.000000 59.3333333333
13550000.000000 59.3333333333
13600000.000000 59.6666666667
13650000.000000 59.3333333333
13700000.000000 60.0000000000
13750000.000000 60.8333333333
13800000.000000 60.0000000000
13850000.000000 60.0000000000
13900000.000000 59.8333333333
13950000.000000 59.3333333333
14000000.000000 59.5000000000
14050000.000000 59.5000000000
14100000.000000 58.3333333333
14150000.000000 58.5000000000
14200000.000000 59.0000000000
14250000.000000 58.5000000000
14300000.000000 58.8333333333
14350000.000000 57.8333333333
14400000.000000 58.3333333333
14450000.000000 58.0000000000
14500000.000000 58.6666666667
14550000.000000 59.3333333333
14600000.000000 58.6666666667
14650000.000000 58.8333333333
14700000.000000 59.5000000000
14750000.000000 59.0000000000
14800000.000000 57.5000000000
14850000.000000 58.3333333333
14900000.000000 59.0000000000
14950000.000000 58.6666666667
15000000.000000 60.5000000000
15050000.000000 59.8333333333
15100000.000000 60.1666666667
15150000.000000 59.8333333333
15200000.000000 60.5000000000
15250000.000000 60.0000000000
15300000.000000 59.3333333333
15350000.000000 60.8333333333
15400000.000000 60.8333333333
15450000.000000 61.0000000000
15500000.000000 59.6666666667
15550000.000000 60.1666666667
15600000.000000 59.5000000000
15650000.000000 59.3333333333
15700000.000000 59.5000000000
15750000.000000 59.1666666667
15800000.000000 58.5000000000
15850000.000000 59.0000000000
15900000.000000 59.0000000000
15950000.000000 57.8333333333
16000000.000000 58.0000000000
16050000.000000 58.3333333333
16100000.000000 58.5000000000
16150000.000000 57.3333333333
16200000.000000 57.3333333333
16250000.000000 57.6666666667
16300000.000000 59.3333333333
16350000.000000 58.8333333333
16400000.000000 58.8333333333
16450000.000000 59.0000000000
16500000.000000 58.5000000000
16550000.000000 58.8333333333
16600000.000000 58.8333333333
16650000.000000 58.3333333333
16700000.000000 58.8333333333
16750000.000000 58.3333333333
16800000.000000 57.8333333333
16850000.000000 59.0000000000
16900000.000000 58.6666666667
16950000.000000 58.6666666667
17000000.000000 59.3333333333
17050000.000000 59.6666666667
17100000.000000 59.6666666667
17150000.000000 59.1666666667
17200000.000000 59.6666666667
17250000.000000 59.3333333333
17300000.000000 59.3333333333
17350000.000000 59.8333333333
17400000.000000 59.1666666667
17450000.000000 59.5000000000
17500000.000000 59.1666666667
17550000.000000 59.1666666667
17600000.000000 59.0000000000
17650000.000000 58.3333333333
17700000.000000 59.3333333333
17750000.000000 58.6666666667
17800000.000000 59.5000000000
17850000.000000 58.3333333333
17900000.000000 59.0000000000
17950000.000000 59.5000000000
18000000.000000 59.5000000000
18050000.000000 59.3333333333
18100000.000000 59.6666666667
18150000.000000 58.8333333333
18200000.000000 59.1666666667
18250000.000000 59.8333333333
18300000.000000 60.1666666667
18350000.000000 59.8333333333
18400000.000000 59.6666666667
18450000.000000 59.6666666667
18500000.000000 59.8333333333
18550000.000000 60.5000000000
18600000.000000 60.1666666667
18650000.000000 60.0000000000
18700000.000000 60.6666666667
18750000.000000 60.5000000000
18800000.000000 60.3333333333
18850000.000000 60.0000000000
18900000.000000 60.5000000000
18950000.000000 59.8333333333
19000000.000000 60.3333333333
19050000.000000 60.6666666667
19100000.000000 60.8333333333
19150000.000000 61.0000000000
19200000.000000 59.3333333333
19250000.000000 60.0000000000
19300000.000000 59.6666666667
19350000.000000 60.3333333333
19400000.000000 60.8333333333
19450000.000000 60.1666666667
19500000.000000 60.3333333333
19550000.000000 60.8333333333
19600000.000000 60.3333333333
19650000.000000 61.3333333333
19700000.000000 60.6666666667
19750000.000000 60.1666666667
19800000.000000 60.3333333333
19850000.000000 60.3333333333
19900000.000000 60.1666666667
19950000.000000 60.3333333333
20000000.000000 60.3333333333
