# time largest_cluster_rg
50000.000000 24.5995862729
100000.000000 22.3139565205
150000.000000 22.8091186294
200000.000000 21.4607967074
250000.000000 21.6322798786
300000.000000 22.2691409336
350000.000000 21.3040717637
400000.000000 20.9863717575
450000.000000 20.0735353971
500000.000000 19.5072854376
550000.000000 20.1321384396
600000.000000 19.6337314509
650000.000000 19.4520631893
700000.000000 31.4031605064
750000.000000 18.9712367660
800000.000000 19.6956028745
850000.000000 19.5414890540
900000.000000 19.2374702134
950000.000000 19.9669792148
1000000.000000 20.7033062051
1050000.000000 19.7900901817
1100000.000000 20.3568317742
1150000.000000 20.3901632260
1200000.000000 19.6980081674
1250000.000000 18.9992829206
1300000.000000 19.0393241404
1350000.000000 19.6730384586
1400000.000000 20.3188393533
1450000.000000 19.0491890004
1500000.000000 17.7887656389
1550000.000000 17.7166855219
1600000.000000 17.8093095141
1650000.000000 18.0542600045
1700000.000000 17.4519531587
1750000.000000 17.7204095498
1800000.000000 16.1871329872
1850000.000000 16.2900862083
1900000.000000 16.1651077729
1950000.000000 17.3837788923
2000000.000000 16.0494406805
2050000.000000 15.8784399237
2100000.000000 15.1678356513
2150000.000000 14.4427626232
2200000.000000 15.2039437851
2250000.000000 15.4822746692
2300000.000000 13.9101352212
2350000.000000 14.1036021470
2400000.000000 13.7656963607
2450000.000000 13.2721731024
2500000.000000 13.6025795316
2550000.000000 13.9434148026
2600000.000000 13.9263913935
2650000.000000 14.5269195034
2700000.000000 14.2710738296
2750000.000000 14.2778079862
2800000.000000 13.8331463164
2850000.000000 15.6095326176
2900000.000000 14.2402902315
2950000.000000 13.8492055468
3000000.000000 13.8619795959
3050000.000000 13.7959116191
3100000.000000 14.0048210823
3150000.000000 13.9712497208
3200000.000000 13.7992156095
3250000.000000 13.6774857168
3300000.000000 13.3034015040
3350000.000000 14.0149126276
3400000.000000 14.4046996758
3450000.000000 14.6146444447
3500000.000000 14.5497397041
3550000.000000 13.7910557951
3600000.000000 13.9729559360
3650000.000000 13.9843374401
3700000.000000 14.3388672753
3750000.000000 14.0102378749
3800000.000000 13.6591943396
3850000.000000 15.8205990867
3900000.000000 13.5159742151
3950000.000000 13.4726902498
4000000.000000 13.7611946399
4050000.000000 13.6669120501
4100000.000000 13.3447783820
4150000.000000 13.9126059506
4200000.000000 13.6107987185
4250000.000000 13.9049121932
4300000.000000 13.1905981014
4350000.000000 14.7786480618
4400000.000000 15.1899714862
4450000.000000 14.6171182498
4500000.000000 13.9440076139
4550000.000000 12.9782633725
4600000.000000 13.8009634716
4650000.000000 13.6015200544
4700000.000000 13.1842325854
4750000.000000 13.3880577946
4800000.000000 13.7865780493
4850000.000000 13.7761847572
4900000.000000 17.4478523561
4950000.000000 14.2508652999
5000000.000000 14.3740382079
5050000.000000 13.7121140409
5100000.000000 14.5458572604
5150000.000000 13.5791621618
5200000.000000 13.2128217085
5250000.000000 13.1072422021
5300000.000000 13.6109545842
5350000.000000 13.8587951705
5400000.000000 13.7596709135
5450000.000000 14.5548286140
5500000.000000 14.4228231131
5550000.000000 14.3773778585
5600000.000000 14.9105899245
5650000.000000 14.5837549146
5700000.000000 40.6210994918
5750000.000000 13.6868216991
5800000.000000 13.7554798071
5850000.000000 14.4321572875
5900000.000000 13.7139526197
5950000.000000 14.3312372595
6000000.000000 14.2027479314
6050000.000000 14.0116208288
6100000.000000 13.6413435760
6150000.000000 15.5338902339
6200000.000000 14.8095482410
6250000.000000 14.5784638084
6300000.000000 16.1591246642
6350000.000000 15.0145860643
6400000.000000 16.1797209644
6450000.000000 14.5797677827
6500000.000000 14.4555845774
6550000.000000 14.4237005186
6600000.000000 20.5978267086
6650000.000000 17.8313248882
6700000.000000 17.4489741569
6750000.000000 15.0473313774
