# time largest_cluster_rg
50000.000000 42.4893994440
100000.000000 29.4305880078
150000.000000 37.4775639459
200000.000000 37.0736641853
250000.000000 28.0734985486
300000.000000 27.9778178980
350000.000000 25.5948574452
400000.000000 27.6512526587
450000.000000 27.8089298976
500000.000000 28.4697393955
550000.000000 39.7662280795
600000.000000 39.2613748443
650000.000000 39.1690847829
700000.000000 28.4258977172
750000.000000 21.2473723406
800000.000000 42.5461475376
850000.000000 21.0287597767
900000.000000 22.4935042803
950000.000000 19.5590883063
1000000.000000 23.4912946135
1050000.000000 18.9342216551
1100000.000000 18.8571530407
1150000.000000 18.6497383252
1200000.000000 17.7406120997
1250000.000000 18.0094509986
1300000.000000 18.0409995975
1350000.000000 18.1165594110
1400000.000000 18.2541960234
1450000.000000 18.2331378549
1500000.000000 21.1013310851
1550000.000000 17.3289330294
1600000.000000 17.5018299486
1650000.000000 20.2031632694
1700000.000000 17.2633145773
1750000.000000 16.7140965827
1800000.000000 16.9259656815
1850000.000000 17.9795190070
1900000.000000 16.3474412944
1950000.000000 16.8875369113
2000000.000000 15.4227942137
2050000.000000 15.7523617753
2100000.000000 23.8554956003
2150000.000000 14.9792964198
2200000.000000 14.7685277803
2250000.000000 15.0440767960
2300000.000000 14.8981651496
2350000.000000 14.8474294007
2400000.000000 14.9507761932
2450000.000000 15.1929221472
2500000.000000 14.8674596640
2550000.000000 17.0043527283
2600000.000000 14.5006279391
2650000.000000 13.9445304130
2700000.000000 13.8735920990
2750000.000000 14.7957275006
2800000.000000 13.6986552484
2850000.000000 13.7807683112
2900000.000000 13.9430203141
2950000.000000 14.0475094129
3000000.000000 13.7878984166
3050000.000000 13.9637813368
3100000.000000 13.5154067673
3150000.000000 13.5879667122
3200000.000000 13.0102506934
3250000.000000 12.9757546278
3300000.000000 12.5478613617
3350000.000000 12.4788997049
3400000.000000 12.6997775371
3450000.000000 12.5948878427
3500000.000000 12.7113288297
3550000.000000 13.0446099182
3600000.000000 13.3095511176
3650000.000000 13.0017061183
3700000.000000 18.7068757212
3750000.000000 20.3534357179
3800000.000000 13.1912010593
3850000.000000 12.8959188966
3900000.000000 13.0360029554
3950000.000000 20.0710034041
4000000.000000 19.9109133083
4050000.000000 13.2914985616
4100000.000000 21.1766181819
4150000.000000 21.6420289739
4200000.000000 12.4920379834
4250000.000000 12.5817443104
4300000.000000 12.6884348022
4350000.000000 12.2276688218
4400000.000000 12.6548507204
4450000.000000 12.3574979355
4500000.000000 12.5280222749
4550000.000000 12.3880357063
4600000.000000 12.6751689088
4650000.000000 12.7464726806
4700000.000000 12.4460272925
4750000.000000 12.2286148843
4800000.000000 12.5919609885
4850000.000000 12.2853356869
4900000.000000 12.1142567663
4950000.000000 12.1727603150
5000000.000000 12.0595015959
5050000.000000 11.9212491025
5100000.000000 12.1371017861
5150000.000000 11.7649192417
5200000.000000 11.7793152075
5250000.000000 11.7457819635
5300000.000000 11.7716463908
5350000.000000 12.1184340104
5400000.000000 11.8154317886
5450000.000000 12.1986994128
5500000.000000 12.1090595790
5550000.000000 11.9318377283
5600000.000000 12.0581282030
5650000.000000 12.2371427802
5700000.000000 11.8312707194
5750000.000000 11.9153253912
5800000.000000 11.7629029665
5850000.000000 11.9229901119
5900000.000000 12.2897618776
5950000.000000 12.3114614772
6000000.000000 12.4801574151
6050000.000000 12.0883136209
6100000.000000 12.1547712003
6150000.000000 18.8931827753
6200000.000000 11.9948891187
6250000.000000 12.2877848892
6300000.000000 19.3957876133
6350000.000000 14.1154861340
6400000.000000 13.3155159368
6450000.000000 19.6040358570
