# cluster_size probability
1.000000000000000000e+00 7.346388875523264250e-01
2.000000000000000000e+00 1.336669393254101834e-01
3.000000000000000000e+00 3.868546408122022773e-02
4.000000000000000000e+00 1.390559591974209648e-02
5.000000000000000000e+00 6.351344849155560190e-03
6.000000000000000000e+00 2.405812442861954368e-03
7.000000000000000000e+00 1.251022470288216427e-03
8.000000000000000000e+00 5.773949862868690787e-04
9.000000000000000000e+00 7.698599817158254021e-04
1.000000000000000000e+01 5.292787374296299436e-04
1.100000000000000000e+01 5.292787374296299436e-04
1.200000000000000000e+01 1.924649954289563505e-04
1.300000000000000000e+01 4.811624885723908763e-05
1.400000000000000000e+01 9.623249771447817526e-05
1.500000000000000000e+01 1.924649954289563505e-04
1.600000000000000000e+01 1.443487465717172697e-04
1.700000000000000000e+01 1.443487465717172697e-04
1.800000000000000000e+01 1.924649954289563505e-04
1.900000000000000000e+01 3.368137420006736202e-04
2.000000000000000000e+01 9.623249771447817526e-05
2.100000000000000000e+01 4.811624885723908763e-05
2.200000000000000000e+01 9.623249771447817526e-05
2.300000000000000000e+01 1.443487465717172697e-04
2.400000000000000000e+01 1.924649954289563505e-04
2.500000000000000000e+01 4.330462397151517819e-04
2.600000000000000000e+01 4.330462397151517819e-04
2.700000000000000000e+01 7.217437328585863754e-04
2.800000000000000000e+01 4.811624885723909169e-04
2.900000000000000000e+01 9.623249771447817526e-05
3.000000000000000000e+01 2.886974931434345393e-04
3.100000000000000000e+01 2.405812442861954585e-04
3.200000000000000000e+01 1.924649954289563505e-04
3.300000000000000000e+01 4.811624885723908763e-05
3.400000000000000000e+01 9.623249771447817526e-05
3.500000000000000000e+01 1.443487465717172697e-04
3.600000000000000000e+01 3.368137420006736202e-04
3.700000000000000000e+01 4.330462397151517819e-04
3.800000000000000000e+01 5.773949862868690787e-04
3.900000000000000000e+01 6.736274840013472404e-04
4.000000000000000000e+01 6.255112351441082137e-04
4.100000000000000000e+01 5.773949862868690787e-04
4.200000000000000000e+01 1.010441226002020861e-03
4.300000000000000000e+01 5.773949862868690787e-04
4.400000000000000000e+01 6.736274840013472404e-04
4.500000000000000000e+01 4.330462397151517819e-04
4.600000000000000000e+01 5.773949862868690787e-04
4.700000000000000000e+01 5.292787374296299436e-04
4.800000000000000000e+01 8.179762305730645371e-04
4.900000000000000000e+01 1.010441226002020861e-03
5.000000000000000000e+01 3.849299908579127010e-04
5.100000000000000000e+01 5.773949862868690787e-04
5.200000000000000000e+01 6.736274840013472404e-04
5.300000000000000000e+01 6.255112351441082137e-04
5.400000000000000000e+01 1.443487465717172751e-03
5.500000000000000000e+01 1.347254968002694481e-03
5.600000000000000000e+01 1.347254968002694481e-03
5.700000000000000000e+01 1.106673723716499131e-03
5.800000000000000000e+01 1.347254968002694481e-03
5.900000000000000000e+01 1.202906221430977184e-03
6.000000000000000000e+01 8.179762305730645371e-04
6.100000000000000000e+01 9.623249771447818339e-04
6.200000000000000000e+01 7.698599817158254021e-04
6.300000000000000000e+01 4.811624885723909169e-04
6.400000000000000000e+01 2.405812442861954585e-04
6.500000000000000000e+01 2.886974931434345393e-04
6.600000000000000000e+01 2.405812442861954585e-04
6.700000000000000000e+01 4.811624885723908763e-05
6.800000000000000000e+01 4.811624885723908763e-05
6.900000000000000000e+01 1.924649954289563505e-04
