# time cluster_size count
50000.000000 150 1
100000.000000 150 1
150000.000000 150 1
200000.000000 150 1
250000.000000 150 1
300000.000000 150 1
350000.000000 150 1
400000.000000 150 1
450000.000000 150 1
500000.000000 150 1
550000.000000 150 1
600000.000000 150 1
650000.000000 150 1
700000.000000 150 1
750000.000000 150 1
800000.000000 150 1
850000.000000 150 1
900000.000000 150 1
950000.000000 150 1
1000000.000000 150 1
1050000.000000 150 1
1100000.000000 150 1
1150000.000000 150 1
1200000.000000 150 1
1250000.000000 150 1
1300000.000000 150 1
1350000.000000 150 1
1400000.000000 150 1
1450000.000000 150 1
1500000.000000 150 1
1550000.000000 150 1
1600000.000000 150 1
1650000.000000 150 1
1700000.000000 150 1
1750000.000000 150 1
1800000.000000 150 1
1850000.000000 150 1
1900000.000000 150 1
1950000.000000 150 1
2000000.000000 150 1
2050000.000000 150 1
2100000.000000 150 1
2150000.000000 150 1
2200000.000000 150 1
2250000.000000 150 1
2300000.000000 150 1
2350000.000000 150 1
2400000.000000 150 1
2450000.000000 150 1
2500000.000000 150 1
2550000.000000 150 1
2600000.000000 150 1
2650000.000000 150 1
2700000.000000 150 1
2750000.000000 150 1
2800000.000000 150 1
2850000.000000 150 1
2900000.000000 150 1
2950000.000000 150 1
3000000.000000 150 1
3050000.000000 150 1
3100000.000000 150 1
3150000.000000 150 1
3200000.000000 150 1
3250000.000000 150 1
3300000.000000 150 1
3350000.000000 150 1
3400000.000000 150 1
3450000.000000 150 1
3500000.000000 150 1
3550000.000000 150 1
3600000.000000 150 1
3650000.000000 150 1
3700000.000000 150 1
3750000.000000 150 1
3800000.000000 150 1
3850000.000000 150 1
3900000.000000 150 1
3950000.000000 150 1
4000000.000000 150 1
4050000.000000 150 1
4100000.000000 150 1
4150000.000000 150 1
4200000.000000 150 1
4250000.000000 150 1
4300000.000000 150 1
4350000.000000 150 1
4400000.000000 150 1
4450000.000000 150 1
4500000.000000 150 1
4550000.000000 150 1
4600000.000000 150 1
4650000.000000 150 1
4700000.000000 150 1
4750000.000000 150 1
4800000.000000 150 1
4850000.000000 150 1
4900000.000000 150 1
4950000.000000 150 1
5000000.000000 150 1
5050000.000000 150 1
5100000.000000 150 1
5150000.000000 150 1
5200000.000000 150 1
5250000.000000 150 1
5300000.000000 150 1
5350000.000000 150 1
5400000.000000 150 1
5450000.000000 150 1
5500000.000000 150 1
5550000.000000 150 1
5600000.000000 150 1
5650000.000000 150 1
5700000.000000 150 1
5750000.000000 150 1
5800000.000000 150 1
5850000.000000 150 1
5900000.000000 150 1
5950000.000000 150 1
6000000.000000 150 1
6050000.000000 150 1
6100000.000000 150 1
6150000.000000 150 1
6200000.000000 150 1
6250000.000000 150 1
6300000.000000 150 1
6350000.000000 150 1
6400000.000000 150 1
6450000.000000 150 1
6500000.000000 150 1
6550000.000000 150 1
6600000.000000 150 1
6650000.000000 150 1
6700000.000000 150 1
6750000.000000 150 1
6800000.000000 150 1
6850000.000000 150 1
6900000.000000 150 1
6950000.000000 150 1
7000000.000000 150 1
7050000.000000 150 1
7100000.000000 150 1
7150000.000000 150 1
7200000.000000 150 1
7250000.000000 150 1
7300000.000000 150 1
7350000.000000 150 1
7400000.000000 150 1
7450000.000000 150 1
7500000.000000 150 1
7550000.000000 150 1
7600000.000000 150 1
7650000.000000 150 1
7700000.000000 150 1
7750000.000000 150 1
7800000.000000 150 1
7850000.000000 150 1
7900000.000000 150 1
7950000.000000 150 1
8000000.000000 150 1
8050000.000000 150 1
8100000.000000 150 1
8150000.000000 150 1
8200000.000000 150 1
8250000.000000 150 1
8300000.000000 150 1
8350000.000000 150 1
8400000.000000 150 1
8450000.000000 150 1
8500000.000000 150 1
8550000.000000 150 1
8600000.000000 150 1
8650000.000000 150 1
8700000.000000 150 1
8750000.000000 150 1
8800000.000000 150 1
8850000.000000 150 1
8900000.000000 150 1
8950000.000000 150 1
9000000.000000 150 1
9050000.000000 150 1
9100000.000000 150 1
9150000.000000 150 1
9200000.000000 150 1
9250000.000000 150 1
9300000.000000 150 1
9350000.000000 150 1
9400000.000000 150 1
9450000.000000 150 1
9500000.000000 150 1
9550000.000000 150 1
9600000.000000 150 1
9650000.000000 150 1
9700000.000000 150 1
9750000.000000 150 1
9800000.000000 150 1
9850000.000000 150 1
9900000.000000 150 1
9950000.000000 150 1
10000000.000000 150 1
10050000.000000 150 1
10100000.000000 150 1
10150000.000000 150 1
10200000.000000 150 1
10250000.000000 150 1
10300000.000000 150 1
10350000.000000 150 1
10400000.000000 150 1
10450000.000000 150 1
10500000.000000 150 1
10550000.000000 150 1
10600000.000000 150 1
10650000.000000 150 1
10700000.000000 150 1
10750000.000000 150 1
10800000.000000 150 1
10850000.000000 150 1
10900000.000000 150 1
10950000.000000 150 1
11000000.000000 150 1
11050000.000000 150 1
11100000.000000 150 1
11150000.000000 150 1
11200000.000000 150 1
11250000.000000 150 1
11300000.000000 150 1
11350000.000000 150 1
11400000.000000 150 1
11450000.000000 150 1
11500000.000000 150 1
11550000.000000 150 1
11600000.000000 150 1
11650000.000000 150 1
11700000.000000 150 1
11750000.000000 150 1
11800000.000000 150 1
11850000.000000 150 1
11900000.000000 150 1
11950000.000000 150 1
12000000.000000 150 1
12050000.000000 150 1
12100000.000000 150 1
12150000.000000 150 1
12200000.000000 150 1
12250000.000000 150 1
12300000.000000 150 1
12350000.000000 150 1
12400000.000000 150 1
12450000.000000 150 1
12500000.000000 150 1
12550000.000000 150 1
12600000.000000 150 1
12650000.000000 150 1
12700000.000000 150 1
12750000.000000 150 1
12800000.000000 150 1
12850000.000000 150 1
12900000.000000 150 1
12950000.000000 150 1
13000000.000000 150 1
13050000.000000 150 1
13100000.000000 150 1
13150000.000000 150 1
13200000.000000 150 1
13250000.000000 150 1
13300000.000000 150 1
13350000.000000 150 1
13400000.000000 150 1
13450000.000000 150 1
13500000.000000 150 1
13550000.000000 150 1
13600000.000000 150 1
13650000.000000 150 1
13700000.000000 150 1
13750000.000000 150 1
13800000.000000 150 1
13850000.000000 150 1
13900000.000000 150 1
13950000.000000 150 1
14000000.000000 150 1
14050000.000000 150 1
14100000.000000 150 1
14150000.000000 150 1
14200000.000000 150 1
14250000.000000 150 1
14300000.000000 150 1
14350000.000000 150 1
14400000.000000 150 1
14450000.000000 150 1
14500000.000000 150 1
14550000.000000 150 1
14600000.000000 150 1
14650000.000000 150 1
14700000.000000 150 1
14750000.000000 150 1
14800000.000000 150 1
14850000.000000 150 1
14900000.000000 150 1
14950000.000000 150 1
15000000.000000 150 1
15050000.000000 150 1
15100000.000000 150 1
15150000.000000 150 1
15200000.000000 150 1
15250000.000000 150 1
15300000.000000 150 1
15350000.000000 150 1
15400000.000000 150 1
15450000.000000 150 1
15500000.000000 150 1
15550000.000000 150 1
15600000.000000 150 1
15650000.000000 150 1
15700000.000000 150 1
15750000.000000 150 1
15800000.000000 150 1
15850000.000000 150 1
15900000.000000 150 1
15950000.000000 150 1
16000000.000000 150 1
16050000.000000 150 1
16100000.000000 150 1
16150000.000000 150 1
16200000.000000 150 1
16250000.000000 150 1
16300000.000000 150 1
16350000.000000 150 1
16400000.000000 150 1
16450000.000000 150 1
16500000.000000 150 1
16550000.000000 150 1
16600000.000000 150 1
16650000.000000 150 1
16700000.000000 150 1
16750000.000000 150 1
16800000.000000 150 1
16850000.000000 150 1
16900000.000000 150 1
16950000.000000 150 1
17000000.000000 150 1
17050000.000000 150 1
17100000.000000 150 1
17150000.000000 150 1
17200000.000000 150 1
17250000.000000 150 1
17300000.000000 150 1
17350000.000000 150 1
17400000.000000 150 1
17450000.000000 150 1
17500000.000000 150 1
17550000.000000 150 1
17600000.000000 150 1
17650000.000000 150 1
17700000.000000 150 1
17750000.000000 150 1
17800000.000000 150 1
17850000.000000 150 1
17900000.000000 150 1
17950000.000000 150 1
18000000.000000 150 1
18050000.000000 150 1
18100000.000000 150 1
18150000.000000 150 1
18200000.000000 150 1
18250000.000000 150 1
18300000.000000 150 1
18350000.000000 150 1
18400000.000000 150 1
18450000.000000 150 1
18500000.000000 150 1
18550000.000000 150 1
18600000.000000 150 1
18650000.000000 150 1
18700000.000000 150 1
18750000.000000 150 1
18800000.000000 150 1
18850000.000000 150 1
18900000.000000 150 1
18950000.000000 150 1
19000000.000000 150 1
19050000.000000 150 1
19100000.000000 150 1
19150000.000000 150 1
19200000.000000 150 1
19250000.000000 150 1
19300000.000000 150 1
19350000.000000 150 1
19400000.000000 150 1
19450000.000000 150 1
19500000.000000 150 1
19550000.000000 150 1
19600000.000000 150 1
19650000.000000 150 1
19700000.000000 150 1
19750000.000000 150 1
19800000.000000 150 1
19850000.000000 150 1
19900000.000000 150 1
19950000.000000 150 1
20000000.000000 150 1
