# time cluster_size count
50000.000000 1 2
50000.000000 2 2
50000.000000 594 1
100000.000000 1 10
100000.000000 2 3
100000.000000 3 1
100000.000000 114 1
100000.000000 467 1
150000.000000 1 19
150000.000000 2 3
150000.000000 3 1
150000.000000 6 1
150000.000000 57 1
150000.000000 99 1
150000.000000 104 1
150000.000000 306 1
200000.000000 1 23
200000.000000 2 5
200000.000000 10 1
200000.000000 47 1
200000.000000 53 1
200000.000000 55 1
200000.000000 402 1
250000.000000 1 29
250000.000000 2 1
250000.000000 3 2
250000.000000 4 1
250000.000000 5 1
250000.000000 102 1
250000.000000 158 1
250000.000000 294 1
300000.000000 1 24
300000.000000 2 5
300000.000000 58 1
300000.000000 100 1
300000.000000 109 1
300000.000000 299 1
350000.000000 1 20
350000.000000 2 4
350000.000000 3 1
350000.000000 8 1
350000.000000 561 1
400000.000000 1 22
400000.000000 2 6
400000.000000 5 1
400000.000000 107 1
400000.000000 162 1
400000.000000 292 1
450000.000000 1 21
450000.000000 2 5
450000.000000 3 2
450000.000000 5 1
450000.000000 109 1
450000.000000 160 1
450000.000000 289 1
500000.000000 1 30
500000.000000 2 1
500000.000000 4 3
500000.000000 266 1
500000.000000 290 1
550000.000000 1 32
550000.000000 2 7
550000.000000 3 3
550000.000000 104 1
550000.000000 149 1
550000.000000 292 1
600000.000000 1 29
600000.000000 2 6
600000.000000 3 1
600000.000000 4 1
600000.000000 48 1
600000.000000 104 1
600000.000000 110 1
600000.000000 290 1
650000.000000 1 31
650000.000000 2 5
650000.000000 3 1
650000.000000 4 1
650000.000000 5 1
650000.000000 43 1
650000.000000 504 1
700000.000000 1 20
700000.000000 2 11
700000.000000 4 1
700000.000000 6 1
700000.000000 147 1
700000.000000 401 1
750000.000000 1 31
750000.000000 2 7
750000.000000 6 1
750000.000000 42 1
750000.000000 108 1
750000.000000 399 1
800000.000000 1 26
800000.000000 2 3
800000.000000 3 1
800000.000000 4 1
800000.000000 6 1
800000.000000 47 1
800000.000000 508 1
850000.000000 1 29
850000.000000 2 3
850000.000000 3 2
850000.000000 5 2
850000.000000 6 1
850000.000000 43 1
850000.000000 105 1
850000.000000 106 1
850000.000000 289 1
900000.000000 1 26
900000.000000 2 6
900000.000000 3 2
900000.000000 5 1
900000.000000 106 1
900000.000000 155 1
900000.000000 290 1
950000.000000 1 26
950000.000000 2 5
950000.000000 3 1
950000.000000 6 1
950000.000000 48 1
950000.000000 106 1
950000.000000 163 1
950000.000000 238 1
1000000.000000 1 41
1000000.000000 2 5
1000000.000000 49 1
1000000.000000 104 1
1000000.000000 396 1
1050000.000000 1 37
1050000.000000 2 2
1050000.000000 3 2
1050000.000000 108 1
1050000.000000 162 1
1050000.000000 283 1
1100000.000000 1 37
1100000.000000 2 2
1100000.000000 3 2
1100000.000000 49 1
1100000.000000 108 1
1100000.000000 110 1
1100000.000000 124 1
1100000.000000 162 1
1150000.000000 1 31
1150000.000000 2 5
1150000.000000 3 1
1150000.000000 4 2
1150000.000000 108 1
1150000.000000 440 1
1200000.000000 1 38
1200000.000000 2 3
1200000.000000 3 1
1200000.000000 4 1
1200000.000000 46 1
1200000.000000 108 1
1200000.000000 395 1
1250000.000000 1 33
1250000.000000 2 3
1250000.000000 3 1
1250000.000000 4 3
1250000.000000 48 1
1250000.000000 108 1
1250000.000000 109 1
1250000.000000 120 1
1250000.000000 161 1
1300000.000000 1 42
1300000.000000 2 4
1300000.000000 3 2
1300000.000000 45 1
1300000.000000 105 1
1300000.000000 113 1
1300000.000000 122 1
1300000.000000 159 1
1350000.000000 1 38
1350000.000000 2 7
1350000.000000 3 1
1350000.000000 4 1
1350000.000000 44 1
1350000.000000 106 1
1350000.000000 110 1
1350000.000000 122 1
1350000.000000 159 1
1400000.000000 1 37
1400000.000000 2 2
1400000.000000 3 1
1400000.000000 5 1
1400000.000000 45 1
1400000.000000 117 1
1400000.000000 158 1
1400000.000000 231 1
1450000.000000 1 33
1450000.000000 2 5
1450000.000000 4 1
1450000.000000 6 1
1450000.000000 44 1
1450000.000000 109 1
1450000.000000 113 1
1450000.000000 281 1
1500000.000000 1 31
1500000.000000 2 7
1500000.000000 3 2
1500000.000000 4 1
1500000.000000 5 1
1500000.000000 45 1
1500000.000000 109 1
1500000.000000 123 1
1500000.000000 263 1
1550000.000000 1 30
1550000.000000 2 3
1550000.000000 3 2
1550000.000000 4 1
1550000.000000 5 1
1550000.000000 42 1
1550000.000000 111 1
1550000.000000 113 1
1550000.000000 125 1
1550000.000000 158 1
1600000.000000 1 40
1600000.000000 2 7
1600000.000000 3 1
1600000.000000 5 1
1600000.000000 40 1
1600000.000000 111 1
1600000.000000 155 1
1600000.000000 232 1
1650000.000000 1 36
1650000.000000 2 4
1650000.000000 3 2
1650000.000000 5 1
1650000.000000 45 1
1650000.000000 107 1
1650000.000000 113 1
1650000.000000 125 1
1650000.000000 155 1
1700000.000000 1 33
1700000.000000 2 6
1700000.000000 3 3
1700000.000000 4 1
1700000.000000 42 1
1700000.000000 107 1
1700000.000000 112 1
1700000.000000 125 1
1700000.000000 156 1
1750000.000000 1 39
1750000.000000 2 6
1750000.000000 3 1
1750000.000000 4 2
1750000.000000 5 1
1750000.000000 42 1
1750000.000000 105 1
1750000.000000 109 1
1750000.000000 123 1
1750000.000000 154 1
1800000.000000 1 46
1800000.000000 2 3
1800000.000000 3 2
1800000.000000 4 1
1800000.000000 42 1
1800000.000000 107 1
1800000.000000 114 1
1800000.000000 122 1
1800000.000000 153 1
1850000.000000 1 42
1850000.000000 2 5
1850000.000000 3 1
1850000.000000 4 2
1850000.000000 5 1
1850000.000000 38 1
1850000.000000 105 1
1850000.000000 152 1
1850000.000000 237 1
1900000.000000 1 48
1900000.000000 2 2
1900000.000000 3 3
1900000.000000 4 2
1900000.000000 42 1
1900000.000000 105 1
1900000.000000 113 1
1900000.000000 121 1
1900000.000000 150 1
1950000.000000 1 41
1950000.000000 2 10
1950000.000000 3 2
1950000.000000 4 1
1950000.000000 42 1
1950000.000000 105 1
1950000.000000 113 1
1950000.000000 119 1
1950000.000000 150 1
2000000.000000 1 33
2000000.000000 2 8
2000000.000000 3 3
2000000.000000 4 2
2000000.000000 45 1
2000000.000000 104 1
2000000.000000 153 1
2000000.000000 232 1
2050000.000000 1 36
2050000.000000 2 8
2050000.000000 3 1
2050000.000000 4 2
2050000.000000 42 1
2050000.000000 150 1
2050000.000000 345 1
2100000.000000 1 32
2100000.000000 2 9
2100000.000000 3 1
2100000.000000 4 2
2100000.000000 6 1
2100000.000000 42 1
2100000.000000 153 1
2100000.000000 338 1
2150000.000000 1 31
2150000.000000 2 10
2150000.000000 3 1
2150000.000000 4 1
2150000.000000 6 1
2150000.000000 46 1
2150000.000000 100 1
2150000.000000 113 1
2150000.000000 125 1
2150000.000000 152 1
2200000.000000 1 39
2200000.000000 2 7
2200000.000000 3 2
2200000.000000 4 1
2200000.000000 5 1
2200000.000000 42 1
2200000.000000 149 1
2200000.000000 341 1
2250000.000000 1 40
2250000.000000 2 5
2250000.000000 3 2
2250000.000000 43 1
2250000.000000 102 1
2250000.000000 153 1
2250000.000000 246 1
2300000.000000 1 36
2300000.000000 2 11
2300000.000000 3 1
2300000.000000 4 1
2300000.000000 5 1
2300000.000000 44 1
2300000.000000 99 1
2300000.000000 149 1
2300000.000000 238 1
2350000.000000 1 37
2350000.000000 2 6
2350000.000000 3 2
2350000.000000 4 2
2350000.000000 5 1
2350000.000000 43 1
2350000.000000 102 1
2350000.000000 152 1
2350000.000000 235 1
2400000.000000 1 38
2400000.000000 2 5
2400000.000000 3 3
2400000.000000 4 1
2400000.000000 5 1
2400000.000000 43 1
