# time mean_cluster_size
50000.000000 120.0000000000
100000.000000 37.5000000000
150000.000000 21.4285714286
200000.000000 18.1818181818
250000.000000 16.2162162162
300000.000000 18.1818181818
350000.000000 22.2222222222
400000.000000 18.7500000000
450000.000000 18.7500000000
500000.000000 16.6666666667
550000.000000 13.3333333333
600000.000000 14.6341463415
650000.000000 14.6341463415
700000.000000 17.1428571429
750000.000000 14.2857142857
800000.000000 17.6470588235
850000.000000 14.6341463415
900000.000000 15.7894736842
950000.000000 16.2162162162
1000000.000000 12.2448979592
1050000.000000 13.6363636364
1100000.000000 13.0434782609
1150000.000000 14.6341463415
1200000.000000 13.0434782609
1250000.000000 13.3333333333
1300000.000000 11.3207547170
1350000.000000 11.5384615385
1400000.000000 13.3333333333
1450000.000000 13.6363636364
1500000.000000 13.0434782609
1550000.000000 14.2857142857
1600000.000000 11.3207547170
1650000.000000 12.5000000000
1700000.000000 12.5000000000
1750000.000000 11.1111111111
1800000.000000 10.5263157895
1850000.000000 10.9090909091
1900000.000000 10.0000000000
1950000.000000 10.1694915254
2000000.000000 12.0000000000
2050000.000000 12.0000000000
2100000.000000 12.5000000000
2150000.000000 12.2448979592
2200000.000000 11.3207547170
2250000.000000 11.7647058824
2300000.000000 11.1111111111
2350000.000000 11.5384615385
2400000.000000 11.5384615385
2450000.000000 12.0000000000
2500000.000000 11.5384615385
2550000.000000 11.5384615385
2600000.000000 13.0434782609
2650000.000000 12.7659574468
2700000.000000 11.3207547170
2750000.000000 11.5384615385
2800000.000000 11.3207547170
2850000.000000 9.5238095238
2900000.000000 10.0000000000
2950000.000000 10.9090909091
3000000.000000 9.6774193548
3050000.000000 10.3448275862
3100000.000000 12.2448979592
3150000.000000 9.3750000000
3200000.000000 11.5384615385
3250000.000000 10.5263157895
3300000.000000 10.5263157895
3350000.000000 10.0000000000
3400000.000000 9.3750000000
3450000.000000 11.5384615385
3500000.000000 10.3448275862
3550000.000000 10.3448275862
3600000.000000 12.5000000000
3650000.000000 10.0000000000
3700000.000000 11.1111111111
3750000.000000 11.1111111111
3800000.000000 12.0000000000
3850000.000000 9.8360655738
3900000.000000 9.3750000000
3950000.000000 10.3448275862
4000000.000000 12.2448979592
4050000.000000 11.5384615385
4100000.000000 12.2448979592
4150000.000000 12.0000000000
4200000.000000 11.3207547170
4250000.000000 10.3448275862
4300000.000000 10.7142857143
4350000.000000 10.3448275862
4400000.000000 11.5384615385
4450000.000000 12.2448979592
4500000.000000 9.8360655738
4550000.000000 10.5263157895
4600000.000000 10.3448275862
4650000.000000 10.9090909091
4700000.000000 10.1694915254
4750000.000000 10.7142857143
4800000.000000 10.5263157895
4850000.000000 10.5263157895
4900000.000000 9.6774193548
4950000.000000 11.3207547170
5000000.000000 10.7142857143
5050000.000000 10.1694915254
5100000.000000 10.5263157895
5150000.000000 9.2307692308
5200000.000000 10.7142857143
5250000.000000 10.3448275862
5300000.000000 10.7142857143
5350000.000000 11.5384615385
5400000.000000 11.1111111111
5450000.000000 10.7142857143
5500000.000000 12.7659574468
5550000.000000 12.2448979592
5600000.000000 10.7142857143
5650000.000000 12.0000000000
5700000.000000 11.7647058824
5750000.000000 11.7647058824
5800000.000000 10.0000000000
5850000.000000 11.1111111111
5900000.000000 10.0000000000
5950000.000000 10.3448275862
6000000.000000 10.9090909091
6050000.000000 10.3448275862
6100000.000000 10.5263157895
6150000.000000 10.3448275862
6200000.000000 9.3750000000
6250000.000000 10.7142857143
6300000.000000 9.5238095238
6350000.000000 10.3448275862
6400000.000000 9.5238095238
6450000.000000 9.6774193548
6500000.000000 9.3750000000
6550000.000000 9.0909090909
6600000.000000 9.8360655738
6650000.000000 9.6774193548
6700000.000000 10.1694915254
6750000.000000 10.0000000000
6800000.000000 10.5263157895
6850000.000000 9.5238095238
6900000.000000 10.7142857143
6950000.000000 10.5263157895
7000000.000000 11.3207547170
7050000.000000 12.0000000000
7100000.000000 10.0000000000
7150000.000000 10.5263157895
7200000.000000 12.2448979592
7250000.000000 11.7647058824
7300000.000000 12.5000000000
7350000.000000 12.0000000000
7400000.000000 12.0000000000
7450000.000000 11.7647058824
7500000.000000 11.1111111111
7550000.000000 13.6363636364
7600000.000000 11.5384615385
7650000.000000 11.1111111111
7700000.000000 11.7647058824
7750000.000000 12.5000000000
7800000.000000 12.0000000000
7850000.000000 12.7659574468
7900000.000000 12.0000000000
7950000.000000 11.3207547170
8000000.000000 10.7142857143
8050000.000000 10.7142857143
8100000.000000 10.0000000000
8150000.000000 10.0000000000
8200000.000000 11.7647058824
8250000.000000 11.1111111111
8300000.000000 10.3448275862
8350000.000000 10.3448275862
8400000.000000 11.3207547170
8450000.000000 9.5238095238
8500000.000000 9.3750000000
8550000.000000 11.3207547170
8600000.000000 11.1111111111
8650000.000000 10.1694915254
8700000.000000 11.5384615385
8750000.000000 11.7647058824
8800000.000000 9.3750000000
8850000.000000 10.3448275862
8900000.000000 11.1111111111
8950000.000000 10.1694915254
9000000.000000 9.8360655738
9050000.000000 9.8360655738
9100000.000000 11.3207547170
9150000.000000 10.7142857143
9200000.000000 10.1694915254
9250000.000000 11.1111111111
9300000.000000 11.3207547170
9350000.000000 10.3448275862
9400000.000000 10.3448275862
9450000.000000 10.1694915254
9500000.000000 10.3448275862
9550000.000000 11.5384615385
9600000.000000 11.1111111111
9650000.000000 13.0434782609
9700000.000000 13.6363636364
9750000.000000 14.2857142857
9800000.000000 11.1111111111
9850000.000000 12.7659574468
9900000.000000 12.0000000000
9950000.000000 10.7142857143
10000000.000000 11.5384615385
10050000.000000 10.1694915254
10100000.000000 9.2307692308
10150000.000000 8.3333333333
10200000.000000 8.9552238806
10250000.000000 10.7142857143
10300000.000000 8.9552238806
10350000.000000 10.0000000000
10400000.000000 9.6774193548
10450000.000000 9.6774193548
10500000.000000 9.6774193548
10550000.000000 10.3448275862
10600000.000000 10.0000000000
10650000.000000 10.5263157895
10700000.000000 10.7142857143
10750000.000000 10.1694915254
10800000.000000 11.1111111111
10850000.000000 11.5384615385
10900000.000000 11.1111111111
10950000.000000 11.1111111111
11000000.000000 10.1694915254
11050000.000000 9.8360655738
11100000.000000 11.1111111111
11150000.000000 10.5263157895
11200000.000000 11.3207547170
11250000.000000 10.7142857143
11300000.000000 11.3207547170
11350000.000000 10.3448275862
11400000.000000 10.3448275862
11450000.000000 11.1111111111
11500000.000000 10.1694915254
11550000.000000 11.3207547170
11600000.000000 12.5000000000
11650000.000000 11.3207547170
11700000.000000 11.1111111111
11750000.000000 11.1111111111
11800000.000000 10.1694915254
11850000.000000 12.0000000000
11900000.000000 12.5000000000
11950000.000000 10.7142857143
12000000.000000 11.5384615385
12050000.000000 12.7659574468
12100000.000000 11.5384615385
12150000.000000 10.5263157895
12200000.000000 10.7142857143
12250000.000000 11.3207547170
12300000.000000 10.7142857143
12350000.000000 10.5263157895
12400000.000000 10.3448275862
12450000.000000 10.3448275862
12500000.000000 11.7647058824
12550000.000000 11.1111111111
12600000.000000 11.5384615385
12650000.000000 11.1111111111
12700000.000000 10.9090909091
12750000.000000 11.7647058824
12800000.000000 15.3846153846
12850000.000000 12.2448979592
12900000.000000 12.2448979592
12950000.000000 12.5000000000
13000000.000000 11.3207547170
13050000.000000 13.6363636364
13100000.000000 12.5000000000
13150000.000000 12.5000000000
13200000.000000 12.0000000000
13250000.000000 12.0000000000
13300000.000000 10.7142857143
13350000.000000 11.1111111111
13400000.000000 9.8360655738
13450000.000000 11.7647058824
13500000.000000 11.1111111111
13550000.000000 10.1694915254
13600000.000000 11.3207547170
13650000.000000 11.3207547170
13700000.000000 11.7647058824
13750000.000000 10.1694915254
13800000.000000 9.3750000000
13850000.000000 10.1694915254
13900000.000000 10.0000000000
13950000.000000 12.0000000000
14000000.000000 12.2448979592
14050000.000000 10.5263157895
14100000.000000 9.6774193548
14150000.000000 11.7647058824
14200000.000000 11.3207547170
14250000.000000 12.7659574468
14300000.000000 10.5263157895
14350000.000000 10.1694915254
14400000.000000 10.1694915254
14450000.000000 11.3207547170
14500000.000000 12.2448979592
14550000.000000 10.9090909091
14600000.000000 10.7142857143
14650000.000000 10.5263157895
14700000.000000 10.5263157895
14750000.000000 9.5238095238
14800000.000000 11.1111111111
14850000.000000 10.9090909091
14900000.000000 12.7659574468
14950000.000000 10.9090909091
15000000.000000 12.0000000000
15050000.000000 14.2857142857
15100000.000000 14.6341463415
15150000.000000 12.2448979592
15200000.000000 13.6363636364
15250000.000000 11.7647058824
15300000.000000 13.9534883721
15350000.000000 13.9534883721
15400000.000000 16.6666666667
15450000.000000 12.5000000000
15500000.000000 11.5384615385
15550000.000000 12.0000000000
15600000.000000 10.9090909091
15650000.000000 11.3207547170
15700000.000000 11.5384615385
15750000.000000 11.3207547170
15800000.000000 12.0000000000
15850000.000000 13.9534883721
15900000.000000 12.7659574468
15950000.000000 13.0434782609
16000000.000000 12.2448979592
16050000.000000 15.0000000000
16100000.000000 14.6341463415
16150000.000000 13.3333333333
16200000.000000 12.7659574468
16250000.000000 12.7659574468
16300000.000000 12.5000000000
16350000.000000 13.3333333333
16400000.000000 13.6363636364
16450000.000000 13.6363636364
16500000.000000 12.0000000000
16550000.000000 11.3207547170
16600000.000000 11.5384615385
16650000.000000 12.0000000000
16700000.000000 12.2448979592
16750000.000000 11.3207547170
16800000.000000 12.0000000000
16850000.000000 12.0000000000
16900000.000000 11.7647058824
16950000.000000 11.3207547170
17000000.000000 12.7659574468
17050000.000000 13.0434782609
17100000.000000 12.7659574468
17150000.000000 14.6341463415
17200000.000000 15.3846153846
17250000.000000 15.7894736842
17300000.000000 16.2162162162
17350000.000000 15.0000000000
17400000.000000 15.0000000000
17450000.000000 13.9534883721
17500000.000000 12.5000000000
17550000.000000 14.2857142857
17600000.000000 13.9534883721
17650000.000000 14.2857142857
17700000.000000 13.0434782609
17750000.000000 12.5000000000
17800000.000000 13.0434782609
17850000.000000 12.0000000000
17900000.000000 13.3333333333
17950000.000000 11.3207547170
18000000.000000 12.0000000000
18050000.000000 12.7659574468
18100000.000000 12.5000000000
18150000.000000 12.5000000000
18200000.000000 12.7659574468
18250000.000000 12.5000000000
18300000.000000 12.5000000000
18350000.000000 12.5000000000
18400000.000000 10.3448275862
18450000.000000 11.7647058824
18500000.000000 10.9090909091
18550000.000000 10.9090909091
18600000.000000 12.2448979592
18650000.000000 11.3207547170
18700000.000000 11.7647058824
18750000.000000 11.1111111111
18800000.000000 13.0434782609
18850000.000000 10.9090909091
18900000.000000 10.7142857143
18950000.000000 11.7647058824
19000000.000000 13.0434782609
19050000.000000 10.9090909091
19100000.000000 13.6363636364
19150000.000000 12.2448979592
19200000.000000 11.5384615385
19250000.000000 12.7659574468
19300000.000000 13.3333333333
19350000.000000 12.0000000000
19400000.000000 12.7659574468
19450000.000000 13.6363636364
19500000.000000 14.2857142857
19550000.000000 11.7647058824
19600000.000000 12.7659574468
19650000.000000 13.6363636364
19700000.000000 12.5000000000
19750000.000000 14.2857142857
19800000.000000 16.6666666667
19850000.000000 14.2857142857
19900000.000000 13.9534883721
19950000.000000 14.2857142857
20000000.000000 17.6470588235
