Frame,LargestClusterSize,Fraction
250,469,0.7816666666666666
251,468,0.78
252,467,0.7783333333333333
253,473,0.7883333333333333
254,466,0.7766666666666666
255,459,0.765
256,456,0.76
257,461,0.7683333333333333
258,459,0.765
259,463,0.7716666666666666
260,460,0.7666666666666667
261,460,0.7666666666666667
262,457,0.7616666666666667
263,467,0.7783333333333333
264,458,0.7633333333333333
265,458,0.7633333333333333
266,460,0.7666666666666667
267,460,0.7666666666666667
268,458,0.7633333333333333
269,465,0.775
270,465,0.775
271,466,0.7766666666666666
272,467,0.7783333333333333
273,483,0.805
274,474,0.79
275,467,0.7783333333333333
276,472,0.7866666666666666
277,469,0.7816666666666666
278,485,0.8083333333333333
279,480,0.8
280,478,0.7966666666666666
281,484,0.8066666666666666
282,486,0.81
283,473,0.7883333333333333
284,483,0.805
285,480,0.8
286,486,0.81
287,484,0.8066666666666666
288,485,0.8083333333333333
289,486,0.81
290,483,0.805
291,485,0.8083333333333333
292,490,0.8166666666666667
293,490,0.8166666666666667
294,487,0.8116666666666666
295,492,0.82
296,489,0.815
297,491,0.8183333333333334
298,491,0.8183333333333334
299,487,0.8116666666666666
300,492,0.82
301,490,0.8166666666666667
302,491,0.8183333333333334
303,497,0.8283333333333334
304,500,0.8333333333333334
305,500,0.8333333333333334
306,500,0.8333333333333334
307,498,0.83
308,497,0.8283333333333334
309,498,0.83
310,493,0.8216666666666667
311,495,0.825
312,499,0.8316666666666667
313,498,0.83
314,496,0.8266666666666667
315,502,0.8366666666666667
316,506,0.8433333333333334
317,501,0.835
318,500,0.8333333333333334
319,502,0.8366666666666667
320,505,0.8416666666666667
321,506,0.8433333333333334
322,507,0.845
323,507,0.845
324,510,0.85
325,508,0.8466666666666667
326,507,0.845
327,511,0.8516666666666667
328,511,0.8516666666666667
329,512,0.8533333333333334
330,510,0.85
331,511,0.8516666666666667
332,507,0.845
333,514,0.8566666666666667
334,512,0.8533333333333334
335,509,0.8483333333333334
336,510,0.85
337,509,0.8483333333333334
338,508,0.8466666666666667
339,506,0.8433333333333334
340,507,0.845
341,519,0.865
342,516,0.86
343,519,0.865
344,521,0.8683333333333333
345,520,0.8666666666666667
346,519,0.865
347,519,0.865
348,520,0.8666666666666667
349,522,0.87
350,526,0.8766666666666667
351,522,0.87
352,521,0.8683333333333333
353,520,0.8666666666666667
354,520,0.8666666666666667
355,520,0.8666666666666667
356,518,0.8633333333333333
357,519,0.865
358,518,0.8633333333333333
359,522,0.87
360,520,0.8666666666666667
361,525,0.875
362,524,0.8733333333333333
363,520,0.8666666666666667
364,522,0.87
365,523,0.8716666666666667
366,516,0.86
367,521,0.8683333333333333
368,518,0.8633333333333333
369,521,0.8683333333333333
370,520,0.8666666666666667
371,519,0.865
372,521,0.8683333333333333
373,522,0.87
374,523,0.8716666666666667
375,522,0.87
376,521,0.8683333333333333
377,522,0.87
378,523,0.8716666666666667
379,522,0.87
380,524,0.8733333333333333
381,525,0.875
382,524,0.8733333333333333
383,521,0.8683333333333333
384,528,0.88
385,520,0.8666666666666667
386,524,0.8733333333333333
387,521,0.8683333333333333
388,523,0.8716666666666667
389,521,0.8683333333333333
390,525,0.875
391,520,0.8666666666666667
392,525,0.875
393,526,0.8766666666666667
394,527,0.8783333333333333
395,519,0.865
396,520,0.8666666666666667
397,512,0.8533333333333334
398,520,0.8666666666666667
