Radius(Å),ClusterDensity(atoms/Å³),AllPolymerDensity(atoms/Å³)
0.5,0.11779448621553884,0.03383458646616541
1.5,0.10671840892553966,0.03436009378284421
2.5,0.1066245861567499,0.03555184256938643
3.5,0.10369873728908258,0.03837619526523315
4.5,0.10090913558405819,0.041240355791439386
5.5,0.10078387458006718,0.04268650349277449
6.5,0.09618615827959412,0.04481709892709301
7.5,0.09335222726295345,0.04618437796319209
8.5,0.09133792631358131,0.048066200744151126
9.5,0.08685522072551652,0.04835307265525291
10.5,0.08280448413452404,0.04922052423477466
11.5,0.07989625506072874,0.04955598129940235
12.5,0.07661355222919684,0.049919651319941034
13.5,0.07311961821765743,0.049574917686372795
14.5,0.06941299030709304,0.0491816891626657
15.5,0.06552309416422016,0.04869292270355783
16.5,0.0592219400147118,0.047216554940250656
17.5,0.05436064711504682,0.04636493347699711
18.5,0.04916817557632247,0.0445873399731145
19.5,0.04473178320064248,0.04336377107613441
20.5,0.03960163914397324,0.041000770324078596
21.5,0.03458327016921936,0.038941054169112255
22.5,0.030103632346945547,0.03602282819280231
23.5,0.025361836923676946,0.032789798457022755
24.5,0.021935724433494282,0.02974648081058174
25.5,0.0189949406074826,0.0271927400706796
26.5,0.01615764663179499,0.024188841249814387
27.5,0.013184863162209685,0.02148005115610643
28.5,0.010501151898789095,0.018757221964316447
29.5,0.007911036059547958,0.0160152686503552
30.5,0.005796279491833031,0.01336666018494512
31.5,0.004033427647313146,0.010742776667154003
32.5,0.0026297907505328445,0.008480111319691801
33.5,0.0016144173786097438,0.006708025823798787
34.5,0.000970206059000431,0.005295458101400571
35.5,0.0005850093494482007,0.004344764558706758
36.5,0.0003749994122266266,0.003856263548176257
37.5,0.0003188355039031187,0.003758351990210285
38.5,0.00035774159024896,0.003818061662940576
39.5,0.0005030374402600148,0.0038593654636774485
40.5,0.0007059998494708268,0.004116567267836918
41.5,0.0009899243851448432,0.00441174653352341
42.5,0.0013197853060807616,0.004723151267071268
43.5,0.0016585710516234622,0.005132628703623346
44.5,0.002060335357616578,0.005448375626968783
45.5,0.0024486649661754727,0.005923554132479488
46.5,0.0029049753254771667,0.006430753227062931
47.5,0.0035470845494422827,0.0071147015176078595
48.5,0.004118421222141837,0.007694183605826723
49.5,0.004593343000091442,0.00817125651059891
50.5,0.005089617171213024,0.008570433285862114
51.5,0.005410972427520184,0.008584271181858123
52.5,0.005675635889259159,0.008347347330680387
53.5,0.005822631861413025,0.007924944213032855
54.5,0.005393290919606709,0.007635888363442543
55.5,0.004921313360461022,0.007256731039216298
56.5,0.004592543597553905,0.006608929472877275
57.5,0.0049295996091151635,0.005647995626734007
58.5,0.00548440974713267,0.004753054687808929
59.5,0.006073984302862419,0.004153888009497428
60.5,0.005958668140247563,0.003410261324981229
61.5,0.004910919199336468,0.002901201475828577
62.5,0.0038221248337752057,0.002679669139478284
63.5,0.003051677108919041,0.002478744903186341
64.5,0.0025450623462681472,0.002353195118389839
65.5,0.00233607197883707,0.0021838795486921678
66.5,0.0016472974996679976,0.00206171196499328
67.5,0.0010336575903034423,0.001961662086550579
68.5,0.0006984060350277489,0.0018003633210643757
69.5,0.00044352031849269243,0.00170341871475329
