Radius(Å),ClusterDensity(atoms/Å³),AllPolymerDensity(atoms/Å³)
0.5,0.11248544850103882,0.03230965010136222
1.5,0.1128273495603125,0.036326987547827885
2.5,0.10851759673420487,0.03618302920708108
3.5,0.10504679031954402,0.03887507449633371
4.5,0.10070527552844136,0.04115704062699327
5.5,0.09941430800419142,0.04210643045362711
6.5,0.09655205149858812,0.04498758367131931
7.5,0.09376029625623225,0.046386262944120946
8.5,0.09124070929375125,0.048015040695094865
9.5,0.08699584139291891,0.048431357429512205
10.5,0.08271552416852598,0.04916764477772474
11.5,0.07994671607784587,0.04958727995312154
12.5,0.07651439526491749,0.04985504289311909
13.5,0.073238707163207,0.04965565969264808
14.5,0.06975106713201282,0.049421229185977536
15.5,0.06506493337949618,0.04835244446514539
16.5,0.059373504299101015,0.04733739433455394
17.5,0.05409942500952306,0.04614213359899534
18.5,0.049500914755532865,0.04488907894821231
19.5,0.0445126862215427,0.04315137464198065
20.5,0.03983357470055305,0.041240900194732276
21.5,0.03454248340698654,0.038895127930508464
22.5,0.03001481649384099,0.035916548718607645
23.5,0.02540632313118136,0.03284731376171368
24.5,0.021753763803029152,0.029499728604206122
25.5,0.018619653203545673,0.02665548686005166
26.5,0.01578921233857218,0.02363727586205445
27.5,0.012918522209691601,0.021046143180371644
28.5,0.010244062882151314,0.018298007985113003
29.5,0.007774415095525685,0.015738690282412298
30.5,0.005689192980465937,0.013119710566685334
31.5,0.003953201708896065,0.010529100009311468
32.5,0.0025738852670440047,0.008299836625490182
33.5,0.0015873091147522679,0.006595388945378354
34.5,0.0009465545382469314,0.005166366311030185
35.5,0.0005707814026466255,0.004239096026973108
36.5,0.0003638110324140234,0.0037412091245484715
37.5,0.00030892530656883996,0.0036415330995324745
38.5,0.0003465935272753659,0.003699081949606418
39.5,0.0004852678663113672,0.003723035094378843
40.5,0.0006863114466910779,0.0040017674778655
41.5,0.0009565502713438299,0.004263009788494654
42.5,0.0012878327121717543,0.004608801657545986
43.5,0.0016181705180767602,0.005007604853773484
44.5,0.0020114221175990938,0.0053190288661309655
45.5,0.0023923012373872443,0.005787204895978206
46.5,0.0029186491890435735,0.006461023102846349
47.5,0.003553324736060004,0.007127218012374312
48.5,0.004135526443154817,0.007726140198898004
49.5,0.004620410731818765,0.008219408233450791
50.5,0.005088939143046112,0.008569291550644127
51.5,0.00547157930860668,0.008680421348894095
52.5,0.005748739507098584,0.008454863263897633
53.5,0.0058604338222925335,0.007976394903758932
54.5,0.005446885076270906,0.007711767637029086
55.5,0.005050410899687254,0.007447092036651682
56.5,0.00479121646578959,0.0068948309447856146
57.5,0.005104659460276306,0.0058485671441340405
58.5,0.005686702937527807,0.004928371748577797
59.5,0.006406964048267734,0.004381606835045399
60.5,0.0063396758575943995,0.003628319429981403
61.5,0.005126175539958383,0.0030283674884923847
62.5,0.004136995388983414,0.002900423025449203
63.5,0.0033267033936659387,0.002702136820885041
64.5,0.0028570196282147733,0.0026416345564646572
65.5,0.002547385039879851,0.0023814258043570306
66.5,0.0018412218208062323,0.0023044222788706934
67.5,0.0011694859451088164,0.0022194353921401247
68.5,0.0007930460078628951,0.00204432790220113
69.5,0.0005070947934263896,0.0019475877998376254
