# time largest_cluster_fraction_percent
50000.000000 99.1666666667
100000.000000 87.3333333333
150000.000000 97.5000000000
200000.000000 93.0000000000
250000.000000 71.3333333333
300000.000000 71.3333333333
350000.000000 53.5000000000
400000.000000 81.6666666667
450000.000000 36.8333333333
500000.000000 73.5000000000
550000.000000 71.3333333333
600000.000000 36.6666666667
650000.000000 35.8333333333
700000.000000 36.1666666667
750000.000000 74.6666666667
800000.000000 38.1666666667
850000.000000 73.1666666667
900000.000000 73.1666666667
950000.000000 72.6666666667
1000000.000000 70.5000000000
1050000.000000 36.6666666667
1100000.000000 35.8333333333
1150000.000000 37.0000000000
1200000.000000 36.8333333333
1250000.000000 37.6666666667
1300000.000000 46.0000000000
1350000.000000 37.5000000000
1400000.000000 38.0000000000
1450000.000000 45.6666666667
1500000.000000 37.1666666667
1550000.000000 38.0000000000
1600000.000000 36.8333333333
1650000.000000 36.8333333333
1700000.000000 45.5000000000
1750000.000000 37.1666666667
1800000.000000 36.8333333333
1850000.000000 54.0000000000
1900000.000000 45.0000000000
1950000.000000 45.6666666667
2000000.000000 45.5000000000
2050000.000000 45.6666666667
2100000.000000 36.3333333333
2150000.000000 36.1666666667
2200000.000000 36.1666666667
2250000.000000 47.6666666667
2300000.000000 46.8333333333
2350000.000000 47.3333333333
2400000.000000 78.6666666667
2450000.000000 80.1666666667
2500000.000000 77.6666666667
2550000.000000 45.1666666667
2600000.000000 44.1666666667
2650000.000000 79.1666666667
2700000.000000 44.0000000000
2750000.000000 44.5000000000
2800000.000000 44.3333333333
2850000.000000 44.5000000000
2900000.000000 44.6666666667
2950000.000000 45.8333333333
3000000.000000 45.5000000000
3050000.000000 45.1666666667
3100000.000000 47.0000000000
3150000.000000 45.5000000000
3200000.000000 80.1666666667
3250000.000000 44.3333333333
3300000.000000 43.8333333333
3350000.000000 79.0000000000
3400000.000000 78.6666666667
3450000.000000 79.1666666667
3500000.000000 78.5000000000
3550000.000000 78.6666666667
3600000.000000 79.3333333333
3650000.000000 79.6666666667
3700000.000000 79.3333333333
3750000.000000 79.6666666667
3800000.000000 78.3333333333
3850000.000000 78.1666666667
3900000.000000 78.3333333333
3950000.000000 76.8333333333
4000000.000000 78.0000000000
4050000.000000 42.5000000000
4100000.000000 42.3333333333
4150000.000000 42.8333333333
4200000.000000 77.1666666667
4250000.000000 77.5000000000
4300000.000000 77.3333333333
4350000.000000 77.3333333333
4400000.000000 77.3333333333
4450000.000000 79.1666666667
4500000.000000 78.8333333333
4550000.000000 78.5000000000
4600000.000000 77.3333333333
4650000.000000 78.1666666667
4700000.000000 77.6666666667
4750000.000000 78.0000000000
4800000.000000 79.0000000000
4850000.000000 79.5000000000
4900000.000000 79.3333333333
4950000.000000 79.5000000000
5000000.000000 79.1666666667
5050000.000000 79.5000000000
5100000.000000 79.6666666667
5150000.000000 79.6666666667
5200000.000000 80.5000000000
5250000.000000 79.8333333333
5300000.000000 81.3333333333
5350000.000000 78.6666666667
5400000.000000 81.6666666667
5450000.000000 79.8333333333
5500000.000000 79.8333333333
5550000.000000 78.8333333333
5600000.000000 81.0000000000
5650000.000000 81.0000000000
5700000.000000 80.1666666667
5750000.000000 80.0000000000
5800000.000000 80.3333333333
5850000.000000 80.5000000000
5900000.000000 80.6666666667
5950000.000000 80.8333333333
6000000.000000 80.6666666667
6050000.000000 80.0000000000
6100000.000000 80.0000000000
6150000.000000 80.1666666667
6200000.000000 80.0000000000
6250000.000000 81.1666666667
6300000.000000 79.5000000000
6350000.000000 81.5000000000
6400000.000000 81.3333333333
6450000.000000 81.5000000000
6500000.000000 81.0000000000
6550000.000000 80.8333333333
6600000.000000 81.3333333333
6650000.000000 81.1666666667
6700000.000000 82.0000000000
6750000.000000 81.0000000000
6800000.000000 81.6666666667
6850000.000000 86.0000000000
6900000.000000 80.0000000000
6950000.000000 80.6666666667
7000000.000000 80.5000000000
7050000.000000 81.5000000000
7100000.000000 81.3333333333
7150000.000000 80.6666666667
7200000.000000 81.0000000000
7250000.000000 81.5000000000
7300000.000000 81.1666666667
7350000.000000 80.5000000000
7400000.000000 80.0000000000
7450000.000000 79.1666666667
7500000.000000 79.0000000000
7550000.000000 80.0000000000
7600000.000000 80.8333333333
7650000.000000 80.1666666667
7700000.000000 80.5000000000
7750000.000000 80.5000000000
7800000.000000 80.1666666667
7850000.000000 81.5000000000
7900000.000000 81.5000000000
7950000.000000 81.6666666667
8000000.000000 82.0000000000
8050000.000000 89.5000000000
8100000.000000 81.3333333333
8150000.000000 87.8333333333
8200000.000000 81.6666666667
8250000.000000 80.5000000000
8300000.000000 81.5000000000
8350000.000000 81.1666666667
8400000.000000 81.1666666667
8450000.000000 87.3333333333
8500000.000000 81.0000000000
8550000.000000 81.8333333333
8600000.000000 81.8333333333
8650000.000000 81.8333333333
8700000.000000 82.1666666667
8750000.000000 81.8333333333
8800000.000000 89.0000000000
8850000.000000 88.1666666667
8900000.000000 81.0000000000
8950000.000000 82.3333333333
9000000.000000 82.8333333333
9050000.000000 82.6666666667
9100000.000000 82.0000000000
9150000.000000 82.0000000000
9200000.000000 81.0000000000
9250000.000000 80.6666666667
9300000.000000 81.1666666667
9350000.000000 81.6666666667
9400000.000000 81.5000000000
9450000.000000 81.8333333333
9500000.000000 81.5000000000
9550000.000000 82.0000000000
9600000.000000 80.8333333333
9650000.000000 80.8333333333
9700000.000000 81.3333333333
9750000.000000 81.0000000000
9800000.000000 80.8333333333
9850000.000000 81.8333333333
9900000.000000 82.3333333333
9950000.000000 82.0000000000
10000000.000000 81.8333333333
10050000.000000 81.0000000000
10100000.000000 81.6666666667
10150000.000000 82.5000000000
10200000.000000 82.5000000000
10250000.000000 82.8333333333
10300000.000000 81.8333333333
10350000.000000 82.6666666667
10400000.000000 82.3333333333
10450000.000000 82.3333333333
10500000.000000 82.3333333333
10550000.000000 83.0000000000
10600000.000000 82.0000000000
10650000.000000 81.6666666667
10700000.000000 83.3333333333
10750000.000000 83.1666666667
10800000.000000 83.0000000000
10850000.000000 82.1666666667
10900000.000000 82.3333333333
10950000.000000 83.5000000000
11000000.000000 83.5000000000
11050000.000000 82.8333333333
11100000.000000 83.6666666667
11150000.000000 83.8333333333
11200000.000000 83.5000000000
11250000.000000 83.8333333333
11300000.000000 90.3333333333
11350000.000000 90.5000000000
11400000.000000 90.6666666667
11450000.000000 91.0000000000
11500000.000000 91.0000000000
11550000.000000 89.3333333333
11600000.000000 90.0000000000
11650000.000000 84.8333333333
