# time mean_cluster_size
50000.000000 300.0000000000
100000.000000 66.6666666667
150000.000000 42.8571428571
200000.000000 40.0000000000
250000.000000 35.2941176471
300000.000000 26.0869565217
350000.000000 19.3548387097
400000.000000 19.3548387097
450000.000000 23.0769230769
500000.000000 23.0769230769
550000.000000 16.2162162162
600000.000000 15.7894736842
650000.000000 16.2162162162
700000.000000 16.2162162162
750000.000000 14.2857142857
800000.000000 13.9534883721
850000.000000 15.7894736842
900000.000000 12.5000000000
950000.000000 14.6341463415
1000000.000000 14.6341463415
1050000.000000 13.9534883721
1100000.000000 13.3333333333
1150000.000000 15.3846153846
1200000.000000 14.6341463415
1250000.000000 18.1818181818
1300000.000000 21.4285714286
1350000.000000 17.1428571429
1400000.000000 15.0000000000
1450000.000000 15.0000000000
1500000.000000 13.9534883721
1550000.000000 12.0000000000
1600000.000000 13.9534883721
1650000.000000 13.3333333333
1700000.000000 12.5000000000
1750000.000000 15.7894736842
1800000.000000 13.9534883721
1850000.000000 12.7659574468
1900000.000000 12.2448979592
1950000.000000 10.7142857143
2000000.000000 12.0000000000
2050000.000000 10.3448275862
2100000.000000 11.1111111111
2150000.000000 9.8360655738
2200000.000000 10.5263157895
2250000.000000 9.6774193548
2300000.000000 10.5263157895
2350000.000000 10.5263157895
2400000.000000 11.1111111111
2450000.000000 13.0434782609
2500000.000000 14.6341463415
2550000.000000 12.0000000000
2600000.000000 12.7659574468
2650000.000000 13.0434782609
2700000.000000 14.2857142857
2750000.000000 13.3333333333
2800000.000000 13.3333333333
2850000.000000 11.5384615385
2900000.000000 12.5000000000
2950000.000000 14.2857142857
3000000.000000 12.2448979592
3050000.000000 13.0434782609
3100000.000000 12.5000000000
3150000.000000 15.7894736842
3200000.000000 13.6363636364
3250000.000000 13.9534883721
3300000.000000 12.7659574468
3350000.000000 14.6341463415
3400000.000000 15.0000000000
3450000.000000 15.7894736842
3500000.000000 14.6341463415
3550000.000000 15.0000000000
3600000.000000 14.2857142857
3650000.000000 13.0434782609
3700000.000000 13.6363636364
3750000.000000 13.3333333333
3800000.000000 13.3333333333
3850000.000000 14.6341463415
3900000.000000 13.9534883721
3950000.000000 13.3333333333
4000000.000000 14.6341463415
4050000.000000 16.6666666667
4100000.000000 15.0000000000
4150000.000000 15.0000000000
4200000.000000 11.7647058824
4250000.000000 12.5000000000
4300000.000000 14.6341463415
4350000.000000 13.0434782609
4400000.000000 14.2857142857
4450000.000000 12.5000000000
4500000.000000 15.0000000000
4550000.000000 12.0000000000
4600000.000000 10.9090909091
4650000.000000 10.3448275862
4700000.000000 12.2448979592
4750000.000000 12.0000000000
4800000.000000 10.5263157895
4850000.000000 11.3207547170
4900000.000000 11.7647058824
4950000.000000 12.7659574468
5000000.000000 12.2448979592
5050000.000000 12.7659574468
5100000.000000 11.7647058824
5150000.000000 11.7647058824
5200000.000000 12.0000000000
5250000.000000 12.7659574468
5300000.000000 15.0000000000
5350000.000000 13.6363636364
5400000.000000 12.0000000000
5450000.000000 11.3207547170
5500000.000000 10.9090909091
5550000.000000 11.7647058824
5600000.000000 11.5384615385
5650000.000000 10.7142857143
5700000.000000 12.2448979592
5750000.000000 12.2448979592
5800000.000000 10.7142857143
5850000.000000 10.9090909091
5900000.000000 9.3750000000
5950000.000000 9.2307692308
6000000.000000 10.0000000000
6050000.000000 10.7142857143
6100000.000000 12.7659574468
6150000.000000 11.7647058824
6200000.000000 15.3846153846
6250000.000000 12.5000000000
6300000.000000 12.0000000000
6350000.000000 11.1111111111
6400000.000000 11.3207547170
6450000.000000 10.5263157895
6500000.000000 10.9090909091
6550000.000000 13.3333333333
6600000.000000 12.7659574468
6650000.000000 11.5384615385
6700000.000000 12.0000000000
6750000.000000 12.2448979592
6800000.000000 11.1111111111
6850000.000000 11.1111111111
6900000.000000 11.7647058824
6950000.000000 11.5384615385
7000000.000000 10.9090909091
7050000.000000 10.7142857143
7100000.000000 11.5384615385
7150000.000000 13.3333333333
7200000.000000 13.3333333333
7250000.000000 10.3448275862
7300000.000000 11.3207547170
7350000.000000 9.8360655738
7400000.000000 8.6956521739
7450000.000000 10.3448275862
7500000.000000 10.0000000000
7550000.000000 10.3448275862
7600000.000000 9.8360655738
7650000.000000 9.8360655738
7700000.000000 9.8360655738
7750000.000000 9.5238095238
7800000.000000 9.6774193548
7850000.000000 9.8360655738
7900000.000000 9.6774193548
7950000.000000 9.0909090909
8000000.000000 8.8235294118
8050000.000000 10.5263157895
8100000.000000 12.0000000000
8150000.000000 12.0000000000
8200000.000000 10.9090909091
8250000.000000 11.1111111111
8300000.000000 10.3448275862
8350000.000000 10.5263157895
8400000.000000 10.1694915254
8450000.000000 11.3207547170
8500000.000000 10.0000000000
8550000.000000 9.8360655738
8600000.000000 8.8235294118
8650000.000000 9.0909090909
8700000.000000 9.0909090909
8750000.000000 10.0000000000
8800000.000000 10.9090909091
8850000.000000 10.1694915254
8900000.000000 10.5263157895
8950000.000000 10.1694915254
9000000.000000 10.3448275862
9050000.000000 10.5263157895
9100000.000000 9.6774193548
9150000.000000 11.1111111111
9200000.000000 10.0000000000
9250000.000000 10.5263157895
9300000.000000 10.5263157895
