# cluster_size probability
1.000000000000000000e+00 7.795180138680114501e-01
2.000000000000000000e+00 1.350918876982010464e-01
3.000000000000000000e+00 3.913106725500654914e-02
4.000000000000000000e+00 1.503176065557872317e-02
5.000000000000000000e+00 5.624787858216554262e-03
6.000000000000000000e+00 2.957862580613877627e-03
7.000000000000000000e+00 1.745623818067206607e-03
8.000000000000000000e+00 6.303641565242690346e-04
9.000000000000000000e+00 9.697910100373369137e-05
1.000000000000000000e+01 2.909373030112011012e-04
1.100000000000000000e+01 1.454686515056005506e-04
1.200000000000000000e+01 1.939582020074673827e-04
1.300000000000000000e+01 4.848955050186684569e-05
1.400000000000000000e+01 4.848955050186684569e-05
1.700000000000000000e+01 4.848955050186684569e-05
5.060000000000000000e+02 4.848955050186684569e-05
5.070000000000000000e+02 4.848955050186684569e-05
5.090000000000000000e+02 4.848955050186684569e-05
5.100000000000000000e+02 1.454686515056005506e-04
5.120000000000000000e+02 9.697910100373369137e-05
5.130000000000000000e+02 9.697910100373369137e-05
5.140000000000000000e+02 1.939582020074673827e-04
5.150000000000000000e+02 1.939582020074673827e-04
5.160000000000000000e+02 4.848955050186684569e-05
5.170000000000000000e+02 3.394268535130679334e-04
5.180000000000000000e+02 9.697910100373369137e-05
5.190000000000000000e+02 2.909373030112011012e-04
5.200000000000000000e+02 3.879164040149347655e-04
5.210000000000000000e+02 2.909373030112011012e-04
5.220000000000000000e+02 9.213014595354701358e-04
5.230000000000000000e+02 4.848955050186684840e-04
5.240000000000000000e+02 6.788537070261358667e-04
5.250000000000000000e+02 7.758328080298695310e-04
5.260000000000000000e+02 6.788537070261358667e-04
5.270000000000000000e+02 7.758328080298695310e-04
5.280000000000000000e+02 4.364059545168016518e-04
5.290000000000000000e+02 8.243223585317363631e-04
5.300000000000000000e+02 6.788537070261358667e-04
5.310000000000000000e+02 8.728119090336033037e-04
5.320000000000000000e+02 9.213014595354701358e-04
5.330000000000000000e+02 6.303641565242690346e-04
5.340000000000000000e+02 6.303641565242690346e-04
5.350000000000000000e+02 6.788537070261358667e-04
5.360000000000000000e+02 3.879164040149347655e-04
5.370000000000000000e+02 4.364059545168016518e-04
5.380000000000000000e+02 6.303641565242690346e-04
5.390000000000000000e+02 4.848955050186684840e-04
5.400000000000000000e+02 6.303641565242690346e-04
5.410000000000000000e+02 4.364059545168016518e-04
5.420000000000000000e+02 3.879164040149347655e-04
5.430000000000000000e+02 5.333850555205353703e-04
5.440000000000000000e+02 5.818746060224022024e-04
5.450000000000000000e+02 4.364059545168016518e-04
5.460000000000000000e+02 3.394268535130679334e-04
5.470000000000000000e+02 3.394268535130679334e-04
5.480000000000000000e+02 2.424477525093342420e-04
5.490000000000000000e+02 2.909373030112011012e-04
5.510000000000000000e+02 1.454686515056005506e-04
5.520000000000000000e+02 1.454686515056005506e-04
5.530000000000000000e+02 4.848955050186684569e-05
5.540000000000000000e+02 9.697910100373369137e-05
5.570000000000000000e+02 4.848955050186684569e-05
5.630000000000000000e+02 9.697910100373369137e-05
5.640000000000000000e+02 4.848955050186684569e-05
5.680000000000000000e+02 9.697910100373369137e-05
5.730000000000000000e+02 4.848955050186684569e-05
5.860000000000000000e+02 4.848955050186684569e-05
5.930000000000000000e+02 4.848955050186684569e-05
5.990000000000000000e+02 4.848955050186684569e-05
