# time largest_cluster_rg
50000.000000 7.1456535282
100000.000000 7.5726666576
150000.000000 7.5806603349
200000.000000 7.7016207973
250000.000000 7.5407317655
300000.000000 7.8488523782
350000.000000 7.9663672458
400000.000000 8.3333312978
450000.000000 7.9220175369
500000.000000 7.9979080892
550000.000000 8.0186497720
600000.000000 8.1595488764
650000.000000 8.1438980555
700000.000000 7.7951177931
750000.000000 8.0264484229
800000.000000 8.1643691727
850000.000000 8.2981470375
900000.000000 8.5262585264
950000.000000 8.4174886789
1000000.000000 8.3508540684
1050000.000000 8.0492243873
1100000.000000 8.0172035748
1150000.000000 8.2988551707
1200000.000000 8.0695329417
1250000.000000 8.2815551314
1300000.000000 8.0571252596
1350000.000000 8.3901279981
1400000.000000 8.1304419561
1450000.000000 8.5288949162
1500000.000000 8.8039613325
1550000.000000 8.7699160630
1600000.000000 8.6004482896
1650000.000000 8.7271953593
1700000.000000 8.8400286653
1750000.000000 8.9464585957
1800000.000000 9.0237981662
1850000.000000 9.0064592290
1900000.000000 9.2759531737
1950000.000000 8.9260438737
2000000.000000 8.8830547570
2050000.000000 9.0228270394
2100000.000000 8.5946861589
2150000.000000 8.6553406898
2200000.000000 8.8048632342
2250000.000000 9.2137127873
2300000.000000 9.2107810827
2350000.000000 9.3804380420
2400000.000000 9.0962927333
2450000.000000 9.1995182292
2500000.000000 9.2558539905
2550000.000000 9.5036384848
2600000.000000 9.9225241816
2650000.000000 9.1127418389
2700000.000000 9.3675943684
2750000.000000 9.3561598648
2800000.000000 9.7028534572
2850000.000000 9.5950571575
2900000.000000 9.3518359621
2950000.000000 9.5730023713
3000000.000000 9.9114469038
3050000.000000 9.8631149649
3100000.000000 9.6775161020
3150000.000000 9.7459406875
3200000.000000 10.1633675141
3250000.000000 10.1002493572
3300000.000000 9.8500176901
3350000.000000 9.9136190746
3400000.000000 9.9406676529
3450000.000000 10.0184229377
3500000.000000 9.9098971905
3550000.000000 10.0020492935
3600000.000000 10.0655787587
3650000.000000 9.9372199998
3700000.000000 9.7239834086
3750000.000000 10.2137387130
3800000.000000 10.3674543261
3850000.000000 10.0911103968
3900000.000000 10.2021288332
3950000.000000 10.1158617440
4000000.000000 9.9210844669
4050000.000000 10.0455317343
4100000.000000 9.8113866538
4150000.000000 10.0131093667
4200000.000000 10.1970959608
4250000.000000 10.2298027717
4300000.000000 10.7831953892
4350000.000000 10.6472054941
4400000.000000 10.6564273451
4450000.000000 11.0254595573
4500000.000000 11.1472164384
4550000.000000 11.1065342391
4600000.000000 11.0762444643
4650000.000000 10.6531942659
4700000.000000 11.1919992883
4750000.000000 11.2914394691
4800000.000000 11.2670271892
