# time cluster_size count
50000.000000 600 1
100000.000000 1 7
100000.000000 593 1
150000.000000 1 10
150000.000000 2 1
150000.000000 588 1
200000.000000 1 24
200000.000000 576 1
250000.000000 1 16
250000.000000 2 4
250000.000000 576 1
300000.000000 1 14
300000.000000 2 2
300000.000000 582 1
350000.000000 1 18
350000.000000 10 1
350000.000000 572 1
400000.000000 1 15
400000.000000 2 3
400000.000000 7 1
400000.000000 572 1
450000.000000 1 15
450000.000000 2 3
450000.000000 579 1
500000.000000 1 20
500000.000000 2 3
500000.000000 3 1
500000.000000 571 1
550000.000000 1 18
550000.000000 2 5
550000.000000 3 1
550000.000000 569 1
600000.000000 1 23
600000.000000 2 5
600000.000000 3 2
600000.000000 561 1
650000.000000 1 25
650000.000000 2 6
650000.000000 563 1
700000.000000 1 24
700000.000000 2 4
700000.000000 3 2
700000.000000 4 1
700000.000000 6 1
700000.000000 552 1
750000.000000 1 25
750000.000000 2 5
750000.000000 3 1
750000.000000 5 1
750000.000000 557 1
800000.000000 1 27
800000.000000 2 6
800000.000000 3 2
800000.000000 9 1
800000.000000 546 1
850000.000000 1 29
850000.000000 2 7
850000.000000 3 1
850000.000000 4 1
850000.000000 6 1
850000.000000 544 1
900000.000000 1 31
900000.000000 2 2
900000.000000 565 1
950000.000000 1 34
950000.000000 2 7
950000.000000 3 1
950000.000000 6 2
950000.000000 537 1
1000000.000000 1 40
1000000.000000 2 6
1000000.000000 3 1
1000000.000000 4 1
1000000.000000 541 1
1050000.000000 1 38
1050000.000000 2 6
1050000.000000 3 2
1050000.000000 544 1
1100000.000000 1 33
1100000.000000 2 7
1100000.000000 3 3
1100000.000000 544 1
1150000.000000 1 35
1150000.000000 2 6
1150000.000000 3 4
1150000.000000 4 1
1150000.000000 537 1
1200000.000000 1 32
1200000.000000 2 7
1200000.000000 3 2
1200000.000000 7 1
1200000.000000 541 1
1250000.000000 1 37
1250000.000000 2 8
1250000.000000 3 2
1250000.000000 4 1
1250000.000000 6 1
1250000.000000 531 1
1300000.000000 1 39
1300000.000000 2 6
1300000.000000 3 2
1300000.000000 4 1
1300000.000000 5 2
1300000.000000 20 1
1300000.000000 509 1
1350000.000000 1 46
1350000.000000 2 3
1350000.000000 3 2
1350000.000000 4 1
1350000.000000 8 1
1350000.000000 18 1
1350000.000000 512 1
1400000.000000 1 32
1400000.000000 2 10
1400000.000000 3 4
1400000.000000 6 1
1400000.000000 21 1
