# time largest_cluster_fraction_percent
50000.000000 100.0000000000
100000.000000 98.8333333333
150000.000000 98.0000000000
200000.000000 96.0000000000
250000.000000 96.0000000000
300000.000000 97.0000000000
350000.000000 95.3333333333
400000.000000 95.3333333333
450000.000000 96.5000000000
500000.000000 95.1666666667
550000.000000 94.8333333333
600000.000000 93.5000000000
650000.000000 93.8333333333
700000.000000 92.0000000000
750000.000000 92.8333333333
800000.000000 91.0000000000
850000.000000 90.6666666667
900000.000000 94.1666666667
950000.000000 89.5000000000
1000000.000000 90.1666666667
1050000.000000 90.6666666667
1100000.000000 90.6666666667
1150000.000000 89.5000000000
1200000.000000 90.1666666667
1250000.000000 88.5000000000
1300000.000000 84.8333333333
1350000.000000 85.3333333333
1400000.000000 49.3333333333
1450000.000000 47.5000000000
1500000.000000 51.3333333333
1550000.000000 88.5000000000
1600000.000000 88.5000000000
1650000.000000 88.0000000000
1700000.000000 53.3333333333
1750000.000000 54.0000000000
1800000.000000 87.5000000000
1850000.000000 86.6666666667
1900000.000000 51.3333333333
1950000.000000 86.8333333333
2000000.000000 48.8333333333
2050000.000000 49.1666666667
2100000.000000 51.1666666667
2150000.000000 50.6666666667
2200000.000000 50.1666666667
2250000.000000 48.8333333333
2300000.000000 49.8333333333
2350000.000000 49.1666666667
2400000.000000 88.5000000000
2450000.000000 50.5000000000
2500000.000000 49.5000000000
2550000.000000 48.5000000000
2600000.000000 48.6666666667
2650000.000000 47.8333333333
2700000.000000 48.1666666667
2750000.000000 48.0000000000
2800000.000000 47.8333333333
2850000.000000 47.6666666667
2900000.000000 47.8333333333
2950000.000000 48.5000000000
3000000.000000 47.6666666667
3050000.000000 47.5000000000
3100000.000000 48.1666666667
3150000.000000 47.3333333333
3200000.000000 47.5000000000
3250000.000000 46.8333333333
3300000.000000 47.1666666667
3350000.000000 48.1666666667
3400000.000000 86.3333333333
3450000.000000 88.3333333333
3500000.000000 47.8333333333
3550000.000000 47.5000000000
3600000.000000 47.5000000000
3650000.000000 48.3333333333
3700000.000000 47.8333333333
3750000.000000 47.5000000000
3800000.000000 47.1666666667
3850000.000000 47.3333333333
3900000.000000 49.1666666667
3950000.000000 48.5000000000
4000000.000000 48.8333333333
4050000.000000 48.6666666667
4100000.000000 48.8333333333
4150000.000000 47.1666666667
4200000.000000 47.8333333333
4250000.000000 47.3333333333
4300000.000000 47.8333333333
4350000.000000 47.8333333333
4400000.000000 47.6666666667
4450000.000000 46.8333333333
4500000.000000 46.5000000000
4550000.000000 46.1666666667
4600000.000000 46.1666666667
4650000.000000 47.1666666667
4700000.000000 46.3333333333
4750000.000000 46.5000000000
4800000.000000 47.1666666667
4850000.000000 46.6666666667
4900000.000000 47.5000000000
4950000.000000 47.6666666667
5000000.000000 47.6666666667
5050000.000000 47.0000000000
5100000.000000 47.6666666667
5150000.000000 48.3333333333
5200000.000000 48.0000000000
5250000.000000 48.0000000000
5300000.000000 48.8333333333
5350000.000000 48.0000000000
5400000.000000 48.3333333333
5450000.000000 48.6666666667
5500000.000000 47.0000000000
5550000.000000 47.8333333333
5600000.000000 46.6666666667
5650000.000000 47.6666666667
5700000.000000 47.6666666667
5750000.000000 48.5000000000
5800000.000000 48.6666666667
5850000.000000 48.8333333333
5900000.000000 48.5000000000
5950000.000000 48.5000000000
6000000.000000 48.6666666667
6050000.000000 49.1666666667
6100000.000000 48.5000000000
6150000.000000 48.0000000000
6200000.000000 47.3333333333
6250000.000000 47.3333333333
6300000.000000 47.8333333333
6350000.000000 47.1666666667
6400000.000000 48.1666666667
6450000.000000 48.1666666667
6500000.000000 88.8333333333
6550000.000000 47.1666666667
6600000.000000 47.3333333333
6650000.000000 47.3333333333
6700000.000000 88.8333333333
6750000.000000 47.5000000000
6800000.000000 46.8333333333
6850000.000000 46.8333333333
6900000.000000 46.3333333333
6950000.000000 86.6666666667
7000000.000000 87.8333333333
7050000.000000 88.5000000000
7100000.000000 48.1666666667
7150000.000000 48.5000000000
7200000.000000 50.0000000000
7250000.000000 49.0000000000
7300000.000000 49.0000000000
7350000.000000 48.1666666667
7400000.000000 48.8333333333
7450000.000000 48.6666666667
7500000.000000 49.0000000000
7550000.000000 48.1666666667
7600000.000000 49.1666666667
