# time largest_cluster_rg
50000.000000 19.3246550346
100000.000000 20.5699685441
150000.000000 21.0517981698
200000.000000 25.5028062971
250000.000000 21.3332498451
300000.000000 22.4619435306
350000.000000 21.1605745422
400000.000000 21.0695966043
450000.000000 21.7383591563
500000.000000 22.1231109060
550000.000000 21.1258678802
600000.000000 21.7140800582
650000.000000 21.2027839280
700000.000000 21.0142188582
750000.000000 21.0864927272
800000.000000 20.7566649582
850000.000000 21.7229821247
900000.000000 21.8223044289
950000.000000 21.3512098385
1000000.000000 21.5457989794
1050000.000000 21.6148791598
1100000.000000 21.5008578321
1150000.000000 21.5200778034
1200000.000000 21.8370332426
1250000.000000 21.5682264360
1300000.000000 21.4022082761
1350000.000000 21.0782252254
1400000.000000 18.1572349561
1450000.000000 17.7365133683
1500000.000000 18.2302376373
1550000.000000 21.3046846674
1600000.000000 21.5207774246
1650000.000000 21.0921108958
1700000.000000 18.2350304835
1750000.000000 18.7050191163
1800000.000000 21.4997413963
1850000.000000 21.6410674880
1900000.000000 18.8269055390
1950000.000000 21.9888461168
2000000.000000 18.0633336757
2050000.000000 17.7682638581
2100000.000000 18.5461918762
2150000.000000 18.6387068070
2200000.000000 18.4699360371
2250000.000000 18.0571737419
2300000.000000 17.7436535771
2350000.000000 17.3729025647
2400000.000000 39.5162391088
2450000.000000 17.5706428349
2500000.000000 17.2179438377
2550000.000000 16.6806679197
2600000.000000 17.0143313003
2650000.000000 16.9851192517
2700000.000000 16.4836427905
2750000.000000 15.9471062233
2800000.000000 15.7809241093
2850000.000000 15.9666191806
2900000.000000 15.7659079848
2950000.000000 15.8843231605
3000000.000000 15.2866966369
3050000.000000 15.0168971040
3100000.000000 15.7435280048
3150000.000000 15.6106147405
3200000.000000 15.4590250730
3250000.000000 15.1919034027
3300000.000000 15.0958613448
3350000.000000 15.6648620354
3400000.000000 23.1071806678
3450000.000000 22.8199352267
3500000.000000 15.8255182526
3550000.000000 15.8258715416
3600000.000000 16.1040844117
3650000.000000 16.4703458931
3700000.000000 16.1248223810
3750000.000000 16.1407613522
3800000.000000 15.5069239970
3850000.000000 15.2117378726
3900000.000000 15.3871204522
3950000.000000 14.9385836155
4000000.000000 15.2113924995
4050000.000000 14.8926809741
4100000.000000 14.7412982758
4150000.000000 14.4546653700
4200000.000000 14.8081233430
4250000.000000 14.6391403823
4300000.000000 14.9893990451
4350000.000000 15.1776217531
4400000.000000 14.9136242521
4450000.000000 14.4985436525
4500000.000000 14.3118902411
4550000.000000 14.3362127129
4600000.000000 14.2741448147
4650000.000000 14.4279770979
4700000.000000 13.8042245062
4750000.000000 14.2494063193
4800000.000000 14.4512091012
4850000.000000 14.4351543735
4900000.000000 14.7000709203
4950000.000000 14.9021516877
5000000.000000 14.6614133904
5050000.000000 14.2114067924
5100000.000000 14.3768543765
5150000.000000 14.3373506071
5200000.000000 14.2699528149
5250000.000000 13.9123230951
5300000.000000 14.3617192896
5350000.000000 14.0866768902
5400000.000000 14.4788031800
5450000.000000 14.5228258420
5500000.000000 13.9163413254
5550000.000000 13.9149262665
5600000.000000 13.5884839152
5650000.000000 13.6609993922
5700000.000000 13.7509892881
5750000.000000 13.4614294527
5800000.000000 13.8139032221
5850000.000000 13.6855161285
5900000.000000 13.4794650582
5950000.000000 13.4832158471
6000000.000000 13.7260145556
6050000.000000 13.8981517947
6100000.000000 13.9356518305
6150000.000000 13.4918543167
6200000.000000 13.6155841647
6250000.000000 13.2882206289
6300000.000000 13.4241028624
6350000.000000 13.1558138352
6400000.000000 13.4178927682
6450000.000000 13.1260108521
6500000.000000 24.2312416856
6550000.000000 12.9142475049
6600000.000000 12.9664522264
6650000.000000 13.0622540760
6700000.000000 24.1887094635
6750000.000000 13.2322550680
6800000.000000 13.4028656823
6850000.000000 13.3892124845
6900000.000000 12.9207533201
6950000.000000 24.6376194092
7000000.000000 24.1603865116
7050000.000000 26.7475585006
7100000.000000 13.0427744674
7150000.000000 13.2785073459
7200000.000000 13.8158693739
7250000.000000 13.4670332752
7300000.000000 13.1049236817
7350000.000000 12.8996828322
7400000.000000 12.9575193576
7450000.000000 12.7172818690
7500000.000000 12.9886555620
7550000.000000 12.6046953328
7600000.000000 12.8984947370
7650000.000000 13.0241766184
7700000.000000 32.9340423511
7750000.000000 12.7542887458
7800000.000000 12.7309754663
7850000.000000 13.0317059262
7900000.000000 13.2107710956
7950000.000000 13.3314093414
8000000.000000 13.1974868293
8050000.000000 12.3419589326
8100000.000000 12.6517255941
8150000.000000 13.0968260458
8200000.000000 13.0959832023
8250000.000000 12.7769303517
8300000.000000 12.6624545915
8350000.000000 12.3841266020
8400000.000000 12.4565125123
8450000.000000 12.8556694731
8500000.000000 12.8268634661
8550000.000000 12.3485339339
8600000.000000 13.3541893883
8650000.000000 13.0770193006
8700000.000000 13.0527086226
8750000.000000 12.8089565083
8800000.000000 12.6734586313
8850000.000000 13.0034706800
8900000.000000 12.9469843030
8950000.000000 12.7834889933
9000000.000000 13.1628500602
9050000.000000 13.0016648209
9100000.000000 12.7918059582
9150000.000000 12.9128206210
9200000.000000 12.9376081291
9250000.000000 12.7909081548
9300000.000000 12.8435863352
9350000.000000 12.9640122815
9400000.000000 12.9714085725
9450000.000000 12.9508287774
9500000.000000 13.3089230782
9550000.000000 13.3606445297
9600000.000000 13.2909674704
9650000.000000 13.8282138476
9700000.000000 13.3458393330
9750000.000000 13.2107749648
9800000.000000 13.2844436135
9850000.000000 13.0232999907
9900000.000000 12.9131745541
9950000.000000 13.1165508575
10000000.000000 12.9000963276
10050000.000000 12.8521101316
10100000.000000 12.7784635314
10150000.000000 12.5451720368
10200000.000000 12.8409070969
10250000.000000 13.0448378936
10300000.000000 13.2937210199
10350000.000000 13.9824384022
10400000.000000 13.1496895901
10450000.000000 13.0504185001
10500000.000000 12.8726276713
10550000.000000 12.8656600016
10600000.000000 12.7134780134
10650000.000000 13.0249469713
10700000.000000 13.2783921981
10750000.000000 12.9951923769
10800000.000000 13.2772532244
10850000.000000 13.3060847764
10900000.000000 13.5193639363
10950000.000000 13.9110131359
11000000.000000 13.5447233939
11050000.000000 13.2877751552
11100000.000000 12.9582582411
11150000.000000 12.8193968367
11200000.000000 12.7515351440
11250000.000000 12.8166402267
11300000.000000 12.8807328403
11350000.000000 13.1189871871
11400000.000000 13.2701068325
11450000.000000 13.3329130802
11500000.000000 13.4994752392
11550000.000000 13.0279264954
11600000.000000 13.1795418393
11650000.000000 13.0334631310
11700000.000000 12.8899715510
11750000.000000 12.8244834347
11800000.000000 12.6588767381
11850000.000000 12.9089216471
11900000.000000 12.7998485486
11950000.000000 12.7877827901
12000000.000000 12.8067673708
12050000.000000 12.7988560161
12100000.000000 12.9325878709
12150000.000000 12.9211839408
12200000.000000 12.9641891747
12250000.000000 12.9681108645
12300000.000000 12.6882008090
12350000.000000 12.6871546215
12400000.000000 12.6353062197
12450000.000000 12.7674557548
12500000.000000 12.7420324479
12550000.000000 12.8876290122
12600000.000000 13.1291695617
12650000.000000 13.1498078609
12700000.000000 12.9097611705
12750000.000000 12.4055615473
12800000.000000 12.9525861957
12850000.000000 12.9923595417
12900000.000000 13.7866518659
12950000.000000 12.5768374053
13000000.000000 12.6500773445
13050000.000000 12.9344379647
13100000.000000 13.7950872466
13150000.000000 12.6667848211
13200000.000000 13.0122237069
13250000.000000 12.3880073079
13300000.000000 12.6508905155
13350000.000000 12.6551701267
13400000.000000 12.8146786956
13450000.000000 12.5276577583
13500000.000000 12.6464082086
13550000.000000 12.7917737348
13600000.000000 12.7278392363
13650000.000000 12.7947719394
13700000.000000 12.5721000149
13750000.000000 12.6954806516
13800000.000000 12.6939302620
13850000.000000 12.9107459225
13900000.000000 13.0014831345
13950000.000000 12.6052286605
14000000.000000 12.8171337176
14050000.000000 12.7168030052
14100000.000000 12.4834109838
14150000.000000 12.4547434897
14200000.000000 13.0806779250
14250000.000000 12.9725361213
14300000.000000 12.3924267205
14350000.000000 12.8104396076
14400000.000000 12.8840474408
14450000.000000 13.1921457096
14500000.000000 12.6605149006
14550000.000000 12.9756142772
14600000.000000 13.4175145941
14650000.000000 12.4162090059
14700000.000000 12.4005258724
14750000.000000 13.0911103911
14800000.000000 12.5057408622
14850000.000000 12.8059406289
14900000.000000 12.7712926065
14950000.000000 12.9818086001
15000000.000000 12.7219177994
15050000.000000 12.4430089739
15100000.000000 12.5795385583
15150000.000000 12.4822521120
15200000.000000 13.0092520452
15250000.000000 12.8613451917
15300000.000000 12.4068504132
15350000.000000 12.4961010886
15400000.000000 12.5099269646
15450000.000000 12.2355003138
15500000.000000 12.0551945216
15550000.000000 12.3972500333
15600000.000000 12.9082320429
15650000.000000 12.1823986305
15700000.000000 12.6375880965
15750000.000000 12.4197073925
15800000.000000 12.7008294727
15850000.000000 12.6318347093
15900000.000000 12.4891457450
15950000.000000 12.3212019544
16000000.000000 12.3510612919
16050000.000000 12.7747594721
16100000.000000 12.3598269267
16150000.000000 12.6492400155
16200000.000000 12.6186598916
16250000.000000 12.4470220755
16300000.000000 12.9887447261
16350000.000000 12.5649922510
16400000.000000 12.4109322781
16450000.000000 12.5233380227
16500000.000000 12.4131903494
16550000.000000 12.4803683989
16600000.000000 12.4261086171
16650000.000000 12.2980028585
16700000.000000 12.4464416728
16750000.000000 12.5587851850
16800000.000000 12.5586341402
16850000.000000 12.4400295489
16900000.000000 12.3947557026
16950000.000000 12.3812803662
17000000.000000 12.5912031289
17050000.000000 12.6183170373
17100000.000000 12.4386972938
17150000.000000 12.4819950883
17200000.000000 12.5874086643
17250000.000000 12.8460483019
17300000.000000 12.9055534049
17350000.000000 13.0049899703
17400000.000000 12.6961076549
17450000.000000 12.1144339173
17500000.000000 12.2288571614
17550000.000000 12.5974582556
17600000.000000 12.4995153577
17650000.000000 12.7056235383
17700000.000000 12.5273239686
17750000.000000 12.7933336599
17800000.000000 13.5873101305
17850000.000000 12.6925943169
17900000.000000 12.9635035496
17950000.000000 12.7743707242
18000000.000000 13.3002916762
18050000.000000 12.6862040503
18100000.000000 12.8255421192
18150000.000000 12.9336712434
18200000.000000 13.3056332740
18250000.000000 13.0026689673
18300000.000000 12.7589241588
18350000.000000 12.6031510410
18400000.000000 12.4187516523
18450000.000000 12.5393380420
18500000.000000 13.5302600919
18550000.000000 13.1371935957
18600000.000000 12.8565663871
18650000.000000 12.8491583357
18700000.000000 12.9702820401
18750000.000000 13.0472156337
18800000.000000 12.6708144218
18850000.000000 12.6242357613
18900000.000000 12.7443327227
18950000.000000 13.0480305347
19000000.000000 12.3918137275
19050000.000000 12.5290363600
19100000.000000 12.9201478147
19150000.000000 12.8283877069
19200000.000000 13.0002856938
19250000.000000 12.4601529316
19300000.000000 12.5134901586
19350000.000000 12.7280625748
19400000.000000 12.4901058184
19450000.000000 13.0874657849
19500000.000000 12.7030724691
19550000.000000 13.0552041136
19600000.000000 12.9217555396
19650000.000000 13.0907086378
19700000.000000 13.1691498348
19750000.000000 12.8071575959
19800000.000000 12.8485046786
19850000.000000 12.9490645806
19900000.000000 12.7311973105
19950000.000000 12.9187559810
20000000.000000 12.4955720601
