# time mean_cluster_size
50000.000000 600.0000000000
100000.000000 75.0000000000
150000.000000 50.0000000000
200000.000000 24.0000000000
250000.000000 28.5714285714
300000.000000 35.2941176471
350000.000000 30.0000000000
400000.000000 30.0000000000
450000.000000 31.5789473684
500000.000000 24.0000000000
550000.000000 24.0000000000
600000.000000 19.3548387097
650000.000000 18.7500000000
700000.000000 18.1818181818
750000.000000 18.1818181818
800000.000000 16.2162162162
850000.000000 15.0000000000
900000.000000 17.6470588235
950000.000000 13.3333333333
1000000.000000 12.2448979592
1050000.000000 12.7659574468
1100000.000000 13.6363636364
1150000.000000 12.7659574468
1200000.000000 13.9534883721
1250000.000000 12.0000000000
1300000.000000 11.5384615385
1350000.000000 10.9090909091
1400000.000000 12.0000000000
1450000.000000 10.3448275862
1500000.000000 10.7142857143
1550000.000000 12.2448979592
1600000.000000 11.5384615385
1650000.000000 10.1694915254
1700000.000000 10.5263157895
1750000.000000 11.3207547170
1800000.000000 12.7659574468
1850000.000000 10.0000000000
1900000.000000 11.7647058824
1950000.000000 10.5263157895
2000000.000000 11.1111111111
2050000.000000 9.6774193548
2100000.000000 12.0000000000
2150000.000000 13.3333333333
2200000.000000 12.0000000000
2250000.000000 10.3448275862
2300000.000000 11.1111111111
2350000.000000 10.5263157895
2400000.000000 10.3448275862
2450000.000000 10.3448275862
2500000.000000 10.7142857143
2550000.000000 10.5263157895
2600000.000000 9.8360655738
2650000.000000 8.4507042254
2700000.000000 9.3750000000
2750000.000000 9.0909090909
2800000.000000 8.6956521739
2850000.000000 11.1111111111
2900000.000000 10.3448275862
2950000.000000 10.3448275862
3000000.000000 10.7142857143
3050000.000000 10.7142857143
3100000.000000 11.1111111111
3150000.000000 9.6774193548
3200000.000000 10.3448275862
3250000.000000 8.5714285714
3300000.000000 9.5238095238
3350000.000000 10.5263157895
3400000.000000 9.5238095238
3450000.000000 11.1111111111
3500000.000000 11.5384615385
3550000.000000 10.3448275862
3600000.000000 10.9090909091
3650000.000000 10.3448275862
3700000.000000 8.6956521739
3750000.000000 9.2307692308
3800000.000000 10.1694915254
3850000.000000 10.0000000000
3900000.000000 11.1111111111
3950000.000000 10.1694915254
4000000.000000 10.3448275862
4050000.000000 10.3448275862
4100000.000000 10.7142857143
4150000.000000 9.6774193548
4200000.000000 10.3448275862
4250000.000000 10.3448275862
4300000.000000 10.0000000000
4350000.000000 10.1694915254
4400000.000000 10.7142857143
4450000.000000 11.3207547170
4500000.000000 9.3750000000
4550000.000000 9.6774193548
4600000.000000 10.3448275862
4650000.000000 10.1694915254
4700000.000000 10.3448275862
4750000.000000 10.1694915254
4800000.000000 13.0434782609
4850000.000000 10.5263157895
4900000.000000 9.6774193548
4950000.000000 10.0000000000
5000000.000000 10.1694915254
5050000.000000 10.7142857143
5100000.000000 12.0000000000
5150000.000000 12.5000000000
5200000.000000 13.3333333333
5250000.000000 12.0000000000
5300000.000000 10.5263157895
5350000.000000 10.3448275862
5400000.000000 12.2448979592
5450000.000000 11.5384615385
5500000.000000 10.1694915254
5550000.000000 10.5263157895
5600000.000000 10.7142857143
5650000.000000 12.2448979592
5700000.000000 10.7142857143
5750000.000000 11.3207547170
5800000.000000 11.1111111111
5850000.000000 11.3207547170
5900000.000000 10.9090909091
5950000.000000 11.3207547170
6000000.000000 11.1111111111
6050000.000000 12.5000000000
6100000.000000 12.5000000000
6150000.000000 10.9090909091
6200000.000000 10.9090909091
6250000.000000 12.5000000000
6300000.000000 10.9090909091
6350000.000000 10.9090909091
6400000.000000 11.5384615385
6450000.000000 12.2448979592
6500000.000000 11.5384615385
6550000.000000 12.2448979592
6600000.000000 10.5263157895
6650000.000000 10.3448275862
6700000.000000 11.3207547170
6750000.000000 11.3207547170
6800000.000000 10.1694915254
6850000.000000 10.3448275862
6900000.000000 9.8360655738
6950000.000000 10.9090909091
7000000.000000 10.3448275862
7050000.000000 10.3448275862
7100000.000000 10.1694915254
7150000.000000 12.0000000000
7200000.000000 13.3333333333
7250000.000000 13.6363636364
7300000.000000 12.7659574468
7350000.000000 10.7142857143
7400000.000000 11.3207547170
7450000.000000 11.3207547170
7500000.000000 11.5384615385
7550000.000000 10.9090909091
7600000.000000 11.5384615385
7650000.000000 10.9090909091
7700000.000000 11.1111111111
7750000.000000 10.5263157895
7800000.000000 11.3207547170
7850000.000000 11.3207547170
7900000.000000 12.0000000000
7950000.000000 12.2448979592
8000000.000000 11.5384615385
8050000.000000 10.3448275862
8100000.000000 10.9090909091
8150000.000000 11.3207547170
8200000.000000 12.0000000000
8250000.000000 11.5384615385
8300000.000000 11.3207547170
8350000.000000 10.3448275862
8400000.000000 10.3448275862
8450000.000000 11.3207547170
8500000.000000 10.1694915254
8550000.000000 9.5238095238
8600000.000000 9.8360655738
8650000.000000 10.1694915254
8700000.000000 9.8360655738
8750000.000000 10.9090909091
8800000.000000 10.0000000000
8850000.000000 10.0000000000
8900000.000000 9.8360655738
8950000.000000 10.7142857143
9000000.000000 10.0000000000
9050000.000000 10.1694915254
9100000.000000 10.7142857143
9150000.000000 9.0909090909
9200000.000000 10.0000000000
9250000.000000 10.3448275862
9300000.000000 10.0000000000
9350000.000000 9.6774193548
9400000.000000 9.6774193548
9450000.000000 9.3750000000
9500000.000000 9.6774193548
9550000.000000 10.5263157895
9600000.000000 10.9090909091
9650000.000000 11.1111111111
9700000.000000 10.3448275862
9750000.000000 9.8360655738
9800000.000000 11.5384615385
9850000.000000 13.6363636364
9900000.000000 12.0000000000
9950000.000000 12.0000000000
10000000.000000 12.7659574468
10050000.000000 12.2448979592
10100000.000000 11.5384615385
10150000.000000 11.3207547170
10200000.000000 11.7647058824
10250000.000000 10.3448275862
10300000.000000 12.0000000000
10350000.000000 13.6363636364
10400000.000000 13.6363636364
10450000.000000 11.1111111111
10500000.000000 10.7142857143
10550000.000000 10.5263157895
10600000.000000 9.2307692308
10650000.000000 10.3448275862
10700000.000000 10.3448275862
10750000.000000 11.1111111111
10800000.000000 9.8360655738
10850000.000000 11.1111111111
10900000.000000 10.5263157895
10950000.000000 11.5384615385
11000000.000000 10.9090909091
11050000.000000 9.8360655738
11100000.000000 10.1694915254
11150000.000000 10.1694915254
11200000.000000 11.3207547170
11250000.000000 11.5384615385
11300000.000000 10.5263157895
11350000.000000 11.3207547170
11400000.000000 11.5384615385
11450000.000000 10.5263157895
11500000.000000 10.7142857143
11550000.000000 11.5384615385
11600000.000000 13.0434782609
11650000.000000 10.9090909091
11700000.000000 11.7647058824
11750000.000000 10.9090909091
11800000.000000 11.5384615385
11850000.000000 11.1111111111
11900000.000000 11.3207547170
11950000.000000 10.9090909091
12000000.000000 10.5263157895
12050000.000000 8.9552238806
12100000.000000 10.9090909091
12150000.000000 10.1694915254
