# time largest_cluster_rg
50000.000000 18.9661091398
100000.000000 19.9054430598
150000.000000 20.0944160525
200000.000000 19.7491910955
250000.000000 19.7817629427
300000.000000 19.4623383734
350000.000000 19.4365219360
400000.000000 19.2059074833
450000.000000 19.2057850312
500000.000000 19.3945531336
550000.000000 19.6984725197
600000.000000 19.1110188173
650000.000000 19.0740875597
700000.000000 18.8453892190
750000.000000 18.7082014220
800000.000000 18.8458753325
850000.000000 18.4818543315
900000.000000 18.8623322780
950000.000000 19.0832711919
1000000.000000 18.6521964544
1050000.000000 19.0221939406
1100000.000000 37.8898894815
1150000.000000 18.4755510070
1200000.000000 18.5867544736
1250000.000000 18.9670989591
1300000.000000 18.7526750014
1350000.000000 18.6733935593
1400000.000000 19.1032530923
1450000.000000 19.1629846665
1500000.000000 18.2075948177
1550000.000000 18.7388946585
1600000.000000 18.5040804129
1650000.000000 19.9104157750
1700000.000000 18.7761489118
1750000.000000 18.1452295516
1800000.000000 18.6068107956
1850000.000000 18.2119901572
1900000.000000 18.7803881413
1950000.000000 18.2351741611
2000000.000000 18.5504440385
2050000.000000 19.3935112805
2100000.000000 18.2638743525
2150000.000000 18.3387688757
2200000.000000 18.8261084165
2250000.000000 18.2899316114
2300000.000000 18.5255283265
2350000.000000 18.5975828332
2400000.000000 17.8180298206
2450000.000000 18.2197049151
2500000.000000 18.1234371481
2550000.000000 17.9376169071
2600000.000000 17.6360418549
2650000.000000 17.3458319070
2700000.000000 18.4604654329
2750000.000000 17.5030933455
2800000.000000 17.0728744391
2850000.000000 17.1248359593
2900000.000000 16.9498806381
2950000.000000 20.0258321188
3000000.000000 17.6809273279
3050000.000000 17.6391186844
3100000.000000 18.6251867304
3150000.000000 17.8505457087
3200000.000000 17.0434035496
3250000.000000 19.8575710647
3300000.000000 17.7553370900
3350000.000000 18.4778974424
3400000.000000 17.8897512881
3450000.000000 17.9698087504
3500000.000000 17.4437435344
3550000.000000 17.1307621918
3600000.000000 17.3453594326
3650000.000000 17.4093423229
3700000.000000 17.5459407596
3750000.000000 17.0401360760
3800000.000000 17.7100414218
3850000.000000 17.6782096648
3900000.000000 17.2695547181
3950000.000000 17.8080547626
4000000.000000 17.2826972808
4050000.000000 16.9432293723
4100000.000000 16.6652510103
4150000.000000 20.5540550864
4200000.000000 19.2345767802
4250000.000000 17.5104413569
4300000.000000 17.7971926330
4350000.000000 18.5720381212
4400000.000000 18.6914104624
4450000.000000 17.8224402810
4500000.000000 19.3094452832
4550000.000000 16.7364180249
4600000.000000 18.1936367962
4650000.000000 17.9089176427
4700000.000000 18.7822655755
4750000.000000 15.3507569037
4800000.000000 17.6045716843
4850000.000000 19.4791762570
4900000.000000 17.4706913021
4950000.000000 17.1020572584
5000000.000000 17.5780026707
5050000.000000 15.4418033491
5100000.000000 15.7705494154
5150000.000000 16.1032564603
5200000.000000 15.4155277505
5250000.000000 15.4222365207
5300000.000000 15.3750387167
5350000.000000 15.8347592733
5400000.000000 15.6931486632
5450000.000000 16.1076862440
5500000.000000 15.6773206380
5550000.000000 15.1352017294
5600000.000000 15.4279266220
5650000.000000 15.8759908324
5700000.000000 15.2529932730
5750000.000000 15.6123140578
5800000.000000 15.3073350042
5850000.000000 15.8050556142
5900000.000000 15.9026189862
5950000.000000 15.6528214150
6000000.000000 15.6266508127
6050000.000000 16.0908785109
6100000.000000 17.7461327298
6150000.000000 15.3595414930
6200000.000000 18.3241115302
6250000.000000 17.2909385793
6300000.000000 18.5171005414
6350000.000000 22.6531094387
6400000.000000 15.4482277783
6450000.000000 19.0187945825
6500000.000000 15.5153763405
6550000.000000 15.7981827325
6600000.000000 15.5621377226
6650000.000000 15.5334133161
6700000.000000 15.5589025609
6750000.000000 21.5332342088
6800000.000000 15.4435016144
6850000.000000 15.4593591883
6900000.000000 15.4418084490
6950000.000000 15.4403551000
7000000.000000 15.9852526749
7050000.000000 16.0485562811
7100000.000000 16.1667726910
7150000.000000 15.4000778299
7200000.000000 15.6063658720
7250000.000000 15.1784253634
7300000.000000 15.6250754743
7350000.000000 15.6006619995
7400000.000000 15.6543967318
7450000.000000 15.5112063801
7500000.000000 15.3730399306
7550000.000000 15.3984677418
7600000.000000 15.5643567877
7650000.000000 15.3227967104
7700000.000000 15.5474004276
7750000.000000 15.5757309558
7800000.000000 15.9771210562
7850000.000000 15.6211272621
7900000.000000 15.5907137098
7950000.000000 15.5825253519
8000000.000000 15.4157712595
8050000.000000 15.5854426961
8100000.000000 15.6799401765
8150000.000000 15.4279700247
8200000.000000 15.3438626743
8250000.000000 15.4788362979
8300000.000000 15.4970170098
8350000.000000 15.2353344344
8400000.000000 14.8888326389
8450000.000000 14.9187867765
8500000.000000 14.9335713675
8550000.000000 14.7850011875
8600000.000000 15.1189609479
8650000.000000 14.8171994690
8700000.000000 14.9606615802
8750000.000000 15.2471116171
8800000.000000 15.3334014016
8850000.000000 15.3665336790
8900000.000000 15.1707934722
8950000.000000 15.3745624643
9000000.000000 15.1342864692
9050000.000000 14.9446504425
9100000.000000 15.0794314435
9150000.000000 17.9389368483
9200000.000000 15.3282306628
9250000.000000 15.2736817461
9300000.000000 17.0925898618
9350000.000000 15.4144302113
9400000.000000 15.0333915965
9450000.000000 14.8493514594
