# time cluster_size count
50000.000000 1200 1
100000.000000 1 2
100000.000000 2 1
100000.000000 1196 1
150000.000000 1 10
150000.000000 1190 1
200000.000000 1 20
200000.000000 2 1
200000.000000 4 1
200000.000000 1174 1
250000.000000 1 16
250000.000000 2 5
250000.000000 1174 1
300000.000000 1 23
300000.000000 3 1
300000.000000 1174 1
350000.000000 1 24
350000.000000 3 1
350000.000000 1173 1
400000.000000 1 23
400000.000000 2 3
400000.000000 3 1
400000.000000 1168 1
450000.000000 1 22
450000.000000 2 6
450000.000000 3 1
450000.000000 1163 1
500000.000000 1 34
500000.000000 2 1
500000.000000 3 1
500000.000000 4 1
500000.000000 1157 1
550000.000000 1 25
550000.000000 2 9
550000.000000 4 1
550000.000000 1153 1
600000.000000 1 29
600000.000000 2 6
600000.000000 3 3
600000.000000 4 1
600000.000000 5 1
600000.000000 1141 1
650000.000000 1 35
650000.000000 2 7
650000.000000 3 2
650000.000000 1145 1
700000.000000 1 30
700000.000000 2 9
700000.000000 3 1
700000.000000 4 1
700000.000000 5 2
700000.000000 1135 1
750000.000000 1 36
750000.000000 2 9
750000.000000 3 2
750000.000000 8 1
750000.000000 1132 1
800000.000000 1 31
800000.000000 2 9
800000.000000 3 3
800000.000000 1142 1
850000.000000 1 37
850000.000000 2 15
850000.000000 1133 1
900000.000000 1 41
900000.000000 2 8
900000.000000 3 3
900000.000000 1134 1
950000.000000 1 44
950000.000000 2 9
950000.000000 3 4
950000.000000 4 1
950000.000000 1122 1
1000000.000000 1 48
1000000.000000 2 7
1000000.000000 3 3
1000000.000000 1129 1
1050000.000000 1 51
1050000.000000 2 6
1050000.000000 3 1
1050000.000000 4 1
1050000.000000 5 1
1050000.000000 1125 1
1100000.000000 1 42
1100000.000000 2 9
1100000.000000 3 7
1100000.000000 5 1
1100000.000000 1114 1
1150000.000000 1 51
1150000.000000 2 9
1150000.000000 3 4
1150000.000000 1119 1
1200000.000000 1 43
1200000.000000 2 10
1200000.000000 3 3
1200000.000000 5 1
1200000.000000 14 1
1200000.000000 1109 1
1250000.000000 1 53
1250000.000000 2 11
1250000.000000 3 2
1250000.000000 4 2
1250000.000000 10 1
1250000.000000 1101 1
1300000.000000 1 43
1300000.000000 2 9
1300000.000000 3 1
1300000.000000 5 5
1300000.000000 1111 1
1350000.000000 1 50
1350000.000000 2 7
1350000.000000 3 3
1350000.000000 4 4
1350000.000000 5 1
1350000.000000 1106 1
1400000.000000 1 36
1400000.000000 2 12
1400000.000000 3 9
1400000.000000 4 1
1400000.000000 1109 1
1450000.000000 1 48
1450000.000000 2 12
1450000.000000 3 1
1450000.000000 4 3
1450000.000000 5 1
1450000.000000 1108 1
1500000.000000 1 46
1500000.000000 2 10
1500000.000000 3 6
1500000.000000 4 1
1500000.000000 5 2
1500000.000000 1102 1
1550000.000000 1 48
1550000.000000 2 8
1550000.000000 3 5
1550000.000000 4 2
1550000.000000 5 1
1550000.000000 1108 1
1600000.000000 1 49
1600000.000000 2 14
1600000.000000 3 3
1600000.000000 4 2
1600000.000000 1106 1
1650000.000000 1 54
1650000.000000 2 15
1650000.000000 3 2
1650000.000000 4 1
1650000.000000 6 1
1650000.000000 1100 1
1700000.000000 1 43
1700000.000000 2 16
1700000.000000 3 1
1700000.000000 4 1
1700000.000000 5 1
1700000.000000 8 1
1700000.000000 1105 1
1750000.000000 1 49
1750000.000000 2 8
1750000.000000 3 2
1750000.000000 4 4
1750000.000000 5 1
1750000.000000 1108 1
1800000.000000 1 47
1800000.000000 2 2
1800000.000000 3 2
1800000.000000 4 7
1800000.000000 5 1
1800000.000000 8 1
1800000.000000 1102 1
1850000.000000 1 60
1850000.000000 2 8
1850000.000000 3 5
1850000.000000 4 1
1850000.000000 1105 1
1900000.000000 1 48
1900000.000000 2 9
1900000.000000 3 3
1900000.000000 4 2
1900000.000000 7 1
1900000.000000 1110 1
1950000.000000 1 50
1950000.000000 2 8
1950000.000000 3 5
1950000.000000 6 1
1950000.000000 1113 1
2000000.000000 1 58
2000000.000000 2 12
2000000.000000 3 4
2000000.000000 5 1
2000000.000000 1101 1
2050000.000000 1 62
2050000.000000 2 8
2050000.000000 3 5
2050000.000000 4 1
2050000.000000 1103 1
2100000.000000 1 56
2100000.000000 2 7
2100000.000000 3 4
2100000.000000 4 1
2100000.000000 5 1
2100000.000000 6 1
2100000.000000 1103 1
2150000.000000 1 43
2150000.000000 2 10
2150000.000000 3 4
2150000.000000 4 1
2150000.000000 5 3
2150000.000000 1106 1
2200000.000000 1 52
2200000.000000 2 11
2200000.000000 3 3
2200000.000000 4 2
2200000.000000 8 1
2200000.000000 1101 1
2250000.000000 1 48
2250000.000000 2 13
2250000.000000 3 5
2250000.000000 4 2
2250000.000000 5 1
2250000.000000 1098 1
2300000.000000 1 52
2300000.000000 2 8
2300000.000000 3 7
2300000.000000 4 2
2300000.000000 1103 1
2350000.000000 1 56
2350000.000000 2 15
2350000.000000 3 1
2350000.000000 4 2
2350000.000000 5 1
2350000.000000 1098 1
2400000.000000 1 60
2400000.000000 2 13
2400000.000000 3 3
2400000.000000 5 2
2400000.000000 1095 1
2450000.000000 1 64
2450000.000000 2 11
2450000.000000 3 4
2450000.000000 4 2
2450000.000000 1094 1
2500000.000000 1 55
2500000.000000 2 12
2500000.000000 3 3
2500000.000000 4 1
2500000.000000 1108 1
2550000.000000 1 51
2550000.000000 2 13
2550000.000000 3 7
2550000.000000 4 1
2550000.000000 1098 1
2600000.000000 1 59
2600000.000000 2 9
2600000.000000 3 8
2600000.000000 5 1
2600000.000000 1094 1
2650000.000000 1 63
2650000.000000 2 17
2650000.000000 3 4
2650000.000000 4 1
2650000.000000 1087 1
2700000.000000 1 61
2700000.000000 2 12
2700000.000000 3 5
2700000.000000 4 3
2700000.000000 6 1
2700000.000000 1082 1
2750000.000000 1 51
2750000.000000 2 17
2750000.000000 3 3
2750000.000000 4 5
2750000.000000 5 1
2750000.000000 1081 1
2800000.000000 1 73
2800000.000000 2 16
2800000.000000 3 3
