# time largest_cluster_fraction_percent
50000.000000 100.0000000000
100000.000000 99.6666666667
150000.000000 99.1666666667
200000.000000 97.8333333333
250000.000000 97.8333333333
300000.000000 97.8333333333
350000.000000 97.7500000000
400000.000000 97.3333333333
450000.000000 96.9166666667
500000.000000 96.4166666667
550000.000000 96.0833333333
600000.000000 95.0833333333
650000.000000 95.4166666667
700000.000000 94.5833333333
750000.000000 94.3333333333
800000.000000 95.1666666667
850000.000000 94.4166666667
900000.000000 94.5000000000
950000.000000 93.5000000000
1000000.000000 94.0833333333
1050000.000000 93.7500000000
1100000.000000 92.8333333333
1150000.000000 93.2500000000
1200000.000000 92.4166666667
1250000.000000 91.7500000000
1300000.000000 92.5833333333
1350000.000000 92.1666666667
1400000.000000 92.4166666667
1450000.000000 92.3333333333
1500000.000000 91.8333333333
1550000.000000 92.3333333333
1600000.000000 92.1666666667
1650000.000000 91.6666666667
1700000.000000 92.0833333333
1750000.000000 92.3333333333
1800000.000000 91.8333333333
1850000.000000 92.0833333333
1900000.000000 92.5000000000
1950000.000000 92.7500000000
2000000.000000 91.7500000000
2050000.000000 91.9166666667
2100000.000000 91.9166666667
2150000.000000 92.1666666667
2200000.000000 91.7500000000
2250000.000000 91.5000000000
2300000.000000 91.9166666667
2350000.000000 91.5000000000
2400000.000000 91.2500000000
2450000.000000 91.1666666667
2500000.000000 92.3333333333
2550000.000000 91.5000000000
2600000.000000 91.1666666667
2650000.000000 90.5833333333
2700000.000000 90.1666666667
2750000.000000 90.0833333333
2800000.000000 89.8333333333
2850000.000000 90.0000000000
2900000.000000 90.1666666667
2950000.000000 90.4166666667
3000000.000000 90.5000000000
3050000.000000 90.0833333333
3100000.000000 90.2500000000
3150000.000000 90.1666666667
3200000.000000 91.0833333333
3250000.000000 89.3333333333
3300000.000000 90.6666666667
3350000.000000 90.5833333333
3400000.000000 90.5833333333
3450000.000000 90.8333333333
3500000.000000 90.4166666667
3550000.000000 90.3333333333
3600000.000000 90.6666666667
3650000.000000 89.6666666667
3700000.000000 89.5833333333
3750000.000000 90.0833333333
3800000.000000 90.2500000000
3850000.000000 89.9166666667
3900000.000000 90.0833333333
3950000.000000 89.9166666667
4000000.000000 91.4166666667
4050000.000000 90.7500000000
4100000.000000 91.7500000000
4150000.000000 91.5833333333
4200000.000000 91.0833333333
4250000.000000 90.5833333333
4300000.000000 90.8333333333
4350000.000000 91.0000000000
4400000.000000 91.4166666667
4450000.000000 91.0833333333
4500000.000000 90.7500000000
4550000.000000 91.0833333333
4600000.000000 90.0000000000
4650000.000000 90.7500000000
4700000.000000 91.1666666667
4750000.000000 90.7500000000
4800000.000000 91.1666666667
4850000.000000 91.0833333333
4900000.000000 91.5000000000
4950000.000000 92.5000000000
5000000.000000 92.0833333333
5050000.000000 92.1666666667
5100000.000000 92.0000000000
5150000.000000 92.2500000000
5200000.000000 93.0833333333
5250000.000000 91.3333333333
5300000.000000 91.8333333333
5350000.000000 92.1666666667
5400000.000000 92.5000000000
5450000.000000 92.5000000000
5500000.000000 91.8333333333
5550000.000000 91.2500000000
5600000.000000 91.5833333333
5650000.000000 91.6666666667
5700000.000000 91.9166666667
5750000.000000 92.9166666667
5800000.000000 92.1666666667
5850000.000000 92.0833333333
5900000.000000 92.0833333333
5950000.000000 91.8333333333
6000000.000000 92.1666666667
6050000.000000 92.7500000000
6100000.000000 92.0000000000
6150000.000000 91.4166666667
6200000.000000 91.9166666667
6250000.000000 90.9166666667
6300000.000000 92.6666666667
6350000.000000 91.6666666667
6400000.000000 90.5000000000
6450000.000000 91.8333333333
6500000.000000 91.0833333333
6550000.000000 90.6666666667
6600000.000000 89.9166666667
6650000.000000 90.5833333333
6700000.000000 91.0833333333
6750000.000000 90.5833333333
6800000.000000 90.2500000000
6850000.000000 89.7500000000
6900000.000000 90.0833333333
6950000.000000 89.9166666667
7000000.000000 89.7500000000
7050000.000000 90.9166666667
7100000.000000 91.2500000000
7150000.000000 90.5000000000
7200000.000000 91.5000000000
7250000.000000 91.2500000000
7300000.000000 91.9166666667
7350000.000000 90.9166666667
7400000.000000 90.8333333333
7450000.000000 91.0000000000
7500000.000000 91.2500000000
7550000.000000 91.6666666667
7600000.000000 91.2500000000
7650000.000000 91.0000000000
7700000.000000 91.0000000000
7750000.000000 90.4166666667
7800000.000000 90.8333333333
7850000.000000 90.8333333333
7900000.000000 91.1666666667
7950000.000000 91.0833333333
8000000.000000 90.6666666667
8050000.000000 89.8333333333
8100000.000000 91.7500000000
8150000.000000 91.1666666667
8200000.000000 90.8333333333
8250000.000000 91.2500000000
8300000.000000 91.5000000000
8350000.000000 91.2500000000
8400000.000000 90.5833333333
8450000.000000 92.0833333333
8500000.000000 90.9166666667
8550000.000000 90.7500000000
8600000.000000 90.7500000000
8650000.000000 91.6666666667
8700000.000000 91.0000000000
8750000.000000 90.4166666667
8800000.000000 88.6666666667
8850000.000000 90.6666666667
8900000.000000 91.0833333333
8950000.000000 92.5000000000
9000000.000000 91.9166666667
9050000.000000 91.3333333333
9100000.000000 91.4166666667
9150000.000000 91.5000000000
9200000.000000 91.2500000000
9250000.000000 91.0833333333
9300000.000000 90.7500000000
9350000.000000 90.7500000000
9400000.000000 91.0833333333
9450000.000000 90.8333333333
9500000.000000 90.7500000000
9550000.000000 92.0000000000
9600000.000000 91.5833333333
9650000.000000 92.2500000000
9700000.000000 91.8333333333
9750000.000000 91.6666666667
9800000.000000 92.5000000000
9850000.000000 91.7500000000
9900000.000000 91.7500000000
9950000.000000 91.0833333333
10000000.000000 91.4166666667
10050000.000000 92.0000000000
10100000.000000 91.5000000000
10150000.000000 91.0833333333
10200000.000000 91.4166666667
10250000.000000 90.6666666667
10300000.000000 91.5000000000
10350000.000000 92.0000000000
10400000.000000 91.5833333333
10450000.000000 91.1666666667
10500000.000000 91.1666666667
10550000.000000 91.3333333333
10600000.000000 91.0833333333
10650000.000000 91.3333333333
10700000.000000 90.6666666667
10750000.000000 91.2500000000
10800000.000000 91.5833333333
10850000.000000 91.7500000000
10900000.000000 90.8333333333
10950000.000000 91.0833333333
11000000.000000 91.0000000000
11050000.000000 91.8333333333
11100000.000000 91.7500000000
11150000.000000 91.6666666667
11200000.000000 90.9166666667
11250000.000000 90.9166666667
11300000.000000 91.9166666667
11350000.000000 91.2500000000
11400000.000000 91.8333333333
11450000.000000 91.8333333333
11500000.000000 91.1666666667
11550000.000000 91.3333333333
11600000.000000 91.4166666667
11650000.000000 92.0833333333
11700000.000000 91.7500000000
11750000.000000 92.0000000000
11800000.000000 91.5000000000
11850000.000000 91.6666666667
11900000.000000 91.8333333333
11950000.000000 92.0833333333
12000000.000000 91.8333333333
12050000.000000 91.3333333333
12100000.000000 90.5833333333
12150000.000000 91.8333333333
12200000.000000 91.5000000000
12250000.000000 91.0833333333
12300000.000000 90.8333333333
12350000.000000 91.1666666667
12400000.000000 91.6666666667
12450000.000000 91.5833333333
12500000.000000 90.5000000000
12550000.000000 91.7500000000
12600000.000000 91.5833333333
12650000.000000 92.3333333333
12700000.000000 91.2500000000
12750000.000000 90.4166666667
12800000.000000 90.5833333333
12850000.000000 90.7500000000
12900000.000000 91.4166666667
12950000.000000 90.8333333333
13000000.000000 91.1666666667
13050000.000000 90.9166666667
13100000.000000 92.5000000000
13150000.000000 91.8333333333
13200000.000000 92.3333333333
13250000.000000 91.6666666667
13300000.000000 91.1666666667
13350000.000000 90.9166666667
13400000.000000 90.8333333333
13450000.000000 91.1666666667
13500000.000000 91.0000000000
13550000.000000 91.7500000000
13600000.000000 91.5000000000
13650000.000000 91.6666666667
13700000.000000 91.8333333333
13750000.000000 91.5833333333
13800000.000000 91.5000000000
13850000.000000 92.0833333333
13900000.000000 91.5833333333
13950000.000000 91.7500000000
14000000.000000 92.2500000000
14050000.000000 91.5000000000
14100000.000000 90.8333333333
14150000.000000 91.5833333333
14200000.000000 92.7500000000
14250000.000000 92.8333333333
14300000.000000 92.0833333333
14350000.000000 91.7500000000
14400000.000000 91.8333333333
14450000.000000 91.0000000000
14500000.000000 91.5000000000
14550000.000000 91.3333333333
14600000.000000 92.1666666667
14650000.000000 91.9166666667
14700000.000000 91.5833333333
14750000.000000 90.7500000000
14800000.000000 90.7500000000
14850000.000000 91.4166666667
14900000.000000 91.0000000000
14950000.000000 91.9166666667
15000000.000000 91.3333333333
15050000.000000 91.6666666667
15100000.000000 92.5000000000
15150000.000000 92.1666666667
15200000.000000 92.1666666667
15250000.000000 92.3333333333
15300000.000000 91.9166666667
15350000.000000 90.6666666667
15400000.000000 90.6666666667
15450000.000000 89.5833333333
15500000.000000 90.0833333333
15550000.000000 90.7500000000
15600000.000000 91.5833333333
15650000.000000 90.7500000000
15700000.000000 91.3333333333
15750000.000000 92.0833333333
15800000.000000 91.8333333333
15850000.000000 92.0000000000
15900000.000000 90.9166666667
15950000.000000 90.5833333333
16000000.000000 90.5000000000
16050000.000000 91.5000000000
16100000.000000 90.9166666667
16150000.000000 89.8333333333
16200000.000000 89.5000000000
16250000.000000 89.4166666667
16300000.000000 89.6666666667
16350000.000000 89.6666666667
16400000.000000 89.6666666667
16450000.000000 88.9166666667
16500000.000000 89.7500000000
16550000.000000 90.5833333333
16600000.000000 89.1666666667
16650000.000000 89.7500000000
16700000.000000 90.1666666667
16750000.000000 90.8333333333
16800000.000000 89.7500000000
16850000.000000 90.6666666667
16900000.000000 89.8333333333
16950000.000000 90.1666666667
17000000.000000 90.5000000000
17050000.000000 90.3333333333
17100000.000000 89.5833333333
17150000.000000 90.8333333333
17200000.000000 90.5833333333
17250000.000000 90.7500000000
17300000.000000 91.0833333333
17350000.000000 90.9166666667
17400000.000000 91.9166666667
17450000.000000 89.4166666667
17500000.000000 90.9166666667
17550000.000000 91.0000000000
17600000.000000 92.2500000000
17650000.000000 91.5000000000
17700000.000000 92.1666666667
17750000.000000 91.8333333333
17800000.000000 91.5833333333
17850000.000000 90.5833333333
17900000.000000 90.2500000000
17950000.000000 90.4166666667
18000000.000000 90.3333333333
18050000.000000 91.3333333333
18100000.000000 91.9166666667
18150000.000000 92.0000000000
18200000.000000 92.1666666667
18250000.000000 91.6666666667
18300000.000000 91.4166666667
18350000.000000 90.6666666667
18400000.000000 91.0833333333
18450000.000000 90.5000000000
18500000.000000 91.6666666667
18550000.000000 90.7500000000
18600000.000000 90.1666666667
18650000.000000 91.6666666667
18700000.000000 91.2500000000
18750000.000000 91.3333333333
18800000.000000 91.6666666667
18850000.000000 91.4166666667
18900000.000000 91.3333333333
18950000.000000 91.4166666667
19000000.000000 91.7500000000
19050000.000000 92.1666666667
19100000.000000 91.7500000000
19150000.000000 91.2500000000
19200000.000000 91.6666666667
19250000.000000 91.1666666667
19300000.000000 91.2500000000
19350000.000000 91.9166666667
19400000.000000 91.5000000000
19450000.000000 91.5000000000
19500000.000000 91.8333333333
19550000.000000 92.0833333333
19600000.000000 91.7500000000
19650000.000000 92.2500000000
19700000.000000 92.7500000000
19750000.000000 92.5000000000
19800000.000000 92.1666666667
19850000.000000 92.3333333333
19900000.000000 92.4166666667
19950000.000000 93.1666666667
20000000.000000 93.1666666667
