# time cluster_size count
50000.000000 1 2
50000.000000 598 1
100000.000000 1 7
100000.000000 3 1
100000.000000 4 1
100000.000000 586 1
150000.000000 1 13
150000.000000 2 3
150000.000000 3 1
150000.000000 4 1
150000.000000 574 1
200000.000000 1 10
200000.000000 3 1
200000.000000 4 1
200000.000000 583 1
250000.000000 1 17
250000.000000 2 3
250000.000000 4 1
250000.000000 573 1
300000.000000 1 20
300000.000000 2 1
300000.000000 3 1
300000.000000 4 1
300000.000000 7 1
300000.000000 564 1
350000.000000 1 27
350000.000000 2 6
350000.000000 3 1
350000.000000 558 1
400000.000000 1 30
400000.000000 2 8
400000.000000 554 1
450000.000000 1 33
450000.000000 2 5
450000.000000 3 2
450000.000000 551 1
500000.000000 1 32
500000.000000 2 5
500000.000000 3 2
500000.000000 4 1
500000.000000 548 1
550000.000000 1 31
550000.000000 2 3
550000.000000 3 3
550000.000000 5 1
550000.000000 549 1
600000.000000 1 26
600000.000000 2 4
600000.000000 3 1
600000.000000 4 2
600000.000000 6 1
600000.000000 549 1
650000.000000 1 37
650000.000000 2 5
650000.000000 6 1
650000.000000 547 1
700000.000000 1 47
700000.000000 2 5
700000.000000 5 1
700000.000000 538 1
750000.000000 1 38
750000.000000 2 7
750000.000000 3 1
750000.000000 545 1
800000.000000 1 31
800000.000000 2 6
800000.000000 3 4
800000.000000 4 1
800000.000000 261 1
800000.000000 280 1
850000.000000 1 35
850000.000000 2 6
850000.000000 3 2
850000.000000 4 1
850000.000000 543 1
900000.000000 1 38
900000.000000 2 6
900000.000000 3 3
900000.000000 541 1
950000.000000 1 44
950000.000000 2 1
950000.000000 3 2
950000.000000 548 1
1000000.000000 1 37
1000000.000000 2 7
1000000.000000 3 2
1000000.000000 543 1
1050000.000000 1 40
1050000.000000 2 4
1050000.000000 3 1
1050000.000000 549 1
1100000.000000 1 34
1100000.000000 2 5
1100000.000000 5 1
1100000.000000 10 1
1100000.000000 256 1
1100000.000000 285 1
1150000.000000 1 38
1150000.000000 2 4
1150000.000000 3 2
1150000.000000 263 1
1150000.000000 285 1
1200000.000000 1 35
1200000.000000 2 7
1200000.000000 3 2
1200000.000000 4 1
1200000.000000 257 1
1200000.000000 284 1
1250000.000000 1 39
1250000.000000 2 4
1250000.000000 3 1
1250000.000000 4 1
1250000.000000 263 1
1250000.000000 283 1
1300000.000000 1 36
1300000.000000 2 6
1300000.000000 3 2
1300000.000000 4 1
1300000.000000 261 1
1300000.000000 281 1
1350000.000000 1 32
1350000.000000 2 4
1350000.000000 3 3
1350000.000000 4 1
1350000.000000 265 1
1350000.000000 282 1
1400000.000000 1 36
1400000.000000 2 4
1400000.000000 3 1
1400000.000000 6 1
1400000.000000 547 1
1450000.000000 1 33
1450000.000000 2 7
1450000.000000 3 1
1450000.000000 6 1
1450000.000000 261 1
1450000.000000 283 1
1500000.000000 1 37
1500000.000000 2 8
1500000.000000 3 1
1500000.000000 4 1
1500000.000000 258 1
1500000.000000 282 1
1550000.000000 1 33
1550000.000000 2 10
1550000.000000 5 1
1550000.000000 258 1
1550000.000000 284 1
1600000.000000 1 32
1600000.000000 2 6
1600000.000000 3 3
1600000.000000 5 1
1600000.000000 265 1
1600000.000000 277 1
1650000.000000 1 40
1650000.000000 2 7
1650000.000000 3 1
1650000.000000 4 2
1650000.000000 535 1
1700000.000000 1 43
1700000.000000 2 5
1700000.000000 3 1
1700000.000000 544 1
1750000.000000 1 40
1750000.000000 2 10
1750000.000000 3 2
1750000.000000 534 1
1800000.000000 1 43
1800000.000000 2 6
1800000.000000 3 3
1800000.000000 6 1
1800000.000000 530 1
1850000.000000 1 36
1850000.000000 2 5
1850000.000000 3 5
1850000.000000 6 1
1850000.000000 533 1
1900000.000000 1 34
1900000.000000 2 8
1900000.000000 3 3
1900000.000000 4 2
1900000.000000 5 1
1900000.000000 528 1
1950000.000000 1 41
1950000.000000 2 8
1950000.000000 4 1
1950000.000000 539 1
2000000.000000 1 35
2000000.000000 2 5
