# time largest_cluster_fraction_percent
50000.000000 99.6666666667
100000.000000 97.6666666667
150000.000000 95.6666666667
200000.000000 97.1666666667
250000.000000 95.5000000000
300000.000000 94.0000000000
350000.000000 93.0000000000
400000.000000 92.3333333333
450000.000000 91.8333333333
500000.000000 91.3333333333
550000.000000 91.5000000000
600000.000000 91.5000000000
650000.000000 91.1666666667
700000.000000 89.6666666667
750000.000000 90.8333333333
800000.000000 46.6666666667
850000.000000 90.5000000000
900000.000000 90.1666666667
950000.000000 91.3333333333
1000000.000000 90.5000000000
1050000.000000 91.5000000000
1100000.000000 47.5000000000
1150000.000000 47.5000000000
1200000.000000 47.3333333333
1250000.000000 47.1666666667
1300000.000000 46.8333333333
1350000.000000 47.0000000000
1400000.000000 91.1666666667
1450000.000000 47.1666666667
1500000.000000 47.0000000000
1550000.000000 47.3333333333
1600000.000000 46.1666666667
1650000.000000 89.1666666667
1700000.000000 90.6666666667
1750000.000000 89.0000000000
1800000.000000 88.3333333333
1850000.000000 88.8333333333
1900000.000000 88.0000000000
1950000.000000 89.8333333333
2000000.000000 90.6666666667
2050000.000000 89.1666666667
2100000.000000 90.1666666667
2150000.000000 91.8333333333
2200000.000000 90.1666666667
2250000.000000 47.1666666667
2300000.000000 48.3333333333
2350000.000000 46.8333333333
2400000.000000 46.5000000000
2450000.000000 45.8333333333
2500000.000000 45.8333333333
2550000.000000 47.0000000000
2600000.000000 46.3333333333
2650000.000000 46.3333333333
2700000.000000 46.5000000000
2750000.000000 46.3333333333
2800000.000000 46.5000000000
2850000.000000 46.0000000000
2900000.000000 47.1666666667
2950000.000000 46.6666666667
3000000.000000 46.3333333333
3050000.000000 46.6666666667
3100000.000000 46.5000000000
3150000.000000 47.6666666667
3200000.000000 89.0000000000
3250000.000000 90.6666666667
3300000.000000 46.0000000000
3350000.000000 46.0000000000
3400000.000000 46.3333333333
3450000.000000 45.1666666667
3500000.000000 45.1666666667
3550000.000000 46.1666666667
3600000.000000 45.0000000000
3650000.000000 45.1666666667
3700000.000000 44.8333333333
3750000.000000 45.1666666667
3800000.000000 46.1666666667
3850000.000000 47.3333333333
3900000.000000 45.6666666667
3950000.000000 46.0000000000
4000000.000000 45.8333333333
4050000.000000 88.3333333333
4100000.000000 45.8333333333
4150000.000000 47.0000000000
4200000.000000 46.1666666667
4250000.000000 46.3333333333
4300000.000000 46.8333333333
4350000.000000 46.3333333333
4400000.000000 47.5000000000
4450000.000000 46.8333333333
4500000.000000 47.3333333333
4550000.000000 89.0000000000
4600000.000000 45.1666666667
4650000.000000 44.5000000000
4700000.000000 45.1666666667
4750000.000000 85.8333333333
4800000.000000 43.6666666667
4850000.000000 44.8333333333
4900000.000000 44.6666666667
4950000.000000 44.3333333333
5000000.000000 44.8333333333
5050000.000000 44.6666666667
5100000.000000 45.8333333333
5150000.000000 46.0000000000
5200000.000000 44.8333333333
5250000.000000 45.1666666667
5300000.000000 45.0000000000
5350000.000000 46.0000000000
5400000.000000 45.8333333333
5450000.000000 47.0000000000
5500000.000000 46.1666666667
5550000.000000 46.1666666667
5600000.000000 46.0000000000
5650000.000000 46.5000000000
5700000.000000 46.3333333333
5750000.000000 46.6666666667
5800000.000000 46.5000000000
5850000.000000 46.6666666667
5900000.000000 46.1666666667
5950000.000000 46.3333333333
6000000.000000 46.1666666667
6050000.000000 45.0000000000
6100000.000000 45.6666666667
6150000.000000 87.1666666667
6200000.000000 45.1666666667
6250000.000000 44.6666666667
6300000.000000 46.0000000000
6350000.000000 88.3333333333
6400000.000000 46.5000000000
6450000.000000 88.0000000000
6500000.000000 47.8333333333
6550000.000000 89.0000000000
6600000.000000 46.1666666667
6650000.000000 89.5000000000
6700000.000000 89.6666666667
6750000.000000 47.5000000000
6800000.000000 48.3333333333
6850000.000000 46.3333333333
6900000.000000 46.6666666667
6950000.000000 87.3333333333
7000000.000000 47.5000000000
7050000.000000 46.3333333333
7100000.000000 47.0000000000
7150000.000000 47.1666666667
7200000.000000 47.5000000000
7250000.000000 47.0000000000
7300000.000000 46.6666666667
7350000.000000 46.6666666667
7400000.000000 46.6666666667
7450000.000000 47.0000000000
7500000.000000 47.6666666667
7550000.000000 47.0000000000
7600000.000000 46.6666666667
7650000.000000 46.8333333333
7700000.000000 47.5000000000
7750000.000000 47.6666666667
7800000.000000 47.5000000000
7850000.000000 47.1666666667
7900000.000000 46.8333333333
7950000.000000 46.3333333333
8000000.000000 46.0000000000
8050000.000000 46.8333333333
8100000.000000 47.0000000000
8150000.000000 46.5000000000
8200000.000000 46.3333333333
8250000.000000 46.3333333333
8300000.000000 46.8333333333
8350000.000000 47.5000000000
8400000.000000 47.1666666667
8450000.000000 46.8333333333
8500000.000000 47.1666666667
8550000.000000 47.1666666667
8600000.000000 47.3333333333
8650000.000000 87.1666666667
8700000.000000 47.1666666667
8750000.000000 87.1666666667
8800000.000000 47.6666666667
8850000.000000 87.3333333333
8900000.000000 49.8333333333
8950000.000000 49.3333333333
9000000.000000 49.0000000000
9050000.000000 49.5000000000
9100000.000000 87.5000000000
9150000.000000 49.3333333333
9200000.000000 49.6666666667
9250000.000000 49.3333333333
9300000.000000 48.5000000000
9350000.000000 87.6666666667
9400000.000000 49.5000000000
9450000.000000 49.1666666667
9500000.000000 50.0000000000
9550000.000000 89.3333333333
9600000.000000 49.0000000000
9650000.000000 49.5000000000
9700000.000000 49.5000000000
9750000.000000 50.0000000000
9800000.000000 89.1666666667
9850000.000000 50.1666666667
9900000.000000 50.0000000000
9950000.000000 51.0000000000
10000000.000000 90.6666666667
10050000.000000 90.3333333333
10100000.000000 88.6666666667
10150000.000000 49.0000000000
10200000.000000 50.0000000000
10250000.000000 87.5000000000
10300000.000000 88.8333333333
10350000.000000 89.0000000000
10400000.000000 89.5000000000
10450000.000000 89.0000000000
10500000.000000 89.1666666667
10550000.000000 50.1666666667
10600000.000000 49.6666666667
10650000.000000 49.5000000000
10700000.000000 49.1666666667
10750000.000000 49.8333333333
10800000.000000 50.0000000000
10850000.000000 88.5000000000
10900000.000000 87.8333333333
10950000.000000 88.8333333333
11000000.000000 87.3333333333
11050000.000000 88.3333333333
11100000.000000 88.3333333333
11150000.000000 88.3333333333
11200000.000000 89.6666666667
11250000.000000 89.0000000000
11300000.000000 90.1666666667
11350000.000000 90.5000000000
11400000.000000 89.5000000000
11450000.000000 90.5000000000
11500000.000000 88.5000000000
11550000.000000 89.8333333333
11600000.000000 89.3333333333
11650000.000000 89.5000000000
11700000.000000 91.0000000000
11750000.000000 89.5000000000
11800000.000000 88.6666666667
11850000.000000 90.1666666667
11900000.000000 88.6666666667
11950000.000000 89.1666666667
12000000.000000 90.0000000000
12050000.000000 88.3333333333
12100000.000000 88.3333333333
12150000.000000 87.3333333333
12200000.000000 88.3333333333
12250000.000000 87.5000000000
12300000.000000 87.3333333333
12350000.000000 89.5000000000
12400000.000000 88.3333333333
12450000.000000 86.8333333333
12500000.000000 52.3333333333
12550000.000000 87.3333333333
12600000.000000 87.1666666667
12650000.000000 86.5000000000
12700000.000000 52.0000000000
12750000.000000 53.8333333333
12800000.000000 88.5000000000
12850000.000000 52.5000000000
12900000.000000 52.1666666667
12950000.000000 53.1666666667
13000000.000000 53.8333333333
13050000.000000 53.5000000000
13100000.000000 52.3333333333
13150000.000000 52.6666666667
13200000.000000 52.6666666667
13250000.000000 51.6666666667
13300000.000000 52.5000000000
13350000.000000 52.3333333333
13400000.000000 52.1666666667
13450000.000000 53.1666666667
13500000.000000 51.6666666667
13550000.000000 52.0000000000
13600000.000000 52.5000000000
13650000.000000 51.8333333333
13700000.000000 51.3333333333
13750000.000000 51.8333333333
13800000.000000 51.6666666667
13850000.000000 51.6666666667
13900000.000000 87.6666666667
13950000.000000 51.1666666667
14000000.000000 51.8333333333
14050000.000000 89.0000000000
14100000.000000 52.0000000000
14150000.000000 89.6666666667
14200000.000000 89.1666666667
14250000.000000 89.1666666667
14300000.000000 89.5000000000
14350000.000000 89.5000000000
14400000.000000 88.3333333333
14450000.000000 89.0000000000
14500000.000000 88.3333333333
14550000.000000 89.5000000000
14600000.000000 91.1666666667
14650000.000000 90.1666666667
14700000.000000 88.3333333333
14750000.000000 87.8333333333
14800000.000000 88.5000000000
14850000.000000 87.8333333333
14900000.000000 89.3333333333
14950000.000000 90.1666666667
15000000.000000 91.0000000000
15050000.000000 89.6666666667
15100000.000000 91.1666666667
15150000.000000 91.0000000000
15200000.000000 91.1666666667
15250000.000000 90.6666666667
15300000.000000 89.1666666667
15350000.000000 89.3333333333
15400000.000000 90.5000000000
15450000.000000 89.6666666667
15500000.000000 90.3333333333
15550000.000000 90.6666666667
15600000.000000 91.1666666667
15650000.000000 91.5000000000
15700000.000000 90.8333333333
15750000.000000 91.5000000000
15800000.000000 91.5000000000
15850000.000000 92.0000000000
15900000.000000 91.1666666667
15950000.000000 92.0000000000
16000000.000000 91.6666666667
16050000.000000 91.3333333333
16100000.000000 91.6666666667
16150000.000000 92.0000000000
16200000.000000 92.0000000000
16250000.000000 92.1666666667
16300000.000000 90.8333333333
16350000.000000 92.0000000000
16400000.000000 92.1666666667
16450000.000000 91.0000000000
16500000.000000 91.6666666667
16550000.000000 91.6666666667
16600000.000000 92.0000000000
16650000.000000 92.1666666667
16700000.000000 92.5000000000
16750000.000000 92.0000000000
16800000.000000 90.6666666667
16850000.000000 91.6666666667
16900000.000000 92.3333333333
16950000.000000 91.6666666667
17000000.000000 91.8333333333
17050000.000000 91.3333333333
17100000.000000 91.5000000000
17150000.000000 90.8333333333
17200000.000000 90.0000000000
17250000.000000 90.0000000000
17300000.000000 89.0000000000
17350000.000000 89.1666666667
17400000.000000 90.0000000000
17450000.000000 89.6666666667
17500000.000000 89.0000000000
17550000.000000 89.6666666667
17600000.000000 89.3333333333
17650000.000000 89.0000000000
17700000.000000 88.3333333333
17750000.000000 88.0000000000
17800000.000000 88.6666666667
17850000.000000 89.1666666667
17900000.000000 87.8333333333
17950000.000000 90.0000000000
18000000.000000 90.8333333333
18050000.000000 89.1666666667
18100000.000000 89.0000000000
18150000.000000 90.3333333333
18200000.000000 88.6666666667
18250000.000000 89.5000000000
18300000.000000 89.6666666667
18350000.000000 86.8333333333
18400000.000000 88.6666666667
18450000.000000 89.1666666667
18500000.000000 89.3333333333
18550000.000000 88.6666666667
18600000.000000 89.3333333333
18650000.000000 88.5000000000
18700000.000000 88.8333333333
18750000.000000 89.1666666667
18800000.000000 88.8333333333
18850000.000000 89.1666666667
18900000.000000 88.1666666667
18950000.000000 89.5000000000
19000000.000000 89.6666666667
19050000.000000 89.8333333333
19100000.000000 89.8333333333
19150000.000000 89.3333333333
19200000.000000 89.5000000000
19250000.000000 89.5000000000
19300000.000000 90.0000000000
19350000.000000 89.3333333333
19400000.000000 90.5000000000
19450000.000000 89.5000000000
