# time mean_cluster_size
50000.000000 300.0000000000
100000.000000 120.0000000000
150000.000000 60.0000000000
200000.000000 42.8571428571
250000.000000 31.5789473684
300000.000000 30.0000000000
350000.000000 28.5714285714
400000.000000 26.0869565217
450000.000000 19.3548387097
500000.000000 20.0000000000
550000.000000 19.3548387097
600000.000000 19.3548387097
650000.000000 18.7500000000
700000.000000 18.7500000000
750000.000000 16.6666666667
800000.000000 15.3846153846
850000.000000 12.7659574468
900000.000000 13.9534883721
950000.000000 13.3333333333
1000000.000000 12.0000000000
1050000.000000 11.1111111111
1100000.000000 10.5263157895
1150000.000000 13.6363636364
1200000.000000 13.9534883721
1250000.000000 13.3333333333
1300000.000000 13.3333333333
1350000.000000 13.9534883721
1400000.000000 14.6341463415
1450000.000000 15.3846153846
1500000.000000 15.3846153846
1550000.000000 13.6363636364
1600000.000000 13.9534883721
1650000.000000 12.7659574468
1700000.000000 13.0434782609
1750000.000000 12.0000000000
1800000.000000 11.7647058824
1850000.000000 12.0000000000
1900000.000000 10.7142857143
1950000.000000 13.9534883721
2000000.000000 14.6341463415
2050000.000000 13.3333333333
2100000.000000 11.7647058824
2150000.000000 13.0434782609
2200000.000000 13.0434782609
2250000.000000 12.7659574468
2300000.000000 12.5000000000
2350000.000000 10.9090909091
2400000.000000 11.5384615385
2450000.000000 10.9090909091
2500000.000000 9.5238095238
2550000.000000 10.5263157895
2600000.000000 9.8360655738
2650000.000000 10.5263157895
2700000.000000 10.7142857143
2750000.000000 10.3448275862
2800000.000000 10.7142857143
2850000.000000 12.5000000000
2900000.000000 10.3448275862
2950000.000000 11.7647058824
3000000.000000 10.5263157895
3050000.000000 9.5238095238
3100000.000000 11.1111111111
3150000.000000 12.2448979592
3200000.000000 10.9090909091
3250000.000000 11.3207547170
3300000.000000 11.7647058824
3350000.000000 10.1694915254
3400000.000000 10.9090909091
3450000.000000 11.5384615385
3500000.000000 10.9090909091
3550000.000000 10.3448275862
3600000.000000 9.3750000000
3650000.000000 8.8235294118
3700000.000000 10.1694915254
3750000.000000 9.3750000000
3800000.000000 9.6774193548
3850000.000000 8.5714285714
3900000.000000 8.4507042254
3950000.000000 9.6774193548
4000000.000000 11.5384615385
4050000.000000 9.6774193548
