# time cluster_size count
50000.000000 600 1
100000.000000 600 1
150000.000000 1 3
150000.000000 597 1
200000.000000 1 8
200000.000000 592 1
250000.000000 1 6
250000.000000 2 1
250000.000000 592 1
300000.000000 1 11
300000.000000 589 1
350000.000000 1 9
350000.000000 2 1
350000.000000 589 1
400000.000000 1 12
400000.000000 2 1
400000.000000 586 1
450000.000000 1 12
450000.000000 2 1
450000.000000 586 1
500000.000000 1 15
500000.000000 585 1
550000.000000 1 11
550000.000000 589 1
600000.000000 1 10
600000.000000 590 1
650000.000000 1 10
650000.000000 590 1
700000.000000 1 13
700000.000000 2 1
700000.000000 3 1
700000.000000 582 1
750000.000000 1 9
750000.000000 2 2
750000.000000 587 1
800000.000000 1 12
800000.000000 2 1
800000.000000 586 1
850000.000000 1 13
850000.000000 587 1
900000.000000 1 10
900000.000000 590 1
950000.000000 1 11
950000.000000 589 1
1000000.000000 1 11
1000000.000000 589 1
1050000.000000 1 11
1050000.000000 589 1
1100000.000000 1 13
1100000.000000 2 1
1100000.000000 585 1
1150000.000000 1 15
1150000.000000 585 1
1200000.000000 1 13
1200000.000000 2 1
1200000.000000 585 1
1250000.000000 1 14
1250000.000000 586 1
1300000.000000 1 15
1300000.000000 2 2
1300000.000000 581 1
1350000.000000 1 15
1350000.000000 2 1
1350000.000000 583 1
1400000.000000 1 15
1400000.000000 2 1
1400000.000000 583 1
1450000.000000 1 15
1450000.000000 585 1
1500000.000000 1 15
1500000.000000 2 1
1500000.000000 583 1
1550000.000000 1 16
1550000.000000 2 2
1550000.000000 580 1
1600000.000000 1 15
1600000.000000 2 3
1600000.000000 579 1
1650000.000000 1 17
1650000.000000 2 1
1650000.000000 581 1
1700000.000000 1 20
1700000.000000 2 1
1700000.000000 578 1
1750000.000000 1 16
1750000.000000 2 3
1750000.000000 578 1
1800000.000000 1 21
1800000.000000 2 2
1800000.000000 575 1
1850000.000000 1 24
1850000.000000 2 1
1850000.000000 574 1
1900000.000000 1 19
1900000.000000 2 1
1900000.000000 4 1
1900000.000000 575 1
1950000.000000 1 26
1950000.000000 3 1
1950000.000000 571 1
2000000.000000 1 20
2000000.000000 2 1
2000000.000000 3 1
2000000.000000 575 1
2050000.000000 1 18
2050000.000000 582 1
2100000.000000 1 13
2100000.000000 2 3
2100000.000000 3 1
2100000.000000 578 1
2150000.000000 1 16
2150000.000000 2 2
2150000.000000 580 1
2200000.000000 1 18
2200000.000000 2 2
2200000.000000 3 1
2200000.000000 575 1
2250000.000000 1 17
2250000.000000 2 3
2250000.000000 577 1
2300000.000000 1 18
2300000.000000 2 2
2300000.000000 578 1
2350000.000000 1 16
2350000.000000 2 1
2350000.000000 582 1
2400000.000000 1 14
2400000.000000 2 1
