# time largest_cluster_rg
50000.000000 19.3367681813
100000.000000 47.4533180526
150000.000000 35.2583598443
200000.000000 19.5652714967
250000.000000 19.6031734596
300000.000000 19.8227350886
350000.000000 19.5717975987
400000.000000 19.6403504618
450000.000000 20.0529492385
500000.000000 19.5716673343
550000.000000 19.6976342514
600000.000000 20.5184287168
650000.000000 19.4946300510
700000.000000 19.2576794125
750000.000000 19.6484317415
800000.000000 19.7220406139
850000.000000 19.9697442191
900000.000000 20.1500197423
950000.000000 20.8441172047
1000000.000000 19.4816405165
1050000.000000 19.9142115419
1100000.000000 19.3643173270
1150000.000000 19.6886524710
1200000.000000 19.7044473357
1250000.000000 19.4755952973
1300000.000000 19.4931573699
1350000.000000 19.4353417681
1400000.000000 19.2017431427
1450000.000000 19.5377481280
1500000.000000 19.3124624377
1550000.000000 19.2721129812
1600000.000000 19.3932128355
1650000.000000 19.4615881065
1700000.000000 19.3863185230
1750000.000000 19.2291224099
1800000.000000 19.2552758755
1850000.000000 19.0714953414
1900000.000000 19.1035927782
1950000.000000 19.3494361528
2000000.000000 19.4069708753
2050000.000000 19.2278085083
2100000.000000 19.2205484519
2150000.000000 18.9689993839
2200000.000000 19.0002713565
2250000.000000 18.9099986743
2300000.000000 18.9638767297
2350000.000000 19.0951478088
2400000.000000 19.2182924678
2450000.000000 19.0623357237
2500000.000000 18.9716420092
2550000.000000 18.9967255409
2600000.000000 19.1158275621
2650000.000000 19.0574508046
2700000.000000 19.0840440390
2750000.000000 19.2762256086
2800000.000000 19.2169170986
2850000.000000 19.2511235678
2900000.000000 19.3187076585
2950000.000000 19.0733642622
3000000.000000 19.0371554903
3050000.000000 19.3396025438
3100000.000000 19.1408561291
3150000.000000 19.1727202673
3200000.000000 19.2321033249
3250000.000000 19.1265734629
3300000.000000 19.2884775580
3350000.000000 19.4242750636
3400000.000000 20.8542182654
3450000.000000 19.6613257849
3500000.000000 20.0051003326
3550000.000000 19.4142428223
3600000.000000 19.4726794104
3650000.000000 20.0281007743
3700000.000000 19.3421588684
3750000.000000 19.5293435610
3800000.000000 18.9847621997
3850000.000000 19.4230163492
3900000.000000 18.6985773283
3950000.000000 19.0577774065
4000000.000000 23.3899696333
4050000.000000 19.7174699485
4100000.000000 19.0227715917
4150000.000000 23.0811127645
4200000.000000 18.6904991933
4250000.000000 19.2804578385
4300000.000000 19.2448574080
4350000.000000 19.2783170705
4400000.000000 19.8151684975
4450000.000000 19.6145119077
4500000.000000 19.1257224455
4550000.000000 20.1796276080
4600000.000000 21.2585670032
4650000.000000 19.4600770173
4700000.000000 19.4981088613
4750000.000000 20.8984861647
4800000.000000 19.1911698780
4850000.000000 19.4898715657
4900000.000000 19.4457411310
4950000.000000 19.3111985747
5000000.000000 19.0892930955
5050000.000000 19.2086753313
5100000.000000 19.6536488687
5150000.000000 19.5247107585
5200000.000000 18.8837459999
5250000.000000 19.2619072735
5300000.000000 19.6110443027
5350000.000000 19.4856260216
5400000.000000 19.4676939034
5450000.000000 20.3116722477
5500000.000000 19.4799920482
5550000.000000 19.6973843110
5600000.000000 19.8502767311
5650000.000000 20.4150653675
5700000.000000 18.8824590242
5750000.000000 19.5602881261
5800000.000000 19.4234137323
5850000.000000 18.8549533913
5900000.000000 19.3070465352
5950000.000000 19.7856879681
6000000.000000 19.5505853261
6050000.000000 19.7659195160
6100000.000000 19.7069256550
6150000.000000 19.6848781776
6200000.000000 19.7591034242
6250000.000000 19.5496113680
6300000.000000 19.2506036819
6350000.000000 19.6892104540
6400000.000000 19.4973311793
6450000.000000 19.1316633870
6500000.000000 19.7977258425
6550000.000000 19.6264555943
6600000.000000 19.6821899859
6650000.000000 19.2024454102
6700000.000000 19.2766267484
6750000.000000 19.4965285678
6800000.000000 19.3177153819
6850000.000000 20.4318160625
6900000.000000 19.8229906277
6950000.000000 21.6553096477
7000000.000000 19.0200960789
7050000.000000 21.5849183941
7100000.000000 19.6793573580
7150000.000000 19.6544509234
7200000.000000 19.1071924424
7250000.000000 19.3614376645
7300000.000000 19.2885632114
7350000.000000 20.1613553895
7400000.000000 19.0647980574
7450000.000000 19.3192754855
7500000.000000 18.8815993230
7550000.000000 19.0794656425
7600000.000000 19.0336185898
7650000.000000 19.1503405248
7700000.000000 19.6619512085
7750000.000000 19.1101226847
7800000.000000 19.4082387501
7850000.000000 19.2764644354
7900000.000000 19.0124863492
7950000.000000 19.0821972726
8000000.000000 19.2582429007
8050000.000000 19.2514711341
8100000.000000 18.8192816840
8150000.000000 18.6812059926
8200000.000000 18.6651412692
8250000.000000 18.9433564425
8300000.000000 18.7745682056
8350000.000000 18.7706746786
8400000.000000 18.7564416389
8450000.000000 19.3551425847
8500000.000000 19.7166148288
8550000.000000 19.6878394063
8600000.000000 19.1312522305
8650000.000000 18.8027542749
8700000.000000 20.2321979981
8750000.000000 19.4694633895
8800000.000000 23.9580721719
8850000.000000 20.3308576665
8900000.000000 19.4418536564
8950000.000000 20.2487076452
9000000.000000 21.6478195664
9050000.000000 19.1224848300
9100000.000000 21.5197934668
9150000.000000 20.0641997117
9200000.000000 21.9763683973
9250000.000000 19.1493729550
9300000.000000 19.1579283307
9350000.000000 20.0516056906
9400000.000000 19.5640734923
9450000.000000 19.2820383584
9500000.000000 19.7058290488
9550000.000000 21.7517418507
9600000.000000 20.1666534632
9650000.000000 19.4148457900
9700000.000000 19.8206248166
9750000.000000 26.3664996498
9800000.000000 20.2806569001
9850000.000000 19.7787925552
9900000.000000 19.8610695435
9950000.000000 19.3867356687
10000000.000000 19.5381047713
10050000.000000 19.6897836943
10100000.000000 19.4554510647
10150000.000000 19.7169507295
10200000.000000 19.2905489150
10250000.000000 19.6937204155
10300000.000000 19.3866074857
10350000.000000 19.3063364856
10400000.000000 18.8620377308
10450000.000000 19.4133900753
10500000.000000 20.1592104137
10550000.000000 19.3161740478
10600000.000000 19.2302517599
10650000.000000 19.0552565165
10700000.000000 19.6139993141
10750000.000000 19.9545581089
10800000.000000 19.9043415178
10850000.000000 19.5417683618
10900000.000000 20.1274441560
10950000.000000 19.7184749610
11000000.000000 19.2525071443
11050000.000000 19.4613476924
11100000.000000 19.4764215635
11150000.000000 18.9817805739
11200000.000000 19.2533691356
11250000.000000 19.1152416551
11300000.000000 19.3640142996
11350000.000000 19.3220614669
11400000.000000 21.1717636872
11450000.000000 19.0541048267
11500000.000000 19.1619508129
11550000.000000 19.3690664770
11600000.000000 19.1965258130
11650000.000000 19.0440027023
11700000.000000 19.1803366649
11750000.000000 19.1575902618
11800000.000000 19.4788633844
11850000.000000 19.2682151620
11900000.000000 19.1924652346
11950000.000000 19.0216891169
12000000.000000 19.2597190869
12050000.000000 19.6269243296
12100000.000000 18.8873373432
12150000.000000 24.8095266196
12200000.000000 19.1325557239
12250000.000000 33.4422873439
12300000.000000 19.5024417318
12350000.000000 19.3967422010
12400000.000000 19.1178602829
12450000.000000 19.2059110497
12500000.000000 19.9042460882
12550000.000000 19.8538267603
12600000.000000 20.9208702502
12650000.000000 19.2228310615
12700000.000000 19.1583287835
12750000.000000 19.1035103898
12800000.000000 19.4611986485
12850000.000000 19.3487942914
12900000.000000 19.6586197698
12950000.000000 19.2566125934
13000000.000000 19.2445660248
13050000.000000 19.7396642267
13100000.000000 20.5130481557
13150000.000000 21.1673088180
13200000.000000 19.7400463374
13250000.000000 20.2513645221
13300000.000000 20.9071340878
13350000.000000 19.1445921345
13400000.000000 19.2243415061
13450000.000000 19.2837933365
13500000.000000 19.3532522172
13550000.000000 21.0912915466
13600000.000000 39.3295346561
13650000.000000 33.4664887428
13700000.000000 19.7460802548
13750000.000000 19.5600431972
13800000.000000 19.6503848500
13850000.000000 19.8838262327
13900000.000000 19.8664073621
13950000.000000 20.4378247114
14000000.000000 19.7123869855
14050000.000000 19.0020412077
14100000.000000 19.7233068635
14150000.000000 19.0500258112
14200000.000000 19.2714150790
14250000.000000 19.3814080693
14300000.000000 19.1835262648
14350000.000000 19.3413479696
14400000.000000 19.4808403988
14450000.000000 19.4153691052
14500000.000000 19.4235233196
14550000.000000 19.8395178491
14600000.000000 19.1102732487
14650000.000000 18.9749907268
14700000.000000 19.6067161799
14750000.000000 20.0001129219
14800000.000000 19.4898379423
14850000.000000 22.9111688315
14900000.000000 20.0947180481
14950000.000000 25.5392066234
15000000.000000 19.8456516865
15050000.000000 41.2176473685
15100000.000000 19.3080251892
15150000.000000 19.1559070186
15200000.000000 20.0456736530
15250000.000000 20.2424895208
15300000.000000 19.6193090672
15350000.000000 19.5194276537
15400000.000000 19.3968576257
15450000.000000 19.4096344140
15500000.000000 18.9395922834
15550000.000000 19.4966858665
15600000.000000 19.4656173447
15650000.000000 19.1215821614
15700000.000000 19.9716245948
15750000.000000 19.0417734298
15800000.000000 19.5028760212
15850000.000000 19.7906076747
15900000.000000 19.4008216149
15950000.000000 19.5495670518
16000000.000000 19.2537761847
16050000.000000 19.0100094035
16100000.000000 19.1248561122
16150000.000000 19.5032204854
16200000.000000 18.6330981825
16250000.000000 18.8785104992
16300000.000000 18.9718759340
16350000.000000 19.0332183050
16400000.000000 19.0781331072
16450000.000000 19.3470252128
16500000.000000 18.6978578907
16550000.000000 20.8449104164
16600000.000000 19.6494269837
16650000.000000 19.2934435486
16700000.000000 19.5530124340
16750000.000000 19.8897543580
16800000.000000 19.4874046037
16850000.000000 19.4602014441
16900000.000000 19.3557542395
16950000.000000 19.3346010242
17000000.000000 19.3728423471
17050000.000000 19.4720524927
17100000.000000 19.4875305921
17150000.000000 18.9220917934
17200000.000000 19.7242248620
17250000.000000 20.0441729164
17300000.000000 19.5635325312
17350000.000000 19.8823599084
17400000.000000 19.5002783039
17450000.000000 19.3605522784
17500000.000000 19.8202811030
17550000.000000 20.3181843038
17600000.000000 19.7193951622
17650000.000000 19.9142699054
17700000.000000 19.5554837705
17750000.000000 19.9836135544
17800000.000000 19.4619228544
17850000.000000 19.9065801739
17900000.000000 19.4890662885
17950000.000000 19.3890331142
18000000.000000 19.8647680767
18050000.000000 19.7260419146
18100000.000000 19.6588406176
18150000.000000 19.6163644397
18200000.000000 19.7673096541
18250000.000000 19.7992322890
18300000.000000 19.6654228684
18350000.000000 20.4891972865
18400000.000000 20.2169405069
18450000.000000 20.5560402351
18500000.000000 20.4921014464
18550000.000000 19.8231844935
18600000.000000 21.1343287055
18650000.000000 20.0771121849
18700000.000000 19.3000096739
18750000.000000 19.1365969861
18800000.000000 19.1120252677
18850000.000000 20.5578992388
18900000.000000 19.4839186815
18950000.000000 19.3281182991
19000000.000000 19.6179822678
19050000.000000 19.4289813911
19100000.000000 19.4030545563
19150000.000000 22.2118132204
19200000.000000 19.0298519374
19250000.000000 19.5323802841
19300000.000000 20.0668608402
19350000.000000 19.5825297012
19400000.000000 18.9091045455
19450000.000000 19.0912283100
19500000.000000 20.8849652719
19550000.000000 20.1095410529
19600000.000000 19.4886799321
19650000.000000 19.0381732470
19700000.000000 18.9882883278
19750000.000000 19.4051216588
19800000.000000 19.3621284193
19850000.000000 19.1500077673
19900000.000000 19.3330543306
19950000.000000 19.9737134932
20000000.000000 21.9525349676
