# time mean_cluster_size
50000.000000 300.0000000000
100000.000000 300.0000000000
150000.000000 150.0000000000
200000.000000 85.7142857143
250000.000000 85.7142857143
300000.000000 66.6666666667
350000.000000 85.7142857143
400000.000000 50.0000000000
450000.000000 75.0000000000
500000.000000 66.6666666667
550000.000000 120.0000000000
600000.000000 85.7142857143
650000.000000 54.5454545455
700000.000000 50.0000000000
750000.000000 66.6666666667
800000.000000 75.0000000000
850000.000000 75.0000000000
900000.000000 66.6666666667
950000.000000 75.0000000000
1000000.000000 60.0000000000
1050000.000000 54.5454545455
1100000.000000 60.0000000000
1150000.000000 50.0000000000
1200000.000000 75.0000000000
1250000.000000 60.0000000000
1300000.000000 42.8571428571
1350000.000000 60.0000000000
1400000.000000 66.6666666667
1450000.000000 60.0000000000
1500000.000000 66.6666666667
1550000.000000 50.0000000000
1600000.000000 35.2941176471
1650000.000000 42.8571428571
1700000.000000 35.2941176471
1750000.000000 37.5000000000
1800000.000000 40.0000000000
1850000.000000 28.5714285714
1900000.000000 28.5714285714
1950000.000000 30.0000000000
2000000.000000 26.0869565217
2050000.000000 33.3333333333
2100000.000000 37.5000000000
2150000.000000 35.2941176471
2200000.000000 26.0869565217
2250000.000000 37.5000000000
2300000.000000 35.2941176471
2350000.000000 33.3333333333
2400000.000000 40.0000000000
2450000.000000 37.5000000000
2500000.000000 35.2941176471
2550000.000000 42.8571428571
2600000.000000 40.0000000000
2650000.000000 40.0000000000
2700000.000000 46.1538461538
2750000.000000 37.5000000000
2800000.000000 46.1538461538
2850000.000000 54.5454545455
2900000.000000 37.5000000000
2950000.000000 37.5000000000
3000000.000000 33.3333333333
3050000.000000 40.0000000000
3100000.000000 35.2941176471
3150000.000000 42.8571428571
3200000.000000 35.2941176471
3250000.000000 46.1538461538
3300000.000000 42.8571428571
3350000.000000 42.8571428571
3400000.000000 28.5714285714
3450000.000000 37.5000000000
3500000.000000 35.2941176471
3550000.000000 35.2941176471
3600000.000000 31.5789473684
3650000.000000 30.0000000000
3700000.000000 33.3333333333
3750000.000000 30.0000000000
3800000.000000 33.3333333333
3850000.000000 28.5714285714
3900000.000000 33.3333333333
3950000.000000 37.5000000000
4000000.000000 33.3333333333
4050000.000000 30.0000000000
4100000.000000 33.3333333333
4150000.000000 31.5789473684
4200000.000000 28.5714285714
4250000.000000 30.0000000000
4300000.000000 27.2727272727
4350000.000000 30.0000000000
4400000.000000 30.0000000000
4450000.000000 35.2941176471
4500000.000000 40.0000000000
4550000.000000 31.5789473684
4600000.000000 37.5000000000
4650000.000000 28.5714285714
4700000.000000 26.0869565217
4750000.000000 27.2727272727
4800000.000000 30.0000000000
4850000.000000 30.0000000000
4900000.000000 30.0000000000
4950000.000000 33.3333333333
5000000.000000 28.5714285714
5050000.000000 33.3333333333
5100000.000000 31.5789473684
5150000.000000 42.8571428571
5200000.000000 31.5789473684
5250000.000000 42.8571428571
5300000.000000 33.3333333333
5350000.000000 40.0000000000
5400000.000000 46.1538461538
5450000.000000 46.1538461538
5500000.000000 46.1538461538
5550000.000000 35.2941176471
5600000.000000 33.3333333333
5650000.000000 33.3333333333
5700000.000000 33.3333333333
