# time largest_cluster_rg
50000.000000 6.5870927498
100000.000000 6.6123362770
150000.000000 6.7293587783
200000.000000 7.1819472273
250000.000000 6.8341937228
300000.000000 6.8737934739
350000.000000 6.8835386559
400000.000000 7.1532783043
450000.000000 7.3245622142
500000.000000 7.2373623968
550000.000000 6.9565220683
600000.000000 6.6578187516
650000.000000 7.1134277373
700000.000000 7.0396260928
750000.000000 7.1302556990
800000.000000 7.2419786368
850000.000000 7.0476463245
900000.000000 7.2683413200
950000.000000 7.2845382320
1000000.000000 7.1815323730
1050000.000000 7.2369474418
1100000.000000 7.1346056829
1150000.000000 7.0919560198
1200000.000000 6.8383770870
1250000.000000 7.0583835599
1300000.000000 7.2394001721
1350000.000000 7.1736910685
1400000.000000 7.1603475490
1450000.000000 7.3329941476
1500000.000000 7.3586424188
1550000.000000 7.4138612295
1600000.000000 7.5358242953
1650000.000000 7.5200613972
1700000.000000 7.2085465896
1750000.000000 7.2818647399
1800000.000000 7.3473243633
1850000.000000 7.3943344685
1900000.000000 7.4746167067
1950000.000000 7.6179639832
2000000.000000 7.4554043774
2050000.000000 7.3607449803
2100000.000000 7.5298132346
2150000.000000 7.4107518558
2200000.000000 7.5778898295
2250000.000000 7.3708331997
2300000.000000 7.5511710896
2350000.000000 7.6956178712
2400000.000000 7.5524065499
2450000.000000 7.5112675423
2500000.000000 7.4442965699
2550000.000000 7.6157738229
2600000.000000 7.7950388601
2650000.000000 7.6499137278
2700000.000000 7.3907873428
2750000.000000 7.6816649065
2800000.000000 7.5877602659
2850000.000000 7.6717732717
2900000.000000 7.7480195121
2950000.000000 7.7572167929
3000000.000000 7.6742662069
3050000.000000 7.6698531607
3100000.000000 7.5252964827
3150000.000000 7.5021310618
3200000.000000 7.5083399573
3250000.000000 7.5124465696
3300000.000000 7.5326223939
3350000.000000 7.4220896347
3400000.000000 7.4608208462
3450000.000000 7.3602527537
3500000.000000 7.5756933684
3550000.000000 7.3876631501
3600000.000000 7.2929393597
3650000.000000 7.3765555701
3700000.000000 7.3476079842
3750000.000000 7.7612292655
3800000.000000 7.8502322229
3850000.000000 7.4167552828
3900000.000000 7.3391388313
3950000.000000 7.4236341682
4000000.000000 7.5246743533
4050000.000000 7.6039118212
4100000.000000 7.5895556399
4150000.000000 7.5729063474
4200000.000000 7.6103173543
4250000.000000 7.6586517552
4300000.000000 7.8262703480
4350000.000000 7.9729088516
4400000.000000 7.8204712933
4450000.000000 7.7301240060
4500000.000000 7.6604365645
4550000.000000 7.8392488070
4600000.000000 7.5689414210
4650000.000000 7.6839882212
4700000.000000 7.6091981669
4750000.000000 7.5246227668
4800000.000000 7.6856359794
4850000.000000 7.7606872911
4900000.000000 7.7566477984
4950000.000000 7.8685272359
5000000.000000 8.0281554148
5050000.000000 7.7851797597
5100000.000000 7.8659436735
5150000.000000 7.6893072736
5200000.000000 7.8214257706
5250000.000000 7.5495961110
5300000.000000 7.3618898952
5350000.000000 7.4109062457
5400000.000000 7.7542722773
5450000.000000 7.9035837017
5500000.000000 7.6541658898
5550000.000000 7.5612560779
5600000.000000 7.2860311500
5650000.000000 7.3273647304
5700000.000000 7.2251598131
5750000.000000 7.5056243002
5800000.000000 7.7184610086
5850000.000000 7.5009183318
5900000.000000 7.3098192248
5950000.000000 7.3778292586
6000000.000000 7.4843159790
6050000.000000 7.4647746289
6100000.000000 7.5019342016
6150000.000000 7.3978526615
6200000.000000 7.4750563617
6250000.000000 7.5892820922
6300000.000000 7.5593997817
6350000.000000 7.3659930613
6400000.000000 7.4470090230
6450000.000000 7.3998057500
6500000.000000 7.4981487160
6550000.000000 7.3546306868
6600000.000000 7.3319322962
6650000.000000 7.2966355212
6700000.000000 7.4514733653
6750000.000000 7.7322067621
6800000.000000 7.6186142905
6850000.000000 7.5404440906
6900000.000000 7.4695420364
6950000.000000 7.3849637860
7000000.000000 7.6005819684
7050000.000000 7.5723648864
7100000.000000 7.6486501658
7150000.000000 7.6503126738
7200000.000000 7.6271558614
7250000.000000 7.4524041769
7300000.000000 7.2797214401
7350000.000000 7.5677629363
7400000.000000 7.4009558145
7450000.000000 7.2733509678
7500000.000000 7.3188257594
7550000.000000 7.3059808307
7600000.000000 7.1310226564
7650000.000000 7.3167607681
7700000.000000 7.2646141141
7750000.000000 7.1903571116
7800000.000000 7.1275862316
7850000.000000 7.2752392312
7900000.000000 7.4958831803
7950000.000000 7.3048448834
8000000.000000 7.5133912746
8050000.000000 7.3219342413
8100000.000000 7.4057207844
8150000.000000 7.1093625631
8200000.000000 7.1158679491
8250000.000000 7.0382319997
8300000.000000 7.1287984994
8350000.000000 7.2181056012
8400000.000000 7.5833316960
8450000.000000 7.5074165680
8500000.000000 7.5602898633
8550000.000000 7.3027137491
8600000.000000 7.5645255681
8650000.000000 7.2967681619
8700000.000000 7.3179747021
8750000.000000 7.5922986203
8800000.000000 7.3940193795
8850000.000000 7.6791160774
8900000.000000 7.7723525920
8950000.000000 7.6578485757
9000000.000000 7.7575322585
9050000.000000 7.5553099660
9100000.000000 7.7699031811
9150000.000000 7.4602392851
9200000.000000 7.7382596680
9250000.000000 7.7275987348
9300000.000000 7.6709533414
9350000.000000 7.8117296528
9400000.000000 7.3680244817
9450000.000000 7.5162418285
9500000.000000 7.3967292485
9550000.000000 7.4006837740
9600000.000000 7.1552403463
9650000.000000 7.3246439274
9700000.000000 7.3845585320
9750000.000000 7.4629449279
9800000.000000 7.4074611102
9850000.000000 7.5184450540
9900000.000000 7.5565889224
9950000.000000 7.4490861143
10000000.000000 7.6795766313
10050000.000000 7.3042567930
10100000.000000 7.3475494023
10150000.000000 7.5019558495
10200000.000000 7.4072229138
10250000.000000 7.1749267338
10300000.000000 7.2174129068
10350000.000000 7.0873353386
10400000.000000 7.1907707416
10450000.000000 7.2887478112
10500000.000000 6.8835017399
10550000.000000 7.1659040967
10600000.000000 6.9436837250
10650000.000000 7.0101554222
10700000.000000 7.0911004337
10750000.000000 7.4651701017
10800000.000000 7.5060175400
10850000.000000 7.1461013504
10900000.000000 7.4132316304
10950000.000000 7.5473806107
11000000.000000 7.3924600639
11050000.000000 7.2286705694
11100000.000000 7.2564964911
11150000.000000 7.1343477709
11200000.000000 7.5014958255
11250000.000000 7.3660436192
11300000.000000 7.3314861601
11350000.000000 7.0538662576
11400000.000000 7.0659238606
11450000.000000 7.3693528082
11500000.000000 7.1177202965
11550000.000000 6.9638365666
11600000.000000 7.0327877785
11650000.000000 7.0861885130
11700000.000000 7.2193715072
11750000.000000 7.3268958271
11800000.000000 7.3263393387
11850000.000000 7.3238964956
11900000.000000 7.2848947578
11950000.000000 7.1698352860
12000000.000000 7.1110158772
12050000.000000 7.2171170401
12100000.000000 7.3155493059
12150000.000000 7.1304000512
12200000.000000 7.3026758935
12250000.000000 7.2451340126
12300000.000000 7.2881033265
12350000.000000 7.1421745365
12400000.000000 7.2691662504
12450000.000000 7.1413305814
12500000.000000 7.0507632825
12550000.000000 7.1285144579
12600000.000000 7.2421625423
12650000.000000 7.4494760676
12700000.000000 7.3284912222
12750000.000000 7.4697849356
12800000.000000 7.5756287517
12850000.000000 7.4040296177
12900000.000000 7.2428428840
12950000.000000 7.1324544340
13000000.000000 7.2940134070
13050000.000000 7.2548627709
13100000.000000 7.4141277147
13150000.000000 7.3832988479
13200000.000000 6.9735665581
13250000.000000 7.1416246501
13300000.000000 7.3670596890
13350000.000000 7.2091863465
13400000.000000 7.1146598526
13450000.000000 7.0913409932
13500000.000000 7.0634794248
13550000.000000 7.0902818110
13600000.000000 7.2052675509
13650000.000000 7.1925183803
13700000.000000 7.0841399565
13750000.000000 7.1345039255
13800000.000000 7.1770000674
13850000.000000 7.3449374522
13900000.000000 7.4129047224
13950000.000000 7.3931714204
14000000.000000 7.2520097526
14050000.000000 7.4258573952
14100000.000000 7.7228602087
14150000.000000 7.6461010960
14200000.000000 7.4752478349
14250000.000000 7.4942611835
14300000.000000 7.3451226183
14350000.000000 7.2812936073
14400000.000000 7.3685938608
14450000.000000 7.4596927384
14500000.000000 7.2094009806
14550000.000000 7.1885299045
14600000.000000 7.3255143523
14650000.000000 7.4034055643
14700000.000000 7.6507424464
14750000.000000 7.4214514472
14800000.000000 7.6689371125
14850000.000000 7.6542732769
14900000.000000 7.4854914862
14950000.000000 7.4136781073
15000000.000000 7.6327921164
15050000.000000 7.7731713546
15100000.000000 8.0907058357
15150000.000000 7.9268208686
15200000.000000 8.0422106574
15250000.000000 7.7359458852
15300000.000000 7.5992238274
15350000.000000 7.7886858332
15400000.000000 7.5819660092
15450000.000000 7.7517312295
15500000.000000 7.9894671735
15550000.000000 7.6938046157
15600000.000000 7.9492658613
15650000.000000 8.0062021561
15700000.000000 8.0013879768
15750000.000000 8.2131968738
15800000.000000 8.1567773101
15850000.000000 7.8857087921
15900000.000000 7.9393310632
15950000.000000 8.0198793388
16000000.000000 7.7540532395
16050000.000000 7.9543622490
16100000.000000 7.6351194647
16150000.000000 7.6347695536
16200000.000000 7.5745605267
16250000.000000 7.7353610782
16300000.000000 7.6367752265
16350000.000000 7.4546215855
16400000.000000 7.6409945370
16450000.000000 7.5570186295
16500000.000000 7.6805199484
16550000.000000 7.6969396910
16600000.000000 7.7827554750
16650000.000000 7.8029745832
16700000.000000 7.4551002931
16750000.000000 7.4909413641
16800000.000000 7.5882452266
16850000.000000 7.1442333314
16900000.000000 7.4108295621
16950000.000000 7.3672532287
17000000.000000 6.9972097789
17050000.000000 7.0214126308
17100000.000000 7.1583507427
17150000.000000 7.2514041720
17200000.000000 7.6403373461
17250000.000000 7.4002320628
17300000.000000 7.8120726105
17350000.000000 7.6762379017
17400000.000000 7.9040789214
17450000.000000 7.6660008483
17500000.000000 7.5349335096
17550000.000000 7.5899296092
17600000.000000 7.7268421807
17650000.000000 7.7600685547
17700000.000000 7.7809102521
17750000.000000 8.0686544822
17800000.000000 8.0239406912
17850000.000000 7.7296795172
17900000.000000 7.9036120242
17950000.000000 7.8052560619
18000000.000000 7.9090651947
18050000.000000 8.0719838046
18100000.000000 7.8838715570
18150000.000000 7.9425690774
18200000.000000 8.1675262823
18250000.000000 7.8878093248
18300000.000000 7.5375381825
18350000.000000 7.5784962440
18400000.000000 7.7435736988
18450000.000000 7.6485568563
18500000.000000 7.1836896384
18550000.000000 7.3090828894
18600000.000000 7.3383772182
18650000.000000 7.8627498324
18700000.000000 7.9954038420
18750000.000000 7.9149693438
18800000.000000 7.9197516286
18850000.000000 7.8850912907
18900000.000000 7.8944582584
18950000.000000 8.1749509930
19000000.000000 8.2092092958
19050000.000000 8.1532066951
19100000.000000 8.1803962425
19150000.000000 7.9201299007
19200000.000000 7.9629494246
19250000.000000 7.9512638968
19300000.000000 8.0267560752
19350000.000000 7.7924521388
19400000.000000 7.9814778226
19450000.000000 7.7987781764
19500000.000000 7.2894288713
19550000.000000 7.2991555685
19600000.000000 6.9864817906
19650000.000000 6.8595243746
19700000.000000 6.8866646843
19750000.000000 7.2719739667
19800000.000000 7.1782497433
19850000.000000 7.3449985780
19900000.000000 7.4158529665
19950000.000000 7.6244068817
20000000.000000 7.4201942716
