# time_ps largest_cluster_rg_nm
50000.000000 0.2789022990
100000.000000 0.2716868794
150000.000000 0.2605576887
200000.000000 0.2765161016
250000.000000 0.2729172865
300000.000000 0.2760475150
350000.000000 0.2642136260
400000.000000 0.2544055564
450000.000000 0.2629616123
500000.000000 0.2898590956
550000.000000 0.2778957004
600000.000000 0.2917660021
650000.000000 0.2742560433
700000.000000 0.2710890269
750000.000000 0.2755771108
800000.000000 0.2634119717
850000.000000 0.2669458419
900000.000000 0.2683835074
950000.000000 0.2550269768
1000000.000000 0.2655350123
1050000.000000 0.2683680867
1100000.000000 0.2606095864
1150000.000000 0.2586321549
1200000.000000 0.2631550001
1250000.000000 0.2574775240
1300000.000000 0.2648931225
1350000.000000 0.2598602298
1400000.000000 0.2597326584
1450000.000000 0.2812918367
1500000.000000 0.2785128127
1550000.000000 0.2556922439
1600000.000000 0.2783065158
1650000.000000 0.2715596576
1700000.000000 0.2768041949
1750000.000000 0.2650853698
1800000.000000 0.2629800242
1850000.000000 0.2623479971
1900000.000000 0.2677749199
1950000.000000 0.2697872719
2000000.000000 0.2643370108
2050000.000000 0.2610207246
2100000.000000 0.2669640706
2150000.000000 0.2665537820
2200000.000000 0.2464724482
2250000.000000 0.2561080266
2300000.000000 0.2644459891
2350000.000000 0.2758589482
2400000.000000 0.2850086954
2450000.000000 0.2667228889
2500000.000000 0.2654040987
2550000.000000 0.2742042325
2600000.000000 0.2586906098
2650000.000000 0.2825749354
2700000.000000 0.2610588541
2750000.000000 0.2755391927
2800000.000000 0.2701360882
2850000.000000 0.2734619983
2900000.000000 0.2725840184
2950000.000000 0.2699008889
3000000.000000 0.2713379356
3050000.000000 0.2621343300
3100000.000000 0.2758982533
3150000.000000 0.2857492305
3200000.000000 0.2690374685
3250000.000000 0.2759185363
3300000.000000 0.2789381680
3350000.000000 0.2639470129
3400000.000000 0.2775899160
3450000.000000 0.2699349679
3500000.000000 0.2730137735
3550000.000000 0.2569863381
3600000.000000 0.2574748209
3650000.000000 0.2653881722
3700000.000000 0.2711379603
3750000.000000 0.2616828349
3800000.000000 0.2720367478
3850000.000000 0.2588437901
3900000.000000 0.2686056207
3950000.000000 0.2578120981
4000000.000000 0.2862270412
4050000.000000 0.2646304536
4100000.000000 0.2670665223
4150000.000000 0.2628124891
4200000.000000 0.2830199243
4250000.000000 0.2667252030
4300000.000000 0.2594103246
4350000.000000 0.2928412990
4400000.000000 0.3037279219
4450000.000000 0.2807442525
4500000.000000 0.2826792325
4550000.000000 0.2893870492
4600000.000000 0.2973590909
4650000.000000 0.2850385289
4700000.000000 0.2877082198
4750000.000000 0.2814131192
4800000.000000 0.2831736775
4850000.000000 0.2737631693
4900000.000000 0.2683398983
4950000.000000 0.2893614450
5000000.000000 0.2879348194
5050000.000000 0.2851177773
5100000.000000 0.2830862282
5150000.000000 0.2678617169
5200000.000000 0.2800147871
5250000.000000 0.2763572398
5300000.000000 0.2820603177
5350000.000000 0.2726512160
5400000.000000 0.2875260185
5450000.000000 0.2857892555
5500000.000000 0.2692105837
5550000.000000 0.2735479409
5600000.000000 0.2704064989
5650000.000000 0.2813498674
5700000.000000 0.2716931476
5750000.000000 0.2746827206
5800000.000000 0.2833173229
5850000.000000 0.2856020382
5900000.000000 0.2956256085
5950000.000000 0.2952854165
6000000.000000 0.2957359889
6050000.000000 0.2919233506
