# time mean_cluster_size
50000.000000 600.0000000000
100000.000000 600.0000000000
150000.000000 120.0000000000
200000.000000 75.0000000000
250000.000000 75.0000000000
300000.000000 60.0000000000
350000.000000 60.0000000000
400000.000000 60.0000000000
450000.000000 50.0000000000
500000.000000 37.5000000000
550000.000000 37.5000000000
600000.000000 46.1538461538
650000.000000 42.8571428571
700000.000000 42.8571428571
750000.000000 54.5454545455
800000.000000 46.1538461538
850000.000000 35.2941176471
900000.000000 35.2941176471
950000.000000 33.3333333333
1000000.000000 37.5000000000
1050000.000000 42.8571428571
1100000.000000 42.8571428571
1150000.000000 40.0000000000
1200000.000000 37.5000000000
1250000.000000 35.2941176471
1300000.000000 35.2941176471
1350000.000000 37.5000000000
1400000.000000 35.2941176471
1450000.000000 33.3333333333
1500000.000000 28.5714285714
1550000.000000 26.0869565217
1600000.000000 28.5714285714
1650000.000000 27.2727272727
1700000.000000 27.2727272727
1750000.000000 27.2727272727
1800000.000000 26.0869565217
1850000.000000 27.2727272727
1900000.000000 28.5714285714
1950000.000000 33.3333333333
2000000.000000 27.2727272727
2050000.000000 31.5789473684
2100000.000000 31.5789473684
2150000.000000 35.2941176471
2200000.000000 37.5000000000
2250000.000000 27.2727272727
2300000.000000 31.5789473684
2350000.000000 33.3333333333
2400000.000000 40.0000000000
2450000.000000 40.0000000000
2500000.000000 30.0000000000
2550000.000000 35.2941176471
2600000.000000 26.0869565217
2650000.000000 31.5789473684
2700000.000000 33.3333333333
2750000.000000 30.0000000000
2800000.000000 24.0000000000
2850000.000000 28.5714285714
2900000.000000 27.2727272727
2950000.000000 30.0000000000
3000000.000000 28.5714285714
3050000.000000 30.0000000000
3100000.000000 28.5714285714
3150000.000000 31.5789473684
3200000.000000 31.5789473684
3250000.000000 28.5714285714
3300000.000000 27.2727272727
3350000.000000 35.2941176471
3400000.000000 30.0000000000
3450000.000000 33.3333333333
3500000.000000 30.0000000000
3550000.000000 30.0000000000
3600000.000000 27.2727272727
3650000.000000 25.0000000000
3700000.000000 33.3333333333
3750000.000000 28.5714285714
3800000.000000 33.3333333333
3850000.000000 33.3333333333
