# time largest_cluster_rg
50000.000000 18.8027868846
100000.000000 19.3086715854
150000.000000 19.3817803499
200000.000000 19.4276951329
250000.000000 19.7025569094
300000.000000 19.4070599982
350000.000000 19.5960798791
400000.000000 19.2156831163
450000.000000 19.5903633685
500000.000000 19.2394126320
550000.000000 19.2366298482
600000.000000 19.3736300626
650000.000000 19.8010654762
700000.000000 19.3409392723
750000.000000 19.5212660705
800000.000000 19.3473071059
850000.000000 19.1915177085
900000.000000 19.5325023973
950000.000000 19.1683625991
1000000.000000 19.9119661071
1050000.000000 19.2618358270
1100000.000000 19.1548521261
1150000.000000 19.4861372998
1200000.000000 19.3522561746
1250000.000000 19.6195254134
1300000.000000 19.4548994441
1350000.000000 19.2713221296
1400000.000000 18.9258029232
1450000.000000 19.2754344832
1500000.000000 19.9660321030
1550000.000000 19.5515735103
1600000.000000 19.6173118432
1650000.000000 19.1720629072
1700000.000000 19.8189934139
1750000.000000 19.3561278058
1800000.000000 19.6056518677
1850000.000000 19.5459976287
1900000.000000 19.0436557982
1950000.000000 19.1789758183
2000000.000000 19.2775430642
2050000.000000 19.0348164927
2100000.000000 19.4129564794
2150000.000000 18.8288842667
2200000.000000 19.0116674185
2250000.000000 19.3078409156
2300000.000000 19.2309861999
2350000.000000 19.3004322659
2400000.000000 19.5624170700
2450000.000000 19.3907815151
2500000.000000 19.1319025315
2550000.000000 18.9781563781
2600000.000000 19.0328486891
2650000.000000 19.2151817485
2700000.000000 19.1786361516
2750000.000000 19.0322315931
2800000.000000 19.1497035307
2850000.000000 19.2892157874
2900000.000000 19.2804657431
2950000.000000 18.7876814986
3000000.000000 19.2852968186
3050000.000000 19.1414891455
3100000.000000 19.2271484061
3150000.000000 18.9078046380
3200000.000000 19.1954889887
3250000.000000 18.8890391936
3300000.000000 19.2937500698
3350000.000000 18.9409427194
3400000.000000 19.6673723905
3450000.000000 19.5423107099
3500000.000000 19.9999438638
3550000.000000 19.2014179737
3600000.000000 19.1140113230
3650000.000000 18.8435025753
3700000.000000 19.0571249497
3750000.000000 19.6907956203
3800000.000000 19.3981820975
3850000.000000 19.4615662196
3900000.000000 19.5337246287
3950000.000000 19.9985998578
4000000.000000 19.6692883963
4050000.000000 19.9078819091
4100000.000000 19.3620147416
4150000.000000 19.8098035477
4200000.000000 19.5204788454
4250000.000000 19.9433313066
4300000.000000 19.4200290623
4350000.000000 18.9844940306
4400000.000000 19.2045873564
4450000.000000 18.9890476632
4500000.000000 19.6561635116
4550000.000000 19.7610747861
4600000.000000 19.1005220522
4650000.000000 19.7457164572
4700000.000000 19.1415967232
4750000.000000 19.0639820484
4800000.000000 19.0409023254
4850000.000000 18.9175442431
4900000.000000 18.9748875977
4950000.000000 19.2500064136
5000000.000000 19.3441261722
5050000.000000 19.0961890490
5100000.000000 19.0035653125
5150000.000000 19.1701275567
5200000.000000 19.3380398722
5250000.000000 18.9871814545
5300000.000000 19.3742764951
5350000.000000 20.5932364681
5400000.000000 19.2161335000
5450000.000000 19.3925256211
5500000.000000 19.8472840373
5550000.000000 19.2645744740
5600000.000000 19.3713350650
5650000.000000 19.4499465289
5700000.000000 20.2109041931
5750000.000000 19.7251069384
5800000.000000 19.2348618810
5850000.000000 19.7089315786
5900000.000000 19.7804717119
5950000.000000 19.2103400956
6000000.000000 19.8383352574
6050000.000000 19.4885363809
6100000.000000 19.3622951591
6150000.000000 19.5240524245
6200000.000000 19.1930849878
6250000.000000 19.0227198882
6300000.000000 19.3866349307
6350000.000000 19.1551050452
6400000.000000 19.5907447982
6450000.000000 19.3578518591
6500000.000000 19.0495864921
6550000.000000 20.1393253306
6600000.000000 19.4666092558
6650000.000000 19.4279966910
6700000.000000 19.7939194949
6750000.000000 19.5892537382
6800000.000000 19.7481173047
6850000.000000 19.0437452117
6900000.000000 19.6025222132
6950000.000000 19.5972537986
7000000.000000 19.6287559481
7050000.000000 19.7555989662
7100000.000000 19.2889539093
7150000.000000 19.1850890772
7200000.000000 19.8825923741
7250000.000000 19.2965093378
7300000.000000 19.8197356000
7350000.000000 19.6835308666
7400000.000000 19.5102523259
7450000.000000 19.7668023213
7500000.000000 19.1627607476
7550000.000000 19.5570502270
7600000.000000 19.3400556459
7650000.000000 19.1732084955
7700000.000000 19.1443796404
7750000.000000 18.6057593738
7800000.000000 18.8606881778
7850000.000000 18.8445042037
7900000.000000 19.0414810492
7950000.000000 19.4452767739
8000000.000000 19.0877906645
8050000.000000 19.3009189256
8100000.000000 19.0146607540
8150000.000000 19.0366831557
8200000.000000 18.8197966290
8250000.000000 18.9272019873
8300000.000000 19.1605864826
8350000.000000 19.1300403173
8400000.000000 18.7684514722
8450000.000000 18.6928413797
8500000.000000 18.7601761532
8550000.000000 18.8924454626
8600000.000000 19.2240135649
8650000.000000 19.3043858267
8700000.000000 19.1951986234
8750000.000000 19.3950910536
8800000.000000 19.4149847483
8850000.000000 19.1194545082
8900000.000000 19.1541069541
8950000.000000 19.1906508250
9000000.000000 19.2553741462
9050000.000000 19.3257096455
9100000.000000 19.4332835832
9150000.000000 20.4423592788
9200000.000000 18.9020333112
9250000.000000 19.3588242678
9300000.000000 19.2408308480
9350000.000000 19.6409849602
9400000.000000 19.4277571533
9450000.000000 18.7022237757
9500000.000000 19.2628630129
9550000.000000 19.3259691314
9600000.000000 19.1191910025
9650000.000000 19.3477440400
9700000.000000 20.0182683015
9750000.000000 38.7613586254
9800000.000000 19.3492834077
9850000.000000 19.3764090168
9900000.000000 19.5302053017
9950000.000000 19.6408803585
10000000.000000 28.0007782590
10050000.000000 20.2292545028
10100000.000000 19.4693789047
10150000.000000 19.2518793750
10200000.000000 36.5807042845
10250000.000000 19.6766496044
10300000.000000 22.4890645117
10350000.000000 19.1303669884
10400000.000000 19.0929672091
10450000.000000 19.1817349163
10500000.000000 18.7668189018
10550000.000000 19.2737700838
10600000.000000 19.3728530244
10650000.000000 19.3196944833
10700000.000000 19.3000584525
10750000.000000 19.9062256811
10800000.000000 19.0636212580
10850000.000000 19.1705464955
10900000.000000 20.1018719102
10950000.000000 19.5205414324
11000000.000000 19.7490906097
11050000.000000 19.6456200657
11100000.000000 19.6281096611
11150000.000000 19.1033042660
11200000.000000 19.0434714309
11250000.000000 19.0523571030
11300000.000000 18.8963592830
11350000.000000 19.1677894390
11400000.000000 18.9645244808
