# time largest_cluster_fraction_percent
50000.000000 100.0000000000
100000.000000 100.0000000000
150000.000000 99.1666666667
200000.000000 98.8333333333
250000.000000 98.8333333333
300000.000000 98.5000000000
350000.000000 98.3333333333
400000.000000 98.5000000000
450000.000000 98.1666666667
500000.000000 97.3333333333
550000.000000 97.5000000000
600000.000000 98.0000000000
650000.000000 97.8333333333
700000.000000 97.6666666667
750000.000000 98.3333333333
800000.000000 98.0000000000
850000.000000 97.0000000000
900000.000000 97.3333333333
950000.000000 97.1666666667
1000000.000000 97.5000000000
1050000.000000 97.8333333333
1100000.000000 97.8333333333
1150000.000000 97.6666666667
1200000.000000 97.5000000000
1250000.000000 97.0000000000
1300000.000000 97.1666666667
1350000.000000 97.3333333333
1400000.000000 97.1666666667
1450000.000000 96.8333333333
1500000.000000 96.3333333333
1550000.000000 96.1666666667
1600000.000000 96.5000000000
1650000.000000 96.3333333333
1700000.000000 96.0000000000
1750000.000000 96.3333333333
1800000.000000 96.0000000000
1850000.000000 96.0000000000
1900000.000000 96.5000000000
1950000.000000 96.8333333333
2000000.000000 96.0000000000
2050000.000000 96.6666666667
2100000.000000 96.6666666667
2150000.000000 97.1666666667
2200000.000000 97.3333333333
2250000.000000 96.3333333333
2300000.000000 96.5000000000
2350000.000000 97.0000000000
2400000.000000 97.6666666667
2450000.000000 97.5000000000
2500000.000000 96.8333333333
2550000.000000 97.1666666667
2600000.000000 96.3333333333
2650000.000000 97.0000000000
2700000.000000 96.8333333333
2750000.000000 96.6666666667
2800000.000000 96.0000000000
2850000.000000 96.5000000000
2900000.000000 96.5000000000
2950000.000000 96.8333333333
3000000.000000 96.6666666667
3050000.000000 96.6666666667
3100000.000000 96.6666666667
3150000.000000 97.0000000000
3200000.000000 97.0000000000
3250000.000000 96.6666666667
3300000.000000 96.5000000000
3350000.000000 97.3333333333
3400000.000000 96.6666666667
3450000.000000 97.1666666667
3500000.000000 96.3333333333
3550000.000000 96.1666666667
3600000.000000 96.5000000000
3650000.000000 96.0000000000
3700000.000000 96.8333333333
3750000.000000 96.3333333333
3800000.000000 96.8333333333
3850000.000000 96.6666666667
3900000.000000 97.0000000000
3950000.000000 96.6666666667
4000000.000000 96.1666666667
4050000.000000 96.0000000000
4100000.000000 96.1666666667
4150000.000000 96.6666666667
4200000.000000 95.5000000000
4250000.000000 96.1666666667
4300000.000000 95.6666666667
4350000.000000 95.6666666667
4400000.000000 95.8333333333
4450000.000000 95.6666666667
4500000.000000 95.1666666667
4550000.000000 95.5000000000
4600000.000000 95.8333333333
4650000.000000 95.3333333333
4700000.000000 95.6666666667
4750000.000000 94.6666666667
4800000.000000 95.0000000000
4850000.000000 94.5000000000
4900000.000000 93.8333333333
4950000.000000 94.6666666667
5000000.000000 94.6666666667
5050000.000000 94.8333333333
5100000.000000 95.3333333333
5150000.000000 95.3333333333
5200000.000000 95.3333333333
5250000.000000 96.1666666667
5300000.000000 96.1666666667
5350000.000000 95.8333333333
5400000.000000 95.8333333333
5450000.000000 95.8333333333
5500000.000000 95.6666666667
5550000.000000 95.6666666667
5600000.000000 95.6666666667
5650000.000000 95.6666666667
5700000.000000 95.8333333333
5750000.000000 95.1666666667
5800000.000000 95.6666666667
5850000.000000 95.6666666667
5900000.000000 95.3333333333
5950000.000000 95.5000000000
6000000.000000 95.6666666667
6050000.000000 96.0000000000
6100000.000000 96.5000000000
6150000.000000 95.8333333333
6200000.000000 96.3333333333
6250000.000000 96.5000000000
6300000.000000 96.3333333333
6350000.000000 95.6666666667
6400000.000000 96.1666666667
6450000.000000 96.3333333333
6500000.000000 96.0000000000
6550000.000000 96.5000000000
6600000.000000 95.8333333333
6650000.000000 96.0000000000
6700000.000000 96.3333333333
6750000.000000 95.6666666667
6800000.000000 96.0000000000
6850000.000000 96.1666666667
6900000.000000 95.8333333333
6950000.000000 95.1666666667
7000000.000000 95.8333333333
7050000.000000 95.3333333333
7100000.000000 95.5000000000
7150000.000000 95.1666666667
7200000.000000 95.0000000000
7250000.000000 95.1666666667
7300000.000000 94.8333333333
7350000.000000 95.0000000000
7400000.000000 95.1666666667
7450000.000000 95.8333333333
7500000.000000 95.0000000000
7550000.000000 95.8333333333
7600000.000000 96.1666666667
7650000.000000 96.3333333333
7700000.000000 96.1666666667
7750000.000000 96.1666666667
7800000.000000 95.6666666667
7850000.000000 96.1666666667
7900000.000000 96.3333333333
7950000.000000 95.5000000000
8000000.000000 95.3333333333
8050000.000000 95.8333333333
8100000.000000 96.0000000000
8150000.000000 96.3333333333
8200000.000000 96.1666666667
8250000.000000 96.1666666667
8300000.000000 95.8333333333
8350000.000000 95.1666666667
8400000.000000 95.3333333333
8450000.000000 95.1666666667
8500000.000000 95.1666666667
8550000.000000 95.1666666667
8600000.000000 95.0000000000
8650000.000000 95.1666666667
8700000.000000 95.3333333333
8750000.000000 95.1666666667
8800000.000000 94.8333333333
8850000.000000 95.3333333333
8900000.000000 95.6666666667
8950000.000000 95.8333333333
9000000.000000 95.3333333333
9050000.000000 95.1666666667
9100000.000000 94.1666666667
9150000.000000 94.8333333333
9200000.000000 95.1666666667
9250000.000000 94.5000000000
9300000.000000 95.1666666667
9350000.000000 95.5000000000
9400000.000000 94.6666666667
9450000.000000 93.8333333333
9500000.000000 94.5000000000
9550000.000000 94.0000000000
9600000.000000 94.0000000000
9650000.000000 93.3333333333
9700000.000000 93.5000000000
9750000.000000 94.5000000000
9800000.000000 93.5000000000
9850000.000000 93.6666666667
9900000.000000 94.0000000000
9950000.000000 94.0000000000
10000000.000000 94.3333333333
10050000.000000 94.3333333333
10100000.000000 94.6666666667
10150000.000000 94.5000000000
10200000.000000 95.5000000000
10250000.000000 95.3333333333
10300000.000000 95.1666666667
10350000.000000 95.3333333333
10400000.000000 95.3333333333
10450000.000000 94.8333333333
10500000.000000 95.1666666667
10550000.000000 95.6666666667
10600000.000000 95.8333333333
10650000.000000 95.3333333333
10700000.000000 94.3333333333
10750000.000000 95.1666666667
10800000.000000 94.5000000000
10850000.000000 94.6666666667
10900000.000000 94.8333333333
10950000.000000 95.8333333333
11000000.000000 95.0000000000
11050000.000000 94.6666666667
11100000.000000 95.8333333333
11150000.000000 95.5000000000
11200000.000000 96.3333333333
11250000.000000 95.5000000000
11300000.000000 95.6666666667
11350000.000000 96.1666666667
11400000.000000 95.8333333333
11450000.000000 95.8333333333
11500000.000000 96.0000000000
11550000.000000 95.8333333333
11600000.000000 96.5000000000
11650000.000000 96.6666666667
11700000.000000 96.5000000000
11750000.000000 96.3333333333
11800000.000000 96.8333333333
11850000.000000 96.6666666667
11900000.000000 96.3333333333
11950000.000000 97.0000000000
12000000.000000 96.3333333333
12050000.000000 96.0000000000
12100000.000000 96.5000000000
12150000.000000 96.3333333333
12200000.000000 96.5000000000
12250000.000000 96.8333333333
12300000.000000 96.1666666667
12350000.000000 96.8333333333
12400000.000000 96.8333333333
12450000.000000 96.6666666667
12500000.000000 96.6666666667
12550000.000000 96.6666666667
12600000.000000 97.0000000000
12650000.000000 96.6666666667
12700000.000000 96.6666666667
12750000.000000 96.6666666667
12800000.000000 96.8333333333
12850000.000000 97.1666666667
12900000.000000 97.0000000000
12950000.000000 97.0000000000
13000000.000000 97.0000000000
13050000.000000 97.0000000000
13100000.000000 96.8333333333
13150000.000000 96.5000000000
13200000.000000 96.5000000000
13250000.000000 96.3333333333
13300000.000000 96.5000000000
13350000.000000 95.5000000000
13400000.000000 95.6666666667
13450000.000000 95.6666666667
13500000.000000 95.3333333333
13550000.000000 95.3333333333
13600000.000000 95.3333333333
13650000.000000 95.5000000000
13700000.000000 95.3333333333
13750000.000000 95.6666666667
13800000.000000 95.5000000000
13850000.000000 95.6666666667
13900000.000000 96.1666666667
13950000.000000 95.3333333333
14000000.000000 95.6666666667
14050000.000000 95.6666666667
14100000.000000 95.1666666667
14150000.000000 95.5000000000
14200000.000000 95.6666666667
14250000.000000 96.6666666667
14300000.000000 95.8333333333
14350000.000000 97.1666666667
14400000.000000 96.8333333333
14450000.000000 97.0000000000
14500000.000000 96.6666666667
14550000.000000 97.1666666667
14600000.000000 97.0000000000
14650000.000000 96.6666666667
14700000.000000 97.0000000000
14750000.000000 96.8333333333
14800000.000000 96.8333333333
14850000.000000 96.8333333333
14900000.000000 96.8333333333
14950000.000000 96.5000000000
15000000.000000 96.3333333333
15050000.000000 96.0000000000
15100000.000000 95.8333333333
15150000.000000 96.1666666667
15200000.000000 96.1666666667
15250000.000000 96.5000000000
15300000.000000 96.6666666667
15350000.000000 95.6666666667
15400000.000000 95.1666666667
15450000.000000 95.1666666667
15500000.000000 95.3333333333
15550000.000000 95.1666666667
15600000.000000 95.1666666667
15650000.000000 95.6666666667
15700000.000000 95.8333333333
15750000.000000 95.6666666667
15800000.000000 96.0000000000
15850000.000000 95.6666666667
15900000.000000 95.8333333333
15950000.000000 95.8333333333
