# time cluster_size count
50000.000000 600 1
100000.000000 1 3
100000.000000 597 1
150000.000000 1 4
150000.000000 596 1
200000.000000 1 4
200000.000000 596 1
250000.000000 1 4
250000.000000 5 1
250000.000000 591 1
300000.000000 1 6
300000.000000 3 1
300000.000000 591 1
350000.000000 1 9
350000.000000 591 1
400000.000000 1 10
400000.000000 590 1
450000.000000 1 7
450000.000000 2 1
450000.000000 591 1
500000.000000 1 9
500000.000000 3 1
500000.000000 588 1
550000.000000 1 7
550000.000000 593 1
600000.000000 1 12
600000.000000 588 1
650000.000000 1 12
650000.000000 2 1
650000.000000 586 1
700000.000000 1 11
700000.000000 2 1
700000.000000 587 1
750000.000000 1 11
750000.000000 2 1
750000.000000 587 1
800000.000000 1 14
800000.000000 586 1
850000.000000 1 13
850000.000000 2 3
850000.000000 581 1
900000.000000 1 13
900000.000000 2 1
900000.000000 585 1
950000.000000 1 12
950000.000000 2 1
950000.000000 586 1
1000000.000000 1 20
1000000.000000 2 1
1000000.000000 578 1
1050000.000000 1 19
1050000.000000 581 1
1100000.000000 1 17
1100000.000000 583 1
1150000.000000 1 15
1150000.000000 585 1
1200000.000000 1 16
1200000.000000 2 1
1200000.000000 582 1
1250000.000000 1 13
1250000.000000 2 1
1250000.000000 585 1
1300000.000000 1 13
1300000.000000 587 1
1350000.000000 1 14
1350000.000000 2 1
1350000.000000 584 1
1400000.000000 1 14
1400000.000000 2 1
1400000.000000 584 1
1450000.000000 1 13
1450000.000000 2 1
1450000.000000 585 1
1500000.000000 1 12
1500000.000000 588 1
1550000.000000 1 11
1550000.000000 2 1
1550000.000000 3 1
1550000.000000 584 1
1600000.000000 1 14
1600000.000000 2 1
1600000.000000 584 1
1650000.000000 1 13
1650000.000000 587 1
1700000.000000 1 11
1700000.000000 589 1
1750000.000000 1 11
1750000.000000 2 1
1750000.000000 587 1
1800000.000000 1 14
1800000.000000 586 1
1850000.000000 1 16
1850000.000000 584 1
1900000.000000 1 14
1900000.000000 586 1
1950000.000000 1 16
1950000.000000 584 1
2000000.000000 1 11
2000000.000000 2 2
2000000.000000 585 1
2050000.000000 1 14
2050000.000000 2 2
2050000.000000 582 1
2100000.000000 1 17
2100000.000000 583 1
2150000.000000 1 16
2150000.000000 584 1
2200000.000000 1 13
2200000.000000 2 2
2200000.000000 583 1
2250000.000000 1 9
2250000.000000 591 1
2300000.000000 1 15
2300000.000000 585 1
2350000.000000 1 11
2350000.000000 2 1
2350000.000000 587 1
2400000.000000 1 11
2400000.000000 589 1
2450000.000000 1 13
2450000.000000 2 1
2450000.000000 585 1
2500000.000000 1 11
2500000.000000 5 1
2500000.000000 584 1
2550000.000000 1 13
2550000.000000 3 1
2550000.000000 584 1
2600000.000000 1 14
2600000.000000 2 2
2600000.000000 582 1
2650000.000000 1 13
2650000.000000 3 1
2650000.000000 584 1
2700000.000000 1 14
2700000.000000 2 2
2700000.000000 582 1
2750000.000000 1 7
2750000.000000 2 2
2750000.000000 589 1
2800000.000000 1 14
2800000.000000 586 1
2850000.000000 1 14
2850000.000000 586 1
2900000.000000 1 11
2900000.000000 2 1
2900000.000000 587 1
2950000.000000 1 13
2950000.000000 2 1
2950000.000000 585 1
3000000.000000 1 15
3000000.000000 2 1
3000000.000000 583 1
3050000.000000 1 15
3050000.000000 2 1
3050000.000000 583 1
3100000.000000 1 16
3100000.000000 2 1
3100000.000000 582 1
3150000.000000 1 15
3150000.000000 585 1
3200000.000000 1 13
3200000.000000 2 1
3200000.000000 585 1
3250000.000000 1 17
3250000.000000 583 1
3300000.000000 1 14
3300000.000000 586 1
3350000.000000 1 15
3350000.000000 585 1
3400000.000000 1 15
3400000.000000 585 1
3450000.000000 1 15
3450000.000000 585 1
3500000.000000 1 14
3500000.000000 586 1
3550000.000000 1 12
3550000.000000 2 3
3550000.000000 582 1
3600000.000000 1 14
3600000.000000 2 1
3600000.000000 584 1
3650000.000000 1 13
3650000.000000 2 1
3650000.000000 585 1
3700000.000000 1 16
3700000.000000 584 1
3750000.000000 1 16
3750000.000000 2 1
3750000.000000 582 1
3800000.000000 1 12
3800000.000000 588 1
3850000.000000 1 15
3850000.000000 585 1
3900000.000000 1 11
3900000.000000 2 1
3900000.000000 587 1
3950000.000000 1 14
3950000.000000 3 1
3950000.000000 583 1
4000000.000000 1 18
4000000.000000 2 1
4000000.000000 580 1
4050000.000000 1 15
4050000.000000 585 1
4100000.000000 1 16
4100000.000000 2 1
4100000.000000 582 1
4150000.000000 1 16
4150000.000000 584 1
4200000.000000 1 16
4200000.000000 584 1
4250000.000000 1 18
4250000.000000 582 1
4300000.000000 1 17
4300000.000000 2 1
4300000.000000 581 1
4350000.000000 1 17
4350000.000000 583 1
4400000.000000 1 18
4400000.000000 2 1
4400000.000000 580 1
4450000.000000 1 19
4450000.000000 2 1
4450000.000000 579 1
4500000.000000 1 16
4500000.000000 2 2
4500000.000000 580 1
4550000.000000 1 18
4550000.000000 582 1
4600000.000000 1 20
4600000.000000 2 1
4600000.000000 578 1
4650000.000000 1 17
4650000.000000 2 2
4650000.000000 579 1
4700000.000000 1 19
4700000.000000 581 1
4750000.000000 1 23
4750000.000000 577 1
4800000.000000 1 17
4800000.000000 2 2
4800000.000000 579 1
4850000.000000 1 18
4850000.000000 2 2
4850000.000000 578 1
4900000.000000 1 15
4900000.000000 2 2
4900000.000000 3 1
4900000.000000 578 1
4950000.000000 1 18
4950000.000000 2 2
4950000.000000 578 1
5000000.000000 1 26
5000000.000000 3 1
5000000.000000 571 1
5050000.000000 1 23
5050000.000000 577 1
5100000.000000 1 15
5100000.000000 2 2
5100000.000000 3 1
5100000.000000 578 1
5150000.000000 1 23
5150000.000000 2 1
5150000.000000 3 1
5150000.000000 572 1
5200000.000000 1 24
5200000.000000 2 2
5200000.000000 572 1
5250000.000000 1 19
5250000.000000 2 1
5250000.000000 3 1
5250000.000000 576 1
5300000.000000 1 20
5300000.000000 3 1
5300000.000000 577 1
5350000.000000 1 20
5350000.000000 2 1
5350000.000000 578 1
5400000.000000 1 25
5400000.000000 2 1
5400000.000000 573 1
5450000.000000 1 21
5450000.000000 2 1
5450000.000000 577 1
5500000.000000 1 17
5500000.000000 2 1
5500000.000000 3 1
5500000.000000 578 1
5550000.000000 1 18
5550000.000000 2 2
5550000.000000 578 1
5600000.000000 1 18
5600000.000000 2 1
5600000.000000 580 1
5650000.000000 1 13
5650000.000000 2 2
5650000.000000 583 1
5700000.000000 1 18
5700000.000000 582 1
5750000.000000 1 14
5750000.000000 2 2
5750000.000000 582 1
5800000.000000 1 20
5800000.000000 2 1
5800000.000000 578 1
5850000.000000 1 27
5850000.000000 573 1
5900000.000000 1 20
5900000.000000 2 3
5900000.000000 574 1
5950000.000000 1 18
5950000.000000 2 2
5950000.000000 578 1
6000000.000000 1 21
6000000.000000 579 1
6050000.000000 1 20
6050000.000000 2 2
6050000.000000 576 1
6100000.000000 1 22
6100000.000000 2 1
6100000.000000 576 1
6150000.000000 1 17
6150000.000000 2 2
6150000.000000 579 1
6200000.000000 1 20
6200000.000000 2 2
6200000.000000 576 1
6250000.000000 1 22
6250000.000000 578 1
6300000.000000 1 22
6300000.000000 578 1
6350000.000000 1 21
6350000.000000 2 1
6350000.000000 577 1
6400000.000000 1 20
6400000.000000 580 1
6450000.000000 1 17
6450000.000000 2 2
6450000.000000 579 1
6500000.000000 1 20
6500000.000000 2 1
6500000.000000 578 1
6550000.000000 1 25
6550000.000000 575 1
6600000.000000 1 21
6600000.000000 2 3
6600000.000000 573 1
6650000.000000 1 25
6650000.000000 2 3
6650000.000000 569 1
6700000.000000 1 27
6700000.000000 2 1
6700000.000000 571 1
6750000.000000 1 25
6750000.000000 2 2
6750000.000000 571 1
6800000.000000 1 24
6800000.000000 2 3
6800000.000000 570 1
6850000.000000 1 21
6850000.000000 2 3
6850000.000000 3 1
6850000.000000 570 1
6900000.000000 1 25
6900000.000000 2 2
6900000.000000 3 1
6900000.000000 568 1
6950000.000000 1 19
6950000.000000 2 3
6950000.000000 3 1
6950000.000000 572 1
7000000.000000 1 20
7000000.000000 2 6
7000000.000000 3 1
7000000.000000 565 1
7050000.000000 1 24
7050000.000000 2 2
7050000.000000 3 1
7050000.000000 4 1
7050000.000000 565 1
7100000.000000 1 24
7100000.000000 2 5
7100000.000000 566 1
7150000.000000 1 21
7150000.000000 2 4
7150000.000000 3 1
7150000.000000 568 1
7200000.000000 1 20
7200000.000000 2 3
7200000.000000 3 1
7200000.000000 4 1
7200000.000000 567 1
7250000.000000 1 28
7250000.000000 2 2
7250000.000000 3 1
7250000.000000 565 1
7300000.000000 1 25
7300000.000000 2 4
7300000.000000 567 1
7350000.000000 1 32
7350000.000000 2 1
7350000.000000 3 1
7350000.000000 563 1
7400000.000000 1 28
7400000.000000 2 1
7400000.000000 570 1
7450000.000000 1 16
7450000.000000 2 6
7450000.000000 3 1
7450000.000000 569 1
7500000.000000 1 21
7500000.000000 2 5
7500000.000000 3 1
7500000.000000 566 1
7550000.000000 1 20
7550000.000000 2 3
7550000.000000 4 1
7550000.000000 570 1
7600000.000000 1 24
7600000.000000 2 1
7600000.000000 3 1
7600000.000000 571 1
7650000.000000 1 23
7650000.000000 2 1
7650000.000000 3 1
7650000.000000 572 1
7700000.000000 1 22
7700000.000000 4 1
7700000.000000 574 1
7750000.000000 1 23
7750000.000000 2 2
7750000.000000 573 1
7800000.000000 1 23
7800000.000000 577 1
7850000.000000 1 26
7850000.000000 2 1
7850000.000000 572 1
7900000.000000 1 21
7900000.000000 2 1
7900000.000000 577 1
7950000.000000 1 24
7950000.000000 2 3
7950000.000000 570 1
8000000.000000 1 18
8000000.000000 2 2
8000000.000000 578 1
8050000.000000 1 16
8050000.000000 2 3
8050000.000000 3 2
8050000.000000 572 1
8100000.000000 1 23
8100000.000000 2 2
8100000.000000 573 1
8150000.000000 1 21
8150000.000000 2 1
8150000.000000 577 1
8200000.000000 1 23
8200000.000000 2 3
8200000.000000 571 1
8250000.000000 1 24
8250000.000000 2 1
8250000.000000 574 1
8300000.000000 1 25
8300000.000000 2 1
8300000.000000 573 1
8350000.000000 1 26
8350000.000000 574 1
8400000.000000 1 16
8400000.000000 2 4
8400000.000000 576 1
8450000.000000 1 16
8450000.000000 2 4
8450000.000000 576 1
8500000.000000 1 14
8500000.000000 2 5
8500000.000000 576 1
8550000.000000 1 17
8550000.000000 2 4
8550000.000000 575 1
8600000.000000 1 15
8600000.000000 2 4
8600000.000000 3 1
8600000.000000 574 1
8650000.000000 1 18
8650000.000000 2 2
8650000.000000 3 1
8650000.000000 575 1
8700000.000000 1 22
8700000.000000 2 1
8700000.000000 576 1
8750000.000000 1 26
8750000.000000 574 1
8800000.000000 1 22
8800000.000000 2 2
8800000.000000 574 1
8850000.000000 1 25
