# time largest_cluster_fraction_percent
50000.000000 100.0000000000
100000.000000 99.5000000000
150000.000000 99.3333333333
200000.000000 99.3333333333
250000.000000 98.5000000000
300000.000000 98.5000000000
350000.000000 98.5000000000
400000.000000 98.3333333333
450000.000000 98.5000000000
500000.000000 98.0000000000
550000.000000 98.8333333333
600000.000000 98.0000000000
650000.000000 97.6666666667
700000.000000 97.8333333333
750000.000000 97.8333333333
800000.000000 97.6666666667
850000.000000 96.8333333333
900000.000000 97.5000000000
950000.000000 97.6666666667
1000000.000000 96.3333333333
1050000.000000 96.8333333333
1100000.000000 97.1666666667
1150000.000000 97.5000000000
1200000.000000 97.0000000000
1250000.000000 97.5000000000
1300000.000000 97.8333333333
1350000.000000 97.3333333333
1400000.000000 97.3333333333
1450000.000000 97.5000000000
1500000.000000 98.0000000000
1550000.000000 97.3333333333
1600000.000000 97.3333333333
1650000.000000 97.8333333333
1700000.000000 98.1666666667
1750000.000000 97.8333333333
1800000.000000 97.6666666667
1850000.000000 97.3333333333
1900000.000000 97.6666666667
1950000.000000 97.3333333333
2000000.000000 97.5000000000
2050000.000000 97.0000000000
2100000.000000 97.1666666667
2150000.000000 97.3333333333
2200000.000000 97.1666666667
2250000.000000 98.5000000000
2300000.000000 97.5000000000
2350000.000000 97.8333333333
2400000.000000 98.1666666667
2450000.000000 97.5000000000
2500000.000000 97.3333333333
2550000.000000 97.3333333333
2600000.000000 97.0000000000
2650000.000000 97.3333333333
2700000.000000 97.0000000000
2750000.000000 98.1666666667
2800000.000000 97.6666666667
2850000.000000 97.6666666667
2900000.000000 97.8333333333
2950000.000000 97.5000000000
3000000.000000 97.1666666667
3050000.000000 97.1666666667
3100000.000000 97.0000000000
3150000.000000 97.5000000000
3200000.000000 97.5000000000
3250000.000000 97.1666666667
3300000.000000 97.6666666667
3350000.000000 97.5000000000
3400000.000000 97.5000000000
3450000.000000 97.5000000000
3500000.000000 97.6666666667
3550000.000000 97.0000000000
3600000.000000 97.3333333333
3650000.000000 97.5000000000
3700000.000000 97.3333333333
3750000.000000 97.0000000000
3800000.000000 98.0000000000
3850000.000000 97.5000000000
3900000.000000 97.8333333333
3950000.000000 97.1666666667
4000000.000000 96.6666666667
4050000.000000 97.5000000000
4100000.000000 97.0000000000
4150000.000000 97.3333333333
4200000.000000 97.3333333333
4250000.000000 97.0000000000
4300000.000000 96.8333333333
4350000.000000 97.1666666667
4400000.000000 96.6666666667
4450000.000000 96.5000000000
4500000.000000 96.6666666667
4550000.000000 97.0000000000
4600000.000000 96.3333333333
4650000.000000 96.5000000000
4700000.000000 96.8333333333
4750000.000000 96.1666666667
4800000.000000 96.5000000000
4850000.000000 96.3333333333
4900000.000000 96.3333333333
4950000.000000 96.3333333333
5000000.000000 95.1666666667
5050000.000000 96.1666666667
5100000.000000 96.3333333333
5150000.000000 95.3333333333
5200000.000000 95.3333333333
5250000.000000 96.0000000000
5300000.000000 96.1666666667
5350000.000000 96.3333333333
5400000.000000 95.5000000000
5450000.000000 96.1666666667
5500000.000000 96.3333333333
5550000.000000 96.3333333333
5600000.000000 96.6666666667
5650000.000000 97.1666666667
5700000.000000 97.0000000000
5750000.000000 97.0000000000
5800000.000000 96.3333333333
5850000.000000 95.5000000000
5900000.000000 95.6666666667
5950000.000000 96.3333333333
6000000.000000 96.5000000000
6050000.000000 96.0000000000
6100000.000000 96.0000000000
6150000.000000 96.5000000000
6200000.000000 96.0000000000
6250000.000000 96.3333333333
6300000.000000 96.3333333333
6350000.000000 96.1666666667
6400000.000000 96.6666666667
6450000.000000 96.5000000000
6500000.000000 96.3333333333
6550000.000000 95.8333333333
6600000.000000 95.5000000000
6650000.000000 94.8333333333
6700000.000000 95.1666666667
6750000.000000 95.1666666667
6800000.000000 95.0000000000
6850000.000000 95.0000000000
6900000.000000 94.6666666667
6950000.000000 95.3333333333
7000000.000000 94.1666666667
7050000.000000 94.1666666667
7100000.000000 94.3333333333
7150000.000000 94.6666666667
7200000.000000 94.5000000000
7250000.000000 94.1666666667
7300000.000000 94.5000000000
7350000.000000 93.8333333333
7400000.000000 95.0000000000
7450000.000000 94.8333333333
7500000.000000 94.3333333333
7550000.000000 95.0000000000
7600000.000000 95.1666666667
7650000.000000 95.3333333333
7700000.000000 95.6666666667
7750000.000000 95.5000000000
7800000.000000 96.1666666667
7850000.000000 95.3333333333
7900000.000000 96.1666666667
7950000.000000 95.0000000000
8000000.000000 96.3333333333
8050000.000000 95.3333333333
8100000.000000 95.5000000000
8150000.000000 96.1666666667
8200000.000000 95.1666666667
8250000.000000 95.6666666667
8300000.000000 95.5000000000
8350000.000000 95.6666666667
8400000.000000 96.0000000000
8450000.000000 96.0000000000
8500000.000000 96.0000000000
8550000.000000 95.8333333333
8600000.000000 95.6666666667
8650000.000000 95.8333333333
8700000.000000 96.0000000000
8750000.000000 95.6666666667
8800000.000000 95.6666666667
8850000.000000 95.5000000000
8900000.000000 95.6666666667
8950000.000000 95.5000000000
9000000.000000 94.6666666667
9050000.000000 95.8333333333
9100000.000000 95.5000000000
9150000.000000 95.6666666667
9200000.000000 95.1666666667
9250000.000000 95.3333333333
9300000.000000 95.5000000000
9350000.000000 95.8333333333
9400000.000000 96.0000000000
9450000.000000 95.1666666667
9500000.000000 95.6666666667
9550000.000000 96.3333333333
9600000.000000 96.8333333333
9650000.000000 96.5000000000
9700000.000000 95.8333333333
9750000.000000 95.8333333333
9800000.000000 96.0000000000
9850000.000000 96.0000000000
9900000.000000 96.0000000000
9950000.000000 96.0000000000
10000000.000000 96.0000000000
10050000.000000 96.1666666667
10100000.000000 95.0000000000
10150000.000000 94.8333333333
10200000.000000 94.0000000000
10250000.000000 94.8333333333
10300000.000000 95.0000000000
10350000.000000 94.3333333333
10400000.000000 95.1666666667
10450000.000000 94.6666666667
10500000.000000 94.3333333333
10550000.000000 94.6666666667
10600000.000000 95.8333333333
10650000.000000 94.8333333333
10700000.000000 94.6666666667
10750000.000000 95.1666666667
10800000.000000 95.0000000000
10850000.000000 94.8333333333
10900000.000000 95.1666666667
10950000.000000 95.5000000000
11000000.000000 95.5000000000
11050000.000000 95.8333333333
11100000.000000 95.3333333333
11150000.000000 95.8333333333
11200000.000000 96.1666666667
11250000.000000 96.1666666667
11300000.000000 95.8333333333
11350000.000000 96.3333333333
11400000.000000 96.1666666667
11450000.000000 95.5000000000
11500000.000000 95.3333333333
11550000.000000 95.8333333333
11600000.000000 96.0000000000
11650000.000000 96.3333333333
11700000.000000 96.1666666667
11750000.000000 96.0000000000
11800000.000000 96.8333333333
11850000.000000 96.5000000000
11900000.000000 97.1666666667
11950000.000000 95.8333333333
12000000.000000 95.6666666667
12050000.000000 95.8333333333
12100000.000000 96.0000000000
12150000.000000 95.5000000000
12200000.000000 95.3333333333
12250000.000000 95.5000000000
12300000.000000 95.5000000000
12350000.000000 95.6666666667
12400000.000000 95.1666666667
12450000.000000 95.0000000000
12500000.000000 95.1666666667
12550000.000000 96.1666666667
12600000.000000 96.5000000000
12650000.000000 95.8333333333
12700000.000000 96.0000000000
12750000.000000 96.6666666667
12800000.000000 97.0000000000
12850000.000000 97.0000000000
12900000.000000 96.6666666667
12950000.000000 96.6666666667
13000000.000000 95.6666666667
13050000.000000 96.1666666667
13100000.000000 96.1666666667
13150000.000000 95.6666666667
13200000.000000 96.3333333333
13250000.000000 96.6666666667
13300000.000000 96.8333333333
13350000.000000 96.6666666667
13400000.000000 96.0000000000
13450000.000000 95.8333333333
13500000.000000 96.0000000000
13550000.000000 96.1666666667
13600000.000000 96.3333333333
13650000.000000 96.8333333333
13700000.000000 96.0000000000
13750000.000000 96.3333333333
13800000.000000 96.8333333333
13850000.000000 96.5000000000
13900000.000000 96.3333333333
13950000.000000 96.6666666667
14000000.000000 96.5000000000
14050000.000000 95.8333333333
14100000.000000 96.0000000000
14150000.000000 96.3333333333
14200000.000000 96.5000000000
14250000.000000 96.5000000000
14300000.000000 96.6666666667
14350000.000000 95.6666666667
14400000.000000 96.5000000000
14450000.000000 96.5000000000
14500000.000000 96.8333333333
14550000.000000 96.6666666667
14600000.000000 96.5000000000
14650000.000000 95.3333333333
14700000.000000 96.5000000000
14750000.000000 96.6666666667
14800000.000000 95.8333333333
14850000.000000 96.3333333333
14900000.000000 96.5000000000
14950000.000000 96.3333333333
15000000.000000 96.0000000000
15050000.000000 96.1666666667
15100000.000000 95.1666666667
15150000.000000 96.6666666667
15200000.000000 95.3333333333
15250000.000000 96.0000000000
