# cluster_size probability
1.000000000000000000e+00 8.706620869359232850e-01
2.000000000000000000e+00 7.426270283074735967e-02
3.000000000000000000e+00 6.514272178135733365e-03
4.000000000000000000e+00 9.475304986379249261e-04
5.000000000000000000e+00 2.368826246594812315e-04
5.620000000000000000e+02 1.184413123297406158e-04
5.630000000000000000e+02 1.184413123297406158e-04
5.640000000000000000e+02 1.184413123297406158e-04
5.650000000000000000e+02 4.737652493189624630e-04
5.660000000000000000e+02 5.922065616487030924e-04
5.670000000000000000e+02 2.368826246594812315e-04
5.680000000000000000e+02 1.184413123297406185e-03
5.690000000000000000e+02 1.421295747956887335e-03
5.700000000000000000e+02 8.290891863081842426e-04
5.710000000000000000e+02 8.290891863081842426e-04
5.720000000000000000e+02 2.013502309605590644e-03
5.730000000000000000e+02 2.131943621935331219e-03
5.740000000000000000e+02 2.842591495913774670e-03
5.750000000000000000e+02 2.961032808243515245e-03
5.760000000000000000e+02 2.605708871254293520e-03
5.770000000000000000e+02 2.724150183584034095e-03
5.780000000000000000e+02 3.908563306881439846e-03
5.790000000000000000e+02 4.027004619211181288e-03
5.800000000000000000e+02 2.487267558924552945e-03
5.810000000000000000e+02 3.671680682221959129e-03
5.820000000000000000e+02 2.250384934265071794e-03
5.830000000000000000e+02 2.842591495913774670e-03
5.840000000000000000e+02 1.302854435627146760e-03
5.850000000000000000e+02 2.013502309605590644e-03
5.860000000000000000e+02 7.106478739784436675e-04
5.870000000000000000e+02 4.737652493189624630e-04
5.880000000000000000e+02 8.290891863081842426e-04
5.890000000000000000e+02 4.737652493189624630e-04
5.900000000000000000e+02 3.553239369892218337e-04
5.910000000000000000e+02 1.184413123297406158e-04
5.940000000000000000e+02 1.184413123297406158e-04
5.950000000000000000e+02 2.368826246594812315e-04
5.980000000000000000e+02 1.184413123297406158e-04
5.990000000000000000e+02 1.184413123297406158e-04
6.000000000000000000e+02 1.184413123297406158e-04
