# time cluster_size count
50000.000000 600 1
100000.000000 1 1
100000.000000 599 1
150000.000000 1 2
150000.000000 598 1
200000.000000 1 3
200000.000000 2 1
200000.000000 595 1
250000.000000 1 5
250000.000000 595 1
300000.000000 1 6
300000.000000 594 1
350000.000000 1 9
350000.000000 2 1
350000.000000 589 1
400000.000000 1 7
400000.000000 2 1
400000.000000 591 1
450000.000000 1 9
450000.000000 2 1
450000.000000 589 1
500000.000000 1 8
500000.000000 2 1
500000.000000 590 1
550000.000000 1 10
550000.000000 590 1
600000.000000 1 12
600000.000000 588 1
650000.000000 1 15
650000.000000 585 1
700000.000000 1 10
700000.000000 2 1
700000.000000 588 1
750000.000000 1 11
750000.000000 2 2
750000.000000 585 1
800000.000000 1 18
800000.000000 582 1
850000.000000 1 15
850000.000000 2 1
850000.000000 583 1
900000.000000 1 13
900000.000000 2 1
900000.000000 585 1
950000.000000 1 15
950000.000000 585 1
1000000.000000 1 12
1000000.000000 588 1
1050000.000000 1 12
1050000.000000 588 1
1100000.000000 1 13
1100000.000000 587 1
1150000.000000 1 11
1150000.000000 2 2
1150000.000000 585 1
1200000.000000 1 13
1200000.000000 2 1
1200000.000000 585 1
1250000.000000 1 13
1250000.000000 587 1
1300000.000000 1 11
1300000.000000 589 1
1350000.000000 1 12
1350000.000000 588 1
1400000.000000 1 11
1400000.000000 589 1
1450000.000000 1 12
1450000.000000 588 1
1500000.000000 1 17
1500000.000000 2 1
1500000.000000 581 1
1550000.000000 1 19
1550000.000000 581 1
1600000.000000 1 13
1600000.000000 2 1
1600000.000000 585 1
1650000.000000 1 16
1650000.000000 584 1
1700000.000000 1 16
1700000.000000 2 1
1700000.000000 582 1
1750000.000000 1 14
1750000.000000 586 1
1800000.000000 1 16
1800000.000000 2 1
1800000.000000 582 1
1850000.000000 1 16
1850000.000000 2 1
1850000.000000 582 1
1900000.000000 1 17
1900000.000000 2 1
1900000.000000 581 1
1950000.000000 1 16
1950000.000000 2 3
1950000.000000 578 1
2000000.000000 1 14
2000000.000000 2 1
2000000.000000 584 1
2050000.000000 1 13
2050000.000000 2 2
2050000.000000 583 1
2100000.000000 1 15
2100000.000000 2 1
2100000.000000 583 1
2150000.000000 1 12
2150000.000000 2 1
2150000.000000 586 1
2200000.000000 1 15
2200000.000000 2 2
2200000.000000 581 1
2250000.000000 1 18
2250000.000000 2 2
2250000.000000 578 1
2300000.000000 1 15
2300000.000000 2 3
2300000.000000 579 1
2350000.000000 1 20
2350000.000000 2 3
2350000.000000 574 1
2400000.000000 1 19
2400000.000000 2 1
2400000.000000 579 1
2450000.000000 1 21
2450000.000000 579 1
2500000.000000 1 20
2500000.000000 2 1
2500000.000000 578 1
2550000.000000 1 19
2550000.000000 3 1
2550000.000000 578 1
2600000.000000 1 20
2600000.000000 2 1
2600000.000000 3 1
2600000.000000 575 1
2650000.000000 1 17
2650000.000000 2 1
2650000.000000 3 1
2650000.000000 578 1
2700000.000000 1 17
2700000.000000 2 2
2700000.000000 579 1
2750000.000000 1 17
2750000.000000 583 1
2800000.000000 1 18
2800000.000000 2 1
2800000.000000 580 1
2850000.000000 1 24
2850000.000000 576 1
2900000.000000 1 21
2900000.000000 579 1
2950000.000000 1 17
2950000.000000 2 1
2950000.000000 581 1
3000000.000000 1 14
3000000.000000 2 3
3000000.000000 580 1
3050000.000000 1 16
3050000.000000 2 1
3050000.000000 582 1
3100000.000000 1 15
3100000.000000 2 1
3100000.000000 583 1
3150000.000000 1 18
3150000.000000 2 1
3150000.000000 580 1
3200000.000000 1 17
3200000.000000 583 1
3250000.000000 1 20
3250000.000000 2 1
3250000.000000 578 1
3300000.000000 1 24
3300000.000000 2 1
3300000.000000 574 1
3350000.000000 1 21
3350000.000000 2 2
3350000.000000 575 1
3400000.000000 1 17
3400000.000000 2 2
3400000.000000 3 1
3400000.000000 576 1
3450000.000000 1 13
3450000.000000 2 4
3450000.000000 3 1
3450000.000000 576 1
3500000.000000 1 21
3500000.000000 2 5
3500000.000000 569 1
3550000.000000 1 23
3550000.000000 2 4
3550000.000000 569 1
3600000.000000 1 17
3600000.000000 2 1
3600000.000000 581 1
3650000.000000 1 18
3650000.000000 2 1
3650000.000000 580 1
3700000.000000 1 16
3700000.000000 2 2
3700000.000000 580 1
3750000.000000 1 18
3750000.000000 582 1
3800000.000000 1 20
3800000.000000 2 1
3800000.000000 578 1
3850000.000000 1 18
3850000.000000 582 1
3900000.000000 1 19
3900000.000000 581 1
3950000.000000 1 19
3950000.000000 581 1
4000000.000000 1 21
4000000.000000 579 1
4050000.000000 1 18
4050000.000000 2 1
4050000.000000 580 1
4100000.000000 1 15
4100000.000000 2 3
4100000.000000 579 1
4150000.000000 1 18
4150000.000000 2 2
4150000.000000 578 1
4200000.000000 1 24
4200000.000000 2 1
4200000.000000 574 1
4250000.000000 1 20
4250000.000000 2 2
4250000.000000 576 1
4300000.000000 1 23
4300000.000000 2 2
4300000.000000 3 1
4300000.000000 570 1
4350000.000000 1 21
4350000.000000 2 2
4350000.000000 3 1
4350000.000000 572 1
4400000.000000 1 19
4400000.000000 2 5
4400000.000000 571 1
4450000.000000 1 26
4450000.000000 2 1
4450000.000000 572 1
4500000.000000 1 20
4500000.000000 2 3
4500000.000000 574 1
4550000.000000 1 17
4550000.000000 2 4
4550000.000000 3 1
4550000.000000 572 1
4600000.000000 1 20
4600000.000000 2 5
4600000.000000 570 1
4650000.000000 1 28
4650000.000000 2 2
4650000.000000 568 1
4700000.000000 1 25
4700000.000000 2 3
4700000.000000 569 1
4750000.000000 1 25
4750000.000000 3 1
4750000.000000 572 1
4800000.000000 1 19
4800000.000000 2 2
4800000.000000 3 1
4800000.000000 574 1
4850000.000000 1 27
4850000.000000 2 1
4850000.000000 571 1
4900000.000000 1 23
4900000.000000 2 3
4900000.000000 3 1
4900000.000000 568 1
4950000.000000 1 26
4950000.000000 2 2
4950000.000000 4 1
4950000.000000 566 1
5000000.000000 1 22
5000000.000000 2 5
5000000.000000 568 1
5050000.000000 1 26
5050000.000000 2 4
5050000.000000 566 1
5100000.000000 1 27
5100000.000000 2 4
5100000.000000 565 1
5150000.000000 1 24
5150000.000000 2 3
5150000.000000 4 1
5150000.000000 566 1
5200000.000000 1 25
5200000.000000 2 3
